x,y
374.1225,0.01222749
376.051,0.01259102
377.9795,0.01040714
379.9079,0.009908305
381.8364,0.0145526
383.7649,0.02040309
385.6933,0.01977157
387.6218,0.01642711
389.5503,0.01642156
391.4787,0.02101714
393.4072,0.02374058
395.3357,0.02406702
397.2641,0.02474771
399.1926,0.02475048
401.1211,0.0252752
403.0495,0.0270944
404.978,0.0289956
406.9065,0.02981437
408.8349,0.03162593
410.7634,0.03350989
412.6919,0.03370643
414.6203,0.03510096
416.5488,0.0362924
418.4773,0.03880271
420.4057,0.04111458
422.3342,0.04078447
424.2627,0.03889595
426.1911,0.03832942
428.1196,0.0380022
430.0481,0.03789494
431.9765,0.03883931
433.905,0.04073124
435.8335,0.04257341
437.7619,0.04333526
439.6904,0.04428466
441.6189,0.04567259
443.5473,0.04769016
445.4758,0.04991694
447.4043,0.05260917
449.3327,0.05472507
451.2612,0.0559662
453.1897,0.0576093
455.1181,0.06066336
457.0466,0.06402045
458.9751,0.06652833
460.9035,0.06923889
462.832,0.07312048
464.7605,0.07533141
466.6889,0.07186556
468.6174,0.06672554
470.5459,0.06613678
472.4743,0.06840687
474.4028,0.06841863
476.3313,0.06831424
478.2597,0.07048933
480.1882,0.07320103
482.1167,0.0742391
484.0451,0.07258995
485.9736,0.07012629
487.9021,0.06917056
489.8305,0.07097103
491.759,0.07370197
493.6875,0.07659815
495.6159,0.07918816
497.5444,0.08187518
499.4729,0.08465853
501.4013,0.08814363
503.3298,0.09203465
505.2583,0.09484257
507.1867,0.09338137
509.1152,0.08745456
511.0437,0.08322115
512.9721,0.08438398
514.9006,0.08858562
516.829,0.09131633
518.7575,0.08895086
520.686,0.08531475
522.6144,0.08523589
524.5429,0.08972315
526.4714,0.09609056
528.3998,0.1023074
530.3283,0.1076312
532.2568,0.1086695
534.1852,0.1048863
536.1137,0.1020304
538.0422,0.1044587
539.9706,0.1108172
541.8991,0.1170889
543.8276,0.1208479
545.756,0.119878
547.6845,0.115985
549.613,0.1140755
551.5414,0.11533
553.4699,0.1176034
555.3984,0.1209067
557.3268,0.1252579
559.2553,0.1268906
561.1838,0.1258008
563.1122,0.1234069
565.0407,0.1205065
