x,y
374.1225,0.1666551
376.051,0.1595186
377.9795,0.1521299
379.9079,0.1483642
381.8364,0.1509424
383.7649,0.1483145
385.6933,0.1440078
387.6218,0.1499098
389.5503,0.1514147
391.4787,0.1508348
393.4072,0.1524393
395.3357,0.153081
397.2641,0.1538278
399.1926,0.15387
401.1211,0.1562474
403.0495,0.1638286
404.978,0.1643182
406.9065,0.1596547
408.8349,0.1606308
410.7634,0.1627125
412.6919,0.1666736
414.6203,0.1675128
416.5488,0.166789
418.4773,0.1690249
420.4057,0.1677374
422.3342,0.1670732
424.2627,0.1694432
426.1911,0.1715034
428.1196,0.1732188
430.0481,0.1756806
431.9765,0.1776109
433.905,0.1810759
435.8335,0.1840306
437.7619,0.1847126
439.6904,0.1847717
441.6189,0.1848098
443.5473,0.1856557
445.4758,0.186363
447.4043,0.1864041
449.3327,0.1839667
451.2612,0.1814293
453.1897,0.1785423
455.1181,0.1750032
457.0466,0.1715135
458.9751,0.1670485
460.9035,0.1619546
462.832,0.1576651
464.7605,0.1543524
466.6889,0.1500309
468.6174,0.1443513
470.5459,0.1395022
472.4743,0.1356841
474.4028,0.1324516
476.3313,0.1309388
478.2597,0.1304616
480.1882,0.1295634
482.1167,0.1296247
484.0451,0.1298452
485.9736,0.1299471
487.9021,0.1302343
489.8305,0.1302789
491.759,0.1299893
493.6875,0.1293707
495.6159,0.1280151
497.5444,0.1271673
499.4729,0.1264806
501.4013,0.1253464
503.3298,0.1238728
505.2583,0.1225177
507.1867,0.1211748
509.1152,0.1192905
511.0437,0.1182349
512.9721,0.1179162
514.9006,0.1171661
516.829,0.1159307
518.7575,0.1140312
520.686,0.1122465
522.6144,0.110893
524.5429,0.1088985
526.4714,0.1056765
528.3998,0.1024456
530.3283,0.09880707
532.2568,0.09480281
534.1852,0.09119775
536.1137,0.08788055
538.0422,0.08392504
539.9706,0.08010778
541.8991,0.07688621
543.8276,0.07352811
545.756,0.06984288
547.6845,0.067063
549.613,0.06453215
551.5414,0.06227936
553.4699,0.06033461
555.3984,0.05788281
557.3268,0.05579912
559.2553,0.05424137
561.1838,0.05290995
563.1122,0.05162193
565.0407,0.050774
566.9692,0.05043544
568.8976,0.04979585
570.8261,0.04968844
572.7546,0.0495979
574.683,0.04967268
576.6115,0.04997955
578.54,0.05100159
580.4684,0.05214531
582.3969,0.0533284
584.3254,0.05471316
586.2538,0.05642407
588.1823,0.05784247
590.1108,0.05925022
592.0392,0.06105611
593.9677,0.06269661
595.8962,0.06363347
597.8246,0.06408744
599.7531,0.0645803
601.6816,0.06484464
603.61,0.0646914
605.5385,0.06396835
607.467,0.06330966
609.3954,0.06298117
611.3239,0.06231347
613.2524,0.06131991
615.1808,0.06106045
617.1093,0.06114267
619.0378,0.06104895
620.9662,0.06080499
622.8947,0.06071631
624.8232,0.06069664
626.7516,0.06078535
628.6801,0.0606636
630.6086,0.06018134
632.537,0.05988991
634.4655,0.05991731
636.394,0.05987798
638.3224,0.05998741
640.2509,0.06017213
642.1794,0.06048836
644.1078,0.06103374
646.0363,0.06146015
647.9648,0.06185716
649.8932,0.06198799
651.8217,0.06196302
653.7502,0.06211599
655.6786,0.06231134
657.6071,0.06240151
659.5356,0.06265981
661.4641,0.06302324
663.3925,0.06326891
665.321,0.06352802
667.2495,0.06384795
669.1779,0.06380963
671.1064,0.06329132
673.0349,0.06292233
674.9633,0.06255352
676.8918,0.06198184
678.8203,0.06145169
680.7487,0.06120254
682.6772,0.06112392
684.6057,0.06086519
686.5341,0.06048328
688.4626,0.06025861
690.3911,0.06016979
692.3195,0.06015874
694.248,0.05973737
696.1765,0.05916738
698.1049,0.0589026
700.0334,0.05881478
701.9619,0.05855876
703.8903,0.05864827
705.8188,0.05902393
707.7473,0.05973629
709.6757,0.06052795
711.6042,0.06158797
713.5327,0.06250537
715.4611,0.06308086
717.3896,0.06399983
719.3181,0.06508407
721.2465,0.06588286
723.175,0.06664245
725.1035,0.06744794
727.0319,0.06776235
728.9604,0.06803738
730.8889,0.06822583
732.8173,0.06827102
734.7458,0.06842791
736.6743,0.06843296
738.6027,0.06833083
740.5312,0.06822909
742.4597,0.06823333
744.3881,0.06807356
746.3166,0.0681246
748.2451,0.06845739
750.1735,0.06873302
752.102,0.06875549
754.0305,0.06879884
755.9589,0.06916334
757.8874,0.0696205
759.8159,0.0699476
761.7443,0.07004607
763.6728,0.07020889
765.6013,0.07033964
767.5297,0.07027157
769.4582,0.07007692
771.3867,0.07000005
773.3151,0.07001073
775.2436,0.06989841
777.1721,0.06987641
779.1005,0.06976219
781.029,0.06939168
782.9575,0.069074
784.8859,0.068644
786.8144,0.06813651
788.7429,0.06773365
790.6713,0.06753689
792.5998,0.06724475
794.5283,0.0668968
796.4567,0.06712641
798.3852,0.06762772
800.3137,0.06802406
802.2421,0.06875403
804.1706,0.06998814
806.0991,0.07156681
808.0275,0.07328791
809.956,0.07528709
811.8845,0.07761723
813.8129,0.08009841
815.7414,0.08286644
817.6699,0.08593643
819.5983,0.08928873
821.5268,0.09308126
823.4553,0.09712919
825.3837,0.1011272
827.3122,0.1054746
829.2407,0.1098798
831.1691,0.1142062
833.0976,0.1184361
835.0261,0.1228263
836.9545,0.127215
838.883,0.1313886
840.8115,0.135452
842.7399,0.1395419
844.6684,0.1435215
846.5969,0.1471229
848.5253,0.1502872
850.4538,0.1532427
852.3823,0.1558193
854.3107,0.1582487
856.2392,0.1603892
858.1677,0.1623744
860.0961,0.1640962
862.0246,0.1656934
863.9531,0.1671823
865.8815,0.1685726
867.81,0.1701463
869.7385,0.1719418
871.6669,0.1738616
873.5954,0.1755969
875.5239,0.177293
877.4523,0.1789207
879.3808,0.1801988
881.3093,0.1816565
883.2377,0.1835681
885.1662,0.1857277
887.0947,0.1878981
889.0231,0.1905144
890.9516,0.193588
892.8801,0.19667
894.8085,0.1997907
896.737,0.2031304
898.6655,0.2065582
900.5939,0.2099844
902.5224,0.2131074
904.4509,0.2160906
906.3793,0.2186843
908.3078,0.2206911
910.2363,0.2225997
912.1647,0.2244343
914.0932,0.2259124
916.0217,0.2271144
917.9501,0.228014
919.8786,0.228776
921.8071,0.229644
923.7355,0.2301294
925.664,0.2303324
927.5925,0.2305027
929.5209,0.2305028
931.4494,0.2302827
933.3779,0.2297329
935.3063,0.2289442
937.2348,0.2280513
939.1633,0.2269125
941.0917,0.225593
943.0202,0.2243688
944.9487,0.2229485
946.8771,0.2213009
948.8056,0.2195709
950.7341,0.2177471
952.6625,0.2157695
954.591,0.2136001
956.5195,0.211451
958.4479,0.2093394
960.3764,0.2069926
962.3049,0.2046419
964.2333,0.202224
966.1618,0.1997271
968.0903,0.1971571
970.0187,0.1944077
971.9472,0.1914856
973.8757,0.1886772
975.8041,0.1856044
977.7326,0.1823892
979.6611,0.1790029
981.5895,0.1754716
983.518,0.1719591
985.4465,0.1681551
987.3749,0.1641536
989.3034,0.1601797
991.2319,0.1561689
993.1603,0.1521001
995.0888,0.1478543
997.0173,0.1436687
998.9457,0.1398417
1000.874,0.1361333
1002.803,0.1324829
1004.731,0.1291121
1006.66,0.1258619
1008.588,0.1228366
1010.517,0.1201355
1012.445,0.1177333
1014.373,0.1152937
1016.302,0.1129693
1018.23,0.1109769
1020.159,0.1093691
1022.087,0.1079357
1024.016,0.1067977
1025.944,0.105676
1027.873,0.1047724
1029.801,0.1040213
1031.73,0.1031528
1033.658,0.1021132
1035.587,0.1009834
1037.515,0.09999046
1039.443,0.09896397
1041.372,0.09751044
1043.3,0.09595863
1045.229,0.09447324
1047.157,0.09286871
1049.086,0.09106696
1051.014,0.08914657
1052.943,0.08713868
1054.871,0.08526998
1056.8,0.08358816
1058.728,0.08173236
1060.657,0.07975341
1062.585,0.07789592
1064.514,0.07619289
1066.442,0.07461502
1068.37,0.07282538
1070.299,0.07108802
1072.227,0.06964161
1074.156,0.06814839
1076.084,0.06675114
1078.013,0.06542315
1079.941,0.06383115
1081.87,0.06207136
1083.798,0.06011932
1085.727,0.05824238
1087.655,0.0565257
1089.584,0.05476778
1091.512,0.0529431
1093.441,0.05117395
1095.369,0.04959926
1097.297,0.04798661
1099.226,0.04603038
1101.154,0.04406949
1103.083,0.0421405
1105.011,0.04011874
1106.94,0.03807339
1108.868,0.03602318
1110.797,0.03403897
1112.725,0.03216581
1114.654,0.03041705
1116.582,0.02876781
1118.511,0.0272017
1120.439,0.02568599
1122.368,0.02411063
1124.296,0.02242949
1126.224,0.0207925
1128.153,0.01913658
1130.081,0.01760898
1132.01,0.01617662
1133.938,0.01480804
1135.867,0.01363867
1137.795,0.0124944
1139.724,0.01155597
1141.652,0.0109315
1143.581,0.01031184
1145.509,0.009828379
1147.438,0.009555145
1149.366,0.009218031
1151.295,0.008947824
1153.223,0.008758389
1155.151,0.008475983
1157.08,0.00820608
1159.008,0.008030083
1160.937,0.007877397
1162.865,0.007556526
1164.794,0.007060287
1166.722,0.00657533
1168.651,0.006080948
1170.579,0.005845472
1172.508,0.005767152
1174.436,0.005693791
1176.365,0.00551264
1178.293,0.00544752
1180.222,0.005500848
1182.15,0.00547289
1184.078,0.005531326
1186.007,0.005530627
1187.935,0.005410769
1189.864,0.005252806
1191.792,0.005132491
1193.721,0.004948728
1195.649,0.004611207
1197.578,0.004251273
1199.506,0.003974473
1201.435,0.003727342
1203.363,0.003525793
1205.292,0.003419564
1207.22,0.003366255
1209.149,0.00337017
1211.077,0.00348386
1213.005,0.003619282
1214.934,0.003752556
1216.862,0.003919077
1218.791,0.003936148
1220.719,0.003902201
1222.648,0.003883997
1224.576,0.003773738
1226.505,0.003652582
1228.433,0.003545438
1230.362,0.003442676
1232.29,0.003312324
1234.219,0.003316022
1236.147,0.00330072
1238.076,0.003267992
1240.004,0.003144223
1241.932,0.003151221
1243.861,0.003202092
1245.789,0.003074871
1247.718,0.002844168
1249.646,0.002769365
1251.575,0.002766643
1253.503,0.002605429
1255.432,0.002417853
1257.36,0.002249834
1259.289,0.002138926
1261.217,0.002132814
1263.146,0.002064492
1265.074,0.002004171
1267.003,0.001974417
1268.931,0.00183796
1270.859,0.001823269
1272.788,0.001985407
1274.716,0.002104661
1276.645,0.002017046
1278.573,0.001978011
1280.502,0.00210764
1282.43,0.002159409
1284.359,0.00219061
1286.287,0.002256854
1288.216,0.002258791
1290.144,0.002312833
1292.073,0.002442436
1294.001,0.00240937
1295.93,0.002274097
1297.858,0.002365452
1299.786,0.002362542
1301.715,0.002409898
1303.643,0.002456996
1305.572,0.002384753
1307.5,0.002493364
1309.429,0.002570354
1311.357,0.002526766
1313.286,0.002550347
1315.214,0.002459183
1317.143,0.002449927
1319.071,0.002446816
1321.0,0.002402333
1322.928,0.002529605
1324.857,0.002578901
1326.785,0.002575123
1328.714,0.002732186
1330.642,0.002744373
1332.57,0.002753295
1334.499,0.002790266
1336.427,0.002791879
1338.356,0.002904657
1340.284,0.003022731
1342.213,0.002909422
1344.141,0.002882923
1346.07,0.002889914
1347.998,0.003019862
1349.927,0.003183249
1351.855,0.003286859
1353.784,0.003310977
1355.712,0.003233739
1357.641,0.003320289
1359.569,0.003511251
1361.497,0.003731444
1363.426,0.003926996
1365.354,0.003951524
1367.283,0.003983911
1369.211,0.004103891
1371.14,0.004203208
1373.068,0.004265788
1374.997,0.004268972
1376.925,0.004379492
1378.854,0.00464665
1380.782,0.004818952
1382.711,0.004743293
1384.639,0.00469099
1386.568,0.00492758
1388.496,0.005267496
1390.424,0.005443519
1392.353,0.005528668
1394.281,0.005768207
1396.21,0.006083235
1398.138,0.006313456
1400.067,0.006434526
1401.995,0.006604948
1403.924,0.006771995
1405.852,0.006926238
1407.781,0.007201958
1409.709,0.007431577
1411.638,0.007662438
1413.566,0.007763872
1415.495,0.007884997
1417.423,0.008003678
1419.351,0.008136307
1421.28,0.008091491
1423.208,0.008208881
1425.137,0.00838137
1427.065,0.008507217
1428.994,0.008547422
1430.922,0.008641684
1432.851,0.008786454
1434.779,0.009025413
1436.708,0.009316811
1438.636,0.009201746
1440.565,0.009067144
1442.493,0.009016399
1444.422,0.009152029
1446.35,0.009177432
1448.278,0.009055887
1450.207,0.009067265
1452.135,0.009226806
1454.064,0.009262484
1455.992,0.0095336
1457.921,0.009542798
1459.849,0.009243411
1461.778,0.009088859
1463.706,0.009100953
1465.635,0.00917281
1467.563,0.00887611
1469.492,0.008565871
1471.42,0.008505872
1473.349,0.008529691
1475.277,0.008502684
1477.205,0.008248756
1479.134,0.008100159
1481.062,0.008145022
1482.991,0.00809205
1484.919,0.007949101
1486.848,0.008006273
1488.776,0.008216972
1490.705,0.008354746
1492.633,0.008302802
1494.562,0.008338625
1496.49,0.008507627
1498.419,0.008565484
1500.347,0.008480125
1502.276,0.008323498
1504.204,0.008330666
1506.132,0.008396814
1508.061,0.008046759
1509.989,0.007535799
1511.918,0.007027263
1513.846,0.006611487
1515.775,0.006628351
1517.703,0.006682217
1519.632,0.006714432
1521.56,0.00679834
1523.489,0.00654474
1525.417,0.00626905
1527.346,0.006268466
1529.274,0.006379121
1531.203,0.006278297
1533.131,0.00636551
1535.059,0.006392529
1536.988,0.006390815
1538.916,0.0066373
1540.845,0.006578255
1542.773,0.006261262
1544.702,0.006267834
1546.63,0.006374423
1548.559,0.006398443
1550.487,0.006432785
1552.416,0.006412096
1554.344,0.006443746
1556.273,0.006469156
1558.201,0.006688755
1560.13,0.006672826
1562.058,0.006359418
1563.986,0.006268864
1565.915,0.006378794
1567.843,0.006491088
1569.772,0.00656469
1571.7,0.006506277
1573.629,0.006489224
1575.557,0.006828565
1577.486,0.006935998
1579.414,0.006736735
1581.343,0.006626482
1583.271,0.006524274
1585.2,0.006480399
1587.128,0.006518999
1589.057,0.006723042
1590.985,0.006855166
1592.913,0.006843627
1594.842,0.006847091
1596.77,0.006755389
1598.699,0.006671643
1600.627,0.006771403
1602.556,0.006942869
1604.484,0.006914749
1606.413,0.006815485
1608.341,0.006772478
1610.27,0.006603901
1612.198,0.006533985
1614.127,0.006645817
1616.055,0.006915458
1617.984,0.006761241
1619.912,0.00655824
1621.84,0.006731701
1623.769,0.006803245
1625.697,0.006631205
1627.626,0.006672307
1629.554,0.006727129
1631.483,0.006619829
1633.411,0.006801654
1635.34,0.007144714
1637.268,0.007013574
1639.197,0.006804102
1641.125,0.0067635
1643.054,0.006760157
1644.982,0.006858267
1646.911,0.006887454
1648.839,0.006635311
1650.767,0.006788759
