x,y
374.1225,0.102561
376.051,0.09947991
377.9795,0.09454241
379.9079,0.09481183
381.8364,0.09770029
383.7649,0.09163611
385.6933,0.09437542
387.6218,0.09931081
389.5503,0.09738663
391.4787,0.09673823
393.4072,0.1048539
395.3357,0.1089708
397.2641,0.1092443
399.1926,0.1049995
401.1211,0.09850776
403.0495,0.09429833
404.978,0.09389913
406.9065,0.09382343
408.8349,0.09562488
410.7634,0.09685872
412.6919,0.09781905
414.6203,0.09652166
416.5488,0.09598994
418.4773,0.09766044
420.4057,0.100056
422.3342,0.1009421
424.2627,0.1020923
426.1911,0.1042621
428.1196,0.1080053
430.0481,0.1132275
431.9765,0.1179515
433.905,0.1221259
435.8335,0.1248896
437.7619,0.1253997
439.6904,0.1264139
441.6189,0.1303197
443.5473,0.1353747
445.4758,0.1390671
447.4043,0.142636
449.3327,0.1445403
451.2612,0.1464614
453.1897,0.1485595
455.1181,0.1492182
457.0466,0.1469285
458.9751,0.1447313
460.9035,0.1431732
462.832,0.1428497
464.7605,0.1417248
466.6889,0.1400556
468.6174,0.138739
470.5459,0.1366563
472.4743,0.134635
474.4028,0.132708
476.3313,0.1318978
478.2597,0.1317049
480.1882,0.1308741
482.1167,0.1294699
484.0451,0.1280779
485.9736,0.1270946
487.9021,0.1262435
489.8305,0.1265144
491.759,0.1265953
493.6875,0.1253874
495.6159,0.1231543
497.5444,0.1210501
499.4729,0.1186236
501.4013,0.1159044
503.3298,0.1131762
505.2583,0.1106449
507.1867,0.1077539
509.1152,0.1042451
511.0437,0.101843
512.9721,0.1002191
514.9006,0.09838454
516.829,0.09651136
518.7575,0.09395275
520.686,0.09185602
522.6144,0.09019952
524.5429,0.08873818
526.4714,0.08671468
528.3998,0.08460008
530.3283,0.08239881
532.2568,0.07916176
534.1852,0.07551678
536.1137,0.07164988
538.0422,0.06698596
539.9706,0.06247596
541.8991,0.05860542
543.8276,0.05513041
545.756,0.05190758
547.6845,0.04971152
549.613,0.04866508
551.5414,0.04888549
553.4699,0.05052705
555.3984,0.05318183
557.3268,0.05591179
559.2553,0.05795955
561.1838,0.05888443
563.1122,0.05872295
565.0407,0.05812718
566.9692,0.05700231
568.8976,0.05555118
570.8261,0.05465586
572.7546,0.05373761
574.683,0.05288697
576.6115,0.05192185
578.54,0.05085448
580.4684,0.04903182
582.3969,0.04636854
584.3254,0.04306976
586.2538,0.03960118
588.1823,0.03616548
590.1108,0.03334569
592.0392,0.03133461
593.9677,0.02972605
595.8962,0.02887895
597.8246,0.0284199
599.7531,0.0281384
