x,y
374.1225,0.002944849
376.051,0.006126654
377.9795,0.005404942
379.9079,0.001558078
381.8364,-0.001869253
383.7649,7.510465e-05
385.6933,0.00248032
387.6218,0.001538448
389.5503,0.003796778
391.4787,0.005534192
393.4072,0.00577671
395.3357,0.00576908
397.2641,0.005144162
399.1926,0.003566507
401.1211,0.005910762
403.0495,0.006187542
404.978,0.00472834
406.9065,0.003467963
408.8349,0.005390637
410.7634,0.006816058
412.6919,0.006955929
414.6203,0.006539476
416.5488,0.005688582
418.4773,0.006049491
420.4057,0.006396614
422.3342,0.006456469
424.2627,0.006573719
426.1911,0.00638671
428.1196,0.00630608
430.0481,0.006734163
431.9765,0.006940898
433.905,0.006798584
435.8335,0.007157653
437.7619,0.007665813
439.6904,0.007637702
441.6189,0.00749073
443.5473,0.007921748
445.4758,0.007983614
447.4043,0.008240313
449.3327,0.008740258
451.2612,0.009069573
453.1897,0.009144735
455.1181,0.009544109
457.0466,0.009658336
458.9751,0.01006635
460.9035,0.01078684
462.832,0.01113279
464.7605,0.01210773
466.6889,0.01364332
468.6174,0.01416583
470.5459,0.01465621
472.4743,0.01418376
474.4028,0.0139655
476.3313,0.01530352
478.2597,0.01599772
480.1882,0.01562455
482.1167,0.01520997
484.0451,0.01525266
485.9736,0.01518315
487.9021,0.01530923
489.8305,0.01579266
491.759,0.01648084
493.6875,0.01707397
495.6159,0.01731161
497.5444,0.01742079
499.4729,0.0178146
501.4013,0.01829042
503.3298,0.01875818
505.2583,0.01921164
507.1867,0.01961117
509.1152,0.01973201
511.0437,0.02033482
512.9721,0.02133431
514.9006,0.02230624
516.829,0.02285589
518.7575,0.0229627
520.686,0.02351148
522.6144,0.02469201
524.5429,0.02555548
526.4714,0.02673541
528.3998,0.02792871
530.3283,0.02883282
532.2568,0.03020839
534.1852,0.03221285
536.1137,0.03351258
538.0422,0.03439451
539.9706,0.03576085
541.8991,0.03758122
543.8276,0.03936685
545.756,0.04136517
547.6845,0.04357013
549.613,0.04573062
551.5414,0.04776276
553.4699,0.05042545
555.3984,0.05391576
557.3268,0.05739313
559.2553,0.06059665
561.1838,0.06453069
563.1122,0.06919531
565.0407,0.07454959
566.9692,0.08059364
568.8976,0.08788533
570.8261,0.09599262
572.7546,0.10474
574.683,0.1152732
576.6115,0.1276884
578.54,0.141611
580.4684,0.1581941
582.3969,0.1776806
584.3254,0.1985476
586.2538,0.2217019
588.1823,0.2474842
590.1108,0.2747339
592.0392,0.3035266
593.9677,0.3323704
595.8962,0.360567
597.8246,0.3873381
599.7531,0.410453
601.6816,0.426376
603.61,0.4318124
605.5385,0.4252765
607.467,0.4044551
609.3954,0.369417
611.3239,0.326784
613.2524,0.2840821
615.1808,0.2450565
617.1093,0.2106125
619.0378,0.1811968
620.9662,0.1559095
