x,y
374.1225,0.2549036
376.051,0.2558797
377.9795,0.2369608
379.9079,0.2340616
381.8364,0.2464866
383.7649,0.243648
385.6933,0.2437989
387.6218,0.2464727
389.5503,0.2510069
391.4787,0.2645917
393.4072,0.2749912
395.3357,0.2798721
397.2641,0.2831661
399.1926,0.2821591
401.1211,0.2872298
403.0495,0.28687
404.978,0.2856862
406.9065,0.2877038
408.8349,0.2874544
410.7634,0.2879334
412.6919,0.2965885
414.6203,0.3059502
416.5488,0.311655
418.4773,0.3133726
420.4057,0.3206618
422.3342,0.3243324
424.2627,0.3194305
426.1911,0.316499
428.1196,0.3156444
430.0481,0.3116951
431.9765,0.29864
433.905,0.2804549
435.8335,0.2663862
437.7619,0.2597853
439.6904,0.2609594
441.6189,0.2684988
443.5473,0.2798777
445.4758,0.2928329
447.4043,0.3063598
449.3327,0.3192275
451.2612,0.330967
453.1897,0.3397016
455.1181,0.3466944
457.0466,0.3528382
458.9751,0.3555579
460.9035,0.3554919
462.832,0.3509472
464.7605,0.3417084
466.6889,0.3297905
468.6174,0.3054911
470.5459,0.2784719
472.4743,0.2554765
474.4028,0.233445
476.3313,0.2124391
478.2597,0.194633
480.1882,0.1796973
482.1167,0.1665673
484.0451,0.1565358
485.9736,0.1499445
487.9021,0.1468862
489.8305,0.1486036
491.759,0.1554496
493.6875,0.1649822
495.6159,0.1757574
497.5444,0.1886472
499.4729,0.201277
501.4013,0.2115369
503.3298,0.2192308
505.2583,0.2259022
507.1867,0.2333505
509.1152,0.242992
511.0437,0.2538541
512.9721,0.265081
514.9006,0.2763074
516.829,0.2877505
518.7575,0.2977794
520.686,0.3054318
522.6144,0.3109318
524.5429,0.3124018
526.4714,0.3105167
528.3998,0.3070952
530.3283,0.3050777
532.2568,0.3037809
534.1852,0.3024763
536.1137,0.2989861
538.0422,0.2917754
539.9706,0.2833014
541.8991,0.2749668
543.8276,0.2660953
545.756,0.2566473
547.6845,0.2479247
549.613,0.2398593
551.5414,0.2327818
553.4699,0.2273466
555.3984,0.2228082
557.3268,0.2185127
559.2553,0.2140315
561.1838,0.2085627
563.1122,0.203413
565.0407,0.1985768
566.9692,0.1936319
568.8976,0.1885174
570.8261,0.1837071
572.7546,0.1793216
574.683,0.175807
576.6115,0.1727457
578.54,0.1704135
580.4684,0.1683696
582.3969,0.1662505
584.3254,0.1641874
586.2538,0.1624534
588.1823,0.1608012
590.1108,0.1592397
592.0392,0.1577594
593.9677,0.1560057
595.8962,0.1542274
597.8246,0.1526469
599.7531,0.1520155
601.6816,0.1524981
603.61,0.1524136
605.5385,0.1506768
607.467,0.1467935
609.3954,0.1411844
611.3239,0.1358747
613.2524,0.1313843
615.1808,0.127118
617.1093,0.1233771
619.0378,0.1204756
620.9662,0.1182678
622.8947,0.1167798
624.8232,0.1157772
626.7516,0.1152389
628.6801,0.1152086
630.6086,0.1157702
632.537,0.1167905
634.4655,0.1179382
636.394,0.118921
638.3224,0.1196389
640.2509,0.1201609
642.1794,0.1204038
644.1078,0.1205998
646.0363,0.1202333
647.9648,0.1193113
649.8932,0.118425
651.8217,0.1175549
653.7502,0.1168653
655.6786,0.1167957
657.6071,0.1166771
659.5356,0.1164286
661.4641,0.1162726
663.3925,0.1161005
665.321,0.1161979
667.2495,0.1163818
669.1779,0.1163
671.1064,0.1160159
673.0349,0.1155802
674.9633,0.1152291
676.8918,0.1147156
678.8203,0.1140458
680.7487,0.1133618
682.6772,0.1124197
684.6057,0.1114276
686.5341,0.1100695
688.4626,0.1084342
690.3911,0.1065781
692.3195,0.1039046
694.248,0.1001038
696.1765,0.09541198
698.1049,0.08997761
700.0334,0.08431359
701.9619,0.07860114
703.8903,0.07299163
705.8188,0.06721207
707.7473,0.06174769
709.6757,0.05680852
711.6042,0.05280178
713.5327,0.04970362
715.4611,0.04754198
717.3896,0.04619649
719.3181,0.04535819
721.2465,0.04502262
723.175,0.04533192
725.1035,0.04629153
727.0319,0.04786107
728.9604,0.05016068
730.8889,0.05339755
732.8173,0.05756993
734.7458,0.06273996
736.6743,0.06875015
738.6027,0.07543077
740.5312,0.08223855
742.4597,0.08833988
