x,y
374.1225,0.05546982
376.051,0.06638812
377.9795,0.06529972
379.9079,0.06138962
381.8364,0.06615008
383.7649,0.07481328
385.6933,0.08494922
387.6218,0.08970414
389.5503,0.09847309
391.4787,0.1097505
393.4072,0.1185582
395.3357,0.1210294
397.2641,0.11129
399.1926,0.100102
401.1211,0.09752736
403.0495,0.09956838
404.978,0.1016585
406.9065,0.1038232
408.8349,0.1008699
410.7634,0.09468995
412.6919,0.08932638
414.6203,0.08691756
416.5488,0.08862674
418.4773,0.09044305
420.4057,0.09508251
422.3342,0.1034167
424.2627,0.1110248
426.1911,0.1169779
428.1196,0.1253307
430.0481,0.1350456
431.9765,0.1445041
433.905,0.1554309
435.8335,0.1659728
437.7619,0.1764778
439.6904,0.1880211
441.6189,0.1996603
443.5473,0.2089237
445.4758,0.2141252
447.4043,0.2175201
449.3327,0.2216137
451.2612,0.2252911
453.1897,0.2256134
455.1181,0.2245823
457.0466,0.2176501
458.9751,0.2064234
460.9035,0.1941701
462.832,0.1858406
464.7605,0.1860765
466.6889,0.1940166
468.6174,0.1999106
470.5459,0.1984894
472.4743,0.1921062
474.4028,0.182488
476.3313,0.1709309
478.2597,0.1600637
480.1882,0.1516701
482.1167,0.1437276
484.0451,0.1380225
485.9736,0.1333593
487.9021,0.1286018
489.8305,0.123538
491.759,0.1175762
493.6875,0.1109901
495.6159,0.1037038
497.5444,0.09679241
499.4729,0.09109914
501.4013,0.08786963
503.3298,0.08812568
505.2583,0.09151921
507.1867,0.09568954
509.1152,0.09749871
511.0437,0.09636746
512.9721,0.09267114
514.9006,0.08695213
516.829,0.08091386
518.7575,0.07535385
520.686,0.07074415
522.6144,0.06699301
524.5429,0.0635107
526.4714,0.05993052
528.3998,0.05649398
530.3283,0.05393464
532.2568,0.05155714
534.1852,0.04992176
536.1137,0.04803771
538.0422,0.04587004
539.9706,0.04471676
541.8991,0.04409307
543.8276,0.0440398
545.756,0.04474059
547.6845,0.04635727
549.613,0.04874788
551.5414,0.05225547
553.4699,0.05750865
555.3984,0.0639042
557.3268,0.07066078
559.2553,0.07642474
561.1838,0.08040494
563.1122,0.08200161
565.0407,0.08078677
566.9692,0.07640126
568.8976,0.06918236
570.8261,0.0605498
572.7546,0.05119725
574.683,0.04255117
576.6115,0.03528889
578.54,0.03007702
580.4684,0.02635454
582.3969,0.02387006
584.3254,0.02190844
586.2538,0.02077031
588.1823,0.01992835
590.1108,0.01929953
592.0392,0.01930136
593.9677,0.01915208
595.8962,0.01873741
597.8246,0.01874917
599.7531,0.01928633
601.6816,0.01953626
603.61,0.01958037
605.5385,0.02017866
607.467,0.02080083
609.3954,0.02126687
611.3239,0.02198209
613.2524,0.0231129
615.1808,0.02448651
617.1093,0.02596782
619.0378,0.0276732
620.9662,0.02939449
622.8947,0.03144506
624.8232,0.03389003
626.7516,0.03707881
628.6801,0.04076807
630.6086,0.04528034
632.537,0.05051624
634.4655,0.05714702
636.394,0.06536791
638.3224,0.07442757
640.2509,0.0827385
642.1794,0.08768033
644.1078,0.08732782
646.0363,0.08103007
647.9648,0.06998157
649.8932,0.05692382
651.8217,0.04486942
653.7502,0.03564613
655.6786,0.02980442
657.6071,0.02632765
659.5356,0.02432135
661.4641,0.02337301
663.3925,0.02322793
665.321,0.02392896
667.2495,0.02555596
669.1779,0.02770459
671.1064,0.03043466
673.0349,0.0342505
674.9633,0.03935814
676.8918,0.0456137
678.8203,0.05206386
680.7487,0.05594381
682.6772,0.05463654
684.6057,0.0492443
686.5341,0.04325346
688.4626,0.03832909
690.3911,0.0337352
692.3195,0.02882904
694.248,0.02441016
696.1765,0.02162606
698.1049,0.01983977
700.0334,0.01856386
701.9619,0.01775969
703.8903,0.017629
705.8188,0.01761913
707.7473,0.01816588
709.6757,0.01943628
711.6042,0.02130375
713.5327,0.02140327
715.4611,0.01974473
717.3896,0.0187138
719.3181,0.01854546
721.2465,0.01848191
723.175,0.0186396
725.1035,0.01901489
727.0319,0.01924353
728.9604,0.01944729
730.8889,0.01984983
732.8173,0.02033814
734.7458,0.02079065
736.6743,0.02130063
738.6027,0.02193845
740.5312,0.02248064
742.4597,0.02267466
744.3881,0.02310028
746.3166,0.02359003
748.2451,0.02406779
750.1735,0.02468119
752.102,0.02509177
754.0305,0.02548165
755.9589,0.02603632
757.8874,0.02662431
759.8159,0.0273509
761.7443,0.02806931
763.6728,0.02895557
765.6013,0.02978899
767.5297,0.0307109
769.4582,0.03139107
771.3867,0.03189657
773.3151,0.03280097
775.2436,0.03385805
777.1721,0.03490653
779.1005,0.03604753
781.029,0.03706286
782.9575,0.03814201
784.8859,0.03934248
786.8144,0.04050715
788.7429,0.04178453
790.6713,0.04328799
792.5998,0.04470462
794.5283,0.04600167
796.4567,0.0475962
798.3852,0.04912546
800.3137,0.05059434
802.2421,0.05223989
804.1706,0.05416347
806.0991,0.05600504
808.0275,0.05768439
809.956,0.05973877
811.8845,0.06199792
813.8129,0.06406096
815.7414,0.06614585
817.6699,0.06850859
819.5983,0.07114958
821.5268,0.07403971
823.4553,0.0769066
825.3837,0.07993436
827.3122,0.08327732
829.2407,0.08669486
831.1691,0.09028216
833.0976,0.09412246
835.0261,0.09818547
836.9545,0.1024875
838.883,0.1070835
840.8115,0.1120891
842.7399,0.1174686
844.6684,0.1230078
846.5969,0.1290712
848.5253,0.134963
850.4538,0.1406666
852.3823,0.1471824
854.3107,0.1544444
856.2392,0.1620939
858.1677,0.170461
860.0961,0.1792702
862.0246,0.1885943
863.9531,0.1988485
865.8815,0.2099511
867.81,0.2222011
869.7385,0.2360303
871.6669,0.2499077
873.5954,0.2601786
875.5239,0.2655942
877.4523,0.2678369
879.3808,0.268985
881.3093,0.2715408
883.2377,0.275481
885.1662,0.2807088
887.0947,0.2882935
889.0231,0.2971039
890.9516,0.3051692
892.8801,0.3120431
894.8085,0.317967
896.737,0.3222488
898.6655,0.3227739
900.5939,0.3184332
902.5224,0.309105
904.4509,0.2953343
906.3793,0.2801661
908.3078,0.2673478
910.2363,0.2593504
912.1647,0.2558451
914.0932,0.2545233
916.0217,0.2529907
917.9501,0.2501211
919.8786,0.2460708
921.8071,0.2417466
923.7355,0.2380221
925.664,0.2350797
927.5925,0.2324331
929.5209,0.2293781
931.4494,0.2255159
933.3779,0.22032
935.3063,0.2143481
937.2348,0.2080407
939.1633,0.2016257
941.0917,0.1952703
943.0202,0.189087
944.9487,0.1832861
946.8771,0.1784323
948.8056,0.1746586
950.7341,0.1720518
952.6625,0.1709644
954.591,0.170815
956.5195,0.1707966
958.4479,0.1708789
960.3764,0.1705572
962.3049,0.1694794
964.2333,0.1674204
966.1618,0.1639782
968.0903,0.1586696
970.0187,0.1514676
971.9472,0.1424743
973.8757,0.1317791
975.8041,0.1195062
977.7326,0.1064891
979.6611,0.09488661
981.5895,0.08726729
983.518,0.08418771
985.4465,0.08495333
987.3749,0.08911097
989.3034,0.09608404
991.2319,0.1055995
993.1603,0.1172322
995.0888,0.1296442
997.0173,0.1421416
998.9457,0.1542134
1000.874,0.1660914
1002.803,0.1782028
1004.731,0.1898924
1006.66,0.1999125
1008.588,0.2070546
1010.517,0.2110578
1012.445,0.2118552
1014.373,0.2095532
1016.302,0.2043968
1018.23,0.1980024
1020.159,0.1920225
1022.087,0.1872324
1024.016,0.1840242
1025.944,0.1806903
1027.873,0.1749873
1029.801,0.1665231
1031.73,0.1565325
1033.658,0.1463652
1035.587,0.1382815
1037.515,0.1339296
1039.443,0.1326419
1041.372,0.1328625
1043.3,0.1336922
1045.229,0.1351766
1047.157,0.1377728
1049.086,0.1420562
1051.014,0.1485718
1052.943,0.156456
1054.871,0.1645412
1056.8,0.1709782
1058.728,0.1741757
1060.657,0.1733932
1062.585,0.1686982
1064.514,0.161229
1066.442,0.1525876
1068.37,0.1434171
1070.299,0.1345577
1072.227,0.1264652
1074.156,0.1188683
1076.084,0.1118617
1078.013,0.1058824
1079.941,0.1009687
1081.87,0.09700119
1083.798,0.09412374
1085.727,0.09207751
1087.655,0.09039699
1089.584,0.08892048
1091.512,0.08735709
1093.441,0.08536581
1095.369,0.08288658
1097.297,0.08003526
1099.226,0.07703934
1101.154,0.07371341
1103.083,0.0700829
1105.011,0.06633496
1106.94,0.06238445
1108.868,0.05839331
1110.797,0.05474244
1112.725,0.05101226
1114.654,0.04694754
1116.582,0.043001
1118.511,0.03918304
1120.439,0.03540867
1122.368,0.03201781
1124.296,0.02888897
1126.224,0.02589142
1128.153,0.02304495
1130.081,0.02044838
1132.01,0.01820404
1133.938,0.01632494
1135.867,0.0148604
1137.795,0.01387264
1139.724,0.01318277
1141.652,0.01245463
1143.581,0.01187841
1145.509,0.01148439
1147.438,0.01107345
1149.366,0.01076909
1151.295,0.01065393
1153.223,0.01042483
1155.151,0.01015253
1157.08,0.01001796
1159.008,0.009960487
1160.937,0.009847787
1162.865,0.009645022
1164.794,0.009624337
1166.722,0.009664322
1168.651,0.009416328
1170.579,0.00904101
1172.508,0.008850141
1174.436,0.008843536
1176.365,0.008770202
1178.293,0.008559152
1180.222,0.008466791
1182.15,0.008401058
1184.078,0.008247282
1186.007,0.008097087
1187.935,0.00786457
1189.864,0.007656453
1191.792,0.007546279
1193.721,0.007421521
1195.649,0.007316412
1197.578,0.007186526
1199.506,0.007153443
1201.435,0.006998048
1203.363,0.006817685
1205.292,0.006861047
1207.22,0.006872095
1209.149,0.006753024
1211.077,0.006607897
1213.005,0.006416715
1214.934,0.006260936
1216.862,0.006284199
1218.791,0.00622526
1220.719,0.006027828
1222.648,0.00579644
1224.576,0.00573175
1226.505,0.005710662
1228.433,0.005629756
1230.362,0.005584206
1232.29,0.005551699
1234.219,0.005477292
1236.147,0.005393705
1238.076,0.005287613
1240.004,0.005212833
1241.932,0.005197541
