x,y
374.1225,0.2596892
376.051,0.254858
377.9795,0.2317703
379.9079,0.2309626
381.8364,0.239944
383.7649,0.2270267
385.6933,0.2288879
387.6218,0.2278715
389.5503,0.2251073
391.4787,0.223505
393.4072,0.2262891
395.3357,0.2265645
397.2641,0.2305068
399.1926,0.2313079
401.1211,0.2306901
403.0495,0.2290973
404.978,0.2292058
406.9065,0.2299358
408.8349,0.2286801
410.7634,0.2250185
412.6919,0.2191228
414.6203,0.2147535
416.5488,0.2155192
418.4773,0.2106063
420.4057,0.2023369
422.3342,0.1966746
424.2627,0.1942915
426.1911,0.1900352
428.1196,0.1867233
430.0481,0.1857975
431.9765,0.1849614
433.905,0.1841167
435.8335,0.1836651
437.7619,0.1845036
439.6904,0.1865137
441.6189,0.1887907
443.5473,0.1914437
445.4758,0.1949551
447.4043,0.1993885
449.3327,0.2032934
451.2612,0.206069
453.1897,0.2094948
455.1181,0.2142949
457.0466,0.2171495
458.9751,0.2197729
460.9035,0.2228002
462.832,0.2246717
464.7605,0.2254303
466.6889,0.2269457
468.6174,0.2261695
470.5459,0.2254021
472.4743,0.2251929
474.4028,0.2231265
476.3313,0.2207184
478.2597,0.2183525
480.1882,0.2153244
482.1167,0.2116928
484.0451,0.2079756
485.9736,0.2039309
487.9021,0.1995596
489.8305,0.195149
491.759,0.1912273
493.6875,0.1874535
495.6159,0.1824859
497.5444,0.177792
499.4729,0.1736197
501.4013,0.1700028
503.3298,0.1671558
505.2583,0.1649247
507.1867,0.1623618
509.1152,0.1587971
511.0437,0.1565837
512.9721,0.1541397
514.9006,0.1518505
516.829,0.1497617
518.7575,0.1478731
520.686,0.1478486
522.6144,0.1491132
524.5429,0.1507142
526.4714,0.1527878
528.3998,0.15489
530.3283,0.1564135
532.2568,0.1568163
534.1852,0.1566846
536.1137,0.1554059
538.0422,0.1521926
539.9706,0.1483901
541.8991,0.1447175
543.8276,0.1408607
545.756,0.1367648
547.6845,0.1332492
549.613,0.1302377
551.5414,0.127002
553.4699,0.1235829
555.3984,0.1206074
557.3268,0.1178893
559.2553,0.1147798
561.1838,0.1116102
563.1122,0.1087856
565.0407,0.106504
