x,y
399.1926,0.2015167
401.1211,0.2052318
403.0495,0.2047319
404.978,0.2058369
406.9065,0.21125
408.8349,0.2130161
410.7634,0.2142757
412.6919,0.2211238
414.6203,0.221147
416.5488,0.2179982
418.4773,0.2205337
420.4057,0.221468
422.3342,0.218479
424.2627,0.2163999
426.1911,0.2149148
428.1196,0.2133357
430.0481,0.211463
431.9765,0.2113229
433.905,0.2127877
435.8335,0.2132042
437.7619,0.2138001
439.6904,0.2151652
441.6189,0.218849
443.5473,0.2219564
445.4758,0.2248593
447.4043,0.2250499
449.3327,0.2247937
451.2612,0.2251084
453.1897,0.2261383
455.1181,0.2256935
457.0466,0.2244551
458.9751,0.2242125
460.9035,0.2258234
462.832,0.2255654
464.7605,0.2247438
466.6889,0.2255393
468.6174,0.227278
470.5459,0.227358
472.4743,0.2266298
474.4028,0.2282009
476.3313,0.2302523
478.2597,0.2323746
480.1882,0.2341271
482.1167,0.2344557
484.0451,0.234976
485.9736,0.2357848
487.9021,0.2359488
489.8305,0.2345303
491.759,0.2324247
493.6875,0.2311699
495.6159,0.2295296
497.5444,0.2271518
499.4729,0.2248008
501.4013,0.2224327
503.3298,0.2199156
505.2583,0.2175613
507.1867,0.2140554
509.1152,0.2082939
511.0437,0.2038253
512.9721,0.1999914
514.9006,0.1941813
516.829,0.1889558
518.7575,0.1844745
520.686,0.1791703
522.6144,0.1744713
524.5429,0.1703492
526.4714,0.1663773
528.3998,0.1627671
530.3283,0.1594268
532.2568,0.1563884
534.1852,0.1541023
536.1137,0.1524583
538.0422,0.1500819
539.9706,0.1477234
541.8991,0.1462957
543.8276,0.1448519
545.756,0.1436792
547.6845,0.1434229
549.613,0.1430429
551.5414,0.1427123
553.4699,0.1430183
555.3984,0.1430899
557.3268,0.1432499
559.2553,0.1440346
561.1838,0.1448696
563.1122,0.1456703
565.0407,0.1459232
566.9692,0.1460361
568.8976,0.145531
570.8261,0.144589
572.7546,0.1432694
574.683,0.1419335
576.6115,0.140009
578.54,0.1381111
580.4684,0.1361152
582.3969,0.1334606
584.3254,0.1306416
586.2538,0.1282009
588.1823,0.1258255
590.1108,0.1230135
592.0392,0.120435
593.9677,0.1181423
595.8962,0.1161274
597.8246,0.1146306
599.7531,0.1135014
601.6816,0.1128058
603.61,0.1125982
605.5385,0.1124724
607.467,0.112261
609.3954,0.1113668
611.3239,0.1100505
613.2524,0.1082116
615.1808,0.105724
617.1093,0.1029023
619.0378,0.09990268
620.9662,0.0966885
622.8947,0.0934148
624.8232,0.0901721
626.7516,0.08744525
628.6801,0.08535999
630.6086,0.08373167
632.537,0.08228082
634.4655,0.08077333
636.394,0.07867771
638.3224,0.076586
640.2509,0.07539035
642.1794,0.07525253
644.1078,0.07630681
646.0363,0.07746498
647.9648,0.07874137
649.8932,0.07995299
651.8217,0.08034002
653.7502,0.08044092
655.6786,0.08029834
657.6071,0.07976628
659.5356,0.07947792
661.4641,0.0795335
663.3925,0.07972577
665.321,0.07983501
667.2495,0.0801269
669.1779,0.08028378
671.1064,0.08023759
673.0349,0.08042053
674.9633,0.0810511
676.8918,0.08140426
678.8203,0.08162773
680.7487,0.08193086
682.6772,0.08220805
684.6057,0.08265449
686.5341,0.08325921
688.4626,0.08394264
690.3911,0.08496544
692.3195,0.08665092
694.248,0.08888382
696.1765,0.09161376
698.1049,0.0947371
700.0334,0.09787769
701.9619,0.1007434
703.8903,0.1033421
705.8188,0.1052938
707.7473,0.1063573
709.6757,0.1068512
711.6042,0.1067582
713.5327,0.1058729
715.4611,0.1043339
717.3896,0.1022662
719.3181,0.09919796
721.2465,0.09533081
723.175,0.0912507
725.1035,0.08722048
727.0319,0.08328921
728.9604,0.07963525
730.8889,0.07660548
732.8173,0.07427988
734.7458,0.07244902
