x,y
399.1926,0.02929248
401.1211,0.02794897
403.0495,0.02805724
404.978,0.02664092
406.9065,0.02585328
408.8349,0.02518544
410.7634,0.02297924
412.6919,0.02090123
414.6203,0.02125795
416.5488,0.02136978
418.4773,0.02157803
420.4057,0.02137701
422.3342,0.01945737
424.2627,0.01832949
426.1911,0.0187797
428.1196,0.01794224
430.0481,0.01688703
431.9765,0.01652396
433.905,0.01710748
435.8335,0.01675637
437.7619,0.01695796
439.6904,0.01792089
441.6189,0.0183986
443.5473,0.01762907
445.4758,0.01706219
447.4043,0.01603916
449.3327,0.0148404
451.2612,0.01429628
453.1897,0.01446595
455.1181,0.01556167
457.0466,0.0164582
458.9751,0.01597475
460.9035,0.01514123
462.832,0.01471591
464.7605,0.01569924
466.6889,0.0187455
468.6174,0.02346878
470.5459,0.02894287
472.4743,0.03354149
474.4028,0.03595276
476.3313,0.0362785
478.2597,0.03321419
480.1882,0.02877041
482.1167,0.02516595
484.0451,0.0224011
485.9736,0.02008729
487.9021,0.01859157
489.8305,0.01755172
491.759,0.01683745
493.6875,0.01593331
495.6159,0.01521202
497.5444,0.01471256
499.4729,0.01444932
501.4013,0.01408233
503.3298,0.01362105
505.2583,0.01360281
507.1867,0.01374451
509.1152,0.01346603
511.0437,0.01337287
512.9721,0.01319568
514.9006,0.01274244
516.829,0.01268417
518.7575,0.01276589
520.686,0.01246278
522.6144,0.01221291
524.5429,0.01239555
526.4714,0.01286262
528.3998,0.01284365
530.3283,0.01274785
532.2568,0.01233999
534.1852,0.0124527
536.1137,0.01266977
538.0422,0.01274045
539.9706,0.01292223
541.8991,0.01297203
543.8276,0.01296141
545.756,0.01318149
547.6845,0.01364242
549.613,0.01389334
551.5414,0.01396942
553.4699,0.01434814
555.3984,0.01487216
557.3268,0.01506676
559.2553,0.01500116
561.1838,0.01495509
563.1122,0.01537362
565.0407,0.01591363
566.9692,0.01648175
568.8976,0.0167866
570.8261,0.01705845
572.7546,0.01771984
574.683,0.01884919
576.6115,0.01952187
578.54,0.02045048
580.4684,0.02136545
582.3969,0.02233308
584.3254,0.02364179
586.2538,0.02547925
588.1823,0.02771996
590.1108,0.03010622
592.0392,0.03330693
593.9677,0.03753881
595.8962,0.04322271
597.8246,0.05140463
599.7531,0.06308332
601.6816,0.07909077
603.61,0.1003237
605.5385,0.1253946
607.467,0.147589
609.3954,0.1523191
611.3239,0.1326931
613.2524,0.1054729
615.1808,0.08958166
617.1093,0.08256839
619.0378,0.07185312
620.9662,0.05878945
622.8947,0.05177822
624.8232,0.0526739
626.7516,0.0612698
628.6801,0.07756842
630.6086,0.09661153
632.537,0.1078626
634.4655,0.108274
636.394,0.09989639
638.3224,0.08510703
640.2509,0.06658711
642.1794,0.04838129
644.1078,0.03726402
646.0363,0.03357296
647.9648,0.03512447
649.8932,0.03999026
651.8217,0.04734091
653.7502,0.05952426
655.6786,0.07746471
657.6071,0.08892885
659.5356,0.08180026
661.4641,0.06496718
663.3925,0.04873003
665.321,0.0354981
667.2495,0.0264925
669.1779,0.02096794
