x,y
399.1926,0.04181489
401.1211,0.04187331
403.0495,0.04394244
404.978,0.04395163
406.9065,0.04629355
408.8349,0.05088817
410.7634,0.05285553
412.6919,0.05491212
414.6203,0.05859977
416.5488,0.06184272
418.4773,0.06554583
420.4057,0.07033599
422.3342,0.07551134
424.2627,0.08114466
426.1911,0.08619306
428.1196,0.09208972
430.0481,0.09928477
431.9765,0.1066454
433.905,0.1142594
435.8335,0.1216951
437.7619,0.1300831
439.6904,0.1375905
441.6189,0.1448043
443.5473,0.1513168
445.4758,0.1568358
447.4043,0.162439
449.3327,0.1677286
451.2612,0.1727392
453.1897,0.1788505
455.1181,0.1865945
457.0466,0.1934207
458.9751,0.1991403
460.9035,0.2037677
462.832,0.2059314
464.7605,0.2075058
466.6889,0.2074074
468.6174,0.2047226
470.5459,0.2001888
472.4743,0.1947532
474.4028,0.1892849
476.3313,0.1836897
478.2597,0.1776122
480.1882,0.1728319
482.1167,0.1687819
484.0451,0.1655859
485.9736,0.1631929
487.9021,0.1622161
489.8305,0.1612989
491.759,0.1598249
493.6875,0.1589799
495.6159,0.1580923
497.5444,0.1563057
499.4729,0.1542349
501.4013,0.1513347
503.3298,0.1480619
505.2583,0.1442225
507.1867,0.1399453
509.1152,0.135471
511.0437,0.1308691
512.9721,0.1255152
514.9006,0.1196184
516.829,0.1142403
518.7575,0.1093623
520.686,0.1040907
522.6144,0.09873983
524.5429,0.09403896
526.4714,0.09032261
528.3998,0.08689815
530.3283,0.08400353
532.2568,0.08193679
534.1852,0.08120595
536.1137,0.08189442
538.0422,0.08373157
539.9706,0.08623216
541.8991,0.08926439
543.8276,0.09302206
545.756,0.09692023
547.6845,0.1002169
549.613,0.1027792
551.5414,0.1053053
553.4699,0.1072733
555.3984,0.1080974
557.3268,0.1083789
559.2553,0.1078184
561.1838,0.1066773
563.1122,0.1056814
565.0407,0.1040386
566.9692,0.1016928
568.8976,0.09862984
570.8261,0.09457494
572.7546,0.09036443
574.683,0.0863817
576.6115,0.08194229
578.54,0.07762485
580.4684,0.07313383
582.3969,0.06818889
584.3254,0.06333534
586.2538,0.05888164
588.1823,0.05508312
590.1108,0.05095399
592.0392,0.04695669
593.9677,0.04355716
595.8962,0.04034568
597.8246,0.03762196
599.7531,0.03537454
601.6816,0.03346074
603.61,0.03223791
605.5385,0.03148559
607.467,0.03084567
609.3954,0.03009344
611.3239,0.02956018
613.2524,0.02920145
615.1808,0.02897814
617.1093,0.02848276
619.0378,0.02807934
620.9662,0.02775479
622.8947,0.02731489
624.8232,0.02709321
626.7516,0.02701387
628.6801,0.0268382
630.6086,0.02663971
632.537,0.02676144
634.4655,0.02701062
636.394,0.02719494
638.3224,0.02734227
640.2509,0.02755869
642.1794,0.02776513
644.1078,0.02809316
646.0363,0.02827129
647.9648,0.0283696
649.8932,0.02868345
651.8217,0.02921496
653.7502,0.02969515
655.6786,0.02995883
657.6071,0.03008309
659.5356,0.03059887
661.4641,0.03120165
663.3925,0.03151509
665.321,0.03179543
667.2495,0.03239613
669.1779,0.03283519
671.1064,0.03309572
673.0349,0.03344097
674.9633,0.03416286
676.8918,0.03465391
678.8203,0.03484757
680.7487,0.03515112
682.6772,0.03562025
684.6057,0.03620605
686.5341,0.03663028
688.4626,0.03711163
690.3911,0.03780079
692.3195,0.03823557
694.248,0.03886205
696.1765,0.0395277
698.1049,0.04028876
700.0334,0.04113133
701.9619,0.04196145
703.8903,0.0427526
705.8188,0.04353708
707.7473,0.04430123
709.6757,0.0452178
711.6042,0.04618235
713.5327,0.04709971
715.4611,0.04805171
717.3896,0.04929849
719.3181,0.05032629
721.2465,0.05132546
723.175,0.05263201
725.1035,0.05402884
727.0319,0.0554767
728.9604,0.05689429
730.8889,0.05826849
732.8173,0.05972245
734.7458,0.06123434
736.6743,0.06267159
738.6027,0.06418038
740.5312,0.06579574
742.4597,0.0674218
744.3881,0.06938103
746.3166,0.0713305
748.2451,0.07329969
750.1735,0.07547937
752.102,0.07743932
754.0305,0.07961644
755.9589,0.08208169
757.8874,0.08469273
759.8159,0.08735058
761.7443,0.08991471
763.6728,0.09264244
765.6013,0.09565923
767.5297,0.09890963
769.4582,0.1020941
771.3867,0.1053483
773.3151,0.1086779
775.2436,0.1122867
777.1721,0.116027
779.1005,0.1197119
781.029,0.1236071
782.9575,0.1277339
784.8859,0.1319368
786.8144,0.1362299
788.7429,0.1407829
790.6713,0.1456034
792.5998,0.150316
794.5283,0.1551694
796.4567,0.1602601
798.3852,0.1655151
800.3137,0.1709305
802.2421,0.1763357
804.1706,0.1819431
806.0991,0.1879062
808.0275,0.1941754
809.956,0.200367
811.8845,0.2067594
813.8129,0.2134921
815.7414,0.2203353
817.6699,0.2273898
819.5983,0.2344345
821.5268,0.2411429
823.4553,0.2462121
825.3837,0.2475614
827.3122,0.24211
829.2407,0.2279762
831.1691,0.2083436
833.0976,0.1931932
835.0261,0.1901132
836.9545,0.1976855
838.883,0.2099971
840.8115,0.2229464
842.7399,0.2350552
844.6684,0.2458845
846.5969,0.2550634
848.5253,0.2628355
850.4538,0.269431
852.3823,0.2745493
854.3107,0.2777695
856.2392,0.2801199
858.1677,0.2816615
860.0961,0.2820892
862.0246,0.2812267
863.9531,0.2791517
865.8815,0.276135
867.81,0.2721789
869.7385,0.2673237
871.6669,0.2618406
873.5954,0.255831
875.5239,0.2495222
877.4523,0.2429794
879.3808,0.2361531
881.3093,0.2293546
883.2377,0.2227194
885.1662,0.2163803
887.0947,0.2105428
889.0231,0.2050365
890.9516,0.1994235
892.8801,0.1938663
894.8085,0.1891484
896.737,0.1850971
898.6655,0.1810491
900.5939,0.1771162
902.5224,0.1736271
904.4509,0.1706267
906.3793,0.1677841
908.3078,0.1649496
910.2363,0.1622184
912.1647,0.1588971
914.0932,0.1543952
916.0217,0.1487602
917.9501,0.1417527
919.8786,0.1329082
921.8071,0.122516
923.7355,0.1122651
925.664,0.1051817
927.5925,0.1032568
929.5209,0.106149
931.4494,0.1126043
933.3779,0.1221017
935.3063,0.1339023
937.2348,0.1472203
939.1633,0.1596091
941.0917,0.1669227
943.0202,0.1663591
944.9487,0.159321
946.8771,0.148818
948.8056,0.1375662
950.7341,0.1272006
952.6625,0.1186264
954.591,0.112023
956.5195,0.107605
958.4479,0.1046107
960.3764,0.1025126
962.3049,0.1008155
964.2333,0.09911207
966.1618,0.09718972
968.0903,0.09522541
970.0187,0.09293689
971.9472,0.09040023
973.8757,0.08783536
975.8041,0.08520564
977.7326,0.08230042
979.6611,0.07922849
981.5895,0.0763093
983.518,0.07349546
985.4465,0.07049439
987.3749,0.06749687
989.3034,0.06461978
991.2319,0.06176507
993.1603,0.0588626
995.0888,0.05602304
997.0173,0.05340908
998.9457,0.0507312
1000.874,0.04796278
1002.803,0.04531538
1004.731,0.04273397
1006.66,0.04050386
1008.588,0.03829265
1010.517,0.03608385
1012.445,0.03393437
1014.373,0.0321213
1016.302,0.03048941
1018.23,0.02893527
1020.159,0.02753222
1022.087,0.0263976
1024.016,0.02549096
1025.944,0.02484418
1027.873,0.02427294
1029.801,0.02373373
1031.73,0.02316699
1033.658,0.0226157
1035.587,0.02210701
1037.515,0.02165469
1039.443,0.02114174
1041.372,0.02055386
1043.3,0.02012198
1045.229,0.0198625
1047.157,0.01952649
1049.086,0.01910791
1051.014,0.01872207
1052.943,0.0182902
1054.871,0.01771977
1056.8,0.01738903
1058.728,0.01701328
1060.657,0.01664205
1062.585,0.01618773
1064.514,0.01566345
1066.442,0.01517992
1068.37,0.01498675
1070.299,0.01490884
1072.227,0.01462134
1074.156,0.0143036
1076.084,0.01403852
1078.013,0.01383361
1079.941,0.01377076
1081.87,0.01354307
1083.798,0.01335052
1085.727,0.01304767
1087.655,0.01271331
1089.584,0.01252806
1091.512,0.0123507
1093.441,0.01205104
1095.369,0.01184597
1097.297,0.01169983
1099.226,0.01161208
1101.154,0.01146665
1103.083,0.01131724
