x,y
399.1926,0.225356
401.1211,0.2293184
403.0495,0.2292568
404.978,0.2309805
406.9065,0.2356372
408.8349,0.2339051
410.7634,0.233837
412.6919,0.2386349
414.6203,0.2393338
416.5488,0.2403335
418.4773,0.2430889
420.4057,0.2445608
422.3342,0.246525
424.2627,0.2493488
426.1911,0.2526152
428.1196,0.2535184
430.0481,0.2530021
431.9765,0.251739
433.905,0.2535883
435.8335,0.2569441
437.7619,0.2593962
439.6904,0.2608195
441.6189,0.2613597
443.5473,0.2618691
445.4758,0.2634982
447.4043,0.2668529
449.3327,0.2677591
451.2612,0.2679716
453.1897,0.2706667
455.1181,0.2722549
457.0466,0.2721879
458.9751,0.2742052
460.9035,0.2755422
462.832,0.2766004
464.7605,0.279477
466.6889,0.2823795
468.6174,0.2828772
470.5459,0.2826585
472.4743,0.2837078
474.4028,0.2830161
476.3313,0.2796057
478.2597,0.274461
480.1882,0.2697797
482.1167,0.2669893
484.0451,0.2649616
485.9736,0.2645718
487.9021,0.2651066
489.8305,0.2645255
491.759,0.2619073
493.6875,0.2599953
495.6159,0.2577519
497.5444,0.2580893
499.4729,0.2577808
501.4013,0.2580904
503.3298,0.2599168
505.2583,0.2628054
507.1867,0.2666196
509.1152,0.2670912
511.0437,0.2689171
512.9721,0.2722704
514.9006,0.2734752
516.829,0.2750198
518.7575,0.2776675
520.686,0.2796218
522.6144,0.280549
524.5429,0.2822745
526.4714,0.2840935
528.3998,0.285194
530.3283,0.2866931
532.2568,0.2872975
534.1852,0.2883543
536.1137,0.2905597
538.0422,0.2921107
539.9706,0.293249
541.8991,0.2961587
543.8276,0.2978175
545.756,0.2976009
547.6845,0.2997563
549.613,0.3008551
551.5414,0.3022676
553.4699,0.3047151
555.3984,0.3055588
557.3268,0.306109
559.2553,0.3066946
561.1838,0.3076311
563.1122,0.3085235
565.0407,0.3095004
566.9692,0.3110577
568.8976,0.3122399
570.8261,0.3137811
572.7546,0.3145238
574.683,0.3168028
576.6115,0.3177047
578.54,0.3191567
580.4684,0.3199221
582.3969,0.3213026
584.3254,0.3216564
586.2538,0.3229988
588.1823,0.324267
590.1108,0.3249297
592.0392,0.3261363
593.9677,0.3272563
595.8962,0.3286389
597.8246,0.3294429
599.7531,0.3299138
601.6816,0.3302672
603.61,0.3319779
605.5385,0.3340441
607.467,0.3346414
609.3954,0.334022
611.3239,0.3356667
613.2524,0.3371405
615.1808,0.3380739
617.1093,0.3391464
619.0378,0.3398556
620.9662,0.3404246
622.8947,0.3417363
624.8232,0.3428243
626.7516,0.3440666
628.6801,0.345434
630.6086,0.3462582
632.537,0.3468309
634.4655,0.34784
636.394,0.3491746
638.3224,0.3503324
640.2509,0.3514563
642.1794,0.3519776
644.1078,0.3529701
646.0363,0.353937
647.9648,0.3549784
649.8932,0.356057
651.8217,0.3566504
653.7502,0.3569487
655.6786,0.3583824
657.6071,0.3596892
659.5356,0.3603404
661.4641,0.3618306
663.3925,0.3630629
665.321,0.3644757
667.2495,0.366167
669.1779,0.3667934
671.1064,0.3671981
673.0349,0.368046
674.9633,0.369499
676.8918,0.3708403
678.8203,0.3717007
680.7487,0.372777
682.6772,0.3735925
684.6057,0.3746844
686.5341,0.3762479
688.4626,0.3773385
690.3911,0.37854
692.3195,0.3804856
694.248,0.3816627
696.1765,0.3827522
698.1049,0.3841752
700.0334,0.3860399
701.9619,0.3865522
703.8903,0.3883527
705.8188,0.3898202
707.7473,0.3902626
709.6757,0.3910248
711.6042,0.3927117
713.5327,0.3944213
715.4611,0.3955246
717.3896,0.3968135
719.3181,0.3980778
721.2465,0.3988298
723.175,0.4002257
725.1035,0.4023398
727.0319,0.4034777
728.9604,0.4045844
730.8889,0.4052651
732.8173,0.4060895
