x,y
399.1926,0.2958443
401.1211,0.2995196
403.0495,0.3045484
404.978,0.2999073
406.9065,0.2982341
408.8349,0.3038138
410.7634,0.3060755
412.6919,0.3079189
414.6203,0.302042
416.5488,0.2960854
418.4773,0.2977736
420.4057,0.2954353
422.3342,0.2884923
424.2627,0.2838881
426.1911,0.2816643
428.1196,0.2767993
430.0481,0.2671212
431.9765,0.2594742
433.905,0.2548799
435.8335,0.2497554
437.7619,0.246957
439.6904,0.2440113
441.6189,0.2392303
443.5473,0.236136
445.4758,0.2329619
447.4043,0.2305338
449.3327,0.227234
451.2612,0.2239965
453.1897,0.2210927
455.1181,0.2180108
457.0466,0.2143842
458.9751,0.2119835
460.9035,0.2108174
462.832,0.2088871
464.7605,0.2083296
466.6889,0.2113032
468.6174,0.2156573
470.5459,0.2212079
472.4743,0.2302169
474.4028,0.2421768
476.3313,0.2548093
478.2597,0.2665252
480.1882,0.2747701
482.1167,0.2769201
484.0451,0.2729591
485.9736,0.2643891
487.9021,0.2533067
489.8305,0.2414548
491.759,0.2291312
493.6875,0.2174696
495.6159,0.2075364
497.5444,0.1986564
499.4729,0.190207
501.4013,0.182977
503.3298,0.1769132
505.2583,0.1717228
507.1867,0.1664137
509.1152,0.1603436
511.0437,0.1558349
512.9721,0.1518224
514.9006,0.1474098
516.829,0.1438173
518.7575,0.1407735
520.686,0.137826
522.6144,0.1343158
524.5429,0.1310526
526.4714,0.1290193
528.3998,0.1266122
530.3283,0.1242947
532.2568,0.1216677
534.1852,0.1190942
536.1137,0.1169109
538.0422,0.1148212
539.9706,0.1132616
541.8991,0.1122635
543.8276,0.111032
545.756,0.1095155
547.6845,0.1086645
549.613,0.1086859
551.5414,0.1088421
553.4699,0.1088443
555.3984,0.1089767
557.3268,0.1095608
559.2553,0.110163
561.1838,0.1108152
563.1122,0.1120167
565.0407,0.1134819
566.9692,0.115031
568.8976,0.1166465
570.8261,0.1180896
572.7546,0.1194287
574.683,0.1212277
576.6115,0.1228538
578.54,0.1248266
580.4684,0.1266071
582.3969,0.1278829
584.3254,0.1287377
586.2538,0.1296475
588.1823,0.1304182
590.1108,0.1304037
592.0392,0.1302856
593.9677,0.1299911
595.8962,0.1289466
597.8246,0.1277689
599.7531,0.1265707
601.6816,0.1254099
603.61,0.1245587
605.5385,0.1237221
607.467,0.1231612
609.3954,0.122505
611.3239,0.1222995
613.2524,0.122361
615.1808,0.1225574
617.1093,0.122567
619.0378,0.1227062
620.9662,0.1230824
622.8947,0.1234871
624.8232,0.1240354
626.7516,0.1250317
628.6801,0.1260716
630.6086,0.1270091
632.537,0.1283456
634.4655,0.1299972
636.394,0.1316701
638.3224,0.1333991
640.2509,0.1352717
642.1794,0.137081
644.1078,0.139248
646.0363,0.1414175
647.9648,0.1434129
649.8932,0.1453987
651.8217,0.1475584
653.7502,0.1497999
655.6786,0.1521224
657.6071,0.1545721
659.5356,0.1570098
661.4641,0.1590356
663.3925,0.1607245
665.321,0.1620013
667.2495,0.1626992
669.1779,0.1622228
671.1064,0.1605356
673.0349,0.1578493
674.9633,0.154524
676.8918,0.1502044
678.8203,0.1447513
680.7487,0.138886
682.6772,0.1332702
684.6057,0.128468
686.5341,0.1245388
688.4626,0.1214776
690.3911,0.1196103
692.3195,0.1185854
694.248,0.1178372
696.1765,0.1171031
698.1049,0.1165001
700.0334,0.1162988
701.9619,0.1157374
703.8903,0.115242
705.8188,0.1148116
707.7473,0.1144256
709.6757,0.1141857
711.6042,0.114355
713.5327,0.1146706
715.4611,0.1151931
717.3896,0.116187
719.3181,0.1171035
721.2465,0.1181201
723.175,0.119649
725.1035,0.1218164
727.0319,0.1243178
728.9604,0.126605
730.8889,0.1280773
732.8173,0.1281929
734.7458,0.1272993
736.6743,0.1264409
738.6027,0.1263133
740.5312,0.1267772
742.4597,0.1274699
744.3881,0.1284786
746.3166,0.1298021
748.2451,0.1311447
750.1735,0.132808
752.102,0.1344363
754.0305,0.1360434
755.9589,0.1377914
757.8874,0.1397054
759.8159,0.142249
761.7443,0.1450833
763.6728,0.1481715
765.6013,0.1518843
767.5297,0.1562683
769.4582,0.1613086
771.3867,0.1668196
773.3151,0.1722062
775.2436,0.1778715
777.1721,0.183244
779.1005,0.1874209
781.029,0.1903471
782.9575,0.1921909
784.8859,0.1928694
786.8144,0.1927238
788.7429,0.1924809
790.6713,0.1927821
792.5998,0.1940489
794.5283,0.1964256
796.4567,0.2000671
798.3852,0.2051866
800.3137,0.2117323
802.2421,0.2195827
804.1706,0.229401
806.0991,0.2406726
808.0275,0.2521853
809.956,0.2628568
811.8845,0.2718474
813.8129,0.27788
815.7414,0.2798329
817.6699,0.277347
819.5983,0.2705726
821.5268,0.2609054
823.4553,0.2495824
825.3837,0.2380502
827.3122,0.2276553
829.2407,0.2195195
831.1691,0.2143879
833.0976,0.2125467
835.0261,0.2142914
836.9545,0.2192483
838.883,0.2274067
840.8115,0.2374981
842.7399,0.247632
844.6684,0.2559358
846.5969,0.2602506
848.5253,0.26059
850.4538,0.2579252
852.3823,0.2528836
854.3107,0.2465794
856.2392,0.2405547
858.1677,0.2362381
860.0961,0.2328918
862.0246,0.2302097
863.9531,0.2290967
865.8815,0.2299087
867.81,0.2320417
869.7385,0.2352792
871.6669,0.2397449
873.5954,0.2450394
875.5239,0.2511954
877.4523,0.2585617
879.3808,0.2671281
881.3093,0.276638
883.2377,0.2867599
885.1662,0.297685
887.0947,0.3091399
889.0231,0.3208836
890.9516,0.3331343
892.8801,0.3458744
894.8085,0.358945
896.737,0.3721017
898.6655,0.3856491
900.5939,0.3993852
902.5224,0.4130934
904.4509,0.426891
906.3793,0.4402921
908.3078,0.4528784
910.2363,0.4650725
912.1647,0.4767156
914.0932,0.4873659
916.0217,0.4977987
917.9501,0.5073253
919.8786,0.5157634
921.8071,0.5236628
923.7355,0.5305685
925.664,0.5368515
927.5925,0.5422164
929.5209,0.5463886
931.4494,0.5498994
933.3779,0.5528117
935.3063,0.5546134
937.2348,0.5560985
939.1633,0.5574895
941.0917,0.5584559
943.0202,0.5588893
944.9487,0.5594184
946.8771,0.5594922
948.8056,0.5592062
950.7341,0.5586365
952.6625,0.5575084
954.591,0.5562426
956.5195,0.5547011
958.4479,0.5517923
960.3764,0.5484941
962.3049,0.5451402
964.2333,0.5410445
966.1618,0.5368585
968.0903,0.5325915
970.0187,0.5279031
971.9472,0.5233096
973.8757,0.5189584
975.8041,0.5147975
977.7326,0.5109241
979.6611,0.5074084
981.5895,0.5041017
983.518,0.5006684
985.4465,0.4970769
987.3749,0.4928971
989.3034,0.4884408
991.2319,0.4839005
993.1603,0.4785908
995.0888,0.4725612
997.0173,0.4662174
998.9457,0.4596246
1000.874,0.4526112
1002.803,0.4452155
1004.731,0.4375408
1006.66,0.4298069
1008.588,0.4217893
1010.517,0.4134704
1012.445,0.4050126
1014.373,0.3965042
1016.302,0.3879528
1018.23,0.3792029
1020.159,0.3698663
1022.087,0.3601365
1024.016,0.3501385
1025.944,0.339715
1027.873,0.3283811
1029.801,0.3161995
1031.73,0.303208
1033.658,0.2889225
1035.587,0.2736491
1037.515,0.2582101
1039.443,0.2434299
1041.372,0.230028
1043.3,0.218255
1045.229,0.2085922
1047.157,0.201062
1049.086,0.1949916
1051.014,0.1898947
1052.943,0.1855425
1054.871,0.1815906
1056.8,0.1778992
1058.728,0.174302
