x,y
399.1926,0.006114462
401.1211,0.002720095
403.0495,-0.00113724
404.978,-0.002999267
406.9065,-0.002148022
408.8349,0.0007817853
410.7634,0.00231054
412.6919,0.002742941
414.6203,0.004576735
416.5488,0.005889286
418.4773,0.006325077
420.4057,0.006018577
422.3342,0.005434238
424.2627,0.006277801
426.1911,0.007450814
428.1196,0.007933974
430.0481,0.008646904
431.9765,0.008937808
433.905,0.009391284
435.8335,0.01004301
437.7619,0.01146296
439.6904,0.0130466
441.6189,0.01414187
443.5473,0.01505391
445.4758,0.01634308
447.4043,0.0187682
449.3327,0.021255
451.2612,0.02365324
453.1897,0.02651321
455.1181,0.03064525
457.0466,0.03572911
458.9751,0.0411357
460.9035,0.04927307
462.832,0.05973666
464.7605,0.0737854
466.6889,0.09300864
468.6174,0.118174
470.5459,0.1516424
472.4743,0.1929167
474.4028,0.2397674
476.3313,0.2845603
478.2597,0.3150621
480.1882,0.3172903
482.1167,0.2860395
484.0451,0.2408459
485.9736,0.2014661
487.9021,0.1731371
489.8305,0.1497185
491.759,0.1285438
493.6875,0.1085665
495.6159,0.08937694
497.5444,0.07205576
499.4729,0.05689028
501.4013,0.04453299
503.3298,0.03486313
505.2583,0.02774352
507.1867,0.02272527
509.1152,0.01890875
511.0437,0.01625456
512.9721,0.01453514
514.9006,0.01310429
516.829,0.01218332
518.7575,0.01169849
520.686,0.01080463
522.6144,0.01050874
524.5429,0.01052695
526.4714,0.01052612
528.3998,0.01056592
530.3283,0.01050417
532.2568,0.01034758
534.1852,0.01036175
536.1137,0.0102429
538.0422,0.01028161
539.9706,0.01053437
541.8991,0.01082897
543.8276,0.01111603
545.756,0.01147118
547.6845,0.01143085
549.613,0.01108857
551.5414,0.01148186
553.4699,0.01196315
555.3984,0.01167642
557.3268,0.01151063
559.2553,0.01173329
561.1838,0.01189452
563.1122,0.01215833
565.0407,0.01245312
566.9692,0.01273385
568.8976,0.01302035
570.8261,0.0130802
572.7546,0.01329497
574.683,0.01403743
576.6115,0.01442908
578.54,0.01464878
580.4684,0.01515582
582.3969,0.01558424
584.3254,0.01578612
586.2538,0.01580102
588.1823,0.01651878
590.1108,0.01699617
592.0392,0.01740867
593.9677,0.01814646
595.8962,0.01896641
597.8246,0.01967688
599.7531,0.02032703
601.6816,0.02109184
603.61,0.02193846
605.5385,0.02268595
607.467,0.02349475
609.3954,0.02425626
611.3239,0.02517904
613.2524,0.02643389
615.1808,0.02782503
617.1093,0.02916412
619.0378,0.03049961
620.9662,0.03196821
622.8947,0.03356984
624.8232,0.03542486
626.7516,0.03739464
628.6801,0.03933749
630.6086,0.04158125
632.537,0.04427722
634.4655,0.04738654
636.394,0.05073169
638.3224,0.05452819
640.2509,0.05868253
642.1794,0.06362205
644.1078,0.06957747
646.0363,0.07638054
647.9648,0.08424894
649.8932,0.09329271
651.8217,0.1041143
653.7502,0.1172613
655.6786,0.1330931
657.6071,0.1521015
659.5356,0.1735778
661.4641,0.192435
663.3925,0.1981152
665.321,0.1853131
667.2495,0.1670309
669.1779,0.1587889
671.1064,0.1632638
673.0349,0.1761811
674.9633,0.1936561
676.8918,0.2130557
678.8203,0.2338414
680.7487,0.2555192
682.6772,0.2778707
684.6057,0.3008556
686.5341,0.3237377
688.4626,0.3464684
690.3911,0.3686619
692.3195,0.3905412
694.248,0.4118439
696.1765,0.4323671
698.1049,0.451994
700.0334,0.4703118
701.9619,0.4864693
703.8903,0.501054
705.8188,0.5135677
707.7473,0.5218042
709.6757,0.5268129
711.6042,0.5283246
713.5327,0.5252688
715.4611,0.517383
717.3896,0.505519
719.3181,0.490337
721.2465,0.4714231
723.175,0.4502426
725.1035,0.4275752
727.0319,0.4032991
728.9604,0.3788443
730.8889,0.3555358
732.8173,0.3339408
734.7458,0.3147155
736.6743,0.2982614
738.6027,0.283765
740.5312,0.2708081
742.4597,0.2584867
744.3881,0.246239
746.3166,0.2335955
748.2451,0.2213167
750.1735,0.2098569
752.102,0.1984809
754.0305,0.1875832
755.9589,0.1774384
757.8874,0.1680584
759.8159,0.1591908
761.7443,0.1504079
763.6728,0.1422028
765.6013,0.1346589
767.5297,0.1273458
769.4582,0.1201486
771.3867,0.1133079
773.3151,0.106584
775.2436,0.1003259
777.1721,0.0944226
779.1005,0.08861341
781.029,0.08305585
782.9575,0.07751151
784.8859,0.0720353
786.8144,0.06693234
788.7429,0.06212745
790.6713,0.05766182
792.5998,0.05369571
794.5283,0.05032366
796.4567,0.04793917
798.3852,0.04676345
800.3137,0.04635447
802.2421,0.04533558
804.1706,0.04280765
806.0991,0.03879619
808.0275,0.03391186
809.956,0.02901288
811.8845,0.02455149
813.8129,0.02075531
815.7414,0.01738958
817.6699,0.0145146
819.5983,0.01220715
821.5268,0.01034109
823.4553,0.008730243
825.3837,0.007373513
827.3122,0.006214463
829.2407,0.005215816
831.1691,0.004366663
833.0976,0.003773183
835.0261,0.003310156
836.9545,0.00292291
838.883,0.002687268
840.8115,0.002418477
842.7399,0.001991037
844.6684,0.001705051
846.5969,0.001440384
848.5253,0.001181488
850.4538,0.001013917
852.3823,0.0009880952
854.3107,0.0007640215
856.2392,0.0004802281
858.1677,0.0003116878
860.0961,0.0001874244
862.0246,5.924302e-05
863.9531,-0.0001330026
865.8815,-0.0001415019
867.81,-0.0002118578
869.7385,-0.0004492927
871.6669,-0.0004204594
873.5954,-0.0002122287
875.5239,-0.0001054644
877.4523,-0.0002035186
879.3808,-0.000405145
881.3093,-0.0006120667
883.2377,-0.0007820472
885.1662,-0.0009062568
887.0947,-0.0009573455
889.0231,-0.0009878107
890.9516,-0.0009747887
892.8801,-0.001119053
894.8085,-0.001105949
896.737,-0.001027173
898.6655,-0.001101482
900.5939,-0.001247631
902.5224,-0.001349941
904.4509,-0.001433931
906.3793,-0.00140874
908.3078,-0.001513985
910.2363,-0.001548834
912.1647,-0.00154477
914.0932,-0.001568249
916.0217,-0.001411932
917.9501,-0.00128644
919.8786,-0.001407702
921.8071,-0.00158121
923.7355,-0.001613174
925.664,-0.001572978
927.5925,-0.001532351
929.5209,-0.001390907
931.4494,-0.001451734
933.3779,-0.001330903
935.3063,-0.00124873
937.2348,-0.001379424
939.1633,-0.001345263
941.0917,-0.001287695
943.0202,-0.0012661
944.9487,-0.001037989
946.8771,-0.001019891
948.8056,-0.001137513
950.7341,-0.001166464
952.6625,-0.001140657
954.591,-0.001056468
956.5195,-0.0008741647
958.4479,-0.0008781455
960.3764,-0.0008430442
962.3049,-0.0008354454
964.2333,-0.0008345689
966.1618,-0.0008625633
968.0903,-0.0008309603
970.0187,-0.0009746295
971.9472,-0.0009984151
973.8757,-0.0009597031
975.8041,-0.000949248
977.7326,-0.0009351558
979.6611,-0.001009739
981.5895,-0.001073631
983.518,-0.0009692051
985.4465,-0.0009900001
987.3749,-0.001060313
989.3034,-0.001034589
991.2319,-0.0010389
993.1603,-0.001114745
995.0888,-0.001067478
997.0173,-0.0011311
998.9457,-0.001153888
1000.874,-0.001267299
1002.803,-0.001400652
1004.731,-0.00147203
1006.66,-0.001279946
1008.588,-0.001198754
1010.517,-0.00130054
1012.445,-0.001525857
1014.373,-0.001483143
1016.302,-0.001435182
1018.23,-0.001586216
1020.159,-0.001687187
1022.087,-0.001671213
1024.016,-0.001723106
1025.944,-0.001740201
1027.873,-0.001763046
1029.801,-0.001859706
1031.73,-0.001960032
1033.658,-0.001945145
1035.587,-0.001911636
1037.515,-0.00189493
1039.443,-0.001764779
1041.372,-0.001660496
1043.3,-0.00168985
1045.229,-0.001682726
1047.157,-0.001721088
1049.086,-0.001779661
1051.014,-0.001716708
1052.943,-0.00158411
1054.871,-0.001554687
1056.8,-0.001504587
1058.728,-0.001515689
1060.657,-0.001449264
1062.585,-0.001438421
1064.514,-0.001581799
1066.442,-0.001632166
1068.37,-0.001457439
1070.299,-0.001401064
1072.227,-0.001610928
1074.156,-0.001535328
1076.084,-0.001447525
1078.013,-0.001535856
1079.941,-0.001436196
1081.87,-0.001351983
1083.798,-0.001455324
1085.727,-0.001524579
1087.655,-0.001561411
1089.584,-0.001513873
1091.512,-0.001454866
1093.441,-0.001552564
1095.369,-0.001613577
1097.297,-0.001505781
1099.226,-0.001421573
1101.154,-0.001461934
1103.083,-0.001480017
1105.011,-0.001473698
1106.94,-0.001573157
1108.868,-0.00163555
1110.797,-0.001639862
1112.725,-0.001604383
1114.654,-0.001548521
1116.582,-0.001557727
1118.511,-0.001483942
1120.439,-0.001334656
1122.368,-0.001286661
1124.296,-0.001303659
1126.224,-0.001174279
1128.153,-0.001141757
1130.081,-0.001027702
1132.01,-0.001036193
1133.938,-0.001025398
1135.867,-0.0008510026
1137.795,-0.0006210147
1139.724,-0.0005074721
1141.652,-0.0003707983
1143.581,-0.0001125249
1145.509,0.0001039326
1147.438,8.802232e-05
1149.366,-2.578162e-05
1151.295,-0.0001351748
1153.223,-0.0002019423
1155.151,-0.0004048991
1157.08,-0.0005830238
1159.008,-0.0006919618
1160.937,-0.0007039843
1162.865,-0.0008494976
1164.794,-0.001019368
1166.722,-0.001129686
1168.651,-0.001134567
1170.579,-0.001063331
1172.508,-0.001121527
1174.436,-0.001306142
1176.365,-0.001257859
1178.293,-0.001126827
1180.222,-0.00104286
1182.15,-0.00100129
1184.078,-0.0008477994
1186.007,-0.0006036441
1187.935,-0.0003660464
1189.864,-0.0001224001
1191.792,9.336016e-05
1193.721,0.0002293382
1195.649,0.0004455223
1197.578,0.0006475536
1199.506,0.0008291333
1201.435,0.0009683213
1203.363,0.001033514
1205.292,0.001129695
1207.22,0.001364256
1209.149,0.001575754
1211.077,0.001578912
1213.005,0.001576709
1214.934,0.001744744
1216.862,0.001906923
1218.791,0.002057006
1220.719,0.002180912
1222.648,0.002122449
1224.576,0.002062371
1226.505,0.002086589
1228.433,0.001917049
1230.362,0.001796636
1232.29,0.001797322
1234.219,0.001775146
1236.147,0.001638711
1238.076,0.00148028
1240.004,0.001333875
1241.932,0.001204165
1243.861,0.0009474781
1245.789,0.0007485995
1247.718,0.0006056256
1249.646,0.0003669797
1251.575,0.0001328438
1253.503,-1.935433e-05
1255.432,-0.0002434991
1257.36,-0.0004025925
1259.289,-0.000573214
1261.217,-0.0006379586
1263.146,-0.0004934355
1265.074,-0.0004545277
1267.003,-0.0006201702
1268.931,-0.0006782697
1270.859,-0.0007061321
1272.788,-0.0008538416
1274.716,-0.000921256
1276.645,-0.0009244656
1278.573,-0.0009746669
1280.502,-0.00106249
1282.43,-0.001270975
1284.359,-0.001339288
1286.287,-0.00128496
1288.216,-0.001373414
1290.144,-0.001410052
1292.073,-0.001415875
1294.001,-0.001590828
1295.93,-0.001642394
1297.858,-0.001677596
1299.786,-0.001795197
1301.715,-0.001938391
1303.643,-0.002177542
1305.572,-0.002304512
1307.5,-0.002281768
1309.429,-0.002384514
1311.357,-0.002437653
1313.286,-0.002429713
1315.214,-0.002490123
1317.143,-0.00267012
1319.071,-0.002773207
1321.0,-0.002845165
1322.928,-0.002978716
1324.857,-0.003086724
1326.785,-0.003138133
1328.714,-0.003162661
1330.642,-0.00323302
1332.57,-0.003290084
1334.499,-0.003375958
1336.427,-0.003487234
1338.356,-0.003534977
1340.284,-0.003595154
1342.213,-0.003726723
1344.141,-0.003669058
1346.07,-0.003597995
1347.998,-0.003696852
1349.927,-0.003584211
1351.855,-0.003634962
1353.784,-0.003767764
1355.712,-0.003808971
1357.641,-0.003710511
1359.569,-0.003659822
1361.497,-0.003667075
1363.426,-0.003597602
1365.354,-0.003520982
1367.283,-0.00357171
1369.211,-0.003588833
1371.14,-0.003493357
1373.068,-0.003441143
1374.997,-0.003492132
1376.925,-0.003539075
1378.854,-0.003502518
1380.782,-0.003302112
1382.711,-0.0031733
1384.639,-0.003061387
1386.568,-0.002833722
1388.496,-0.002638808
1390.424,-0.002586694
1392.353,-0.002577373
1394.281,-0.002482583
1396.21,-0.002407642
1398.138,-0.002390065
1400.067,-0.002394193
1401.995,-0.002456438
1403.924,-0.002407183
1405.852,-0.002401859
1407.781,-0.002357528
1409.709,-0.00230143
1411.638,-0.00224232
1413.566,-0.00223899
1415.495,-0.002228072
1417.423,-0.001957764
1419.351,-0.001699347
1421.28,-0.001787827
1423.208,-0.001685154
1425.137,-0.001420792
1427.065,-0.001232519
1428.994,-0.001146475
1430.922,-0.0009822686
1432.851,-0.0008076144
1434.779,-0.000528136
1436.708,-0.0003848067
