x,y
399.1926,0.1656607
401.1211,0.1714575
403.0495,0.176881
404.978,0.1826526
406.9065,0.1890013
408.8349,0.1945584
410.7634,0.1983125
412.6919,0.2040283
414.6203,0.2076957
416.5488,0.2105572
418.4773,0.2132335
420.4057,0.2163921
422.3342,0.2206537
424.2627,0.2230722
426.1911,0.2262668
428.1196,0.2303824
430.0481,0.233469
431.9765,0.23625
433.905,0.2391537
435.8335,0.2424607
437.7619,0.2457038
439.6904,0.2479106
441.6189,0.2498496
443.5473,0.2542707
445.4758,0.2569183
447.4043,0.2597248
449.3327,0.2625816
451.2612,0.2654685
453.1897,0.2685867
455.1181,0.2728638
457.0466,0.2737741
458.9751,0.276
460.9035,0.2787937
462.832,0.2803077
464.7605,0.2806333
466.6889,0.2831885
468.6174,0.285933
470.5459,0.2874881
472.4743,0.2901399
474.4028,0.2925058
476.3313,0.2936099
478.2597,0.2941121
480.1882,0.2956827
482.1167,0.2978675
484.0451,0.2992977
485.9736,0.3013697
487.9021,0.3034132
489.8305,0.3059574
491.759,0.3081635
493.6875,0.3104092
495.6159,0.311603
497.5444,0.3139625
499.4729,0.3167358
501.4013,0.3188657
503.3298,0.3201798
505.2583,0.3228241
507.1867,0.3264115
509.1152,0.3258845
511.0437,0.326434
512.9721,0.3280957
514.9006,0.3299729
516.829,0.3317575
518.7575,0.3322727
520.686,0.3335248
522.6144,0.3351229
524.5429,0.3369793
526.4714,0.338229
528.3998,0.3386767
530.3283,0.3405717
532.2568,0.3417391
534.1852,0.3431434
536.1137,0.3455175
538.0422,0.3459733
539.9706,0.3470649
541.8991,0.3492276
543.8276,0.3507133
545.756,0.3511106
547.6845,0.3532588
549.613,0.3555083
551.5414,0.3566906
553.4699,0.3588644
555.3984,0.3601933
557.3268,0.3610828
559.2553,0.3630933
561.1838,0.3640907
563.1122,0.3637708
565.0407,0.3647092
566.9692,0.3663242
568.8976,0.3679435
570.8261,0.3699915
572.7546,0.3709134
574.683,0.3730616
576.6115,0.3743543
578.54,0.3757871
580.4684,0.3764855
582.3969,0.377648
584.3254,0.378328
586.2538,0.3796138
588.1823,0.3809933
590.1108,0.3819152
592.0392,0.3835752
593.9677,0.3853738
595.8962,0.3863027
597.8246,0.3866179
599.7531,0.387547
601.6816,0.3888828
603.61,0.3899526
605.5385,0.3923031
607.467,0.3936749
609.3954,0.3937811
611.3239,0.3951995
613.2524,0.3961694
615.1808,0.3975324
617.1093,0.3987457
619.0378,0.3996706
620.9662,0.4005202
622.8947,0.4016596
