x,y
399.1926,0.133022
401.1211,0.1378374
403.0495,0.1375159
404.978,0.1371514
406.9065,0.1417392
408.8349,0.1430767
410.7634,0.1440292
412.6919,0.1443015
414.6203,0.1420933
416.5488,0.1421288
418.4773,0.1454967
420.4057,0.1473482
422.3342,0.1477404
424.2627,0.1504609
426.1911,0.1546307
428.1196,0.1552459
430.0481,0.1541425
431.9765,0.154644
433.905,0.1536195
435.8335,0.1550016
437.7619,0.1546396
439.6904,0.1526552
441.6189,0.1525335
443.5473,0.1520397
445.4758,0.150613
447.4043,0.1503599
449.3327,0.1491056
451.2612,0.1476384
453.1897,0.147256
455.1181,0.1465276
457.0466,0.1447043
458.9751,0.1436588
460.9035,0.1421501
462.832,0.1396252
464.7605,0.1353695
466.6889,0.1303284
468.6174,0.125129
470.5459,0.1192775
472.4743,0.1133999
474.4028,0.1082183
476.3313,0.1029883
478.2597,0.09738059
480.1882,0.09252258
482.1167,0.08814519
484.0451,0.08420957
485.9736,0.0805992
487.9021,0.07680036
489.8305,0.07297084
491.759,0.06970933
493.6875,0.06699828
495.6159,0.06433524
497.5444,0.06210962
499.4729,0.05988036
501.4013,0.05856775
503.3298,0.05710519
505.2583,0.05554224
507.1867,0.05471002
509.1152,0.05382228
511.0437,0.05374272
512.9721,0.05375904
514.9006,0.05375371
516.829,0.05399898
518.7575,0.05388311
520.686,0.05388812
522.6144,0.05425259
524.5429,0.05495061
526.4714,0.05541936
528.3998,0.0561322
530.3283,0.05702506
532.2568,0.05775647
534.1852,0.0582215
536.1137,0.05889277
538.0422,0.05938224
539.9706,0.06047461
541.8991,0.06180027
543.8276,0.06237685
545.756,0.06266217
547.6845,0.0635335
549.613,0.06443069
551.5414,0.06473751
553.4699,0.06485789
555.3984,0.06494242
557.3268,0.06499281
559.2553,0.06494856
561.1838,0.06496882
563.1122,0.06467734
565.0407,0.0636519
566.9692,0.06245339
568.8976,0.06133791
570.8261,0.06027835
572.7546,0.0589864
574.683,0.05745036
576.6115,0.05501583
578.54,0.05295615
580.4684,0.05123581
582.3969,0.04948223
584.3254,0.04759324
586.2538,0.04588141
588.1823,0.04441446
590.1108,0.04289921
592.0392,0.04164222
593.9677,0.04074268
595.8962,0.03968099
597.8246,0.0385772
599.7531,0.03786367
601.6816,0.03727065
603.61,0.03677389
605.5385,0.03656936
607.467,0.03654171
609.3954,0.03624305
611.3239,0.03598193
613.2524,0.03605772
615.1808,0.03635423
617.1093,0.0365073
619.0378,0.03659576
620.9662,0.03661361
622.8947,0.03674259
624.8232,0.0368857
626.7516,0.03729931
628.6801,0.03796861
630.6086,0.03856247
632.537,0.03878911
634.4655,0.03917942
636.394,0.03968032
638.3224,0.04005677
640.2509,0.04044098
642.1794,0.04026915
644.1078,0.04027665
646.0363,0.04048751
647.9648,0.04046932
649.8932,0.04047763
651.8217,0.04066262
653.7502,0.040816
655.6786,0.04103152
657.6071,0.04133568
659.5356,0.04157038
661.4641,0.04192526
663.3925,0.04230245
665.321,0.04273399
667.2495,0.04328344
669.1779,0.04359679
671.1064,0.04391166
673.0349,0.04436287
674.9633,0.04491789
676.8918,0.04547345
678.8203,0.04576252
680.7487,0.04608965
682.6772,0.04652072
684.6057,0.04675981
686.5341,0.04677264
688.4626,0.04662529
690.3911,0.04683136
692.3195,0.04719694
694.248,0.04714921
696.1765,0.04710767
698.1049,0.04696131
700.0334,0.04681594
701.9619,0.04671901
703.8903,0.04675357
705.8188,0.04665987
707.7473,0.04648644
709.6757,0.04610595
711.6042,0.04572957
713.5327,0.04543709
715.4611,0.04494999
717.3896,0.04459628
719.3181,0.0444022
721.2465,0.04405636
723.175,0.04376473
725.1035,0.0435543
727.0319,0.04324741
728.9604,0.0429669
730.8889,0.04266842
732.8173,0.04230219
734.7458,0.04204791
736.6743,0.04194529
738.6027,0.04168481
740.5312,0.04121098
742.4597,0.04058677
744.3881,0.04017886
746.3166,0.03992329
748.2451,0.03954889
750.1735,0.03904664
752.102,0.03838014
754.0305,0.03794435
755.9589,0.03762073
757.8874,0.0370812
759.8159,0.03671613
761.7443,0.0363835
763.6728,0.03606796
765.6013,0.03584204
767.5297,0.03577763
769.4582,0.03579433
771.3867,0.0358294
773.3151,0.03577048
775.2436,0.0358623
777.1721,0.03602554
779.1005,0.03626759
781.029,0.03658896
782.9575,0.03692098
784.8859,0.03711735
786.8144,0.03724187
788.7429,0.03730231
790.6713,0.03747287
792.5998,0.03757924
794.5283,0.03733831
796.4567,0.03695906
798.3852,0.03639035
800.3137,0.03567905
802.2421,0.03480322
804.1706,0.03378817
806.0991,0.03243738
808.0275,0.03069958
809.956,0.02914177
811.8845,0.02782789
813.8129,0.02632148
815.7414,0.02482869
817.6699,0.02359581
819.5983,0.02278802
821.5268,0.02197051
823.4553,0.02117948
825.3837,0.02057402
827.3122,0.0200348
829.2407,0.01946874
831.1691,0.01916926
833.0976,0.01902934
835.0261,0.01902214
836.9545,0.01882541
838.883,0.01872011
840.8115,0.01885984
842.7399,0.01906289
844.6684,0.01936227
846.5969,0.01942863
848.5253,0.01948123
850.4538,0.0198357
852.3823,0.02020757
854.3107,0.02069853
856.2392,0.02110634
858.1677,0.02153469
860.0961,0.02193883
862.0246,0.02253197
863.9531,0.0230922
865.8815,0.02366707
867.81,0.0243344
869.7385,0.02492811
871.6669,0.02558385
873.5954,0.02636368
875.5239,0.02705669
877.4523,0.02775285
879.3808,0.02848952
881.3093,0.0293667
883.2377,0.03019479
885.1662,0.0310869
887.0947,0.03199609
889.0231,0.03289644
890.9516,0.03388961
892.8801,0.03498684
894.8085,0.03613678
896.737,0.0371693
898.6655,0.03813315
900.5939,0.03914099
902.5224,0.04041361
904.4509,0.04162657
906.3793,0.04272134
908.3078,0.04389727
910.2363,0.04520531
912.1647,0.04661841
914.0932,0.04808431
916.0217,0.04963016
917.9501,0.05127041
919.8786,0.05285634
921.8071,0.05458666
923.7355,0.05656695
925.664,0.0584078
927.5925,0.06028788
929.5209,0.06236702
931.4494,0.06462538
933.3779,0.06690276
935.3063,0.06939463
937.2348,0.07213808
939.1633,0.07490058
941.0917,0.07779434
943.0202,0.08063941
944.9487,0.08345841
946.8771,0.08624349
948.8056,0.08891925
950.7341,0.09163348
952.6625,0.0943766
954.591,0.09703737
956.5195,0.09971752
958.4479,0.1026841
960.3764,0.1058015
962.3049,0.1090996
964.2333,0.11263
966.1618,0.1163897
968.0903,0.1205134
970.0187,0.1250398
971.9472,0.1296953
973.8757,0.134352
975.8041,0.1393215
977.7326,0.1444364
979.6611,0.1497773
981.5895,0.155281
983.518,0.1605827
985.4465,0.1660279
987.3749,0.1716901
989.3034,0.1772648
991.2319,0.1826802
993.1603,0.1880008
995.0888,0.1931858
997.0173,0.1982087
998.9457,0.2029499
1000.874,0.2075127
1002.803,0.2116881
1004.731,0.2156172
1006.66,0.2193557
1008.588,0.2227547
1010.517,0.225829
1012.445,0.2286181
1014.373,0.2310824
1016.302,0.2334474
1018.23,0.2351952
1020.159,0.2366253
1022.087,0.237976
1024.016,0.2390359
1025.944,0.2397814
1027.873,0.2404917
1029.801,0.2406027
1031.73,0.2403737
1033.658,0.2401186
1035.587,0.2395308
1037.515,0.2386426
1039.443,0.2377175
1041.372,0.236651
1043.3,0.235203
1045.229,0.2334274
1047.157,0.2314767
1049.086,0.2293521
1051.014,0.2273364
1052.943,0.225523
1054.871,0.223518
1056.8,0.2210278
1058.728,0.2186808
1060.657,0.2161308
1062.585,0.2130785
1064.514,0.2100728
1066.442,0.2071693
1068.37,0.2041657
1070.299,0.200974
1072.227,0.1975612
1074.156,0.1938876
1076.084,0.1902254
1078.013,0.1864082
1079.941,0.182334
1081.87,0.1781895
1083.798,0.1737815
1085.727,0.169139
1087.655,0.1643849
1089.584,0.1595385
1091.512,0.1545281
1093.441,0.1496131
1095.369,0.1448036
1097.297,0.1399307
1099.226,0.1349841
1101.154,0.1302036
1103.083,0.1256164
1105.011,0.1211772
1106.94,0.116846
1108.868,0.1127589
1110.797,0.1090235
1112.725,0.1053731
1114.654,0.1022538
1116.582,0.09953843
1118.511,0.09709083
1120.439,0.09498856
1122.368,0.09309611
1124.296,0.09141257
1126.224,0.08972598
1128.153,0.08838599
1130.081,0.08707864
1132.01,0.08600899
1133.938,0.08499563
1135.867,0.08392
1137.795,0.08300024
1139.724,0.08212857
1141.652,0.08123345
1143.581,0.08034477
1145.509,0.0794051
1147.438,0.07845289
1149.366,0.07755588
1151.295,0.07656551
1153.223,0.07555338
1155.151,0.07451991
1157.08,0.0735977
1159.008,0.0727194
1160.937,0.0716366
1162.865,0.07062543
1164.794,0.06969737
1166.722,0.06885138
1168.651,0.06796202
1170.579,0.06697468
1172.508,0.06604162
1174.436,0.065184
1176.365,0.06433843
1178.293,0.06354006
1180.222,0.06253613
1182.15,0.06156277
1184.078,0.0608124
1186.007,0.06017001
1187.935,0.0595281
1189.864,0.05887317
1191.792,0.05835277
1193.721,0.0578505
1195.649,0.05718785
1197.578,0.05657335
1199.506,0.05600207
1201.435,0.05544986
1203.363,0.05493232
1205.292,0.05433263
1207.22,0.05376751
1209.149,0.05315888
1211.077,0.05254367
1213.005,0.05177506
1214.934,0.05089128
1216.862,0.04998115
1218.791,0.04891253
1220.719,0.04754066
1222.648,0.04601317
1224.576,0.04445079
1226.505,0.04257997
1228.433,0.04043865
1230.362,0.0380999
1232.29,0.03554286
1234.219,0.03271739
1236.147,0.02972344
1238.076,0.02682278
1240.004,0.02401578
1241.932,0.02127267
1243.861,0.01877902
1245.789,0.01654714
1247.718,0.01460075
1249.646,0.0129562
1251.575,0.01160883
1253.503,0.01039284
1255.432,0.009326068
1257.36,0.008562132
1259.289,0.007827047
1261.217,0.007102806
1263.146,0.00641041
1265.074,0.005879899
1267.003,0.005415548
1268.931,0.004925941
1270.859,0.00461272
1272.788,0.004345214
1274.716,0.004111901
1276.645,0.003835885
1278.573,0.003583584
1280.502,0.003402164
1282.43,0.003152217
1284.359,0.002812782
1286.287,0.002520044
1288.216,0.00244404
1290.144,0.002388076
1292.073,0.002298707
1294.001,0.00224498
1295.93,0.002155653
1297.858,0.00192897
1299.786,0.00165626
1301.715,0.001486293
1303.643,0.001269979
1305.572,0.001152696
1307.5,0.00130814
1309.429,0.001408055
1311.357,0.001286498
1313.286,0.001162903
1315.214,0.001103233
1317.143,0.001081121
1319.071,0.001032097
1321.0,0.0009167353
1322.928,0.0008286657
1324.857,0.0006845283
1326.785,0.000545901
1328.714,0.0005650892
1330.642,0.0005253695
1332.57,0.0004301653
1334.499,0.0004503565
1336.427,0.0003921777
1338.356,0.0004278551
1340.284,0.0003038039
1342.213,0.0001679441
1344.141,0.0002191179
1346.07,0.0002814686
1347.998,0.0002134379
1349.927,0.0001736287
1351.855,7.138881e-05
1353.784,-5.758247e-05
1355.712,-0.0001493568
1357.641,-8.060544e-05
1359.569,7.269513e-06
1361.497,-3.316242e-05
1363.426,-9.30375e-05
1365.354,-0.0001732508
1367.283,-0.0002575233
1369.211,-0.00023959
1371.14,-0.0001499439
1373.068,-7.621961e-05
1374.997,-5.266209e-05
1376.925,-6.931706e-05
1378.854,-7.816581e-05
1380.782,-0.0001109613
1382.711,-0.0002575106
1384.639,-0.0003106751
1386.568,-0.000162018
1388.496,-0.000167829
1390.424,-0.0002231673
1392.353,-0.0002048198
1394.281,-0.0002245188
1396.21,-0.0002267911
1398.138,-0.0001176957
1400.067,8.240659e-06
1401.995,-5.865454e-05
1403.924,-9.424546e-05
1405.852,-0.0001210319
1407.781,-0.0001100233
1409.709,-0.0001175699
1411.638,-0.0002002829
1413.566,-0.0001740728
1415.495,-0.0001478358
1417.423,-0.0001119984
1419.351,-4.549103e-05
1421.28,-0.0001357816
1423.208,-0.000124478
1425.137,-2.018394e-05
1427.065,1.428512e-05
1428.994,0.0001104129
1430.922,0.0001262385
1432.851,5.721423e-05
1434.779,0.0001592647
1436.708,0.0003107542
1438.636,0.000154941
1440.565,0.0001198555
1442.493,0.000141993
1444.422,0.0002205314
1446.35,0.0002843355
1448.278,0.00027971
1450.207,0.000186527
1452.135,0.0001462897
1454.064,0.0003080695
1455.992,0.0006610429
1457.921,0.0005967231
1459.849,0.0003191794
