x,y
374.1225,0.2875549
376.051,0.2875197
377.9795,0.2953937
379.9079,0.2981917
381.8364,0.2892376
383.7649,0.2778189
385.6933,0.2691855
387.6218,0.2695331
389.5503,0.2619935
391.4787,0.2556907
393.4072,0.2499916
395.3357,0.2431725
397.2641,0.2347686
399.1926,0.238752
401.1211,0.2426644
403.0495,0.240195
404.978,0.2441052
406.9065,0.2413816
408.8349,0.2312881
410.7634,0.2241106
412.6919,0.2183819
414.6203,0.2166406
416.5488,0.2173799
418.4773,0.2174074
420.4057,0.2205372
422.3342,0.2258972
424.2627,0.230375
426.1911,0.2319095
428.1196,0.2352924
430.0481,0.2438148
431.9765,0.2538831
433.905,0.2647597
435.8335,0.2739286
437.7619,0.279506
439.6904,0.2865397
441.6189,0.2947658
443.5473,0.3022704
445.4758,0.3082973
447.4043,0.3084402
449.3327,0.3019678
451.2612,0.2962129
453.1897,0.2930047
455.1181,0.2933174
457.0466,0.2940465
458.9751,0.2919086
460.9035,0.2874332
462.832,0.2812038
464.7605,0.2758547
466.6889,0.2731951
468.6174,0.2689626
470.5459,0.2615426
472.4743,0.2554655
474.4028,0.2498471
476.3313,0.244382
478.2597,0.2397692
480.1882,0.2345563
482.1167,0.2295271
484.0451,0.2255207
485.9736,0.2215396
487.9021,0.2176506
489.8305,0.2136183
491.759,0.2082635
493.6875,0.2008841
495.6159,0.1934901
497.5444,0.1864238
499.4729,0.1796647
501.4013,0.1731817
503.3298,0.1672275
505.2583,0.1629826
507.1867,0.1609211
509.1152,0.1612134
511.0437,0.1644847
512.9721,0.1691946
514.9006,0.1739042
516.829,0.1790645
518.7575,0.1816933
520.686,0.1812281
522.6144,0.1782265
524.5429,0.1714072
526.4714,0.1627839
528.3998,0.1540687
530.3283,0.1457075
532.2568,0.1390471
534.1852,0.1346434
536.1137,0.1323196
538.0422,0.1316815
539.9706,0.1326435
541.8991,0.1359286
543.8276,0.1411664
545.756,0.1461744
547.6845,0.1488877
549.613,0.1482809
551.5414,0.1427896
553.4699,0.1329543
555.3984,0.1207582
557.3268,0.1082382
559.2553,0.09647133
561.1838,0.08641522
563.1122,0.07845741
565.0407,0.07240049
566.9692,0.06813595
568.8976,0.0650126
570.8261,0.06316695
572.7546,0.06201388
574.683,0.06105009
576.6115,0.06100515
578.54,0.06139478
580.4684,0.06228624
582.3969,0.06385288
584.3254,0.06583606
586.2538,0.06861293
588.1823,0.07195079
590.1108,0.07544514
592.0392,0.0794117
593.9677,0.08400484
595.8962,0.08941621
597.8246,0.09553584
599.7531,0.1026615
601.6816,0.1104165
603.61,0.1184158
605.5385,0.12682
607.467,0.1352291
609.3954,0.1433186
611.3239,0.1504884
613.2524,0.1554922
615.1808,0.1574515
617.1093,0.1551253
619.0378,0.1491021
620.9662,0.1403512
622.8947,0.1295292
624.8232,0.1175271
626.7516,0.1058581
628.6801,0.09495062
630.6086,0.08557612
632.537,0.07805332
634.4655,0.07202933
636.394,0.06743615
638.3224,0.06404611
640.2509,0.06170576
642.1794,0.06039763
644.1078,0.05969123
646.0363,0.05936565
647.9648,0.05954663
649.8932,0.05971311
651.8217,0.06044211
653.7502,0.06150981
655.6786,0.0626339
657.6071,0.06384781
659.5356,0.06556255
661.4641,0.06754345
663.3925,0.06971078
665.321,0.07207721
667.2495,0.07467075
669.1779,0.07746922
671.1064,0.08029409
673.0349,0.0833567
674.9633,0.08671497
676.8918,0.09027776
678.8203,0.0940492
680.7487,0.09821554
682.6772,0.1027735
684.6057,0.1076776
686.5341,0.1127313
688.4626,0.1179921
690.3911,0.1236382
692.3195,0.1300792
694.248,0.136558
696.1765,0.1435356
698.1049,0.1513526
700.0334,0.1591396
701.9619,0.1673466
703.8903,0.176208
705.8188,0.1851509
707.7473,0.1945685
709.6757,0.2043173
711.6042,0.2135593
713.5327,0.2221617
715.4611,0.2296127
717.3896,0.2354813
719.3181,0.2394325
721.2465,0.2413859
723.175,0.241335
725.1035,0.2389522
727.0319,0.235112
728.9604,0.2306672
730.8889,0.2265288
732.8173,0.2234156
734.7458,0.2217005
736.6743,0.2217787
738.6027,0.2236529
740.5312,0.2272052
742.4597,0.2325929
744.3881,0.2394903
746.3166,0.2474741
748.2451,0.2565317
750.1735,0.2667231
752.102,0.2774629
754.0305,0.2886222
755.9589,0.3002766
757.8874,0.3118881
759.8159,0.322544
761.7443,0.3319927
763.6728,0.3397486
765.6013,0.345019
767.5297,0.3479056
769.4582,0.3482439
771.3867,0.3456858
773.3151,0.3404948
775.2436,0.3334822
777.1721,0.3256164
779.1005,0.3174189
781.029,0.3098716
782.9575,0.3032147
784.8859,0.2973117
786.8144,0.2917694
788.7429,0.2860401
790.6713,0.279425
792.5998,0.2717642
794.5283,0.2627546
796.4567,0.2521446
798.3852,0.2403232
800.3137,0.2274203
802.2421,0.2134043
804.1706,0.1989448
806.0991,0.1851178
808.0275,0.1725493
809.956,0.1622271
811.8845,0.1548252
813.8129,0.1509727
815.7414,0.1511952
817.6699,0.1553775
819.5983,0.1635035
821.5268,0.175671
823.4553,0.1913141
825.3837,0.2097204
827.3122,0.2288727
829.2407,0.24518
831.1691,0.2540457
833.0976,0.2529325
835.0261,0.2435207
836.9545,0.2308128
838.883,0.2188528
840.8115,0.2092629
842.7399,0.2014258
844.6684,0.1948839
846.5969,0.1901339
848.5253,0.1874225
850.4538,0.186845
852.3823,0.1875347
854.3107,0.1884987
856.2392,0.1884639
858.1677,0.1864115
860.0961,0.1819511
862.0246,0.1751021
863.9531,0.1662858
865.8815,0.1558977
867.81,0.1448139
869.7385,0.1339072
871.6669,0.1238186
873.5954,0.1147136
875.5239,0.1066066
877.4523,0.09899261
879.3808,0.09145254
881.3093,0.0842413
883.2377,0.07734415
885.1662,0.07082976
887.0947,0.06511112
889.0231,0.06024072
890.9516,0.05588971
892.8801,0.05228194
894.8085,0.04952735
896.737,0.04706839
898.6655,0.04488337
900.5939,0.04300968
902.5224,0.04147467
904.4509,0.04042533
906.3793,0.03957314
