x,y
374.1225,0.3495819
376.051,0.3370393
377.9795,0.3443793
379.9079,0.3546554
381.8364,0.3606523
383.7649,0.3586476
385.6933,0.362303
387.6218,0.3503726
389.5503,0.3385679
391.4787,0.3375812
393.4072,0.3416691
395.3357,0.3461353
397.2641,0.3490394
399.1926,0.3545412
401.1211,0.3614272
403.0495,0.3593513
404.978,0.3631529
406.9065,0.3630112
408.8349,0.355524
410.7634,0.3555891
412.6919,0.3565732
414.6203,0.3617811
416.5488,0.3671726
418.4773,0.3661885
420.4057,0.3689685
422.3342,0.3700642
424.2627,0.3703374
426.1911,0.3722804
428.1196,0.3719161
430.0481,0.3748019
431.9765,0.3750642
433.905,0.3785244
435.8335,0.3825845
437.7619,0.3820512
439.6904,0.379176
441.6189,0.3809752
443.5473,0.3864771
445.4758,0.3866343
447.4043,0.3875377
449.3327,0.3854226
451.2612,0.3844439
453.1897,0.3868574
455.1181,0.3922523
457.0466,0.3930949
458.9751,0.3917998
460.9035,0.3928471
462.832,0.3956385
464.7605,0.3949448
466.6889,0.3928291
468.6174,0.3914567
470.5459,0.3922076
472.4743,0.3933083
474.4028,0.3945148
476.3313,0.3964995
478.2597,0.3989027
480.1882,0.3992017
482.1167,0.3994417
484.0451,0.4013981
485.9736,0.4032205
487.9021,0.4035858
489.8305,0.4050983
491.759,0.406609
493.6875,0.4090704
495.6159,0.4073021
497.5444,0.4099841
499.4729,0.4131766
501.4013,0.4137895
503.3298,0.4140542
505.2583,0.4160572
507.1867,0.4206038
509.1152,0.4190154
511.0437,0.4188586
512.9721,0.421025
514.9006,0.420783
516.829,0.4211996
518.7575,0.4209451
520.686,0.4216469
522.6144,0.4231369
524.5429,0.4254611
526.4714,0.4268414
528.3998,0.4267108
530.3283,0.4282848
532.2568,0.4289318
534.1852,0.4304371
536.1137,0.4327203
538.0422,0.4319543
539.9706,0.4313259
541.8991,0.434044
543.8276,0.4355581
545.756,0.4339785
547.6845,0.434678
549.613,0.4374815
551.5414,0.4383534
553.4699,0.4406407
555.3984,0.4423275
557.3268,0.442778
559.2553,0.4423292
561.1838,0.4428348
563.1122,0.4435322
565.0407,0.4442688
566.9692,0.4455344
568.8976,0.4455742
570.8261,0.4468455
572.7546,0.4463833
574.683,0.4472379
576.6115,0.4474958
578.54,0.4481466
580.4684,0.4492407
582.3969,0.4509036
584.3254,0.4513304
586.2538,0.4523056
588.1823,0.4526388
590.1108,0.452653
592.0392,0.4537879
593.9677,0.4556149
595.8962,0.4568482
597.8246,0.45704
599.7531,0.4584392
601.6816,0.4591249
603.61,0.4590832
605.5385,0.4600118
607.467,0.4618945
609.3954,0.4625216
611.3239,0.4633135
613.2524,0.4642116
615.1808,0.4665041
617.1093,0.4677336
619.0378,0.4685377
620.9662,0.4692282
622.8947,0.4694265
624.8232,0.4697084
626.7516,0.4716383
628.6801,0.4733117
630.6086,0.4744394
632.537,0.4749516
634.4655,0.4764662
636.394,0.4781582
638.3224,0.4789327
640.2509,0.4790987
642.1794,0.4782106
644.1078,0.4783733
646.0363,0.4792821
647.9648,0.4802642
649.8932,0.4806488
651.8217,0.4815071
653.7502,0.4821239
655.6786,0.4835083
657.6071,0.4842983
659.5356,0.4848515
661.4641,0.4848968
663.3925,0.4845031
665.321,0.4861535
667.2495,0.4880859
669.1779,0.4885137
671.1064,0.4880301
673.0349,0.4880624
674.9633,0.4892382
676.8918,0.4903615
678.8203,0.4904026
680.7487,0.4911927
682.6772,0.491644
684.6057,0.4923078
686.5341,0.4932694
688.4626,0.4932962
690.3911,0.4935314
692.3195,0.4953087
694.248,0.4959715
696.1765,0.4972633
698.1049,0.4982841
700.0334,0.498908
701.9619,0.4983357
703.8903,0.4995977
705.8188,0.5000026
707.7473,0.4998389
709.6757,0.5003889
711.6042,0.5021202
713.5327,0.5029926
715.4611,0.5033956
717.3896,0.5041446
719.3181,0.5045219
721.2465,0.5047237
723.175,0.5056031
725.1035,0.5073096
727.0319,0.5074809
728.9604,0.5082465
730.8889,0.5092024
732.8173,0.5096257
734.7458,0.5102174
736.6743,0.5117809
738.6027,0.5133874
740.5312,0.5139843
742.4597,0.5141897
744.3881,0.5147456
746.3166,0.5157712
748.2451,0.5163391
750.1735,0.517608
752.102,0.5185574
754.0305,0.518421
755.9589,0.5190203
757.8874,0.5194724
759.8159,0.5203099
761.7443,0.5211444
763.6728,0.5217152
765.6013,0.5223963
767.5297,0.5234447
769.4582,0.5238626
771.3867,0.5244134
773.3151,0.5247999
775.2436,0.5262165
777.1721,0.5270649
779.1005,0.5279218
781.029,0.5288398
782.9575,0.529534
784.8859,0.5293299
786.8144,0.5298548
788.7429,0.5303681
790.6713,0.5314573
792.5998,0.5322774
794.5283,0.5320164
796.4567,0.5323343
798.3852,0.5330706
800.3137,0.5341893
802.2421,0.5349286
804.1706,0.5361291
