x,y
374.1225,0.2305542
376.051,0.2430799
377.9795,0.2261307
379.9079,0.219924
381.8364,0.2242911
383.7649,0.2347344
385.6933,0.2365013
387.6218,0.2318583
389.5503,0.2269296
391.4787,0.2257743
393.4072,0.2213115
395.3357,0.2179009
397.2641,0.2180716
399.1926,0.2258384
401.1211,0.2273089
403.0495,0.2261055
404.978,0.2226022
406.9065,0.2261611
408.8349,0.225552
410.7634,0.2261642
412.6919,0.2279418
414.6203,0.2308714
416.5488,0.2298449
418.4773,0.2294374
420.4057,0.2323784
422.3342,0.2315666
424.2627,0.2298229
426.1911,0.2296341
428.1196,0.2328649
430.0481,0.2364314
431.9765,0.2373258
433.905,0.2401393
435.8335,0.2429598
437.7619,0.2443934
439.6904,0.2438744
441.6189,0.243632
443.5473,0.2433077
445.4758,0.2408625
447.4043,0.2380289
449.3327,0.2363327
451.2612,0.2342782
453.1897,0.2298481
455.1181,0.2263921
457.0466,0.2245164
458.9751,0.2213844
460.9035,0.217396
462.832,0.2126336
464.7605,0.2071716
466.6889,0.2027908
468.6174,0.1998824
470.5459,0.1960376
472.4743,0.1914597
474.4028,0.1887362
476.3313,0.1878828
478.2597,0.1872774
480.1882,0.1865356
482.1167,0.1854512
484.0451,0.1841687
485.9736,0.1827009
487.9021,0.1809309
489.8305,0.1781565
491.759,0.1755141
493.6875,0.1719322
495.6159,0.1677454
497.5444,0.1647937
499.4729,0.1624188
501.4013,0.160541
503.3298,0.1596477
505.2583,0.1591166
507.1867,0.1588226
509.1152,0.1586627
511.0437,0.1582225
512.9721,0.1570758
514.9006,0.1550798
516.829,0.1525822
518.7575,0.1507162
520.686,0.1486354
522.6144,0.1457615
524.5429,0.1423613
526.4714,0.1389935
528.3998,0.1355664
530.3283,0.1320657
532.2568,0.1290238
534.1852,0.1258911
536.1137,0.1228331
538.0422,0.1203944
539.9706,0.118273
541.8991,0.1160348
543.8276,0.1140463
545.756,0.1121252
547.6845,0.1107082
549.613,0.1098851
551.5414,0.1096611
553.4699,0.1098021
555.3984,0.1102725
557.3268,0.1105204
559.2553,0.1103492
561.1838,0.1100262
563.1122,0.1099453
565.0407,0.1098639
566.9692,0.109082
568.8976,0.1077562
570.8261,0.107167
572.7546,0.1072987
574.683,0.1072258
576.6115,0.1081101
578.54,0.1100772
580.4684,0.1125409
582.3969,0.1153504
584.3254,0.1176824
586.2538,0.1203298
588.1823,0.1234717
590.1108,0.1264137
592.0392,0.129413
593.9677,0.1326148
595.8962,0.1357262
597.8246,0.1387909
599.7531,0.1416778
601.6816,0.1448727
603.61,0.1478641
605.5385,0.150165
607.467,0.1525421
609.3954,0.1549562
611.3239,0.15715
613.2524,0.1592139
615.1808,0.1613353
617.1093,0.1632432
619.0378,0.1648746
620.9662,0.1665635
622.8947,0.1681967
624.8232,0.16993
626.7516,0.1718752
628.6801,0.1745495
630.6086,0.1784707
632.537,0.1831519
634.4655,0.1881042
636.394,0.1928636
638.3224,0.1971513
640.2509,0.2008775
642.1794,0.2039201
644.1078,0.2061362
646.0363,0.2078
647.9648,0.2091099
649.8932,0.2098437
651.8217,0.2100578
653.7502,0.2091724
655.6786,0.207858
657.6071,0.206377
659.5356,0.2040182
661.4641,0.2005497
663.3925,0.1965198
665.321,0.1920186
667.2495,0.1870317
669.1779,0.1817163
671.1064,0.1758772
673.0349,0.1694035
674.9633,0.1627572
676.8918,0.1560936
678.8203,0.1493708
680.7487,0.1425807
682.6772,0.1362956
684.6057,0.1304303
686.5341,0.1249507
688.4626,0.1199521
690.3911,0.1157645
692.3195,0.1125363
694.248,0.1100883
696.1765,0.1083059
698.1049,0.1071361
700.0334,0.1062066
701.9619,0.105476
703.8903,0.1047334
705.8188,0.1040221
707.7473,0.1033409
709.6757,0.1027059
711.6042,0.1022398
713.5327,0.1017529
715.4611,0.1011377
717.3896,0.1006502
719.3181,0.1006334
721.2465,0.100749
723.175,0.1009596
725.1035,0.1013121
727.0319,0.1016378
728.9604,0.1019232
730.8889,0.1025008
732.8173,0.102947
734.7458,0.1032837
736.6743,0.1036645
738.6027,0.1041499
740.5312,0.1048685
742.4597,0.1058308
744.3881,0.1070787
746.3166,0.108447
748.2451,0.1102253
750.1735,0.1122262
752.102,0.1142849
754.0305,0.1166839
755.9589,0.1195376
757.8874,0.1226215
759.8159,0.1261156
761.7443,0.1300502
763.6728,0.1341905
765.6013,0.1385072
767.5297,0.1429794
769.4582,0.1476904
771.3867,0.1523029
773.3151,0.1568359
775.2436,0.1611618
777.1721,0.165105
779.1005,0.1687203
781.029,0.1717336
782.9575,0.1740192
784.8859,0.1759728
786.8144,0.1770622
788.7429,0.1773179
790.6713,0.1768253
792.5998,0.175666
794.5283,0.1741967
796.4567,0.1725795
798.3852,0.1706945
800.3137,0.1687727
802.2421,0.1670274
804.1706,0.1653115
806.0991,0.1635927
808.0275,0.1619049
809.956,0.1602669
811.8845,0.1583333
813.8129,0.1563603
815.7414,0.1545001
817.6699,0.1522091
819.5983,0.1497323
821.5268,0.147175
823.4553,0.1443437
825.3837,0.1412356
827.3122,0.1380894
829.2407,0.1350079
831.1691,0.1319001
833.0976,0.1287262
835.0261,0.1254735
836.9545,0.1222829
838.883,0.1189732
840.8115,0.1158375
842.7399,0.1128727
844.6684,0.1101138
846.5969,0.107286
848.5253,0.1043684
850.4538,0.101522
852.3823,0.09859398
854.3107,0.09574827
856.2392,0.0931797
858.1677,0.09087899
860.0961,0.08894935
862.0246,0.08754062
863.9531,0.08700081
865.8815,0.08737162
867.81,0.08910999
869.7385,0.09280125
871.6669,0.09830634
873.5954,0.105284
875.5239,0.1134651
877.4523,0.1220911
879.3808,0.1303087
881.3093,0.1377475
883.2377,0.1440465
885.1662,0.1486993
887.0947,0.1519622
889.0231,0.154002
890.9516,0.1550192
892.8801,0.1553816
894.8085,0.1554117
896.737,0.1553795
898.6655,0.1552738
900.5939,0.1552024
902.5224,0.155015
904.4509,0.1550625
906.3793,0.1554879
908.3078,0.1561039
910.2363,0.1567751
912.1647,0.1574585
914.0932,0.1584361
916.0217,0.1594065
917.9501,0.1602653
919.8786,0.1610221
921.8071,0.1614035
923.7355,0.1614728
925.664,0.1613309
927.5925,0.1608326
929.5209,0.1600502
931.4494,0.1589717
933.3779,0.1576658
935.3063,0.1560304
937.2348,0.1540731
939.1633,0.1519668
941.0917,0.1499545
943.0202,0.1479435
944.9487,0.1459685
946.8771,0.1438855
948.8056,0.1416005
950.7341,0.1390908
952.6625,0.1364876
954.591,0.1339388
956.5195,0.1313713
958.4479,0.1286277
960.3764,0.1257195
962.3049,0.1226681
964.2333,0.1196879
966.1618,0.1166723
968.0903,0.1135416
970.0187,0.1104176
971.9472,0.107408
973.8757,0.1046611
975.8041,0.1020294
977.7326,0.0997352
979.6611,0.0977688
981.5895,0.09571087
983.518,0.09353696
985.4465,0.09145677
987.3749,0.08922262
989.3034,0.08683588
991.2319,0.08448993
993.1603,0.08204991
995.0888,0.07943416
997.0173,0.07666763
998.9457,0.07374571
1000.874,0.07061935
1002.803,0.06754775
1004.731,0.06467156
1006.66,0.06191309
1008.588,0.05932547
1010.517,0.05692975
1012.445,0.05460262
1014.373,0.05237994
1016.302,0.05030874
1018.23,0.04829383
1020.159,0.04621306
1022.087,0.04432312
1024.016,0.04253502
1025.944,0.04106573
1027.873,0.03965428
1029.801,0.03833304
1031.73,0.03716833
1033.658,0.0360458
1035.587,0.03503294
1037.515,0.03402304
1039.443,0.03318068
1041.372,0.03240966
1043.3,0.03169134
1045.229,0.03094714
1047.157,0.03026163
1049.086,0.02964259
1051.014,0.02911283
