x,y
374.1225,0.1804942
376.051,0.1735987
377.9795,0.1639175
379.9079,0.1639887
381.8364,0.1681769
383.7649,0.1736388
385.6933,0.1747716
387.6218,0.1765591
389.5503,0.1779656
391.4787,0.1837427
393.4072,0.1877025
395.3357,0.1838194
397.2641,0.1776242
399.1926,0.1742151
401.1211,0.1687747
403.0495,0.1624074
404.978,0.1616184
406.9065,0.1668459
408.8349,0.1696037
410.7634,0.171087
412.6919,0.1705247
414.6203,0.1696703
416.5488,0.1711139
418.4773,0.173809
420.4057,0.1743295
422.3342,0.1718586
424.2627,0.1677338
426.1911,0.1666522
428.1196,0.1644384
430.0481,0.1612379
431.9765,0.1576936
433.905,0.1547192
435.8335,0.1534277
437.7619,0.1536715
439.6904,0.1523407
441.6189,0.1492123
443.5473,0.1468371
445.4758,0.1451106
447.4043,0.1423876
449.3327,0.139917
451.2612,0.1387005
453.1897,0.1374787
455.1181,0.1352609
457.0466,0.1315555
458.9751,0.1290875
460.9035,0.1268218
462.832,0.1234913
464.7605,0.1197212
466.6889,0.115705
468.6174,0.1110069
470.5459,0.1065787
472.4743,0.1035909
474.4028,0.09977596
476.3313,0.09570735
478.2597,0.09295351
480.1882,0.09045617
482.1167,0.08770349
484.0451,0.08482148
485.9736,0.08176271
487.9021,0.07906384
489.8305,0.077246
491.759,0.07529201
493.6875,0.0730388
495.6159,0.07015691
497.5444,0.06795149
499.4729,0.06663774
501.4013,0.06513713
503.3298,0.06350813
505.2583,0.06252755
507.1867,0.06232234
509.1152,0.06113969
511.0437,0.06065259
512.9721,0.06110923
514.9006,0.06117979
516.829,0.06117311
518.7575,0.0608133
520.686,0.06049143
522.6144,0.05947713
524.5429,0.05861189
526.4714,0.0577896
528.3998,0.05705544
530.3283,0.05645272
532.2568,0.05527527
534.1852,0.05440153
536.1137,0.0539014
538.0422,0.05328054
539.9706,0.05254883
541.8991,0.05203467
543.8276,0.05181227
545.756,0.05139336
547.6845,0.05127163
549.613,0.0515381
551.5414,0.05200862
553.4699,0.05262197
555.3984,0.05271173
557.3268,0.05315426
559.2553,0.05298172
561.1838,0.05308169
563.1122,0.05352934
565.0407,0.0540693
566.9692,0.05487135
568.8976,0.05542251
570.8261,0.05600689
572.7546,0.05671108
574.683,0.05784774
576.6115,0.05883323
578.54,0.06031128
580.4684,0.0615705
582.3969,0.06290876
584.3254,0.06419551
586.2538,0.06541358
588.1823,0.0664177
590.1108,0.06739189
592.0392,0.0689292
593.9677,0.07029404
595.8962,0.07176047
597.8246,0.07299101
599.7531,0.07396723
601.6816,0.07544573
603.61,0.07687518
605.5385,0.07792292
607.467,0.07859819
609.3954,0.07873698
611.3239,0.07903158
613.2524,0.07881227
615.1808,0.07774139
617.1093,0.07649232
619.0378,0.07491944
620.9662,0.07283916
622.8947,0.07081323
624.8232,0.06857998
626.7516,0.06613099
628.6801,0.06376745
630.6086,0.0615023
632.537,0.05923094
634.4655,0.05716074
636.394,0.05518095
638.3224,0.05329769
640.2509,0.05142276
642.1794,0.04964572
644.1078,0.04857109
646.0363,0.0474944
647.9648,0.04621894
649.8932,0.04527308
651.8217,0.0444872
653.7502,0.04417099
655.6786,0.04414964
657.6071,0.04397854
659.5356,0.04383168
661.4641,0.04397915
663.3925,0.04454128
665.321,0.04526125
667.2495,0.04595128
669.1779,0.04646132
671.1064,0.04701411
673.0349,0.04807588
674.9633,0.04925297
676.8918,0.05031641
678.8203,0.0514558
680.7487,0.05291907
682.6772,0.05441626
684.6057,0.05598668
686.5341,0.05770277
688.4626,0.05962069
690.3911,0.06177301
692.3195,0.06387588
694.248,0.06491213
696.1765,0.06445619
698.1049,0.06274986
700.0334,0.06141626
701.9619,0.06050966
703.8903,0.06005662
705.8188,0.05985079
707.7473,0.05974869
709.6757,0.05977515
711.6042,0.05996208
713.5327,0.05998465
715.4611,0.05991646
717.3896,0.05985339
719.3181,0.05974886
721.2465,0.05961051
723.175,0.05951792
725.1035,0.05958131
727.0319,0.05936328
728.9604,0.05918349
730.8889,0.05892751
732.8173,0.05865893
734.7458,0.05837014
736.6743,0.05810434
738.6027,0.05795678
740.5312,0.05770223
742.4597,0.0570391
744.3881,0.05642991
746.3166,0.05604635
748.2451,0.05536347
750.1735,0.05479048
752.102,0.05429519
754.0305,0.05372345
755.9589,0.0534068
757.8874,0.05322312
759.8159,0.05340972
761.7443,0.05373338
763.6728,0.05415452
765.6013,0.05486818
767.5297,0.05598006
769.4582,0.05702402
771.3867,0.05789942
773.3151,0.05883175
775.2436,0.05987619
777.1721,0.06029299
779.1005,0.05991466
781.029,0.05880164
782.9575,0.05728203
784.8859,0.05576493
786.8144,0.05503267
788.7429,0.05537525
790.6713,0.05625647
792.5998,0.05704634
794.5283,0.05739418
796.4567,0.05726382
798.3852,0.0558045
800.3137,0.05262515
802.2421,0.04827987
804.1706,0.04343732
806.0991,0.03858095
808.0275,0.03414585
809.956,0.03080059
811.8845,0.02818901
813.8129,0.025963
815.7414,0.02413754
817.6699,0.02254972
819.5983,0.02150857
821.5268,0.02076108
823.4553,0.02019543
825.3837,0.01982886
827.3122,0.019649
829.2407,0.01944296
831.1691,0.01943962
833.0976,0.01944669
835.0261,0.01962487
836.9545,0.01976225
838.883,0.0199753
840.8115,0.0204888
842.7399,0.02094304
844.6684,0.02133808
846.5969,0.02176846
848.5253,0.02223548
850.4538,0.02257001
852.3823,0.02299281
854.3107,0.02371428
856.2392,0.02434141
858.1677,0.02517507
860.0961,0.02575753
862.0246,0.02624152
863.9531,0.02683699
865.8815,0.02748792
867.81,0.02829723
869.7385,0.02916864
871.6669,0.02988575
873.5954,0.03072652
875.5239,0.03168017
877.4523,0.03256743
879.3808,0.03342469
881.3093,0.03437433
883.2377,0.03533278
885.1662,0.03636348
887.0947,0.0375197
889.0231,0.03874307
890.9516,0.04004313
892.8801,0.0414423
894.8085,0.04292149
896.737,0.04416194
898.6655,0.04563086
900.5939,0.04733294
902.5224,0.04898019
904.4509,0.05084759
906.3793,0.05278419
908.3078,0.05485971
910.2363,0.05721362
912.1647,0.05970092
914.0932,0.06227234
916.0217,0.06501681
917.9501,0.06807088
919.8786,0.07131443
921.8071,0.07472114
923.7355,0.07834191
925.664,0.08248819
927.5925,0.08687422
929.5209,0.091456
931.4494,0.09638931
933.3779,0.1015212
935.3063,0.1071617
937.2348,0.1131709
939.1633,0.1192395
941.0917,0.1257034
943.0202,0.1324963
944.9487,0.1396811
946.8771,0.1472571
948.8056,0.1550244
950.7341,0.1630316
952.6625,0.1711889
954.591,0.1796344
956.5195,0.1884041
958.4479,0.1969646
960.3764,0.2055809
962.3049,0.2140323
964.2333,0.2220269
966.1618,0.2298135
968.0903,0.2372176
970.0187,0.2439638
971.9472,0.2501605
973.8757,0.2554802
975.8041,0.2602048
977.7326,0.26427
979.6611,0.2676031
981.5895,0.2704931
983.518,0.2729693
985.4465,0.2747409
987.3749,0.2760515
989.3034,0.2768981
991.2319,0.2773483
993.1603,0.2773925
995.0888,0.2774335
997.0173,0.2773961
998.9457,0.277242
1000.874,0.2766632
1002.803,0.2758538
1004.731,0.2749016
1006.66,0.2738124
1008.588,0.2724514
1010.517,0.2706226
1012.445,0.2685128
1014.373,0.2663355
1016.302,0.2639915
1018.23,0.2610277
1020.159,0.2577712
1022.087,0.2542832
1024.016,0.2502968
1025.944,0.2461918
1027.873,0.2418104
1029.801,0.2371401
1031.73,0.2323184
1033.658,0.2274395
1035.587,0.2224991
1037.515,0.2173861
1039.443,0.2122336
1041.372,0.2070378
1043.3,0.2018767
1045.229,0.1967783
1047.157,0.1916285
1049.086,0.1864748
1051.014,0.1811314
1052.943,0.1753554
1054.871,0.1694367
1056.8,0.1637663
1058.728,0.1581016
1060.657,0.1521688
1062.585,0.1461867
1064.514,0.1405084
1066.442,0.1353665
1068.37,0.1309645
1070.299,0.1270696
1072.227,0.1239781
1074.156,0.12161
1076.084,0.1196195
1078.013,0.117927
1079.941,0.1164927
1081.87,0.1153001
1083.798,0.1142686
1085.727,0.1131404
1087.655,0.1120391
1089.584,0.1107313
1091.512,0.1093643
1093.441,0.1081376
1095.369,0.1068901
1097.297,0.1055967
1099.226,0.1043031
1101.154,0.1029344
1103.083,0.1017398
1105.011,0.1005482
1106.94,0.09926496
1108.868,0.09780322
1110.797,0.09635153
1112.725,0.09508169
1114.654,0.0938363
1116.582,0.09255911
1118.511,0.09122615
1120.439,0.08992746
1122.368,0.0888547
1124.296,0.08785811
1126.224,0.08680913
1128.153,0.08567217
1130.081,0.08435313
1132.01,0.08335543
1133.938,0.08236583
1135.867,0.08109649
1137.795,0.07996421
1139.724,0.07873483
1141.652,0.07748965
1143.581,0.07625522
1145.509,0.07487082
1147.438,0.07338801
1149.366,0.07170492
1151.295,0.06989736
1153.223,0.0680254
1155.151,0.06620939
1157.08,0.0646815
1159.008,0.06372542
1160.937,0.06274466
1162.865,0.06127118
1164.794,0.05936921
1166.722,0.05729873
1168.651,0.0550357
1170.579,0.05266414
1172.508,0.05027177
1174.436,0.04783424
1176.365,0.04555404
1178.293,0.04347672
1180.222,0.04134627
1182.15,0.03915834
1184.078,0.03714535
1186.007,0.03534485
1187.935,0.03362108
1189.864,0.03192228
1191.792,0.0301168
1193.721,0.02825406
1195.649,0.02645687
1197.578,0.02498179
1199.506,0.02368838
1201.435,0.02228083
1203.363,0.02094194
