x,y
399.1926,0.1269213
401.1211,0.1285048
403.0495,0.1281654
404.978,0.1291579
406.9065,0.1269096
408.8349,0.1245773
410.7634,0.1251144
412.6919,0.1251843
414.6203,0.1250323
416.5488,0.1249074
418.4773,0.1256074
420.4057,0.1266774
422.3342,0.1303994
424.2627,0.1336777
426.1911,0.1363494
428.1196,0.1391978
430.0481,0.1408319
431.9765,0.1417928
433.905,0.1430706
435.8335,0.1439219
437.7619,0.1434224
439.6904,0.1429542
441.6189,0.1426246
443.5473,0.1432093
445.4758,0.1437108
447.4043,0.1436674
449.3327,0.1417287
451.2612,0.1390842
453.1897,0.1358931
455.1181,0.1328271
457.0466,0.1292753
458.9751,0.1254907
460.9035,0.1218761
462.832,0.1174725
464.7605,0.1138293
466.6889,0.1112418
468.6174,0.1082933
470.5459,0.1045241
472.4743,0.1007275
474.4028,0.09760591
476.3313,0.09447456
478.2597,0.09134538
480.1882,0.08877868
482.1167,0.0869777
484.0451,0.08558218
485.9736,0.08364237
487.9021,0.08096142
489.8305,0.0780929
491.759,0.07639974
493.6875,0.07459015
495.6159,0.07274082
497.5444,0.0711853
499.4729,0.06963744
501.4013,0.0685115
503.3298,0.067722
505.2583,0.0668576
507.1867,0.06630197
509.1152,0.06567972
511.0437,0.0652905
512.9721,0.06505334
514.9006,0.06453697
516.829,0.06412183
518.7575,0.06387817
520.686,0.06383429
522.6144,0.06369437
524.5429,0.06368992
526.4714,0.06491049
528.3998,0.06670174
530.3283,0.06851479
532.2568,0.07035056
534.1852,0.07194032
536.1137,0.07375988
538.0422,0.07575928
539.9706,0.07820819
541.8991,0.0815036
543.8276,0.08414712
545.756,0.0860994
547.6845,0.08774247
549.613,0.08909015
551.5414,0.09054817
553.4699,0.09135383
555.3984,0.09140583
557.3268,0.09153324
559.2553,0.09174367
561.1838,0.09127989
563.1122,0.09002358
565.0407,0.08827147
566.9692,0.08632138
568.8976,0.08414239
570.8261,0.08197139
572.7546,0.08020039
574.683,0.07899964
576.6115,0.07794134
578.54,0.07715593
580.4684,0.0769687
582.3969,0.07745466
584.3254,0.07853445
586.2538,0.08052394
588.1823,0.08298976
590.1108,0.08566532
592.0392,0.08882004
593.9677,0.09208701
595.8962,0.09540921
597.8246,0.09875642
599.7531,0.1021449
601.6816,0.1053586
603.61,0.1083686
605.5385,0.1113354
607.467,0.1138646
609.3954,0.1159114
611.3239,0.1174922
613.2524,0.1184269
615.1808,0.1188921
617.1093,0.1191072
619.0378,0.1187472
620.9662,0.1177683
622.8947,0.1162039
624.8232,0.113882
626.7516,0.1114994
628.6801,0.1097656
630.6086,0.1086679
632.537,0.1087991
634.4655,0.1094914
636.394,0.110248
638.3224,0.1104999
640.2509,0.1105517
642.1794,0.1104732
644.1078,0.1100589
646.0363,0.1090988
647.9648,0.1076946
649.8932,0.1061687
651.8217,0.1048061
653.7502,0.1032118
655.6786,0.101632
657.6071,0.1001928
659.5356,0.0986928
661.4641,0.09691913
663.3925,0.09515531
665.321,0.0932565
667.2495,0.09123544
669.1779,0.08885402
671.1064,0.08627297
673.0349,0.08365723
674.9633,0.08110321
676.8918,0.07878301
678.8203,0.07667334
680.7487,0.07476035
682.6772,0.07299621
684.6057,0.07130691
686.5341,0.06954485
688.4626,0.06793381
690.3911,0.06660994
692.3195,0.06555343
694.248,0.06483947
696.1765,0.06461915
698.1049,0.0643537
700.0334,0.06404296
701.9619,0.06387738
703.8903,0.06397419
705.8188,0.06391081
707.7473,0.06347844
709.6757,0.06279837
711.6042,0.06188406
713.5327,0.06072496
715.4611,0.05957421
717.3896,0.05854745
719.3181,0.05771399
721.2465,0.05694143
723.175,0.05628686
725.1035,0.05573932
727.0319,0.05511267
728.9604,0.05463934
730.8889,0.05422074
732.8173,0.05366528
734.7458,0.05330781
736.6743,0.05287138
738.6027,0.05224384
740.5312,0.05164895
742.4597,0.05110018
744.3881,0.0507273
746.3166,0.05028624
748.2451,0.04971221
750.1735,0.04907959
752.102,0.04852988
754.0305,0.0481512
755.9589,0.04774168
757.8874,0.04728442
759.8159,0.04714575
761.7443,0.04686012
763.6728,0.04649016
765.6013,0.04626865
767.5297,0.04620649
769.4582,0.04612403
