x,y
399.1926,0.277239
401.1211,0.2757657
403.0495,0.2736839
404.978,0.2733753
406.9065,0.2729829
408.8349,0.2717203
410.7634,0.2737364
412.6919,0.2773383
414.6203,0.2789316
416.5488,0.2780026
418.4773,0.2771236
420.4057,0.276699
422.3342,0.2768398
424.2627,0.2769715
426.1911,0.2763133
428.1196,0.2758907
430.0481,0.2760884
431.9765,0.2758182
433.905,0.2776631
435.8335,0.2766318
437.7619,0.2751642
439.6904,0.2757368
441.6189,0.2772578
443.5473,0.2797343
445.4758,0.2803493
447.4043,0.280376
449.3327,0.2792864
451.2612,0.2799858
453.1897,0.2816501
455.1181,0.282092
457.0466,0.2807202
458.9751,0.2819157
460.9035,0.2833261
462.832,0.2848137
464.7605,0.2855425
466.6889,0.2848822
468.6174,0.2845502
470.5459,0.2838048
472.4743,0.2833871
474.4028,0.2845118
476.3313,0.2861991
478.2597,0.2870111
480.1882,0.2872912
482.1167,0.2880047
484.0451,0.288739
485.9736,0.2885055
487.9021,0.2886724
489.8305,0.2895601
491.759,0.2907582
493.6875,0.2914084
495.6159,0.291204
497.5444,0.2920703
499.4729,0.2919568
501.4013,0.2920603
503.3298,0.2922826
505.2583,0.2936678
507.1867,0.2950889
509.1152,0.2937848
511.0437,0.2941733
512.9721,0.2954146
514.9006,0.2966323
516.829,0.296764
518.7575,0.2958534
520.686,0.2965388
522.6144,0.2967551
524.5429,0.2972019
526.4714,0.2970322
528.3998,0.2961466
530.3283,0.2968929
532.2568,0.297402
534.1852,0.29737
536.1137,0.2978344
538.0422,0.2984055
539.9706,0.2984744
541.8991,0.3003589
543.8276,0.3013577
545.756,0.3007798
547.6845,0.3015179
549.613,0.302249
551.5414,0.302867
553.4699,0.3036952
555.3984,0.3044838
557.3268,0.3049431
559.2553,0.3049861
561.1838,0.3056602
563.1122,0.306572
565.0407,0.3067865
566.9692,0.3070235
568.8976,0.3077378
570.8261,0.3090929
572.7546,0.3088026
574.683,0.3083813
576.6115,0.3082105
578.54,0.3088745
580.4684,0.3091733
582.3969,0.309433
584.3254,0.3092102
586.2538,0.3103279
588.1823,0.3110925
590.1108,0.3109817
592.0392,0.3113204
593.9677,0.3115148
595.8962,0.3117316
597.8246,0.3120773
599.7531,0.3123481
601.6816,0.3127173
603.61,0.3132487
605.5385,0.3137634
607.467,0.3136765
609.3954,0.3127823
611.3239,0.3134609
613.2524,0.3141828
615.1808,0.3145492
617.1093,0.3149088
619.0378,0.3153885
620.9662,0.3160514
622.8947,0.3169189
624.8232,0.3167697
626.7516,0.3166381
628.6801,0.3175815
630.6086,0.3179087
