x,y
50.14013,0.03293779
52.0686,0.03698229
53.99707,0.03338418
55.92553,0.02951649
57.854,0.03017973
59.78246,0.04279077
61.71093,0.04155294
63.6394,0.04614968
65.56786,0.04660321
67.49633,0.05174715
69.4248,0.05277625
71.35326,0.05784053
73.28172,0.05806822
75.21019,0.06006342
77.13866,0.06013364
79.06712,0.06330524
80.99559,0.06202048
82.92406,0.0655155
84.85252,0.06548265
86.78099,0.06730385
88.70946,0.06568439
90.63792,0.06917802
92.56638,0.07016182
94.49485,0.07175306
96.42332,0.07194468
98.35178,0.07582805
100.2803,0.07785606
102.2087,0.07892279
104.1372,0.07742289
106.0657,0.07937888
107.9941,0.08051752
109.9226,0.07981125
111.851,0.0766448
113.7795,0.07805212
115.708,0.08063175
117.6364,0.08434339
119.5649,0.08514732
121.4934,0.08757498
123.4218,0.08693199
125.3503,0.08725247
127.2788,0.08733358
129.2072,0.08922223
131.1357,0.08820015
133.0642,0.08898193
134.9926,0.09090102
136.9211,0.09429579
138.8496,0.09507139
140.778,0.09645358
142.7065,0.0984633
144.635,0.1022348
146.5634,0.1050587
148.4919,0.1082824
150.4204,0.1087502
152.3488,0.1110773
154.2773,0.1123645
156.2058,0.1136626
158.1342,0.1140298
160.0627,0.1147741
161.9912,0.1142076
163.9196,0.1139983
165.8481,0.1122422
167.7766,0.1108707
169.705,0.1085959
171.6335,0.1070988
173.562,0.1053634
175.4904,0.1045912
177.4189,0.104277
179.3474,0.105618
181.2758,0.1064432
183.2043,0.1072313
185.1328,0.1073547
187.0612,0.108043
188.9897,0.1073177
190.9182,0.1069712
192.8466,0.1055887
194.7751,0.1047931
196.7036,0.1044443
198.632,0.1055496
200.5605,0.1066477
202.489,0.1077638
204.4174,0.1075127
206.3459,0.1083173
208.2744,0.1104199
210.2028,0.1148319
212.1313,0.1192575
214.0598,0.1235744
215.9882,0.1264692
217.9167,0.1290222
219.8452,0.1297957
221.7736,0.1301413
223.7021,0.1292818
225.6305,0.1287254
227.559,0.1260318
229.4875,0.1233807
231.4159,0.1209074
233.3444,0.1195129
235.2729,0.1184992
237.2013,0.1180668
239.1298,0.1182203
241.0583,0.1198564
242.9867,0.1209623
244.9152,0.1213643
246.8437,0.121519
248.7721,0.1221332
250.7006,0.1239208
252.6291,0.1267927
254.5575,0.1301758
256.486,0.1345616
258.4145,0.1382929
260.3429,0.1418805
262.2714,0.1438633
264.1999,0.1445415
266.1283,0.1431319
268.0568,0.1409753
269.9853,0.1388985
271.9137,0.1383559
273.8422,0.1389099
275.7707,0.1401256
277.6991,0.1407231
279.6276,0.1418902
281.5561,0.1439374
283.4845,0.1470165
285.413,0.148002
287.3415,0.1466084
289.2699,0.142497
291.1984,0.1373204
293.1269,0.1312388
295.0553,0.1252046
296.9838,0.1193233
298.9123,0.1116224
300.8407,0.1015348
302.7692,0.08924522
304.6977,0.07954663
306.6261,0.07625491
308.5546,0.07797036
310.4831,0.08323859
312.4115,0.09061399
314.34,0.09903362
316.2685,0.1062159
318.1969,0.1099992
320.1254,0.1103491
322.0539,0.1084885
323.9823,0.1070962
325.9108,0.1070043
327.8392,0.1072852
329.7677,0.1092371
331.6962,0.1130674
333.6246,0.1164563
335.5531,0.1151889
337.4816,0.1088416
339.41,0.1002954
341.3385,0.09254789
343.267,0.08625886
345.1954,0.08358135
347.1239,0.08463544
349.0524,0.08781305
350.9808,0.09207742
352.9093,0.09644268
354.8378,0.1006123
356.7662,0.1041983
358.6947,0.1075008
360.6232,0.1110839
362.5516,0.1142036
364.4801,0.1167523
366.4086,0.1191056
368.337,0.1216798
370.2655,0.1238123
372.194,0.1260189
374.1224,0.1283274
376.0509,0.1300962
377.9794,0.1314074
379.9078,0.1332688
381.8363,0.1350669
383.7648,0.1362298
385.6932,0.1375468
387.6217,0.138971
389.5502,0.140155
391.4786,0.1420089
393.4071,0.1433599
395.3356,0.1444331
397.264,0.1454421
399.1925,0.1465833
401.121,0.1477412
403.0494,0.1491049
404.9779,0.150646
406.9064,0.1517881
408.8348,0.152537
410.7633,0.1536125
412.6917,0.1546166
414.6202,0.155411
416.5487,0.1561683
418.4771,0.1573789
420.4056,0.1583996
422.3341,0.1595536
424.2625,0.1606829
426.191,0.161599
428.1195,0.1622873
430.0479,0.1630142
431.9764,0.1640058
433.9049,0.165166
435.8333,0.1658886
437.7618,0.1667095
439.6903,0.1676042
441.6187,0.1684495
443.5472,0.1689886
445.4757,0.1696735
447.4041,0.1702666
449.3326,0.1712412
451.2611,0.1719712
453.1895,0.1724981
455.118,0.173486
457.0465,0.1745255
458.9749,0.1745355
460.9034,0.1751449
462.8319,0.1761441
464.7603,0.1770501
466.6888,0.1777028
468.6173,0.1781814
470.5457,0.1790272
472.4742,0.1798741
474.4027,0.1798554
476.3311,0.1808904
478.2596,0.1817008
480.1881,0.1825774
482.1165,0.1833644
484.045,0.1839064
485.9735,0.1845619
487.9019,0.1858025
489.8304,0.1865581
491.7589,0.1873474
493.6873,0.1878892
495.6158,0.1884679
497.5443,0.1893189
499.4727,0.1898648
501.4012,0.1901008
503.3297,0.1910571
505.2581,0.1920927
507.1866,0.1928227
509.1151,0.1930279
511.0435,0.1932376
512.972,0.1934538
514.9005,0.1945049
516.8289,0.195113
518.7574,0.1954498
520.6859,0.1957456
522.6143,0.1962964
524.5428,0.1966049
526.4713,0.1967953
528.3997,0.1972768
530.3282,0.1982516
532.2567,0.1990897
534.1851,0.1994956
536.1136,0.1996526
538.0421,0.2000151
539.9705,0.1999982
541.899,0.2009823
543.8275,0.2022703
545.7559,0.2025838
547.6844,0.202644
549.6129,0.2032765
551.5413,0.2041006
553.4698,0.2046602
555.3983,0.2054362
557.3267,0.2062858
559.2552,0.2066782
561.1837,0.2073221
563.1121,0.208414
565.0406,0.2088195
566.9691,0.2098052
568.8975,0.2110035
570.826,0.2113725
572.7545,0.2116984
574.6829,0.2121661
576.6114,0.2129458
578.5399,0.2136183
580.4683,0.214571
582.3968,0.2159178
584.3253,0.2165394
586.2537,0.2167229
588.1822,0.2176533
590.1107,0.2184133
592.0391,0.2192331
593.9676,0.2205204
595.8961,0.2217248
597.8245,0.2229379
599.753,0.2240877
601.6815,0.2246619
603.6099,0.2251736
605.5384,0.2254402
607.4669,0.2266838
609.3953,0.2273204
611.3238,0.2278361
613.2523,0.2283855
615.1807,0.2285812
617.1091,0.228172
619.0376,0.2284549
620.9661,0.2292818
622.8945,0.2302321
624.823,0.2305548
626.7515,0.230189
628.6799,0.2295808
630.6084,0.2296532
632.5369,0.2299138
634.4653,0.2297732
636.3938,0.2297859
638.3223,0.2300118
640.2507,0.2298617
642.1792,0.230045
644.1077,0.2305321
646.0361,0.2310022
647.9646,0.231301
649.8931,0.2315258
651.8215,0.2317772
653.75,0.2322429
655.6785,0.2325919
657.6069,0.2329794
659.5354,0.2331744
661.4639,0.2338088
663.3923,0.2343229
665.3208,0.2350471
667.2493,0.2355663
669.1777,0.2356845
671.1062,0.235969
673.0347,0.2360283
674.9631,0.2369005
676.8916,0.2378742
678.8201,0.237873
680.7485,0.2382151
682.677,0.2387641
684.6055,0.2388764
686.5339,0.2388051
688.4624,0.2397525
690.3909,0.2396555
692.3193,0.2393675
694.2478,0.2408526
696.1763,0.2420141
698.1047,0.2428288
700.0332,0.244213
