x,y
50.14013,0.03346691
52.0686,0.03461234
53.99707,0.0301788
55.92553,0.02947362
57.854,0.03510764
59.78246,0.04523822
61.71093,0.03746479
63.6394,0.04075745
65.56786,0.04041695
67.49633,0.04311899
69.4248,0.04384078
71.35326,0.0496446
73.28172,0.04970722
75.21019,0.05145632
77.13866,0.04999323
79.06712,0.05179036
80.99559,0.05017135
82.92406,0.05213343
84.85252,0.05187606
86.78099,0.05289384
88.70946,0.05231351
90.63792,0.05438228
92.56638,0.05567348
94.49485,0.05668105
96.42332,0.05555749
98.35178,0.05532236
100.2803,0.055002
102.2087,0.05936662
104.1372,0.06081795
106.0657,0.06145988
107.9941,0.0615038
109.9226,0.06320076
111.851,0.06404542
113.7795,0.06404611
115.708,0.06322163
117.6364,0.0647998
119.5649,0.06595198
121.4934,0.06735037
123.4218,0.06727938
125.3503,0.06958979
127.2788,0.07013864
129.2072,0.07035094
131.1357,0.07049248
133.0642,0.07233011
134.9926,0.07248078
136.9211,0.07344151
138.8496,0.07429247
140.778,0.07482751
142.7065,0.07503673
144.635,0.07625189
146.5634,0.07620201
148.4919,0.07741889
150.4204,0.07817124
152.3488,0.07862741
154.2773,0.07819948
156.2058,0.07909308
158.1342,0.07955743
160.0627,0.07969145
161.9912,0.0801276
163.9196,0.08147372
165.8481,0.08174772
167.7766,0.08205979
169.705,0.08179101
171.6335,0.08192493
173.562,0.08210958
175.4904,0.08344653
177.4189,0.08395144
179.3474,0.08418144
181.2758,0.08409695
183.2043,0.08429769
185.1328,0.08473057
187.0612,0.08531649
188.9897,0.08520597
190.9182,0.08601314
192.8466,0.08622576
194.7751,0.08653741
196.7036,0.08660921
198.632,0.08721195
200.5605,0.08749646
202.489,0.08829133
204.4174,0.08805498
206.3459,0.08834899
208.2744,0.08844948
210.2028,0.08853
212.1313,0.08864489
214.0598,0.08956438
215.9882,0.08957892
217.9167,0.09009636
219.8452,0.09036485
221.7736,0.09096844
223.7021,0.09070024
225.6305,0.09059435
227.559,0.09085685
229.4875,0.09129023
231.4159,0.09175336
233.3444,0.09235887
235.2729,0.09233059
237.2013,0.09256716
239.1298,0.09274705
241.0583,0.09313539
242.9867,0.09319399
244.9152,0.09334002
246.8437,0.09314515
248.7721,0.0933075
250.7006,0.09387051
252.6291,0.09436499
254.5575,0.09417301
256.486,0.09479911
258.4145,0.09509324
260.3429,0.09532627
262.2714,0.09573481
264.1999,0.09653584
266.1283,0.09734569
268.0568,0.0978107
269.9853,0.09813863
271.9137,0.09857497
273.8422,0.09856419
275.7707,0.09902695
277.6991,0.09986253
279.6276,0.1004587
281.5561,0.100649
283.4845,0.1008871
285.413,0.1009734
287.3415,0.1016273
289.2699,0.1021523
291.1984,0.1028581
293.1269,0.1030476
295.0553,0.1031254
296.9838,0.1033736
298.9123,0.1037184
300.8407,0.1039988
302.7692,0.1043841
304.6977,0.1040717
306.6261,0.1040406
308.5546,0.1042766
310.4831,0.1046806
312.4115,0.104847
314.34,0.1054995
316.2685,0.105951
318.1969,0.1059314
320.1254,0.106027
322.0539,0.1067768
323.9823,0.1074909
325.9108,0.1081215
327.8392,0.1083592
329.7677,0.1081953
331.6962,0.1082198
333.6246,0.1090506
335.5531,0.1094955
337.4816,0.1099911
339.41,0.110119
341.3385,0.1101356
343.267,0.1099745
345.1954,0.1101082
347.1239,0.1103599
349.0524,0.1107657
350.9808,0.1113744
352.9093,0.1116924
354.8378,0.1117795
356.7662,0.111929
358.6947,0.1123177
360.6232,0.1130165
362.5516,0.1135362
364.4801,0.1135817
366.4086,0.1139413
368.337,0.1145383
370.2655,0.1148495
372.194,0.1152613
374.1224,0.1156115
376.0509,0.1161877
377.9794,0.1164259
379.9078,0.1167395
381.8363,0.1168023
383.7648,0.1169533
385.6932,0.1173052
387.6217,0.1178218
389.5502,0.1179804
391.4786,0.1184935
393.4071,0.1187748
395.3356,0.1191208
397.264,0.1196027
399.1925,0.1200476
401.121,0.120267
403.0494,0.1209114
404.9779,0.1211897
406.9064,0.1215632
408.8348,0.1220379
410.7633,0.1228676
412.6917,0.1231869
414.6202,0.1233118
416.5487,0.12372
418.4771,0.1244485
420.4056,0.1246273
422.3341,0.1243988
424.2625,0.1246448
426.191,0.1252906
428.1195,0.1256488
430.0479,0.1261424
431.9764,0.1264128
433.9049,0.1267137
435.8333,0.1269918
437.7618,0.1275644
439.6903,0.1280963
441.6187,0.128225
443.5472,0.1284
445.4757,0.1289525
447.4041,0.1295153
449.3326,0.129978
451.2611,0.1304106
453.1895,0.1306816
455.118,0.1310422
457.0465,0.1315403
458.9749,0.1318568
460.9034,0.132371
462.8319,0.1326741
464.7603,0.1328634
466.6888,0.1329152
468.6173,0.132699
470.5457,0.1328765
472.4742,0.1332475
474.4027,0.1328901
476.3311,0.1329004
478.2596,0.1331988
480.1881,0.1335623
482.1165,0.1335419
484.045,0.1340282
485.9735,0.1344591
487.9019,0.1346942
489.8304,0.1349009
491.7589,0.1351855
493.6873,0.1348709
495.6158,0.1349946
497.5443,0.1356947
499.4727,0.1360369
501.4012,0.1357874
503.3297,0.1359709
505.2581,0.1363959
507.1866,0.1367999
509.1151,0.1370085
511.0435,0.1373355
512.972,0.1374078
514.9005,0.1374563
516.8289,0.137581
518.7574,0.1382788
520.6859,0.1386743
522.6143,0.1392021
524.5428,0.1397439
526.4713,0.1398732
528.3997,0.1402116
530.3282,0.1408737
532.2567,0.141198
534.1851,0.1415521
536.1136,0.1418916
538.0421,0.1420593
539.9705,0.1421648
541.899,0.1426999
543.8275,0.1431246
545.7559,0.1436103
547.6844,0.1437383
549.6129,0.1440846
551.5413,0.1444255
553.4698,0.1446354
555.3983,0.1451287
557.3267,0.1456341
559.2552,0.1456311
561.1837,0.1454688
563.1121,0.1458129
565.0406,0.1466411
566.9691,0.1471722
568.8975,0.1476571
570.826,0.1480069
572.7545,0.1480871
574.6829,0.1478679
576.6114,0.1481473
578.5399,0.1488349
580.4683,0.1495304
582.3968,0.1500246
584.3253,0.1502448
586.2537,0.150208
588.1822,0.1505734
590.1107,0.1510851
592.0391,0.1516546
593.9676,0.1520308
595.8961,0.1525224
597.8245,0.1530615
599.753,0.1534593
601.6815,0.1535527
603.6099,0.1540182
605.5384,0.1546837
607.4669,0.155333
609.3953,0.1555359
611.3238,0.1554624
613.2523,0.1555991
615.1807,0.1561193
617.1091,0.1564831
619.0376,0.1572571
620.9661,0.1573618
622.8945,0.1566769
624.823,0.1559216
626.7515,0.1564884
628.6799,0.1567025
630.6084,0.1566133
632.5369,0.1568129
634.4653,0.1572715
636.3938,0.1578229
638.3223,0.1581506
640.2507,0.1585803
642.1792,0.1592706
644.1077,0.159569
646.0361,0.1598185
647.9646,0.1601249
649.8931,0.1602478
651.8215,0.1602645
653.75,0.1602809
655.6785,0.1604995
657.6069,0.1609665
659.5354,0.1613503
661.4639,0.1620158
663.3923,0.1623731
665.3208,0.1623461
667.2493,0.1626944
669.1777,0.1628575
671.1062,0.1628492
673.0347,0.1632428
674.9631,0.1637417
676.8916,0.1637346
678.8201,0.1638355
680.7485,0.1648754
682.677,0.166023
684.6055,0.1656814
686.5339,0.1652836
688.4624,0.1660478
690.3909,0.1664149
692.3193,0.1663347
694.2478,0.1662811
696.1763,0.1667708
698.1047,0.1674756
700.0332,0.1679069
