x,y
50.14013,0.01572517
52.0686,0.01614838
53.99707,0.01968132
55.92553,0.02515002
57.854,0.02646181
59.78246,0.0312861
61.71093,0.02371535
63.6394,0.02109444
65.56786,0.01817402
67.49633,0.01827781
69.4248,0.02157689
71.35326,0.02497205
73.28172,0.02335215
75.21019,0.02298568
77.13866,0.02495121
79.06712,0.02627058
80.99559,0.0255555
82.92406,0.02621941
84.85252,0.02718982
86.78099,0.02793915
88.70946,0.02797852
90.63792,0.02872967
92.56638,0.03042767
94.49485,0.03191989
96.42332,0.032215
98.35178,0.03289601
100.2803,0.03418503
102.2087,0.03601313
104.1372,0.03625757
106.0657,0.03645991
107.9941,0.03813064
109.9226,0.04039636
111.851,0.04138373
113.7795,0.04144651
115.708,0.04141817
117.6364,0.04258311
119.5649,0.04337915
121.4934,0.04377955
123.4218,0.04393826
125.3503,0.045318
127.2788,0.04592579
129.2072,0.04659741
131.1357,0.04714384
133.0642,0.04848666
134.9926,0.05002012
136.9211,0.05110539
138.8496,0.05163409
140.778,0.05308649
142.7065,0.05352482
144.635,0.05445336
146.5634,0.0552428
148.4919,0.05682287
150.4204,0.05727597
152.3488,0.05850895
154.2773,0.05977592
156.2058,0.06081295
158.1342,0.06155888
160.0627,0.06267173
161.9912,0.06284717
163.9196,0.06390108
165.8481,0.06512519
167.7766,0.06545082
169.705,0.06613837
171.6335,0.06701221
173.562,0.06716316
175.4904,0.0682616
177.4189,0.06870317
179.3474,0.06917696
181.2758,0.07012434
183.2043,0.0715935
185.1328,0.07233287
187.0612,0.07309596
188.9897,0.07391366
190.9182,0.07465269
192.8466,0.07500987
194.7751,0.07598969
196.7036,0.07685491
198.632,0.07771636
200.5605,0.07822342
202.489,0.07916205
204.4174,0.07940195
206.3459,0.0803014
208.2744,0.08157926
210.2028,0.08260442
212.1313,0.08336692
214.0598,0.08460036
215.9882,0.0855948
217.9167,0.08685894
219.8452,0.08814334
221.7736,0.08966812
223.7021,0.09041493
225.6305,0.09160746
227.559,0.09294324
229.4875,0.09361292
231.4159,0.09427487
233.3444,0.09559479
235.2729,0.09633468
237.2013,0.09710659
239.1298,0.09792577
241.0583,0.09888084
242.9867,0.09973986
244.9152,0.1003495
246.8437,0.1009763
248.7721,0.101503
250.7006,0.1017051
252.6291,0.102061
254.5575,0.1012153
256.486,0.1001117
258.4145,0.09890354
260.3429,0.09775798
262.2714,0.09741005
264.1999,0.09816183
266.1283,0.09866626
268.0568,0.09890956
269.9853,0.09881371
271.9137,0.09892849
273.8422,0.09892024
