x,y
50.14013,0.01413652
52.0686,0.01541268
53.99707,0.01527627
55.92553,0.01541249
57.854,0.02141809
59.78246,0.02697888
61.71093,0.02389042
63.6394,0.0248579
65.56786,0.02398022
67.49633,0.02396693
69.4248,0.02724379
71.35326,0.03154298
73.28172,0.03165018
75.21019,0.0312598
77.13866,0.03340146
79.06712,0.03672859
80.99559,0.03634597
82.92406,0.0372739
84.85252,0.03930869
86.78099,0.03891905
88.70946,0.03858348
90.63792,0.03968057
92.56638,0.04097168
94.49485,0.04270565
96.42332,0.04451347
98.35178,0.04597133
100.2803,0.04585572
102.2087,0.04764249
104.1372,0.04867063
106.0657,0.05025465
107.9941,0.049667
109.9226,0.04856435
111.851,0.04737971
113.7795,0.04591889
115.708,0.04481569
117.6364,0.04548614
119.5649,0.04793857
121.4934,0.05094548
123.4218,0.05177504
125.3503,0.05357459
127.2788,0.05541481
129.2072,0.05614749
131.1357,0.05506616
133.0642,0.05457972
134.9926,0.05400664
136.9211,0.05230785
138.8496,0.049494
140.778,0.04557338
142.7065,0.04110656
144.635,0.03630045
146.5634,0.03095059
148.4919,0.02794732
150.4204,0.02915897
152.3488,0.03410398
154.2773,0.03959775
156.2058,0.04426435
158.1342,0.04596987
160.0627,0.04315755
161.9912,0.03797378
163.9196,0.03428314
165.8481,0.03428778
167.7766,0.03723314
169.705,0.04111384
171.6335,0.04477281
173.562,0.04797643
175.4904,0.05116682
177.4189,0.05395909
179.3474,0.0561548
181.2758,0.05823317
183.2043,0.06060516
185.1328,0.06249823
187.0612,0.06389868
188.9897,0.06535557
190.9182,0.06699189
192.8466,0.06811232
194.7751,0.06914411
196.7036,0.06917462
198.632,0.06769049
200.5605,0.06426837
202.489,0.05813533
204.4174,0.05041495
206.3459,0.04394029
208.2744,0.03863597
210.2028,0.03577077
212.1313,0.03555925
214.0598,0.03782368
215.9882,0.04096189
217.9167,0.04454323
219.8452,0.04800583
221.7736,0.05129556
223.7021,0.05437943
225.6305,0.05681443
227.559,0.05927654
229.4875,0.06172379
231.4159,0.06364738
233.3444,0.06502221
235.2729,0.06563828
237.2013,0.06576714
239.1298,0.06396271
241.0583,0.05983521
242.9867,0.05436444
244.9152,0.05004808
246.8437,0.0485286
248.7721,0.04971487
250.7006,0.0518747
252.6291,0.05422878
254.5575,0.05669961
256.486,0.05911424
258.4145,0.06153117
260.3429,0.06359297
262.2714,0.06497857
264.1999,0.0664382
266.1283,0.0675325
268.0568,0.06864385
269.9853,0.07005388
271.9137,0.07136247
273.8422,0.07190555
275.7707,0.07283463
277.6991,0.07403649
279.6276,0.07498803
281.5561,0.07592237
283.4845,0.07695173
285.413,0.07776244
287.3415,0.07861633
289.2699,0.07976082
291.1984,0.08099521
293.1269,0.08220383
295.0553,0.08338437
296.9838,0.08422921
298.9123,0.08496442
300.8407,0.08601779
302.7692,0.08733214
304.6977,0.08831956
306.6261,0.08900651
308.5546,0.08941583
310.4831,0.08991466
312.4115,0.08946638
314.34,0.08800959
316.2685,0.08529484
318.1969,0.08118519
320.1254,0.07705259
322.0539,0.07508311
323.9823,0.07587396
325.9108,0.0785005
327.8392,0.08124347
329.7677,0.08404738
331.6962,0.0862904
333.6246,0.08810537
335.5531,0.08950233
337.4816,0.09105449
339.41,0.09197652
341.3385,0.09162227
343.267,0.09030287
345.1954,0.08814896
347.1239,0.08594406
349.0524,0.08524782
350.9808,0.08671398
352.9093,0.08874577
354.8378,0.09096754
356.7662,0.09341969
358.6947,0.09544893
360.6232,0.09732112
362.5516,0.09901237
364.4801,0.1003064
366.4086,0.1013053
368.337,0.1015936
370.2655,0.101582
372.194,0.1010256
374.1224,0.09994308
376.0509,0.09926261
377.9794,0.09813619
379.9078,0.0954511
381.8363,0.09168444
383.7648,0.0870482
385.6932,0.08187162
387.6217,0.07656681
389.5502,0.0714833
391.4786,0.06740867
393.4071,0.06493577
395.3356,0.06448652
397.264,0.06601401
399.1925,0.06903328
401.121,0.07281126
403.0494,0.07661811
404.9779,0.0803078
406.9064,0.08388348
408.8348,0.08691475
410.7633,0.08929915
412.6917,0.09130407
414.6202,0.09358837
416.5487,0.09603278
418.4771,0.09805971
