x,y
50.14013,0.004162694
52.0686,0.00423166
53.99707,0.002524856
55.92553,0.003273883
57.854,0.004487194
59.78246,0.003629828
61.71093,0.003588041
63.6394,0.00544646
65.56786,0.004524932
67.49633,0.004174735
69.4248,0.003917476
71.35326,0.004654667
73.28172,0.005612804
75.21019,0.005241817
77.13866,0.004950806
79.06712,0.005158322
80.99559,0.005685306
82.92406,0.006036386
84.85252,0.006191838
86.78099,0.005695985
88.70946,0.005782122
90.63792,0.0060557
92.56638,0.006133531
94.49485,0.006183154
96.42332,0.006717442
98.35178,0.007003424
100.2803,0.006729446
102.2087,0.006635132
104.1372,0.006837147
106.0657,0.006895033
107.9941,0.006729793
109.9226,0.006612784
111.851,0.007040586
113.7795,0.007257158
115.708,0.007375459
117.6364,0.007439333
119.5649,0.00768731
121.4934,0.007228166
123.4218,0.007223857
125.3503,0.007780711
127.2788,0.008485097
129.2072,0.008479356
131.1357,0.008538959
133.0642,0.009156196
134.9926,0.009465948
136.9211,0.009108123
138.8496,0.008989124
140.778,0.008938905
142.7065,0.009089071
144.635,0.008937728
146.5634,0.008868759
148.4919,0.00916453
150.4204,0.009514612
152.3488,0.009419109
154.2773,0.00918405
156.2058,0.009499217
158.1342,0.01001396
160.0627,0.009816388
161.9912,0.009957748
163.9196,0.01026897
165.8481,0.01021913
167.7766,0.01013437
169.705,0.01014625
171.6335,0.01017723
173.562,0.01059277
175.4904,0.01088606
177.4189,0.01065059
179.3474,0.0106398
181.2758,0.01103116
183.2043,0.0109254
185.1328,0.0112045
187.0612,0.0116698
188.9897,0.01189512
190.9182,0.01197561
192.8466,0.01236815
194.7751,0.01247607
196.7036,0.0124622
198.632,0.0127191
200.5605,0.01296286
202.489,0.01291828
204.4174,0.01304592
206.3459,0.01325577
208.2744,0.01331933
210.2028,0.01305663
212.1313,0.01313232
214.0598,0.01331902
215.9882,0.01350047
217.9167,0.01382931
219.8452,0.01389519
221.7736,0.01383169
223.7021,0.01414383
225.6305,0.01424444
227.559,0.01449488
229.4875,0.01444447
231.4159,0.01442319
233.3444,0.01435675
235.2729,0.01441237
237.2013,0.01447781
239.1298,0.01482203
241.0583,0.01516928
242.9867,0.01540318
244.9152,0.01542529
246.8437,0.01559965
248.7721,0.01582201
250.7006,0.0160548
252.6291,0.01643672
254.5575,0.01675391
256.486,0.01661745
258.4145,0.01666275
260.3429,0.01683742
262.2714,0.0172792
264.1999,0.01747512
266.1283,0.01763447
268.0568,0.01780429
269.9853,0.01812533
271.9137,0.01805493
273.8422,0.01818964
275.7707,0.01857758
277.6991,0.01868947
279.6276,0.01867721
281.5561,0.01894388
283.4845,0.01921524
285.413,0.01945978
287.3415,0.01980546
289.2699,0.02030532
291.1984,0.0206207
293.1269,0.02085901
295.0553,0.02098225
296.9838,0.02110693
298.9123,0.02147655
300.8407,0.02180655
302.7692,0.02206075
304.6977,0.02229997
306.6261,0.02226553
308.5546,0.0225179
310.4831,0.0226662
312.4115,0.02284514
314.34,0.02295124
316.2685,0.02331314
318.1969,0.02364644
320.1254,0.02397547
322.0539,0.02413317
323.9823,0.02439177
325.9108,0.02469489
327.8392,0.0249585
329.7677,0.02522234
331.6962,0.02545361
333.6246,0.02539625
335.5531,0.02551882
337.4816,0.02572726
339.41,0.02578135
341.3385,0.02589684
343.267,0.02616518
345.1954,0.02623525
347.1239,0.0262492
349.0524,0.02622661
350.9808,0.02629468
352.9093,0.02614801
354.8378,0.0259767
356.7662,0.0263649
358.6947,0.02669829
360.6232,0.02675417
362.5516,0.02708643
364.4801,0.02707228
366.4086,0.02685955
368.337,0.02703269
370.2655,0.02739689
372.194,0.02747926
374.1224,0.02768213
376.0509,0.02785234
377.9794,0.02803904
379.9078,0.02831681
381.8363,0.02854121
383.7648,0.02879054
385.6932,0.02928376
387.6217,0.02964049
389.5502,0.02994427
391.4786,0.03026938
393.4071,0.0306326
395.3356,0.03081242
397.264,0.03117054
399.1925,0.031643
401.121,0.03193643
403.0494,0.03200255
404.9779,0.03232981
406.9064,0.03268361
408.8348,0.03273001
410.7633,0.03283292
412.6917,0.03314625
414.6202,0.03363949
416.5487,0.03423723
418.4771,0.03462907
420.4056,0.03495691
422.3341,0.0354972
424.2625,0.03608926
426.191,0.0367698
428.1195,0.03771681
430.0479,0.03822392
431.9764,0.03879287
433.9049,0.03961269
435.8333,0.04019382
437.7618,0.04064133
439.6903,0.04088024
441.6187,0.04065336
443.5472,0.04067658
445.4757,0.04083718
447.4041,0.04061428
449.3326,0.04001251
451.2611,0.03974546
453.1895,0.03953788
455.118,0.03882916
457.0465,0.03872228
458.9749,0.03898244
460.9034,0.03847371
462.8319,0.03790205
464.7603,0.03723934
466.6888,0.03647202
468.6173,0.03590561
470.5457,0.03553004
472.4742,0.03502551
474.4027,0.03443399
476.3311,0.03378874
478.2596,0.03345515
480.1881,0.03312067
482.1165,0.03249588
484.045,0.03211332
485.9735,0.03200235
487.9019,0.0319967
489.8304,0.03212138
491.7589,0.0321666
493.6873,0.03222783
495.6158,0.03193675
