x,y
50.14013,0.004544058
52.0686,0.004893314
53.99707,0.0006783257
55.92553,-0.001514754
57.854,0.001587356
59.78246,0.002089007
61.71093,0.003764566
63.6394,0.005431981
65.56786,0.006184646
67.49633,0.006017844
69.4248,0.007022304
71.35326,0.007817199
73.28172,0.008022634
75.21019,0.008079578
77.13866,0.009988002
79.06712,0.01098218
80.99559,0.01051569
82.92406,0.01114262
84.85252,0.01301628
86.78099,0.013681
88.70946,0.01460414
90.63792,0.01505557
92.56638,0.01555454
94.49485,0.01555275
96.42332,0.01593214
98.35178,0.01618812
100.2803,0.01657855
102.2087,0.01701092
104.1372,0.01711064
106.0657,0.0163778
107.9941,0.0154679
109.9226,0.01404634
111.851,0.01371805
113.7795,0.01299231
115.708,0.0121055
117.6364,0.01164379
119.5649,0.0117852
121.4934,0.01172884
123.4218,0.01199256
125.3503,0.01240935
127.2788,0.0127969
129.2072,0.01300834
131.1357,0.01382766
133.0642,0.01422768
134.9926,0.01443104
136.9211,0.01463791
138.8496,0.01526252
140.778,0.01532695
142.7065,0.0150556
144.635,0.01413533
146.5634,0.01331678
148.4919,0.01359265
150.4204,0.01408349
152.3488,0.01378153
154.2773,0.01347176
156.2058,0.01336663
158.1342,0.01353247
160.0627,0.01331001
161.9912,0.01393133
163.9196,0.01445568
165.8481,0.01484916
167.7766,0.01510148
169.705,0.01505712
171.6335,0.01481466
173.562,0.01508843
175.4904,0.0153072
177.4189,0.01499769
179.3474,0.01525994
181.2758,0.01629563
183.2043,0.01651602
185.1328,0.0169076
187.0612,0.01773944
188.9897,0.01822802
190.9182,0.01828064
192.8466,0.01871805
194.7751,0.01888572
196.7036,0.01894349
198.632,0.01893314
200.5605,0.01924039
202.489,0.01969435
204.4174,0.0195955
206.3459,0.01977762
208.2744,0.02031325
210.2028,0.02023452
212.1313,0.02048737
214.0598,0.02107399
215.9882,0.02149356
217.9167,0.02186318
219.8452,0.02240993
221.7736,0.02270098
223.7021,0.02314552
225.6305,0.02377801
227.559,0.02436885
229.4875,0.02447455
231.4159,0.0248461
233.3444,0.02527074
235.2729,0.02571653
237.2013,0.02627847
239.1298,0.02679572
241.0583,0.02727119
242.9867,0.02801471
244.9152,0.02857778
246.8437,0.02922854
248.7721,0.02973809
250.7006,0.03014318
252.6291,0.03116707
254.5575,0.03222537
256.486,0.03241941
258.4145,0.03282249
260.3429,0.03320137
262.2714,0.03361193
264.1999,0.03371165
266.1283,0.03396264
268.0568,0.03405512
269.9853,0.03414295
271.9137,0.03412655
273.8422,0.03441828
275.7707,0.03485914
277.6991,0.03547827
279.6276,0.0358585
281.5561,0.03597543
283.4845,0.03605515
285.413,0.03633868
287.3415,0.03682185
289.2699,0.03723137
291.1984,0.03736036
293.1269,0.03759323
295.0553,0.03812943
296.9838,0.0386168
298.9123,0.03918849
300.8407,0.0401964
302.7692,0.0411515
304.6977,0.04136925
306.6261,0.04157145
308.5546,0.04195794
310.4831,0.04180481
312.4115,0.04168323
314.34,0.04148285
316.2685,0.04161414
318.1969,0.04161008
320.1254,0.04127888
322.0539,0.04087942
323.9823,0.04080855
325.9108,0.04038561
327.8392,0.03967188
329.7677,0.03917487
331.6962,0.03896589
333.6246,0.03860895
335.5531,0.03829321
337.4816,0.03807443
339.41,0.03790278
341.3385,0.03768763
343.267,0.03758854
345.1954,0.03751975
347.1239,0.03757956
349.0524,0.03790509
350.9808,0.03833093
352.9093,0.03854086
354.8378,0.03853818
356.7662,0.03849737
358.6947,0.03823806
360.6232,0.03785374
362.5516,0.03808777
364.4801,0.03826931
366.4086,0.03821231
368.337,0.03829281
370.2655,0.03855523
372.194,0.03874049
374.1224,0.03914116
376.0509,0.0393444
377.9794,0.03945769
379.9078,0.03980236
381.8363,0.04040711
383.7648,0.0408991
385.6932,0.04145398
387.6217,0.04187211
389.5502,0.04239119
391.4786,0.04307539
393.4071,0.04424207
395.3356,0.04550877
397.264,0.04661783
399.1925,0.04781381
401.121,0.04912125
403.0494,0.05039229
404.9779,0.05168957
406.9064,0.05269146
408.8348,0.05355864
410.7633,0.05438805
412.6917,0.0548689
414.6202,0.05517665
416.5487,0.05598458
418.4771,0.05686124
420.4056,0.05754626
422.3341,0.05836158
424.2625,0.05922166
426.191,0.06041521
428.1195,0.06179201
430.0479,0.0627092
431.9764,0.06376928
433.9049,0.06494641
435.8333,0.06589465
437.7618,0.06661172
439.6903,0.06690933
441.6187,0.06628571
443.5472,0.0655449
445.4757,0.06500711
447.4041,0.06492138
449.3326,0.06503189
451.2611,0.06570691
453.1895,0.06673886
455.118,0.06769751
457.0465,0.06948978
458.9749,0.07119416
460.9034,0.07252119
462.8319,0.07419155
464.7603,0.07576096
466.6888,0.0768998
468.6173,0.07778844
470.5457,0.07794979
472.4742,0.0779692
474.4027,0.07825412
476.3311,0.07841688
478.2596,0.07801612
480.1881,0.07757945
482.1165,0.07659283
484.045,0.07536419
485.9735,0.07395172
487.9019,0.07207251
489.8304,0.07056537
491.7589,0.06932079
493.6873,0.0679973
495.6158,0.06681006
497.5443,0.0657452
499.4727,0.06460185
501.4012,0.0640476
503.3297,0.06415817
505.2581,0.06408811
507.1866,0.06384767
509.1151,0.06373101
511.0435,0.06408788
512.972,0.06462389
514.9005,0.06527863
516.8289,0.06667043
518.7574,0.06817843
520.6859,0.06931431
522.6143,0.07052325
524.5428,0.07189737
526.4713,0.07315039
528.3997,0.07410599
530.3282,0.07461172
532.2567,0.07499959
534.1851,0.07457511
536.1136,0.07377333
538.0421,0.07282083
539.9705,0.07204334
541.899,0.0711579
543.8275,0.06972262
545.7559,0.06843827
547.6844,0.06769435
549.6129,0.06721139
551.5413,0.06624479
553.4698,0.06493257
555.3983,0.06385721
557.3267,0.06252883
559.2552,0.06114887
561.1837,0.05981446
563.1121,0.05839122
565.0406,0.05703301
566.9691,0.05567156
568.8975,0.05438959
570.826,0.05358957
572.7545,0.05261507
574.6829,0.05183773
576.6114,0.05125682
578.5399,0.0502421
580.4683,0.04890692
582.3968,0.04790597
584.3253,0.04699195
586.2537,0.04617256
588.1822,0.04460041
590.1107,0.04343464
592.0391,0.0426421
593.9676,0.04158946
595.8961,0.04090951
597.8245,0.04016383
599.753,0.03922689
601.6815,0.03848977
603.6099,0.03824668
605.5384,0.03813035
607.4669,0.03799618
609.3953,0.03806463
611.3238,0.03809676
613.2523,0.03860674
615.1807,0.03893862
617.1091,0.03914313
619.0376,0.0395278
620.9661,0.03991694
622.8945,0.03926244
624.823,0.03943378
626.7515,0.04005286
628.6799,0.04101294
630.6084,0.04186163
632.5369,0.04232068
634.4653,0.04248363
636.3938,0.0428236
638.3223,0.04341048
640.2507,0.04379364
642.1792,0.0441888
