x,y
50.14013,0.009787227
52.0686,0.005572649
53.99707,0.005372466
55.92553,0.007370988
57.854,0.008174062
59.78246,0.009340836
61.71093,0.008984321
63.6394,0.0123962
65.56786,0.01362518
67.49633,0.01270633
69.4248,0.01175627
71.35326,0.01141409
73.28172,0.01298955
75.21019,0.0135363
77.13866,0.01353192
79.06712,0.0137059
80.99559,0.0141744
82.92406,0.0151396
84.85252,0.01533819
86.78099,0.01564637
88.70946,0.01624748
90.63792,0.01632064
92.56638,0.01567166
94.49485,0.01576896
96.42332,0.0164685
98.35178,0.01712894
100.2803,0.01687845
102.2087,0.01728196
104.1372,0.01800623
106.0657,0.01879136
107.9941,0.01896463
109.9226,0.01910348
111.851,0.01936364
113.7795,0.01956967
115.708,0.01956191
117.6364,0.02001708
119.5649,0.02066477
121.4934,0.02129489
123.4218,0.02179916
125.3503,0.02239603
127.2788,0.02265853
129.2072,0.0232775
131.1357,0.02367478
133.0642,0.02379196
134.9926,0.024194
136.9211,0.02488991
138.8496,0.02495259
140.778,0.02531477
142.7065,0.02592395
144.635,0.02590505
146.5634,0.02578523
148.4919,0.02635644
150.4204,0.02693291
152.3488,0.02731833
154.2773,0.02785642
156.2058,0.02869079
158.1342,0.02858742
160.0627,0.02898868
161.9912,0.0294068
163.9196,0.02948941
165.8481,0.02972655
167.7766,0.02999252
169.705,0.0300562
171.6335,0.03040379
173.562,0.03046844
175.4904,0.03062059
177.4189,0.03125456
179.3474,0.03203319
181.2758,0.03220861
183.2043,0.03184839
185.1328,0.03173303
187.0612,0.03215965
188.9897,0.0326778
190.9182,0.03320541
192.8466,0.0334176
194.7751,0.03381857
196.7036,0.03420015
198.632,0.03440256
200.5605,0.03461312
202.489,0.0350255
204.4174,0.03542419
206.3459,0.03601069
208.2744,0.03634075
210.2028,0.03633794
212.1313,0.03655299
214.0598,0.03743093
215.9882,0.03782303
217.9167,0.03773889
219.8452,0.0376882
221.7736,0.03787607
223.7021,0.03815999
225.6305,0.03843725
227.559,0.03855736
229.4875,0.03875501
231.4159,0.03882268
233.3444,0.03883051
235.2729,0.03865005
237.2013,0.03854303
239.1298,0.03851989
241.0583,0.03832553
242.9867,0.03810501
244.9152,0.03806044
246.8437,0.03785624
248.7721,0.03753643
250.7006,0.03727139
252.6291,0.03683406
254.5575,0.03630774
256.486,0.03599901
258.4145,0.03544409
260.3429,0.03481399
262.2714,0.03439687
264.1999,0.03385714
266.1283,0.03319312
268.0568,0.03277092
269.9853,0.03214061
271.9137,0.0314285
273.8422,0.03062462
275.7707,0.02976872
277.6991,0.02904609
279.6276,0.02834478
281.5561,0.02785497
283.4845,0.02778144
285.413,0.02813482
287.3415,0.02882005
289.2699,0.02971816
291.1984,0.03040523
293.1269,0.0311686
295.0553,0.03217
296.9838,0.03309721
298.9123,0.03389553
300.8407,0.03478514
302.7692,0.03579492
304.6977,0.03634136
306.6261,0.03699196
308.5546,0.03802365
310.4831,0.03887581
312.4115,0.03956623
314.34,0.0401087
316.2685,0.0405673
318.1969,0.04123531
320.1254,0.04206443
322.0539,0.0429108
323.9823,0.04356682
325.9108,0.04420191
327.8392,0.04453308
329.7677,0.04485088
331.6962,0.04518497
333.6246,0.04549291
335.5531,0.04542989
337.4816,0.04495333
339.41,0.04428215
341.3385,0.04351475
343.267,0.04252152
345.1954,0.0414236
347.1239,0.04038301
349.0524,0.03925163
350.9808,0.03791995
352.9093,0.03671201
354.8378,0.03534141
356.7662,0.03422491
358.6947,0.03370339
360.6232,0.03303844
362.5516,0.03224162
364.4801,0.03173593
366.4086,0.0314077
368.337,0.03089862
370.2655,0.03044628
372.194,0.03002731
374.1224,0.02957604
376.0509,0.0291973
377.9794,0.02872276
379.9078,0.02814486
381.8363,0.02771243
383.7648,0.02733248
385.6932,0.02679098
387.6217,0.02620115
389.5502,0.02567131
391.4786,0.02504885
393.4071,0.0244091
395.3356,0.02393431
397.264,0.02346978
399.1925,0.02310193
401.121,0.02301854
403.0494,0.0229198
404.9779,0.02301636
406.9064,0.0233453
408.8348,0.02381916
410.7633,0.0242872
412.6917,0.02448129
414.6202,0.02402455
416.5487,0.02312772
418.4771,0.02230322
420.4056,0.02186467
422.3341,0.02164874
424.2625,0.02174307
426.191,0.02193458
428.1195,0.02201547
430.0479,0.02233813
431.9764,0.02266947
433.9049,0.02274118
435.8333,0.02307917
437.7618,0.02331788
439.6903,0.02342828
441.6187,0.02355669
443.5472,0.02363786
445.4757,0.02379661
447.4041,0.02403515
449.3326,0.02419109
451.2611,0.02465577
453.1895,0.02509501
455.118,0.0253382
457.0465,0.02571268
458.9749,0.02613785
460.9034,0.02661609
462.8319,0.02709595
464.7603,0.02767234
466.6888,0.02854555
468.6173,0.02903716
470.5457,0.02911982
472.4742,0.02952601
474.4027,0.03022219
476.3311,0.03088096
478.2596,0.03176705
480.1881,0.03270609
482.1165,0.03360741
484.045,0.03409589
485.9735,0.03443308
487.9019,0.03473339
489.8304,0.03549755
491.7589,0.03659947
493.6873,0.0377924
495.6158,0.03875238
497.5443,0.039655
499.4727,0.04060146
501.4012,0.04188244
503.3297,0.04337477
505.2581,0.04477541
507.1866,0.04632859
509.1151,0.04761131
511.0435,0.04906496
512.972,0.05108715
514.9005,0.05331437
516.8289,0.05582172
518.7574,0.05783779
520.6859,0.05839949
522.6143,0.05760709
524.5428,0.05558247
526.4713,0.05269483
528.3997,0.04897501
530.3282,0.04520747
532.2567,0.04156378
534.1851,0.03802643
536.1136,0.03496865
538.0421,0.03215265
539.9705,0.02981285
541.899,0.02870877
543.8275,0.02777326
545.7559,0.02700295
547.6844,0.02700442
549.6129,0.02715025
551.5413,0.02725252
553.4698,0.02751972
555.3983,0.02750626
557.3267,0.0274981
559.2552,0.02763569
561.1837,0.02770586
563.1121,0.02791253
565.0406,0.0281305
566.9691,0.02865538
568.8975,0.02899066
570.826,0.02918575
572.7545,0.02964143
574.6829,0.03015411
576.6114,0.03071004
578.5399,0.03116601
580.4683,0.03159725
582.3968,0.0319539
584.3253,0.0322182
586.2537,0.03257929
588.1822,0.03305664
590.1107,0.03350095
592.0391,0.03393585
593.9676,0.03427144
595.8961,0.03453998
597.8245,0.03464893
599.753,0.03486295
601.6815,0.03507465
603.6099,0.03546938
605.5384,0.03604602
607.4669,0.03697572
609.3953,0.0378023
611.3238,0.03851727
613.2523,0.03955251
615.1807,0.040875
617.1091,0.04222229
619.0376,0.0432149
620.9661,0.04452886
622.8945,0.04647716
624.823,0.04875618
626.7515,0.0513924
628.6799,0.05432516
630.6084,0.05718933
632.5369,0.05967447
634.4653,0.06165982
636.3938,0.06308443
638.3223,0.06346263
640.2507,0.06252534
642.1792,0.06113746
644.1077,0.05946131
646.0361,0.05714176
647.9646,0.05459195
649.8931,0.05233064
651.8215,0.05003462
653.75,0.04768372
655.6785,0.04543261
657.6069,0.0434547
659.5354,0.04164393
661.4639,0.04020396
663.3923,0.03922409
665.3208,0.03868265
667.2493,0.03838303
669.1777,0.03845318
671.1062,0.03834873
673.0347,0.0387596
674.9631,0.03900628
676.8916,0.03922768
678.8201,0.03966193
680.7485,0.03996541
682.677,0.0402565
684.6055,0.04021673
686.5339,0.04011735
688.4624,0.04013307
690.3909,0.04016493
692.3193,0.04084199
694.2478,0.0411604
696.1763,0.04154967
698.1047,0.04207863
700.0332,0.04161722
