x,y
50.14013,0.003068052
52.0686,0.00769309
53.99707,0.007974219
55.92553,0.0124246
57.854,0.01843351
59.78246,0.01599704
61.71093,0.007988753
63.6394,0.007934644
65.56786,0.01139173
67.49633,0.01131694
69.4248,0.01078939
71.35326,0.01271545
73.28172,0.01541347
75.21019,0.01658696
77.13866,0.01766141
79.06712,0.01994508
80.99559,0.02159154
82.92406,0.02280409
84.85252,0.02348488
86.78099,0.0226162
88.70946,0.02313706
90.63792,0.02423608
92.56638,0.02440087
94.49485,0.02450389
96.42332,0.02745773
98.35178,0.03054819
100.2803,0.02924377
102.2087,0.02722211
104.1372,0.02822112
106.0657,0.03087308
107.9941,0.03351105
109.9226,0.03638126
111.851,0.03734481
113.7795,0.03509679
115.708,0.03345183
117.6364,0.03286695
119.5649,0.03071596
121.4934,0.02849976
123.4218,0.02767812
125.3503,0.02825734
127.2788,0.03006148
129.2072,0.03172901
131.1357,0.03324841
133.0642,0.03564651
134.9926,0.03807381
136.9211,0.0413327
138.8496,0.04172351
140.778,0.03838558
142.7065,0.03662326
144.635,0.03789292
146.5634,0.04072458
148.4919,0.04411338
150.4204,0.04735102
152.3488,0.04933213
154.2773,0.04999194
156.2058,0.04737716
158.1342,0.0413652
160.0627,0.03435796
161.9912,0.02942173
163.9196,0.02933207
165.8481,0.03355334
167.7766,0.03874459
169.705,0.0444691
171.6335,0.04989354
173.562,0.05301455
175.4904,0.05476346
177.4189,0.0550673
179.3474,0.05383885
181.2758,0.05072299
183.2043,0.0470453
185.1328,0.04382228
187.0612,0.04089961
188.9897,0.03787837
190.9182,0.03417915
192.8466,0.02953755
194.7751,0.02484193
196.7036,0.02152242
198.632,0.01982283
200.5605,0.01934487
202.489,0.01959375
204.4174,0.02042904
206.3459,0.02190349
208.2744,0.02415369
210.2028,0.02680601
212.1313,0.03028251
214.0598,0.03573316
215.9882,0.0424924
217.9167,0.0481105
219.8452,0.04987118
221.7736,0.04735715
223.7021,0.04191448
225.6305,0.03558096
227.559,0.03013674
229.4875,0.02717437
231.4159,0.0264699
233.3444,0.02700089
235.2729,0.02824631
237.2013,0.03019575
239.1298,0.03290523
241.0583,0.03587234
242.9867,0.03749187
244.9152,0.03675062
246.8437,0.03482662
248.7721,0.03410308
250.7006,0.03500291
252.6291,0.0363059
254.5575,0.0375973
256.486,0.03767666
258.4145,0.03674255
260.3429,0.0356752
262.2714,0.03468896
264.1999,0.03318929
266.1283,0.03095628
268.0568,0.02886692
269.9853,0.0275776
271.9137,0.02706748
273.8422,0.02718723
275.7707,0.02722234
277.6991,0.02733543
279.6276,0.02746007
281.5561,0.02760531
283.4845,0.02787199
285.413,0.02835984
287.3415,0.02908874
289.2699,0.02971839
291.1984,0.02997222
293.1269,0.03049792
295.0553,0.03124295
296.9838,0.03198048
298.9123,0.03297033
300.8407,0.03397708
302.7692,0.0351
304.6977,0.03625314
306.6261,0.03729335
308.5546,0.03879322
310.4831,0.04044127
312.4115,0.04225291
314.34,0.04403013
316.2685,0.04566434
318.1969,0.04680118
320.1254,0.04810892
322.0539,0.0498377
323.9823,0.05221148
325.9108,0.05536762
327.8392,0.05901438
329.7677,0.06248274
331.6962,0.06502375
333.6246,0.06626153
335.5531,0.06549172
337.4816,0.06248645
339.41,0.05778291
341.3385,0.05234583
343.267,0.04673826
345.1954,0.04230482
347.1239,0.03972878
349.0524,0.03821297
350.9808,0.03783539
352.9093,0.03880766
354.8378,0.04054378
356.7662,0.04300181
358.6947,0.04635908
360.6232,0.0499329
362.5516,0.05357064
364.4801,0.0567183
366.4086,0.0590461
368.337,0.06046472
370.2655,0.0600169
372.194,0.05689009
374.1224,0.05162564
376.0509,0.04584244
377.9794,0.04078702
379.9078,0.03734701
381.8363,0.03537473
383.7648,0.03442523
385.6932,0.0341028
387.6217,0.03438521
389.5502,0.03523109
391.4786,0.03611164
393.4071,0.03694506
395.3356,0.03826872
397.264,0.04023254
399.1925,0.04229656
401.121,0.04450738
403.0494,0.04722868
404.9779,0.05068714
406.9064,0.05429224
408.8348,0.05759306
410.7633,0.06112115
412.6917,0.06443126
414.6202,0.06646914
416.5487,0.06712898
418.4771,0.06597912
420.4056,0.06349583
422.3341,0.06023916
424.2625,0.05629002
426.191,0.05172279
428.1195,0.04812753
430.0479,0.04594905
431.9764,0.04449151
433.9049,0.04352168
435.8333,0.043543
437.7618,0.04366126
439.6903,0.04355646
441.6187,0.04349875
443.5472,0.04396602
445.4757,0.04480077
447.4041,0.04640953
449.3326,0.04865693
451.2611,0.05124554
453.1895,0.0542032
455.118,0.05678045
457.0465,0.05856162
458.9749,0.05912449
460.9034,0.05772165
462.8319,0.05534479
464.7603,0.05391342
466.6888,0.053782
468.6173,0.05454745
470.5457,0.05603785
472.4742,0.05810307
474.4027,0.06064293
476.3311,0.06362937
478.2596,0.06704802
480.1881,0.07105682
482.1165,0.07570211
484.045,0.07919697
485.9735,0.08189582
487.9019,0.08364607
489.8304,0.08401594
491.7589,0.0834294
493.6873,0.0820781
495.6158,0.08018329
497.5443,0.07766002
499.4727,0.07469918
501.4012,0.07113788
503.3297,0.06735423
505.2581,0.06459613
507.1866,0.06306268
509.1151,0.06307404
511.0435,0.06554794
512.972,0.06947586
514.9005,0.07265405
516.8289,0.07267785
518.7574,0.06890723
520.6859,0.06200556
522.6143,0.05425997
524.5428,0.04746616
526.4713,0.04282978
528.3997,0.04033297
530.3282,0.03914617
532.2567,0.03835402
534.1851,0.03774488
536.1136,0.03781007
538.0421,0.03813112
539.9705,0.03830107
541.899,0.03870506
543.8275,0.03875582
545.7559,0.03893764
547.6844,0.03971496
549.6129,0.03997216
551.5413,0.04026958
553.4698,0.04086861
555.3983,0.0414466
557.3267,0.04197272
559.2552,0.04238074
561.1837,0.04312896
563.1121,0.0442455
565.0406,0.04519386
566.9691,0.0461858
568.8975,0.0471759
570.826,0.04853371
572.7545,0.04989479
574.6829,0.05126131
576.6114,0.05296512
578.5399,0.054916
580.4683,0.05704176
582.3968,0.05930309
584.3253,0.06156259
586.2537,0.06418037
588.1822,0.06756356
590.1107,0.0711785
592.0391,0.07526945
593.9676,0.08023291
595.8961,0.08522386
597.8245,0.0899406
599.753,0.0937601
601.6815,0.09478451
603.6099,0.09284096
605.5384,0.09131626
607.4669,0.09288158
609.3953,0.0959127
611.3238,0.09729221
613.2523,0.09591828
615.1807,0.09201914
617.1091,0.08730904
619.0376,0.08286449
620.9661,0.07814432
622.8945,0.07578722
624.823,0.07798982
626.7515,0.08293053
628.6799,0.08956047
630.6084,0.09696359
632.5369,0.103945
634.4653,0.108719
636.3938,0.1100505
638.3223,0.1074478
640.2507,0.1013072
642.1792,0.09340461
644.1077,0.08500318
646.0361,0.07703469
647.9646,0.07079101
649.8931,0.06609634
651.8215,0.06251085
653.75,0.06041059
655.6785,0.0596168
657.6069,0.05959602
659.5354,0.06047672
661.4639,0.06259635
663.3923,0.06461678
665.3208,0.06578536
667.2493,0.06615613
669.1777,0.06575646
671.1062,0.06470333
673.0347,0.06285208
674.9631,0.06006343
676.8916,0.05713724
678.8201,0.05544826
680.7485,0.0541681
682.677,0.05268801
684.6055,0.05139805
686.5339,0.05128141
688.4624,0.05145952
690.3909,0.05124312
692.3193,0.05192715
694.2478,0.052368
696.1763,0.05292624
698.1047,0.05433247
700.0332,0.05592475
