x,y
50.14013,0.01165119
52.0686,0.01334101
53.99707,0.01163963
55.92553,0.01852837
57.854,0.02915689
59.78246,0.03209152
61.71093,0.02644473
63.6394,0.02705434
65.56786,0.02650648
67.49633,0.02299318
69.4248,0.02243299
71.35326,0.02556305
73.28172,0.02896709
75.21019,0.02897783
77.13866,0.03131551
79.06712,0.03519283
80.99559,0.03501757
82.92406,0.03525962
84.85252,0.03594154
86.78099,0.03570096
88.70946,0.03553531
90.63792,0.03487439
92.56638,0.03429135
94.49485,0.03529237
96.42332,0.0374275
98.35178,0.03757861
100.2803,0.03648519
102.2087,0.03748417
104.1372,0.03850866
106.0657,0.03967747
107.9941,0.04004978
109.9226,0.03968236
111.851,0.04020758
113.7795,0.04116387
115.708,0.04201751
117.6364,0.04387269
119.5649,0.04510799
121.4934,0.04595939
123.4218,0.04652471
125.3503,0.04764577
127.2788,0.0486268
129.2072,0.0502209
131.1357,0.05142249
133.0642,0.05242973
134.9926,0.053296
136.9211,0.05520374
138.8496,0.05544683
140.778,0.05638208
142.7065,0.05817933
144.635,0.05936753
146.5634,0.05931378
148.4919,0.060509
150.4204,0.06221822
152.3488,0.06286526
154.2773,0.06289922
156.2058,0.06453253
158.1342,0.06649823
160.0627,0.06794906
161.9912,0.06875119
163.9196,0.06987469
165.8481,0.07059924
167.7766,0.0715671
169.705,0.07275336
171.6335,0.07429987
173.562,0.07394969
175.4904,0.07377367
177.4189,0.07433551
179.3474,0.07448608
181.2758,0.07311147
183.2043,0.07197485
185.1328,0.07154065
187.0612,0.07187831
188.9897,0.07202221
190.9182,0.07247387
192.8466,0.07347611
194.7751,0.0742353
196.7036,0.07464445
198.632,0.07572607
200.5605,0.07679943
202.489,0.07780046
204.4174,0.07803462
206.3459,0.07836471
208.2744,0.07836476
210.2028,0.07806336
212.1313,0.07756176
214.0598,0.07727026
215.9882,0.07701799
217.9167,0.07736492
219.8452,0.07733867
221.7736,0.07719383
223.7021,0.07740434
225.6305,0.07834152
227.559,0.07894427
229.4875,0.0797163
231.4159,0.08073325
233.3444,0.08119726
235.2729,0.08123973
237.2013,0.08211211
239.1298,0.08368411
241.0583,0.08493052
242.9867,0.08591493
244.9152,0.08707687
246.8437,0.08812591
248.7721,0.08884695
250.7006,0.08930485
252.6291,0.09007522
254.5575,0.09040533
256.486,0.09030915
258.4145,0.08989549
260.3429,0.08983009
262.2714,0.08973625
264.1999,0.08956069
266.1283,0.08993417
268.0568,0.09122242
269.9853,0.0920987
271.9137,0.09283776
273.8422,0.09360847
275.7707,0.0945382
277.6991,0.09530328
279.6276,0.09627978
281.5561,0.09729654
283.4845,0.09815198
285.413,0.09872282
287.3415,0.09950764
289.2699,0.1004113
291.1984,0.1013275
293.1269,0.1021705
295.0553,0.1030234
296.9838,0.1035171
298.9123,0.1045895
300.8407,0.1052914
302.7692,0.1058983
304.6977,0.1064933
306.6261,0.1075368
308.5546,0.1086334
310.4831,0.1093254
312.4115,0.1094896
314.34,0.1097778
316.2685,0.1098926
318.1969,0.1102842
320.1254,0.1108021
322.0539,0.1114054
323.9823,0.1115714
325.9108,0.1119881
327.8392,0.1124606
329.7677,0.112656
331.6962,0.1128189
333.6246,0.1135736
335.5531,0.1142234
337.4816,0.1147329
339.41,0.1149658
341.3385,0.1153112
343.267,0.1159298
345.1954,0.1165179
