x,y
50.14013,0.01725091
52.0686,0.01681834
53.99707,0.0153904
55.92553,0.01965068
57.854,0.02436748
59.78246,0.03369642
61.71093,0.02816042
63.6394,0.02845989
65.56786,0.02882271
67.49633,0.02508724
69.4248,0.0244423
71.35326,0.02726522
73.28172,0.02906306
75.21019,0.02891471
77.13866,0.02981719
79.06712,0.03300639
80.99559,0.03300142
82.92406,0.03235834
84.85252,0.03269031
86.78099,0.03227881
88.70946,0.03217666
90.63792,0.03286912
92.56638,0.03368739
94.49485,0.03470352
96.42332,0.03558228
98.35178,0.03578437
100.2803,0.03466967
102.2087,0.03525535
104.1372,0.03620788
106.0657,0.03678483
107.9941,0.03673836
109.9226,0.03735185
111.851,0.03797507
113.7795,0.03845077
115.708,0.03859631
117.6364,0.03889439
119.5649,0.03923944
121.4934,0.04019094
123.4218,0.04053333
125.3503,0.04104557
127.2788,0.04150451
129.2072,0.04186435
131.1357,0.04219631
133.0642,0.04278969
134.9926,0.04327841
136.9211,0.04397186
138.8496,0.04394405
140.778,0.04457526
142.7065,0.04495525
144.635,0.04505116
146.5634,0.04581757
148.4919,0.04654991
150.4204,0.04627295
152.3488,0.04666506
154.2773,0.04726763
156.2058,0.04766539
158.1342,0.04741795
160.0627,0.04769543
161.9912,0.04811778
163.9196,0.04859316
165.8481,0.04922768
167.7766,0.0497302
169.705,0.05037586
171.6335,0.05095533
173.562,0.0508047
175.4904,0.05078596
177.4189,0.05141708
179.3474,0.05232698
181.2758,0.05256082
183.2043,0.05240786
185.1328,0.05263102
187.0612,0.05275315
188.9897,0.0527411
190.9182,0.05267494
192.8466,0.05297438
194.7751,0.05363793
196.7036,0.0538589
198.632,0.05395471
200.5605,0.05399521
202.489,0.0541535
204.4174,0.05392625
206.3459,0.05351809
208.2744,0.05333797
210.2028,0.05397371
212.1313,0.05492092
214.0598,0.05558973
215.9882,0.05564299
217.9167,0.05579937
219.8452,0.05616839
221.7736,0.0564236
223.7021,0.05621654
225.6305,0.05614866
227.559,0.05628429
229.4875,0.05653084
231.4159,0.05645625
233.3444,0.05664415
235.2729,0.05677591
237.2013,0.05651411
239.1298,0.0562159
241.0583,0.05655012
242.9867,0.05642552
244.9152,0.05663158
246.8437,0.05706469
248.7721,0.05719383
250.7006,0.05719544
252.6291,0.05692512
254.5575,0.05693967
256.486,0.05726972
258.4145,0.05756905
260.3429,0.05760167
