x,y
50.14013,-0.003279316
52.0686,0.0005612684
53.99707,0.004616695
55.92553,0.02047918
57.854,0.02862072
59.78246,0.03093908
61.71093,0.02694196
63.6394,0.02734558
65.56786,0.02706166
67.49633,0.0231221
69.4248,0.02544515
71.35326,0.0268923
73.28172,0.0252426
75.21019,0.02519543
77.13866,0.02821173
79.06712,0.03027642
80.99559,0.0282968
82.92406,0.02694513
84.85252,0.02728963
86.78099,0.02790112
88.70946,0.02867171
90.63792,0.02987457
92.56638,0.03068845
94.49485,0.03213551
96.42332,0.03371897
98.35178,0.03363476
100.2803,0.03219067
102.2087,0.03290032
104.1372,0.03305778
106.0657,0.03270464
107.9941,0.03249723
109.9226,0.03211953
111.851,0.03214305
113.7795,0.03202998
115.708,0.03166783
117.6364,0.03269339
119.5649,0.03472772
121.4934,0.03700403
123.4218,0.0387683
125.3503,0.0396778
127.2788,0.04107942
129.2072,0.0426836
131.1357,0.04449544
133.0642,0.04532975
134.9926,0.04521878
136.9211,0.04602097
138.8496,0.04604865
140.778,0.04538177
142.7065,0.04443546
144.635,0.04370564
146.5634,0.04480064
148.4919,0.04654548
150.4204,0.04791022
152.3488,0.04853325
154.2773,0.04804475
156.2058,0.0466473
158.1342,0.04499326
160.0627,0.04424618
161.9912,0.04393648
163.9196,0.04455973
165.8481,0.04585548
167.7766,0.04742676
169.705,0.04953106
171.6335,0.05169499
173.562,0.05278439
175.4904,0.05344381
177.4189,0.05431215
179.3474,0.05390351
181.2758,0.05252087
183.2043,0.05101844
185.1328,0.04946318
187.0612,0.04786997
188.9897,0.04658899
190.9182,0.04625143
192.8466,0.04640408
194.7751,0.04654737
196.7036,0.04666525
198.632,0.04675689
200.5605,0.0472672
202.489,0.04762778
204.4174,0.0480615
206.3459,0.0488914
208.2744,0.05004507
210.2028,0.05176112
212.1313,0.05362847
214.0598,0.05485736
215.9882,0.05592841
217.9167,0.05672453
219.8452,0.05682664
221.7736,0.05663896
223.7021,0.05594569
225.6305,0.0545149
227.559,0.05336683
229.4875,0.0527588
231.4159,0.05262409
233.3444,0.05251357
235.2729,0.05276615
237.2013,0.05358433
239.1298,0.05436258
241.0583,0.05464105
242.9867,0.05453133
244.9152,0.05434787
246.8437,0.0540957
248.7721,0.05358336
250.7006,0.05351733
252.6291,0.05388989
254.5575,0.05456915
256.486,0.05573646
258.4145,0.05739252
260.3429,0.05867153
262.2714,0.05991337
264.1999,0.06097451
266.1283,0.06153607
268.0568,0.06212811
269.9853,0.06316981
271.9137,0.06449681
273.8422,0.06566021
275.7707,0.06720321
277.6991,0.06911519
279.6276,0.07058459
281.5561,0.07161511
283.4845,0.07242379
285.413,0.07280035
287.3415,0.07255246
289.2699,0.07196704
291.1984,0.07077915
293.1269,0.06945584
295.0553,0.06773437
296.9838,0.06569234
298.9123,0.06357953
300.8407,0.06165287
302.7692,0.05961268
304.6977,0.05756576
306.6261,0.05624124
308.5546,0.05550271
310.4831,0.05497951
312.4115,0.05487414
314.34,0.05497482
316.2685,0.0554689
318.1969,0.05595526
320.1254,0.05665601
322.0539,0.05735311
323.9823,0.0579431
325.9108,0.05835637
327.8392,0.05863414
329.7677,0.05833773
331.6962,0.05759341
333.6246,0.05682543
335.5531,0.05643857
337.4816,0.05637791
339.41,0.05644885
341.3385,0.05682551
343.267,0.05728477
345.1954,0.05771013
347.1239,0.05843309
349.0524,0.05906835
350.9808,0.05958803
352.9093,0.06002405
354.8378,0.06056229
356.7662,0.06035564
358.6947,0.06002918
360.6232,0.05959994
362.5516,0.05897915
364.4801,0.05822457
366.4086,0.05726124
368.337,0.05601236
370.2655,0.05445018
372.194,0.05307265
374.1224,0.05196023
376.0509,0.05075408
377.9794,0.04964996
379.9078,0.0485641
381.8363,0.04765418
383.7648,0.04696766
385.6932,0.0464629
