x,y
50.14013,-0.001166521
52.0686,0.005475112
53.99707,0.007462201
55.92553,0.009749543
57.854,0.01683993
59.78246,0.01981291
61.71093,0.0156237
63.6394,0.01454614
65.56786,0.01479753
67.49633,0.01319611
69.4248,0.0165635
71.35326,0.01810691
73.28172,0.01773439
75.21019,0.01773554
77.13866,0.01999606
79.06712,0.02284597
80.99559,0.02230584
82.92406,0.02091865
84.85252,0.02258526
86.78099,0.02316632
88.70946,0.02319786
90.63792,0.02385767
92.56638,0.02528827
94.49485,0.02663084
96.42332,0.02757267
98.35178,0.02798734
100.2803,0.02802518
102.2087,0.02904535
104.1372,0.02957795
106.0657,0.0284017
107.9941,0.02796883
109.9226,0.0282659
111.851,0.02866723
113.7795,0.02823505
115.708,0.02868631
117.6364,0.02978949
119.5649,0.03104176
121.4934,0.03216575
123.4218,0.03284321
125.3503,0.03323872
127.2788,0.03452497
129.2072,0.03596051
131.1357,0.03745817
133.0642,0.03926045
134.9926,0.04120325
136.9211,0.04236184
138.8496,0.04366368
140.778,0.0455992
142.7065,0.04686328
144.635,0.04703448
146.5634,0.0472257
148.4919,0.04764749
150.4204,0.0474254
152.3488,0.04742007
154.2773,0.04756924
156.2058,0.04761788
158.1342,0.04840133
160.0627,0.04889791
161.9912,0.0486102
163.9196,0.04811693
165.8481,0.04812736
167.7766,0.04840831
169.705,0.04888508
171.6335,0.0487093
173.562,0.04780207
175.4904,0.04678774
177.4189,0.04643309
179.3474,0.04671456
181.2758,0.04730523
183.2043,0.04774828
185.1328,0.0485642
187.0612,0.05025758
188.9897,0.05189978
190.9182,0.05273613
192.8466,0.05358357
194.7751,0.05508954
196.7036,0.05684546
198.632,0.05852316
200.5605,0.06014795
202.489,0.06158324
204.4174,0.06232152
206.3459,0.06226308
208.2744,0.06138177
210.2028,0.05974285
212.1313,0.05869204
214.0598,0.05871999
215.9882,0.05893881
217.9167,0.0588425
219.8452,0.05910807
221.7736,0.0598777
223.7021,0.06106573
225.6305,0.06208015
227.559,0.06335061
229.4875,0.06444989
231.4159,0.06523576
233.3444,0.0656051
235.2729,0.06631016
237.2013,0.06733645
239.1298,0.06847669
241.0583,0.06995006
242.9867,0.07074555
244.9152,0.07097828
246.8437,0.07169403
248.7721,0.07248524
250.7006,0.07309566
252.6291,0.07378999
254.5575,0.07520851
256.486,0.07687881
258.4145,0.07869821
260.3429,0.08059752
262.2714,0.0819415
264.1999,0.08239231
266.1283,0.08227526
268.0568,0.08180822
269.9853,0.08171369
271.9137,0.08245032
273.8422,0.08368142
275.7707,0.08510027
277.6991,0.08632669
279.6276,0.08704665
281.5561,0.08743553
283.4845,0.08805929
285.413,0.08908271
287.3415,0.08965807
289.2699,0.08988111
291.1984,0.08993912
293.1269,0.09035178
295.0553,0.09098201
296.9838,0.09159427
298.9123,0.09245199
300.8407,0.09394002
302.7692,0.09635592
304.6977,0.09803355
306.6261,0.09873347
308.5546,0.09957256
310.4831,0.1003261
312.4115,0.09992177
314.34,0.09856781
316.2685,0.09691041
318.1969,0.0952991
320.1254,0.09427004
322.0539,0.09362508
323.9823,0.09297702
325.9108,0.09240428
327.8392,0.09161879
329.7677,0.09100696
331.6962,0.09113771
333.6246,0.09176461
335.5531,0.09299923
337.4816,0.09473401
339.41,0.09615222
341.3385,0.09779742
343.267,0.09931416
345.1954,0.1006231
347.1239,0.1021791
349.0524,0.1036252
350.9808,0.1050259
352.9093,0.1064846
354.8378,0.1074035
356.7662,0.1077049
358.6947,0.1078097
360.6232,0.1072686
362.5516,0.1061172
364.4801,0.1045206
366.4086,0.1031638
368.337,0.1016888
370.2655,0.1003465
372.194,0.09978103
374.1224,0.1003078
376.0509,0.101001
377.9794,0.1014963
379.9078,0.1019232
381.8363,0.1020577
383.7648,0.1017919
385.6932,0.1014247
387.6217,0.1013695
389.5502,0.102011
391.4786,0.1031862
393.4071,0.1044094
395.3356,0.105689
397.264,0.1070571
399.1925,0.1082723
401.121,0.1091441
403.0494,0.1099279
404.9779,0.1101709
406.9064,0.110124
408.8348,0.1103449
410.7633,0.1106812
412.6917,0.1108766
414.6202,0.1111423
416.5487,0.1112058
418.4771,0.111068
420.4056,0.1113887
422.3341,0.1115144
424.2625,0.1116608
426.191,0.1118807
428.1195,0.1118713
430.0479,0.1116035
431.9764,0.1112023
433.9049,0.1108079
435.8333,0.1109888
437.7618,0.1112232
439.6903,0.1115848
441.6187,0.1126054
443.5472,0.1138666
445.4757,0.1152445
447.4041,0.1167221
449.3326,0.1179578
451.2611,0.1182983
453.1895,0.1176853
455.118,0.1170928
457.0465,0.1163796
458.9749,0.1162306
460.9034,0.1169222
462.8319,0.1181125
