x,y
50.14013,0.006330878
52.0686,0.01429984
53.99707,0.01872591
55.92553,0.02404202
57.854,0.0325296
59.78246,0.03558679
61.71093,0.02998744
63.6394,0.02940012
65.56786,0.02860478
67.49633,0.02684021
69.4248,0.0271695
71.35326,0.0281962
73.28172,0.02952396
75.21019,0.02961087
77.13866,0.03206874
79.06712,0.0363986
80.99559,0.03638766
82.92406,0.03524832
84.85252,0.03654712
86.78099,0.03739642
88.70946,0.03722123
90.63792,0.03852256
92.56638,0.03978838
94.49485,0.04079299
96.42332,0.04269977
98.35178,0.04433578
100.2803,0.04231619
102.2087,0.04200855
104.1372,0.04287276
106.0657,0.04238417
107.9941,0.04359373
109.9226,0.04570275
111.851,0.04687278
113.7795,0.04706778
115.708,0.04725073
117.6364,0.04762132
119.5649,0.04871081
121.4934,0.05023065
123.4218,0.0505822
125.3503,0.05001338
127.2788,0.04988354
129.2072,0.05085532
131.1357,0.05168452
133.0642,0.05395089
134.9926,0.05681913
136.9211,0.05836623
138.8496,0.05890935
140.778,0.05974534
142.7065,0.06103958
144.635,0.06206357
146.5634,0.06283034
148.4919,0.06408171
150.4204,0.06494419
152.3488,0.06571127
154.2773,0.06622751
156.2058,0.06673628
158.1342,0.06666362
160.0627,0.06700563
161.9912,0.06704942
163.9196,0.06701266
165.8481,0.06758469
167.7766,0.06879596
169.705,0.0694897
171.6335,0.07066219
173.562,0.07115792
175.4904,0.07152021
177.4189,0.07205976
179.3474,0.07268011
181.2758,0.07296462
183.2043,0.07230395
185.1328,0.0720817
187.0612,0.07280792
188.9897,0.07268918
190.9182,0.07293997
192.8466,0.07378678
194.7751,0.07418329
196.7036,0.07450053
198.632,0.07484022
200.5605,0.07486976
202.489,0.07551238
204.4174,0.07577065
206.3459,0.0759074
208.2744,0.07558923
210.2028,0.07555142
212.1313,0.07600328
214.0598,0.07656726
215.9882,0.07655697
217.9167,0.0764496
219.8452,0.07672738
221.7736,0.07747547
223.7021,0.07828597
225.6305,0.07853353
227.559,0.07898127
229.4875,0.07987992
231.4159,0.08067071
233.3444,0.08175079
235.2729,0.08195106
237.2013,0.08193085
239.1298,0.08236019
241.0583,0.08345139
242.9867,0.08452383
244.9152,0.08478833
246.8437,0.08481847
248.7721,0.08469667
250.7006,0.08448583
252.6291,0.08447034
254.5575,0.08435839
256.486,0.08490011
258.4145,0.08559915
260.3429,0.08580823
262.2714,0.0867118
264.1999,0.08749787
266.1283,0.08804011
268.0568,0.08871111
269.9853,0.0890858
271.9137,0.08966199
273.8422,0.0903447
275.7707,0.09107849
277.6991,0.09172845
279.6276,0.09214228
281.5561,0.09249859
283.4845,0.09309166
285.413,0.09342218
287.3415,0.09386674
289.2699,0.09425988
291.1984,0.09450759
293.1269,0.09479146
295.0553,0.09516171
296.9838,0.09539093
298.9123,0.09548038
300.8407,0.09545041
302.7692,0.0960094
304.6977,0.09609032
306.6261,0.095853
308.5546,0.09612555
310.4831,0.09630615
312.4115,0.09655157
314.34,0.09677503
316.2685,0.09691712
318.1969,0.09678653
320.1254,0.09654854
322.0539,0.09620169
323.9823,0.09570734
325.9108,0.09530161
327.8392,0.09474155
329.7677,0.09438139
331.6962,0.09381679
333.6246,0.09299214
335.5531,0.0921227
337.4816,0.09154566
339.41,0.09118766
341.3385,0.09096301
343.267,0.09071343
345.1954,0.09037103
347.1239,0.09038804
349.0524,0.0904024
350.9808,0.09029208
352.9093,0.09056363
354.8378,0.09045144
356.7662,0.09024775
358.6947,0.09058566
360.6232,0.09069782
362.5516,0.09034935
364.4801,0.09006087
366.4086,0.0899143
368.337,0.08946939
370.2655,0.08937593
372.194,0.08929615
374.1224,0.08916967
376.0509,0.08880465
377.9794,0.08799712
379.9078,0.08696111
381.8363,0.0863153
383.7648,0.08546198
385.6932,0.0843939
387.6217,0.08313628
389.5502,0.08203764
391.4786,0.08100493
393.4071,0.07957475
395.3356,0.07799517
397.264,0.07679417
399.1925,0.07580702
401.121,0.07462187
403.0494,0.07336004
404.9779,0.07205704
406.9064,0.07091288
408.8348,0.06988085
410.7633,0.06874587
412.6917,0.06781477
414.6202,0.06681824
416.5487,0.06567664
418.4771,0.06445576
420.4056,0.06372745
422.3341,0.06300217
424.2625,0.06258811
426.191,0.06219551
428.1195,0.0618743
430.0479,0.06184423
431.9764,0.06202991
433.9049,0.06242673
435.8333,0.0631163
437.7618,0.06367203
439.6903,0.06471986
441.6187,0.06637497
443.5472,0.06830958
445.4757,0.07008941
447.4041,0.07207593
449.3326,0.07355879
451.2611,0.07445306
453.1895,0.07493132
455.118,0.07482472
457.0465,0.07426086
458.9749,0.0733801
460.9034,0.07200228
462.8319,0.07027164
464.7603,0.06910697
466.6888,0.06838463
468.6173,0.06748354
470.5457,0.06629549
472.4742,0.06496435
474.4027,0.06401452
476.3311,0.06328998
478.2596,0.06269911
480.1881,0.06190513
482.1165,0.06117924
484.045,0.06040546
485.9735,0.05965095
487.9019,0.05862524
489.8304,0.05761217
491.7589,0.05692188
493.6873,0.05647425
495.6158,0.05589342
497.5443,0.05537254
499.4727,0.05497462
501.4012,0.05449248
503.3297,0.05397991
505.2581,0.05398805
507.1866,0.05395844
509.1151,0.05326463
511.0435,0.05279918
512.972,0.05279366
514.9005,0.05287051
516.8289,0.05324304
518.7574,0.05353963
520.6859,0.05411607
522.6143,0.05502251
524.5428,0.05582855
526.4713,0.05684322
528.3997,0.05786722
530.3282,0.05921394
532.2567,0.06069491
534.1851,0.06228117
536.1136,0.06462101
538.0421,0.06672624
539.9705,0.06879199
541.899,0.07167635
543.8275,0.07472687
545.7559,0.0778859
547.6844,0.08176767
549.6129,0.08615452
551.5413,0.09096546
553.4698,0.09606477
555.3983,0.1020084
557.3267,0.1082891
559.2552,0.114245
561.1837,0.1206218
563.1121,0.1272167
565.0406,0.1333973
566.9691,0.1388912
568.8975,0.1429851
570.826,0.1460313
572.7545,0.1486128
574.6829,0.1504709
576.6114,0.1508994
578.5399,0.1493698
580.4683,0.1460855
582.3968,0.1424122
584.3253,0.1383875
586.2537,0.1345331
588.1822,0.1305593
590.1107,0.1263751
592.0391,0.1223375
593.9676,0.1186547
595.8961,0.1150233
597.8245,0.1113816
599.753,0.1080646
601.6815,0.1048599
603.6099,0.1016687
605.5384,0.09878472
607.4669,0.09566361
609.3953,0.09195593
611.3238,0.08793075
613.2523,0.08476195
615.1807,0.08212023
617.1091,0.08009052
619.0376,0.07859244
620.9661,0.07742831
622.8945,0.0758448
624.823,0.07486331
626.7515,0.07431099
628.6799,0.07374964
630.6084,0.07228604
632.5369,0.07000355
634.4653,0.06765513
636.3938,0.06574173
638.3223,0.06371906
640.2507,0.0620662
642.1792,0.061132
644.1077,0.06015752
646.0361,0.05939833
647.9646,0.05883399
649.8931,0.05853624
651.8215,0.05850894
653.75,0.0584191
655.6785,0.05825241
657.6069,0.05768035
659.5354,0.0568688
661.4639,0.05614231
663.3923,0.05547851
665.3208,0.05489984
667.2493,0.05420532
669.1777,0.05330823
671.1062,0.05283639
673.0347,0.05298702
674.9631,0.05268732
676.8916,0.05249952
678.8201,0.05288114
680.7485,0.05291593
682.677,0.05266904
684.6055,0.05192665
686.5339,0.05181174
688.4624,0.05224592
690.3909,0.05193947
692.3193,0.0523816
694.2478,0.05281079
696.1763,0.05306996
698.1047,0.05428994
700.0332,0.05401019
