x,y
50.14013,0.02781584
52.0686,0.020913
53.99707,0.02236257
55.92553,0.01348111
57.854,0.01372657
59.78246,0.01617527
61.71093,0.01589521
63.6394,0.01907989
65.56786,0.01897759
67.49633,0.01848071
69.4248,0.01999117
71.35326,0.01935587
73.28172,0.01890315
75.21019,0.02084059
77.13866,0.0202028
79.06712,0.01963987
80.99559,0.0187004
82.92406,0.0184387
84.85252,0.01895223
86.78099,0.01803701
88.70946,0.01747089
90.63792,0.0187447
92.56638,0.0200036
94.49485,0.02203483
96.42332,0.02318713
98.35178,0.0231692
100.2803,0.02214664
102.2087,0.02276712
104.1372,0.02307146
106.0657,0.02338039
107.9941,0.02485134
109.9226,0.02601883
111.851,0.02593148
113.7795,0.02680768
115.708,0.02817578
117.6364,0.02884763
119.5649,0.03004071
121.4934,0.03253806
123.4218,0.0344127
125.3503,0.03488372
127.2788,0.03550925
129.2072,0.03632112
131.1357,0.03581383
133.0642,0.03487035
134.9926,0.03417916
136.9211,0.03311197
138.8496,0.03230565
140.778,0.03278606
142.7065,0.03475166
144.635,0.03702025
146.5634,0.03837486
148.4919,0.0380664
150.4204,0.03736255
152.3488,0.03933652
154.2773,0.04116329
156.2058,0.0415071
158.1342,0.04179912
160.0627,0.04399828
161.9912,0.04443326
163.9196,0.04405864
165.8481,0.04346689
167.7766,0.04289031
169.705,0.04265639
171.6335,0.04315777
173.562,0.04372299
175.4904,0.043228
177.4189,0.04225517
179.3474,0.04302923
181.2758,0.04345948
183.2043,0.0441273
185.1328,0.04508966
187.0612,0.0451357
188.9897,0.04557781
190.9182,0.04696362
192.8466,0.04751865
194.7751,0.04897151
196.7036,0.05137785
198.632,0.05293594
200.5605,0.05266971
202.489,0.05160753
204.4174,0.05294431
206.3459,0.0529653
208.2744,0.05094877
210.2028,0.05077535
212.1313,0.05036665
214.0598,0.04918085
215.9882,0.04954349
217.9167,0.04978916
219.8452,0.04883031
221.7736,0.04732922
223.7021,0.04713412
225.6305,0.04689069
227.559,0.04708989
229.4875,0.04960693
231.4159,0.05082463
233.3444,0.05123977
235.2729,0.05116125
237.2013,0.05068225
239.1298,0.04998773
241.0583,0.0487829
242.9867,0.04728006
244.9152,0.04510607
246.8437,0.04373815
248.7721,0.04460713
250.7006,0.04603804
252.6291,0.04505323
254.5575,0.04464458
256.486,0.04626753
258.4145,0.04668589
260.3429,0.04654519
262.2714,0.04639176
264.1999,0.04557795
266.1283,0.04433605
268.0568,0.04402312
269.9853,0.04346164
271.9137,0.04237844
273.8422,0.04128546
275.7707,0.03981126
277.6991,0.03679298
279.6276,0.03507264
281.5561,0.03482123
283.4845,0.03537113
285.413,0.03575363
287.3415,0.03458979
289.2699,0.03298293
291.1984,0.03303112
293.1269,0.0334956
295.0553,0.03320935
296.9838,0.03259633
298.9123,0.03182496
300.8407,0.03020794
302.7692,0.02836827
304.6977,0.02988967
306.6261,0.03080058
308.5546,0.03086642
310.4831,0.03074168
312.4115,0.03054421
314.34,0.03009734
316.2685,0.03025439
318.1969,0.03048553
320.1254,0.03051053
322.0539,0.0297231
323.9823,0.02877139
325.9108,0.02895623
327.8392,0.02887764
329.7677,0.03056491
331.6962,0.03169595
333.6246,0.03141971
335.5531,0.03120055
337.4816,0.03202021
339.41,0.03238823
341.3385,0.03277971
343.267,0.03320637
345.1954,0.03338202
347.1239,0.03341107
349.0524,0.03267996
350.9808,0.03222871
352.9093,0.03238783
354.8378,0.03303041
356.7662,0.03415784
358.6947,0.03499262
360.6232,0.03579264
362.5516,0.03625014
364.4801,0.03648715
366.4086,0.0368543
368.337,0.03715618
370.2655,0.0372237
372.194,0.0374339
374.1224,0.03712912
376.0509,0.0375149
377.9794,0.03881344
379.9078,0.03953904
381.8363,0.03995623
383.7648,0.04008722
385.6932,0.04051347
387.6217,0.04124934
389.5502,0.04166503
391.4786,0.04196309
393.4071,0.04189849
395.3356,0.04170229
397.264,0.041634
399.1925,0.04246343
401.121,0.04383332
403.0494,0.04447567
404.9779,0.04501137
406.9064,0.04551795
408.8348,0.04591667
410.7633,0.04634647
412.6917,0.04695696
414.6202,0.04775924
416.5487,0.04787345
418.4771,0.04731063
420.4056,0.04819344
422.3341,0.0493873
424.2625,0.05001922
426.191,0.05090674
428.1195,0.05186408
430.0479,0.05253319
431.9764,0.05284973
433.9049,0.05327612
435.8333,0.05364492
437.7618,0.05415831
439.6903,0.05495008
441.6187,0.0554777
443.5472,0.0560743
445.4757,0.0565909
447.4041,0.05704945
449.3326,0.05771523
451.2611,0.05862912
453.1895,0.0592341
455.118,0.05939047
457.0465,0.05959108
458.9749,0.06044444
460.9034,0.06121829
462.8319,0.06136304
464.7603,0.06183314
466.6888,0.06224941
468.6173,0.06281358
470.5457,0.06342102
472.4742,0.06387234
474.4027,0.06444972
476.3311,0.06496528
478.2596,0.06553896
480.1881,0.06609516
482.1165,0.06664091
484.045,0.06734108
485.9735,0.06802163
487.9019,0.06832346
489.8304,0.0685427
491.7589,0.06923264
493.6873,0.06996957
495.6158,0.07059754
497.5443,0.07099283
499.4727,0.071615
501.4012,0.07222169
503.3297,0.07314051
505.2581,0.07387675
507.1866,0.0741286
509.1151,0.07470623
511.0435,0.07542266
512.972,0.07602172
514.9005,0.07684087
516.8289,0.07748198
518.7574,0.0782271
520.6859,0.07909916
522.6143,0.08003331
524.5428,0.08117332
526.4713,0.08189694
528.3997,0.08243062
530.3282,0.08317108
532.2567,0.08379924
534.1851,0.08462466
536.1136,0.08559562
538.0421,0.08634376
539.9705,0.08699439
541.899,0.08775414
543.8275,0.0884333
545.7559,0.08922955
547.6844,0.09009933
549.6129,0.09105282
551.5413,0.0918854
553.4698,0.09265479
555.3983,0.09352383
557.3267,0.0945593
559.2552,0.09529057
561.1837,0.09552643
563.1121,0.09630837
565.0406,0.09705055
566.9691,0.09743483
568.8975,0.09776631
570.826,0.09851873
572.7545,0.09917416
574.6829,0.09961466
576.6114,0.09979729
578.5399,0.1002636
580.4683,0.1005083
582.3968,0.1006439
584.3253,0.1009446
586.2537,0.1012882
588.1822,0.1013378
590.1107,0.1008425
592.0391,0.1004795
593.9676,0.1006398
595.8961,0.1002064
597.8245,0.09926327
599.753,0.09895603
601.6815,0.09846523
603.6099,0.09710002
605.5384,0.09555075
607.4669,0.09433438
609.3953,0.09294687
611.3238,0.09155826
613.2523,0.09034903
615.1807,0.08907738
617.1091,0.0875964
619.0376,0.0861726
620.9661,0.08532634
622.8945,0.08438728
624.823,0.08414491
626.7515,0.08441924
628.6799,0.08525949
630.6084,0.08597837
632.5369,0.085966
634.4653,0.08533767
636.3938,0.08512047
638.3223,0.08539934
640.2507,0.08563757
642.1792,0.08557493
644.1077,0.08600948
646.0361,0.08629317
647.9646,0.08596974
649.8931,0.0857922
651.8215,0.08559839
653.75,0.08478615
655.6785,0.08380304
657.6069,0.08262666
659.5354,0.08046563
661.4639,0.07795931
663.3923,0.07562985
665.3208,0.07408824
667.2493,0.07296349
669.1777,0.07237514
671.1062,0.07257088
673.0347,0.07273334
674.9631,0.07303277
676.8916,0.07361446
678.8201,0.07405183
680.7485,0.07291657
682.677,0.07167582
684.6055,0.0707462
686.5339,0.06902201
688.4624,0.06617323
690.3909,0.06340002
692.3193,0.06114629
694.2478,0.05861165
696.1763,0.0568327
698.1047,0.05541086
700.0332,0.05191729
