x,y
50.14013,0.01104054
52.0686,0.008145921
53.99707,0.005383724
55.92553,0.003333619
57.854,0.004264531
59.78246,0.006167695
61.71093,0.007459855
63.6394,0.007178497
65.56786,0.006300421
67.49633,0.008091667
69.4248,0.009412029
71.35326,0.008896041
73.28172,0.009850839
75.21019,0.009362133
77.13866,0.007963332
79.06712,0.008380395
80.99559,0.009888188
82.92406,0.01059092
84.85252,0.01048194
86.78099,0.01002891
88.70946,0.01074819
90.63792,0.01140376
92.56638,0.01129332
94.49485,0.01125267
96.42332,0.01138587
98.35178,0.01190913
100.2803,0.01260317
102.2087,0.0131308
104.1372,0.01317421
106.0657,0.01363188
107.9941,0.01356117
109.9226,0.01370612
111.851,0.01413725
113.7795,0.01384902
115.708,0.01453508
117.6364,0.01523609
119.5649,0.01528262
121.4934,0.01503595
123.4218,0.01566627
125.3503,0.01627672
127.2788,0.01650538
129.2072,0.01682749
131.1357,0.0174274
133.0642,0.01772799
134.9926,0.01858973
136.9211,0.0190012
138.8496,0.01887804
140.778,0.01902545
142.7065,0.01940223
144.635,0.01921163
146.5634,0.01897692
148.4919,0.01882245
150.4204,0.01934746
152.3488,0.02067551
154.2773,0.02133076
156.2058,0.02132777
158.1342,0.0209532
160.0627,0.02134773
161.9912,0.02187167
163.9196,0.02208968
165.8481,0.02208854
167.7766,0.02281069
169.705,0.02342062
171.6335,0.02322914
173.562,0.02347739
175.4904,0.02287392
177.4189,0.02312758
179.3474,0.02368758
181.2758,0.02344581
183.2043,0.02413921
185.1328,0.02488006
187.0612,0.02496092
188.9897,0.02514707
190.9182,0.02532345
192.8466,0.02539148
194.7751,0.02547688
196.7036,0.02589678
198.632,0.02625144
200.5605,0.02626048
202.489,0.02629648
204.4174,0.02694656
206.3459,0.02716448
208.2744,0.02696848
210.2028,0.02749446
212.1313,0.02766523
214.0598,0.0279109
215.9882,0.02825067
217.9167,0.02830548
219.8452,0.02844189
221.7736,0.0283618
223.7021,0.02860895
225.6305,0.02880791
227.559,0.0287195
229.4875,0.02933448
231.4159,0.02988656
233.3444,0.03010016
235.2729,0.03043674
237.2013,0.03065326
239.1298,0.03082304
241.0583,0.03080259
242.9867,0.03073754
244.9152,0.03056502
246.8437,0.03052951
248.7721,0.03081698
250.7006,0.03137396
252.6291,0.03127732
254.5575,0.03124902
256.486,0.03180822
258.4145,0.03206149
260.3429,0.03219857
262.2714,0.03242906
264.1999,0.0322875
266.1283,0.03220408
268.0568,0.03247939
269.9853,0.03275182
271.9137,0.03289847
273.8422,0.03311622
275.7707,0.03309986
277.6991,0.03250608
279.6276,0.03236037
281.5561,0.03270569
283.4845,0.03318876
285.413,0.03373066
287.3415,0.03377648
289.2699,0.0337249
291.1984,0.03408199
293.1269,0.03429258
295.0553,0.03438052
296.9838,0.03453512
298.9123,0.03426732
300.8407,0.03401751
302.7692,0.0339298
304.6977,0.03469599
306.6261,0.03514345
308.5546,0.03500754
310.4831,0.03493931
312.4115,0.03518796
314.34,0.03538092
316.2685,0.03535799
318.1969,0.03525266
320.1254,0.03566461
322.0539,0.03563088
323.9823,0.0353335
325.9108,0.0355057
327.8392,0.03535214
329.7677,0.0354417
331.6962,0.03570911
333.6246,0.03586116
335.5531,0.03559322
337.4816,0.03567792
339.41,0.03589761
341.3385,0.03562563
343.267,0.03548319
345.1954,0.03560587
347.1239,0.03566103
349.0524,0.03555126
350.9808,0.0355715
352.9093,0.03562065
354.8378,0.03590173
356.7662,0.0360517
358.6947,0.03616323
360.6232,0.03645867
362.5516,0.03704334
364.4801,0.03723724
366.4086,0.03712417
368.337,0.03703629
370.2655,0.03707651
372.194,0.03716573
374.1224,0.03712134
376.0509,0.03718452
377.9794,0.03725389
379.9078,0.03720115
381.8363,0.03710999
383.7648,0.0369654
385.6932,0.03681363
387.6217,0.03659198
389.5502,0.03670297
391.4786,0.03668571
393.4071,0.03657585
395.3356,0.03648072
397.264,0.03614287
399.1925,0.03599658
401.121,0.03612275
403.0494,0.03605154
404.9779,0.03620321
406.9064,0.0364268
408.8348,0.03640163
410.7633,0.03635819
412.6917,0.03630225
414.6202,0.03631575
416.5487,0.03666255
418.4771,0.03668766
420.4056,0.03682144
422.3341,0.0371687
424.2625,0.03760752
426.191,0.03787883
428.1195,0.03798721
430.0479,0.03814983
431.9764,0.03843725
433.9049,0.03857003
435.8333,0.03863833
437.7618,0.03874272
439.6903,0.03912328
441.6187,0.03924301
443.5472,0.03921748
445.4757,0.03922348
447.4041,0.03961764
449.3326,0.04006938
451.2611,0.04029122
453.1895,0.04018303
455.118,0.04039324
457.0465,0.04101649
458.9749,0.04119963
460.9034,0.04120864
462.8319,0.04163125
464.7603,0.04181953
466.6888,0.04179994
468.6173,0.04171064
470.5457,0.04168503
472.4742,0.0418921
474.4027,0.04216632
476.3311,0.04211075
478.2596,0.04213526
480.1881,0.04215659
482.1165,0.04203391
484.045,0.04216037
485.9735,0.04224695
487.9019,0.04202809
489.8304,0.04210547
491.7589,0.0420913
493.6873,0.04185371
495.6158,0.04166997
497.5443,0.04167927
499.4727,0.04148564
501.4012,0.04130889
503.3297,0.04140885
505.2581,0.04132127
507.1866,0.04073175
509.1151,0.04041053
511.0435,0.03971995
512.972,0.0391935
514.9005,0.03905877
516.8289,0.0391498
518.7574,0.03891376
520.6859,0.03856781
522.6143,0.03809912
524.5428,0.03795299
526.4713,0.03786453
528.3997,0.03743531
530.3282,0.03698103
532.2567,0.03695965
534.1851,0.03668105
536.1136,0.03601313
538.0421,0.03562748
539.9705,0.03573186
541.899,0.03533576
543.8275,0.03506427
545.7559,0.03481132
547.6844,0.03464822
549.6129,0.03448956
551.5413,0.03426502
553.4698,0.03420388
555.3983,0.03436999
557.3267,0.0344901
559.2552,0.03453894
561.1837,0.03453274
563.1121,0.03433582
565.0406,0.03416211
566.9691,0.03406914
568.8975,0.03407618
570.826,0.03432114
572.7545,0.0345517
574.6829,0.03467086
576.6114,0.034723
578.5399,0.03468774
580.4683,0.0345098
582.3968,0.03421168
584.3253,0.03422663
586.2537,0.03450176
588.1822,0.03439332
590.1107,0.0340063
592.0391,0.03389737
593.9676,0.03346858
595.8961,0.03284513
597.8245,0.03227617
599.753,0.03122833
601.6815,0.03105707
603.6099,0.03099102
605.5384,0.03006231
607.4669,0.02974446
609.3953,0.02990001
611.3238,0.02996885
613.2523,0.03013628
615.1807,0.03031424
617.1091,0.02993886
619.0376,0.03036236
620.9661,0.03064309
622.8945,0.03126207
624.823,0.03276142
626.7515,0.03421179
628.6799,0.03548044
630.6084,0.03649684
632.5369,0.03720878
634.4653,0.0378296
636.3938,0.03804503
638.3223,0.03823132
640.2507,0.03843482
642.1792,0.03884285
644.1077,0.03951833
646.0361,0.03982894
647.9646,0.0397934
649.8931,0.03995505
651.8215,0.04047274
653.75,0.0407328
655.6785,0.04091006
657.6069,0.04104593
659.5354,0.04126406
661.4639,0.04195219
663.3923,0.04210906
665.3208,0.04194632
667.2493,0.04193043
669.1777,0.04211251
671.1062,0.04224114
673.0347,0.04249415
674.9631,0.04306836
676.8916,0.04368879
678.8201,0.04374539
680.7485,0.04306692
682.677,0.04284626
684.6055,0.04321485
686.5339,0.04293471
688.4624,0.04277334
690.3909,0.04400536
692.3193,0.04555489
694.2478,0.04560829
696.1763,0.04582497
698.1047,0.04629809
700.0332,0.0455058
