x,y
50.14013,0.04478814
52.0686,0.05608826
53.99707,0.1032875
55.92553,0.04122015
57.854,0.02962718
59.78246,0.02643303
61.71093,0.02958334
63.6394,0.03964342
65.56786,0.03800429
67.49633,0.03835216
69.4248,0.03760464
71.35326,0.04035009
73.28172,0.04093336
75.21019,0.04024591
77.13866,0.04088755
79.06712,0.04487667
80.99559,0.0465512
82.92406,0.0482445
84.85252,0.04666015
86.78099,0.04514799
88.70946,0.04773567
90.63792,0.05034318
92.56638,0.04931679
94.49485,0.05023569
96.42332,0.05020212
98.35178,0.05235212
100.2803,0.05291266
102.2087,0.05387103
104.1372,0.05394911
106.0657,0.05408825
107.9941,0.05558564
109.9226,0.05839493
111.851,0.05920348
113.7795,0.06056843
115.708,0.06335167
117.6364,0.06546556
119.5649,0.06477932
121.4934,0.06597428
123.4218,0.06712201
125.3503,0.06764342
127.2788,0.06875224
129.2072,0.07166833
131.1357,0.07385349
133.0642,0.07538777
134.9926,0.07564051
136.9211,0.0761318
138.8496,0.07490833
140.778,0.07557137
142.7065,0.07657483
144.635,0.07749449
146.5634,0.07729822
148.4919,0.07895389
150.4204,0.07903759
152.3488,0.07871804
154.2773,0.0795643
156.2058,0.08094809
158.1342,0.08088508
160.0627,0.08160809
161.9912,0.08109941
163.9196,0.08185717
165.8481,0.08358621
167.7766,0.08571344
169.705,0.08656324
171.6335,0.08670245
173.562,0.08697449
175.4904,0.08761841
177.4189,0.08732639
179.3474,0.08769101
181.2758,0.08801772
183.2043,0.08928836
185.1328,0.09024752
187.0612,0.09235164
188.9897,0.09441107
190.9182,0.09606761
192.8466,0.09805965
194.7751,0.09927712
196.7036,0.09901869
198.632,0.09868682
200.5605,0.09796257
202.489,0.09740377
204.4174,0.09674498
206.3459,0.09693845
208.2744,0.09683793
210.2028,0.09694161
212.1313,0.09730508
214.0598,0.0986818
215.9882,0.09903829
217.9167,0.09963167
219.8452,0.09996386
221.7736,0.1010897
223.7021,0.1027074
225.6305,0.104053
227.559,0.1050656
229.4875,0.1060743
231.4159,0.1064844
233.3444,0.1067884
235.2729,0.1065633
237.2013,0.1071108
239.1298,0.1078089
241.0583,0.1088718
242.9867,0.1102142
244.9152,0.1124864
246.8437,0.1138211
248.7721,0.1143221
250.7006,0.1139487
252.6291,0.1127266
254.5575,0.111056
256.486,0.1097949
258.4145,0.107914
260.3429,0.107027
262.2714,0.1071279
264.1999,0.1078355
266.1283,0.1089011
268.0568,0.1109748
269.9853,0.1136163
271.9137,0.1167075
273.8422,0.1200586
275.7707,0.1233483
277.6991,0.1258103
279.6276,0.1285151
281.5561,0.1307034
283.4845,0.132571
285.413,0.1344469
287.3415,0.1362375
289.2699,0.1376087
291.1984,0.1391429
293.1269,0.1398577
295.0553,0.1400069
296.9838,0.1405772
298.9123,0.1414122
300.8407,0.141101
302.7692,0.1411731
304.6977,0.1414651
306.6261,0.1422617
308.5546,0.1425656
310.4831,0.1428165
312.4115,0.1429587
314.34,0.143661
316.2685,0.1439016
318.1969,0.1435068
320.1254,0.1437461
322.0539,0.1448928
323.9823,0.1456955
325.9108,0.1464459
327.8392,0.1472034
329.7677,0.1478326
331.6962,0.1485481
333.6246,0.1492632
335.5531,0.1494477
337.4816,0.1491611
339.41,0.1486238
341.3385,0.1486163
343.267,0.1478853
345.1954,0.1474577
347.1239,0.1467142
349.0524,0.1460773
350.9808,0.1444071
352.9093,0.1427834
354.8378,0.1414405
356.7662,0.1403299
358.6947,0.1388863
360.6232,0.1374101
362.5516,0.1356817
364.4801,0.1342978
366.4086,0.1328221
368.337,0.1309202
370.2655,0.1288241
372.194,0.1269291
374.1224,0.1244048
376.0509,0.1215799
377.9794,0.1186435
379.9078,0.1164195
381.8363,0.1147216
383.7648,0.1145717
385.6932,0.1160728
387.6217,0.1190731
389.5502,0.1231468
391.4786,0.1283585
393.4071,0.1338452
395.3356,0.1388165
397.264,0.14294
399.1925,0.1463939
401.121,0.1490142
403.0494,0.1510216
404.9779,0.1518779
406.9064,0.1516226
408.8348,0.1509736
410.7633,0.1503592
412.6917,0.1489723
414.6202,0.1479144
416.5487,0.1469887
418.4771,0.145714
420.4056,0.1436802
422.3341,0.1419695
424.2625,0.140339
426.191,0.1386978
428.1195,0.1368987
430.0479,0.1352085
431.9764,0.1337985
433.9049,0.1330947
435.8333,0.1324971
437.7618,0.1323909
439.6903,0.133459
441.6187,0.135768
443.5472,0.1384497
445.4757,0.1418921
447.4041,0.1458758
449.3326,0.1498117
451.2611,0.1534609
453.1895,0.1568406
455.118,0.1594467
457.0465,0.1621474
458.9749,0.164505
460.9034,0.1663442
462.8319,0.1675985
464.7603,0.1691325
466.6888,0.1702109
468.6173,0.1708867
470.5457,0.1712129
472.4742,0.170845
474.4027,0.17062
476.3311,0.1711001
478.2596,0.1709688
480.1881,0.1704928
482.1165,0.1704987
484.045,0.1705822
485.9735,0.1704338
487.9019,0.1702064
489.8304,0.1706042
491.7589,0.1712633
493.6873,0.1720292
495.6158,0.1731048
497.5443,0.1741095
499.4727,0.1755858
501.4012,0.177243
503.3297,0.179184
505.2581,0.1810237
507.1866,0.1832589
509.1151,0.1848471
511.0435,0.1862339
512.972,0.1884258
514.9005,0.1906532
516.8289,0.1930278
518.7574,0.1956098
520.6859,0.1971639
522.6143,0.1982
524.5428,0.1997273
526.4713,0.202094
528.3997,0.2036764
530.3282,0.2043666
532.2567,0.2047471
534.1851,0.20641
536.1136,0.2082006
538.0421,0.2091292
539.9705,0.2093013
541.899,0.2094745
543.8275,0.210145
545.7559,0.2112333
547.6844,0.2119944
549.6129,0.2123775
551.5413,0.2126307
553.4698,0.2128686
555.3983,0.2133423
557.3267,0.2136076
559.2552,0.2135626
561.1837,0.2130789
563.1121,0.2127051
565.0406,0.2131854
566.9691,0.2131641
568.8975,0.2127942
570.826,0.2126886
572.7545,0.2128406
574.6829,0.2130014
576.6114,0.2122893
578.5399,0.2111484
580.4683,0.21045
582.3968,0.2100419
584.3253,0.209904
586.2537,0.2094608
588.1822,0.2087566
590.1107,0.2081812
592.0391,0.2069886
593.9676,0.2055696
595.8961,0.2044203
597.8245,0.2032533
599.753,0.2022287
601.6815,0.2008723
603.6099,0.1985851
605.5384,0.1955454
607.4669,0.1939062
609.3953,0.1923348
611.3238,0.1911252
613.2523,0.1896996
615.1807,0.1877686
617.1091,0.1856549
619.0376,0.1837852
620.9661,0.1825839
622.8945,0.1822042
624.823,0.1819755
626.7515,0.1816391
628.6799,0.1823859
630.6084,0.1829723
632.5369,0.1828393
634.4653,0.1818971
636.3938,0.1804615
638.3223,0.1794034
640.2507,0.1779435
642.1792,0.1768572
644.1077,0.176052
646.0361,0.1747373
647.9646,0.1734084
649.8931,0.1720388
651.8215,0.1710471
653.75,0.1703956
655.6785,0.1694289
657.6069,0.1685473
659.5354,0.1683221
661.4639,0.1678499
663.3923,0.1676176
665.3208,0.1680474
667.2493,0.1683064
669.1777,0.169352
671.1062,0.1706105
673.0347,0.1718961
674.9631,0.1737375
676.8916,0.1754261
678.8201,0.1772714
680.7485,0.1790803
682.677,0.1800463
684.6055,0.180379
686.5339,0.1805469
688.4624,0.1810875
690.3909,0.1805308
692.3193,0.1795692
694.2478,0.1788829
696.1763,0.1771928
698.1047,0.1733397
700.0332,0.1707621
