x,y
50.14013,0.01959929
52.0686,0.01733097
53.99707,0.03424424
55.92553,0.02523119
57.854,0.01805061
59.78246,0.01551921
61.71093,0.01813991
63.6394,0.02533949
65.56786,0.02456938
67.49633,0.02241565
69.4248,0.02123756
71.35326,0.02174012
73.28172,0.02306802
75.21019,0.02357191
77.13866,0.02355721
79.06712,0.02591938
80.99559,0.02833036
82.92406,0.02938573
84.85252,0.02942614
86.78099,0.02871787
88.70946,0.02915121
90.63792,0.02977435
92.56638,0.03019311
94.49485,0.03272903
96.42332,0.03407031
98.35178,0.03481558
100.2803,0.03503289
102.2087,0.03527672
104.1372,0.03676114
106.0657,0.03810933
107.9941,0.03822653
109.9226,0.03801318
111.851,0.03781615
113.7795,0.03746722
115.708,0.03747324
117.6364,0.03717448
119.5649,0.03734989
121.4934,0.0379102
123.4218,0.03790655
125.3503,0.03847852
127.2788,0.03901436
129.2072,0.03971341
131.1357,0.04086665
133.0642,0.04238423
134.9926,0.04297288
136.9211,0.04360574
138.8496,0.04425789
140.778,0.04391836
142.7065,0.04339763
144.635,0.04370724
146.5634,0.04448842
148.4919,0.04649257
150.4204,0.04767451
152.3488,0.04891678
154.2773,0.04994601
156.2058,0.0501113
158.1342,0.04881383
160.0627,0.04765186
161.9912,0.04741667
163.9196,0.04778765
165.8481,0.04854537
167.7766,0.04920672
169.705,0.04921013
171.6335,0.04841163
173.562,0.04776931
175.4904,0.0479873
177.4189,0.04839279
179.3474,0.04861251
181.2758,0.04908222
183.2043,0.0499383
185.1328,0.05030376
187.0612,0.05079885
188.9897,0.05209543
190.9182,0.05315816
192.8466,0.05400328
194.7751,0.05510391
196.7036,0.05633584
198.632,0.05740834
200.5605,0.05831734
202.489,0.05900475
204.4174,0.05907924
206.3459,0.05880857
208.2744,0.05812335
210.2028,0.05710853
212.1313,0.05685328
214.0598,0.0574059
215.9882,0.05794207
217.9167,0.05843283
219.8452,0.05930674
221.7736,0.06017455
223.7021,0.06085384
225.6305,0.06148079
227.559,0.06198481
229.4875,0.06252931
231.4159,0.06255744
233.3444,0.06201792
235.2729,0.06184002
237.2013,0.06257641
239.1298,0.0633157
241.0583,0.06348047
242.9867,0.06406091
244.9152,0.06533311
246.8437,0.06643549
248.7721,0.06726684
250.7006,0.06804609
252.6291,0.06867119
254.5575,0.06942997
256.486,0.06960306
258.4145,0.06925202
260.3429,0.06907432
262.2714,0.06897932
264.1999,0.06882679
266.1283,0.06887957
268.0568,0.06946938
269.9853,0.07048198
271.9137,0.07157102
273.8422,0.07253271
