x,y
50.14013,0.006647442
52.0686,0.004732709
53.99707,0.004688307
55.92553,0.01000202
57.854,0.0136022
59.78246,0.009496202
61.71093,0.008966957
63.6394,0.01157651
65.56786,0.01251888
67.49633,0.0131324
69.4248,0.01427004
71.35326,0.0154184
73.28172,0.01585088
75.21019,0.0154856
77.13866,0.01599442
79.06712,0.01716672
80.99559,0.01870796
82.92406,0.01902627
84.85252,0.01976964
86.78099,0.0204488
88.70946,0.02147707
90.63792,0.02201602
92.56638,0.0217981
94.49485,0.02086922
96.42332,0.02152468
98.35178,0.02329196
100.2803,0.02462231
102.2087,0.02598691
104.1372,0.02760535
106.0657,0.0292787
107.9941,0.03178633
109.9226,0.03541436
111.851,0.035685
113.7795,0.03213242
115.708,0.03022396
117.6364,0.03023323
119.5649,0.03122932
121.4934,0.03280171
123.4218,0.03438483
125.3503,0.03562422
127.2788,0.03664491
129.2072,0.03742588
131.1357,0.03774502
133.0642,0.03726643
134.9926,0.03769536
136.9211,0.03999628
138.8496,0.04278227
140.778,0.04377848
142.7065,0.04322749
144.635,0.04087147
146.5634,0.03850459
148.4919,0.03767814
150.4204,0.0379982
152.3488,0.03857812
154.2773,0.03921737
156.2058,0.04054919
158.1342,0.04257844
160.0627,0.04411563
161.9912,0.04564401
163.9196,0.04741208
165.8481,0.04923815
167.7766,0.05053326
169.705,0.05109051
171.6335,0.05135495
173.562,0.05228371
175.4904,0.05300848
177.4189,0.0526842
179.3474,0.05250396
181.2758,0.05343191
183.2043,0.05502396
185.1328,0.05701903
187.0612,0.05866909
188.9897,0.05912529
190.9182,0.0593857
192.8466,0.05986946
194.7751,0.0595511
196.7036,0.05899374
198.632,0.05864078
200.5605,0.05840937
202.489,0.05792857
204.4174,0.05636584
206.3459,0.05542422
208.2744,0.0549049
210.2028,0.05444222
212.1313,0.05488452
214.0598,0.05631551
215.9882,0.05817812
217.9167,0.05982272
219.8452,0.0610501
221.7736,0.06183241
223.7021,0.06230507
225.6305,0.06294408
227.559,0.06389794
229.4875,0.06417958
231.4159,0.06476521
233.3444,0.06582598
235.2729,0.06619795
237.2013,0.06569646
239.1298,0.06479351
241.0583,0.06347412
242.9867,0.06245597
244.9152,0.06213901
246.8437,0.06232213
248.7721,0.06253026
250.7006,0.06326308
252.6291,0.0649261
254.5575,0.06652201
256.486,0.06724997
258.4145,0.06838471
260.3429,0.06981092
262.2714,0.07121062
264.1999,0.07232085
266.1283,0.07270357
268.0568,0.07233195
269.9853,0.07209514
271.9137,0.07216157
273.8422,0.07309631
275.7707,0.07471906
277.6991,0.07680843
279.6276,0.07859918
281.5561,0.0803051
283.4845,0.08231293
285.413,0.0841415
287.3415,0.08660572
289.2699,0.08895683
291.1984,0.09088735
293.1269,0.09262012
295.0553,0.09431569
296.9838,0.09610838
298.9123,0.09765373
300.8407,0.09859416
302.7692,0.0991786
304.6977,0.09832677
306.6261,0.09671048
308.5546,0.0951042
310.4831,0.09388667
312.4115,0.09316176
314.34,0.09274648
316.2685,0.09232792
318.1969,0.09131133
320.1254,0.08979783
322.0539,0.08798286
323.9823,0.08625799
325.9108,0.08493248
327.8392,0.08389945
329.7677,0.08288115
331.6962,0.08241953
333.6246,0.08236948
335.5531,0.08234403
337.4816,0.08226831
339.41,0.08178626
341.3385,0.08061447
343.267,0.07900278
345.1954,0.07711344
347.1239,0.07539955
349.0524,0.07408746
350.9808,0.07266726
352.9093,0.07126325
354.8378,0.07023882
356.7662,0.06971284
358.6947,0.06949574
360.6232,0.06964231
362.5516,0.07087226
364.4801,0.07218953
366.4086,0.07371724
368.337,0.07595083
370.2655,0.07822229
372.194,0.07986983
374.1224,0.08123164
376.0509,0.08233023
377.9794,0.08361034
379.9078,0.08553483
381.8363,0.08790015
383.7648,0.09060822
385.6932,0.09296986
387.6217,0.09391413
389.5502,0.09364715
391.4786,0.09270919
393.4071,0.09187811
395.3356,0.0917785
397.264,0.09268933
399.1925,0.09441452
401.121,0.09663641
403.0494,0.09837724
404.9779,0.0995957
406.9064,0.100627
408.8348,0.1012897
410.7633,0.101888
412.6917,0.1024286
414.6202,0.1029228
416.5487,0.1036713
418.4771,0.1047429
420.4056,0.105934
422.3341,0.1075825
424.2625,0.1095442
426.191,0.1116789
428.1195,0.1138099
430.0479,0.1153074
431.9764,0.1160921
433.9049,0.1159651
435.8333,0.1143609
437.7618,0.1115626
439.6903,0.1081286
441.6187,0.1041528
443.5472,0.1000371
445.4757,0.09612089
447.4041,0.09223834
449.3326,0.08826206
451.2611,0.08453914
453.1895,0.08115735
455.118,0.07785455
457.0465,0.07475222
458.9749,0.07205136
460.9034,0.06921773
462.8319,0.06655283
464.7603,0.06433018
466.6888,0.06231052
468.6173,0.06049906
470.5457,0.05893028
472.4742,0.05761994
474.4027,0.05632912
476.3311,0.05496682
478.2596,0.05394703
480.1881,0.05290915
482.1165,0.05198384
484.045,0.05167656
485.9735,0.05174898
487.9019,0.05221999
489.8304,0.05312329
491.7589,0.05420646
493.6873,0.05591607
495.6158,0.05777445
497.5443,0.06037928
499.4727,0.06395433
501.4012,0.06822965
503.3297,0.07279371
505.2581,0.07777887
507.1866,0.08247022
509.1151,0.08584635
511.0435,0.08660889
512.972,0.08391988
514.9005,0.07815578
516.8289,0.0721242
518.7574,0.06707927
520.6859,0.06267664
522.6143,0.05959268
524.5428,0.05821228
526.4713,0.05762635
528.3997,0.05806554
530.3282,0.05894578
532.2567,0.06050741
534.1851,0.06164173
536.1136,0.0616392
538.0421,0.05996799
539.9705,0.05629104
541.899,0.05226429
543.8275,0.04904295
545.7559,0.04677223
547.6844,0.04531166
549.6129,0.0443119
551.5413,0.04367815
553.4698,0.0435515
555.3983,0.04355272
557.3267,0.04333038
559.2552,0.04361485
561.1837,0.04378165
563.1121,0.04360133
565.0406,0.04372116
566.9691,0.04383055
568.8975,0.04395409
570.826,0.04465356
572.7545,0.04512778
574.6829,0.04533671
576.6114,0.0456746
578.5399,0.04571789
580.4683,0.04540562
582.3968,0.04508242
584.3253,0.04469496
586.2537,0.04499666
588.1822,0.04499899
590.1107,0.04486518
592.0391,0.04509307
593.9676,0.04528892
595.8961,0.04567619
597.8245,0.04650752
599.753,0.04718005
601.6815,0.04782604
603.6099,0.04836111
605.5384,0.04947683
607.4669,0.05060335
609.3953,0.05206247
611.3238,0.05349063
613.2523,0.05498855
615.1807,0.05649116
617.1091,0.05850392
619.0376,0.06057573
620.9661,0.06224479
622.8945,0.0640033
624.823,0.06677563
626.7515,0.07021793
628.6799,0.07409243
630.6084,0.07747224
632.5369,0.08082845
634.4653,0.08411945
636.3938,0.08775923
638.3223,0.09163631
640.2507,0.09516739
642.1792,0.09760843
644.1077,0.09840846
646.0361,0.09778832
647.9646,0.09708617
649.8931,0.09695528
651.8215,0.09777378
653.75,0.09951497
655.6785,0.1024405
657.6069,0.1061453
659.5354,0.110172
661.4639,0.1142413
663.3923,0.1181938
665.3208,0.1202181
667.2493,0.119618
669.1777,0.117125
671.1062,0.1137973
673.0347,0.1096867
674.9631,0.1049511
676.8916,0.09906251
678.8201,0.09221689
680.7485,0.08484661
682.677,0.07872077
684.6055,0.0742684
686.5339,0.07127194
688.4624,0.06946825
690.3909,0.06822281
692.3193,0.06865068
694.2478,0.0713066
696.1763,0.07331596
698.1047,0.07525662
700.0332,0.07855316
