x,y
50.14013,0.005811388
52.0686,0.004540655
53.99707,0.005637384
55.92553,0.007197526
57.854,0.01123078
59.78246,0.01319576
61.71093,0.01339759
63.6394,0.01548175
65.56786,0.01506318
67.49633,0.01644326
69.4248,0.01799989
71.35326,0.02035114
73.28172,0.02120533
75.21019,0.02026724
77.13866,0.02019987
79.06712,0.02110433
80.99559,0.02150499
82.92406,0.02318138
84.85252,0.02458826
86.78099,0.024587
88.70946,0.02522305
90.63792,0.02591544
92.56638,0.0260073
94.49485,0.02632893
96.42332,0.0278844
98.35178,0.03019134
100.2803,0.03061605
102.2087,0.03126341
104.1372,0.03207495
106.0657,0.03307642
107.9941,0.03451126
109.9226,0.03679833
111.851,0.03876363
113.7795,0.04046709
115.708,0.04175706
117.6364,0.04260839
119.5649,0.04388612
121.4934,0.04556375
123.4218,0.0465349
125.3503,0.04935477
127.2788,0.05138426
129.2072,0.0527996
131.1357,0.05467758
133.0642,0.05658805
134.9926,0.05714318
136.9211,0.05753174
138.8496,0.05605716
140.778,0.05311571
142.7065,0.05017588
144.635,0.04833068
146.5634,0.04631255
148.4919,0.04506042
150.4204,0.04401499
152.3488,0.04234135
154.2773,0.04023901
156.2058,0.03863287
158.1342,0.03704358
160.0627,0.03488001
161.9912,0.03335435
163.9196,0.03262101
165.8481,0.03192418
167.7766,0.03148236
169.705,0.03091759
171.6335,0.02908309
173.562,0.02772775
175.4904,0.02695761
177.4189,0.02579981
179.3474,0.02519496
181.2758,0.02506261
183.2043,0.02446791
185.1328,0.02392499
187.0612,0.02370994
188.9897,0.02327667
190.9182,0.02294314
192.8466,0.0229257
194.7751,0.02266463
196.7036,0.02258211
198.632,0.02222916
200.5605,0.0222949
202.489,0.02278466
204.4174,0.02257667
206.3459,0.02280928
208.2744,0.0235572
210.2028,0.02397768
212.1313,0.02470688
214.0598,0.02449956
215.9882,0.02327959
217.9167,0.02181943
219.8452,0.02046287
221.7736,0.01929224
223.7021,0.0184458
225.6305,0.01813673
227.559,0.01836438
229.4875,0.01806169
231.4159,0.01792353
233.3444,0.01792808
235.2729,0.01777737
237.2013,0.01766072
239.1298,0.01782617
241.0583,0.01759012
242.9867,0.01731917
244.9152,0.01727286
246.8437,0.01724983
248.7721,0.0168421
250.7006,0.01632225
252.6291,0.01654347
254.5575,0.01635064
256.486,0.01542829
258.4145,0.01527011
260.3429,0.01528778
262.2714,0.01521734
264.1999,0.01507795
266.1283,0.01511262
268.0568,0.01498438
269.9853,0.01490765
271.9137,0.01470653
273.8422,0.01477626
275.7707,0.01521173
277.6991,0.0157038
279.6276,0.01563544
281.5561,0.01545111
283.4845,0.01523672
285.413,0.0151348
287.3415,0.01533232
289.2699,0.0155207
291.1984,0.01534397
293.1269,0.01499131
295.0553,0.0151167
296.9838,0.01546063
298.9123,0.01569833
300.8407,0.01615
302.7692,0.01678722
304.6977,0.0164752
306.6261,0.01611629
308.5546,0.01632873
310.4831,0.01636036
312.4115,0.01617451
314.34,0.01596982
316.2685,0.01607836
318.1969,0.01629197
320.1254,0.01653465
322.0539,0.01673469
323.9823,0.01705056
325.9108,0.01714907
327.8392,0.01733059
329.7677,0.01717271
331.6962,0.01710766
333.6246,0.01705714
335.5531,0.01734641
337.4816,0.01752278
339.41,0.01747083
341.3385,0.01755646
343.267,0.01775431
345.1954,0.0175808
347.1239,0.01789671
349.0524,0.01841295
350.9808,0.01865985
352.9093,0.01857279
354.8378,0.01835964
356.7662,0.0185213
358.6947,0.01871729
360.6232,0.01861852
362.5516,0.01891485
364.4801,0.01881665
366.4086,0.01863254
368.337,0.01887828
370.2655,0.01904518
372.194,0.01912882
374.1224,0.01954975
376.0509,0.01961355
377.9794,0.01951784
379.9078,0.01962771
381.8363,0.0197342
383.7648,0.02003141
385.6932,0.02022476
387.6217,0.01999041
389.5502,0.02000657
391.4786,0.02018654
393.4071,0.02034272
395.3356,0.02039038
397.264,0.02060563
399.1925,0.02075296
401.121,0.02092135
403.0494,0.02094397
404.9779,0.02098887
406.9064,0.0210698
408.8348,0.0212364
410.7633,0.02146521
412.6917,0.02151502
414.6202,0.02144394
416.5487,0.02161258
418.4771,0.02194501
420.4056,0.02201708
422.3341,0.02197179
424.2625,0.02212424
426.191,0.02250616
428.1195,0.02280536
430.0479,0.02284805
431.9764,0.02314944
433.9049,0.02344021
435.8333,0.02350404
437.7618,0.02355899
439.6903,0.02367663
441.6187,0.023604
443.5472,0.02359387
445.4757,0.02362568
447.4041,0.02385139
449.3326,0.02376098
451.2611,0.02388847
453.1895,0.0241127
455.118,0.02417621
457.0465,0.02453248
458.9749,0.02489553
460.9034,0.02488688
462.8319,0.02502522
464.7603,0.02508447
466.6888,0.02542608
468.6173,0.02583456
470.5457,0.02587654
472.4742,0.02569485
474.4027,0.02569994
476.3311,0.02593462
478.2596,0.02602593
480.1881,0.02563985
482.1165,0.0252583
484.045,0.02527304
485.9735,0.02531842
487.9019,0.02524009
489.8304,0.02569208
491.7589,0.02597875
493.6873,0.02602164
495.6158,0.0259913
497.5443,0.0260294
499.4727,0.02584532
501.4012,0.02598114
503.3297,0.02631018
505.2581,0.02631095
507.1866,0.02607605
509.1151,0.02607754
511.0435,0.02614837
512.972,0.02589829
514.9005,0.02564262
516.8289,0.02580666
518.7574,0.02633279
520.6859,0.02682446
522.6143,0.02681687
524.5428,0.02695759
526.4713,0.0270569
528.3997,0.0269425
530.3282,0.02699105
532.2567,0.02706272
534.1851,0.02693492
536.1136,0.02681982
538.0421,0.02640329
539.9705,0.0263319
541.899,0.02633546
543.8275,0.02635977
545.7559,0.02664837
547.6844,0.02667675
549.6129,0.02657038
551.5413,0.02638395
553.4698,0.02623232
555.3983,0.02633622
557.3267,0.02646169
559.2552,0.02667131
561.1837,0.02693615
563.1121,0.02695644
565.0406,0.02685587
566.9691,0.02681204
568.8975,0.02682494
570.826,0.0271961
572.7545,0.02745782
574.6829,0.02741789
576.6114,0.0276508
578.5399,0.0277773
580.4683,0.02781488
582.3968,0.02779117
584.3253,0.02743785
586.2537,0.02745612
588.1822,0.02735144
590.1107,0.02734489
592.0391,0.02730919
593.9676,0.02717086
595.8961,0.02689113
597.8245,0.02651272
599.753,0.0256178
601.6815,0.02486783
603.6099,0.02421808
605.5384,0.02420544
607.4669,0.02419793
609.3953,0.02415675
