x,y
50.14013,0.0111777
52.0686,0.01145255
53.99707,0.007682511
55.92553,0.01078703
57.854,0.01570634
59.78246,0.01471937
61.71093,0.01299482
63.6394,0.01680893
65.56786,0.0190407
67.49633,0.01895161
69.4248,0.02039241
71.35326,0.02074804
73.28172,0.02041992
75.21019,0.02112479
77.13866,0.02220513
79.06712,0.02372734
80.99559,0.02526091
82.92406,0.02600185
84.85252,0.02537613
86.78099,0.02442712
88.70946,0.02483499
90.63792,0.02642196
92.56638,0.02794245
94.49485,0.02888264
96.42332,0.03008229
98.35178,0.03194073
100.2803,0.03272999
102.2087,0.03376184
104.1372,0.03474526
106.0657,0.0365776
107.9941,0.03834846
109.9226,0.03914251
111.851,0.03663682
113.7795,0.03390018
115.708,0.03333708
117.6364,0.03468888
119.5649,0.03612271
121.4934,0.03767253
123.4218,0.03916544
125.3503,0.04123169
127.2788,0.04287688
129.2072,0.04361741
131.1357,0.04335708
133.0642,0.04237382
134.9926,0.04234264
136.9211,0.04224153
138.8496,0.03886267
140.778,0.03469076
142.7065,0.03393619
144.635,0.03568485
146.5634,0.03816607
148.4919,0.04121065
150.4204,0.04363446
152.3488,0.04526165
154.2773,0.04604156
156.2058,0.04759025
158.1342,0.04953328
160.0627,0.05021826
161.9912,0.0512541
163.9196,0.05266789
165.8481,0.05212931
167.7766,0.04845423
169.705,0.04513277
171.6335,0.04497631
173.562,0.04644262
175.4904,0.04726713
177.4189,0.04721057
179.3474,0.04857554
181.2758,0.05051922
183.2043,0.05171036
185.1328,0.05301934
187.0612,0.05488277
188.9897,0.05620947
190.9182,0.05726508
192.8466,0.05816701
194.7751,0.05802489
196.7036,0.05599689
198.632,0.05390387
200.5605,0.05370736
202.489,0.05572671
204.4174,0.05742013
206.3459,0.05787433
208.2744,0.05668588
210.2028,0.05468203
212.1313,0.0547866
214.0598,0.056453
215.9882,0.05806894
217.9167,0.05976131
219.8452,0.06116642
221.7736,0.0622887
223.7021,0.06199347
225.6305,0.0613839
227.559,0.06157213
229.4875,0.06222262
231.4159,0.0637703
233.3444,0.06505299
235.2729,0.06424873
237.2013,0.06140642
239.1298,0.05832307
241.0583,0.05603954
242.9867,0.0552937
244.9152,0.05688179
246.8437,0.05968437
248.7721,0.06270994
250.7006,0.0651602
252.6291,0.06748294
254.5575,0.06849403
256.486,0.06751012
258.4145,0.06609681
260.3429,0.06604214
262.2714,0.06700147
264.1999,0.06791883
266.1283,0.06869783
268.0568,0.06956157
269.9853,0.07066688
271.9137,0.07211293
273.8422,0.07334803
275.7707,0.07391365
277.6991,0.07390012
279.6276,0.0728915
281.5561,0.07119002
283.4845,0.06889372
285.413,0.06624375
287.3415,0.06426911
289.2699,0.0634674
291.1984,0.06379318
293.1269,0.06546868
295.0553,0.06795631
296.9838,0.07000998
298.9123,0.07106458
300.8407,0.07123496
302.7692,0.07072131
304.6977,0.06928407
306.6261,0.06812813
308.5546,0.06806808
310.4831,0.06865564
312.4115,0.06980722
314.34,0.07126514
316.2685,0.07268315
318.1969,0.07350973
320.1254,0.07434207
322.0539,0.07553243
323.9823,0.07613475
325.9108,0.07602266
327.8392,0.07570005
329.7677,0.07517883
331.6962,0.0742733
333.6246,0.07373937
335.5531,0.07409439
337.4816,0.07468642
339.41,0.07499076
341.3385,0.07542559
343.267,0.07687947
345.1954,0.078977
347.1239,0.08130816
349.0524,0.08312927
350.9808,0.08367784
352.9093,0.0830634
354.8378,0.08157615
356.7662,0.07964556
358.6947,0.07657549
360.6232,0.07286755
362.5516,0.06966606
364.4801,0.06611136
366.4086,0.0621638
368.337,0.05885838
370.2655,0.05617581
372.194,0.05365252
374.1224,0.05193524
376.0509,0.05065751
377.9794,0.0495571
379.9078,0.0489639
381.8363,0.04834494
383.7648,0.0476879
385.6932,0.04727941
387.6217,0.04671907
389.5502,0.04658882
391.4786,0.04697769
393.4071,0.04763196
395.3356,0.04845521
397.264,0.04984922
399.1925,0.05160466
401.121,0.05290259
403.0494,0.0535742
404.9779,0.05388006
406.9064,0.05397768
408.8348,0.05402973
410.7633,0.05455765
412.6917,0.05555454
414.6202,0.05692061
416.5487,0.05861118
418.4771,0.06023892
420.4056,0.06137312
422.3341,0.06256208
424.2625,0.06391944
426.191,0.06520429
428.1195,0.06612779
430.0479,0.06660702
431.9764,0.06679992
433.9049,0.06662581
435.8333,0.06603618
437.7618,0.06476232
439.6903,0.06282511
441.6187,0.06055238
443.5472,0.05829029
445.4757,0.05603041
447.4041,0.05433123
449.3326,0.05346462
451.2611,0.05376646
453.1895,0.05550857
455.118,0.05818268
457.0465,0.06198733
458.9749,0.06704464
460.9034,0.07241274
462.8319,0.077676
464.7603,0.08300035
466.6888,0.08741082
468.6173,0.09078625
470.5457,0.09196966
472.4742,0.09080888
474.4027,0.08888268
476.3311,0.08602583
478.2596,0.08255505
480.1881,0.07936195
482.1165,0.07715786
484.045,0.07658701
485.9735,0.07710256
487.9019,0.07722505
489.8304,0.07712226
491.7589,0.0770957
493.6873,0.07688745
495.6158,0.07642055
497.5443,0.07637852
499.4727,0.0766565
501.4012,0.07743824
503.3297,0.0787404
505.2581,0.0803028
507.1866,0.08206767
509.1151,0.08375615
511.0435,0.08507468
512.972,0.08599719
514.9005,0.08603367
516.8289,0.08486017
518.7574,0.0824753
520.6859,0.07875788
522.6143,0.07379322
524.5428,0.06880412
526.4713,0.06419246
528.3997,0.05982831
530.3282,0.05575734
532.2567,0.05215023
534.1851,0.04872189
536.1136,0.04569544
538.0421,0.04333625
539.9705,0.04167261
541.899,0.04046418
543.8275,0.03944147
545.7559,0.03845407
547.6844,0.03785451
549.6129,0.03746856
551.5413,0.0368329
553.4698,0.03638512
555.3983,0.03645373
557.3267,0.03645527
