x,y
50.14013,0.003558234
52.0686,0.00555027
53.99707,0.007376086
55.92553,0.008637545
57.854,0.007910322
59.78246,0.009902765
61.71093,0.008252919
63.6394,0.009847946
65.56786,0.01007701
67.49633,0.01007904
69.4248,0.01154943
71.35326,0.0135664
73.28172,0.01490522
75.21019,0.0161792
77.13866,0.01625836
79.06712,0.01747929
80.99559,0.01879491
82.92406,0.01993718
84.85252,0.02116003
86.78099,0.02215937
88.70946,0.02268325
90.63792,0.02405994
92.56638,0.02399038
94.49485,0.02298429
96.42332,0.02276972
98.35178,0.02362836
100.2803,0.02352197
102.2087,0.02276305
104.1372,0.02254102
106.0657,0.02286344
107.9941,0.02303124
109.9226,0.02370228
111.851,0.02450017
113.7795,0.02458441
115.708,0.02334061
117.6364,0.02212601
119.5649,0.02206088
121.4934,0.02141335
123.4218,0.02116906
125.3503,0.02261864
127.2788,0.02412002
129.2072,0.02461022
131.1357,0.02531925
133.0642,0.0260231
134.9926,0.0259526
136.9211,0.02544556
138.8496,0.02471552
140.778,0.02407018
142.7065,0.02381601
144.635,0.02343972
146.5634,0.02278198
148.4919,0.02336775
150.4204,0.02328756
152.3488,0.02196307
154.2773,0.02043318
156.2058,0.01952242
158.1342,0.01879906
160.0627,0.01787582
161.9912,0.01746989
163.9196,0.0169474
165.8481,0.01664763
167.7766,0.01669404
169.705,0.01690227
171.6335,0.01688002
173.562,0.01704184
175.4904,0.01742538
177.4189,0.01732062
179.3474,0.01745871
181.2758,0.01827813
183.2043,0.01863668
185.1328,0.01878326
187.0612,0.01958083
188.9897,0.0202633
190.9182,0.02063491
192.8466,0.0213205
194.7751,0.02208406
196.7036,0.02234063
198.632,0.0226137
200.5605,0.02322289
202.489,0.02391878
204.4174,0.0240608
206.3459,0.02448335
208.2744,0.02506597
210.2028,0.02513432
212.1313,0.02535028
214.0598,0.0259246
215.9882,0.02672474
217.9167,0.02774617
219.8452,0.02868457
221.7736,0.02940334
223.7021,0.02991341
225.6305,0.03037329
227.559,0.0307445
229.4875,0.03033768
231.4159,0.03015975
233.3444,0.03049964
235.2729,0.0308309
237.2013,0.03084696
239.1298,0.03088932
241.0583,0.03092977
242.9867,0.03122261
244.9152,0.03175163
246.8437,0.03221452
248.7721,0.03254737
250.7006,0.03293196
252.6291,0.03425968
254.5575,0.03518382
256.486,0.03488828
258.4145,0.03503609
260.3429,0.03567015
262.2714,0.03601985
264.1999,0.03652781
266.1283,0.03735758
268.0568,0.0379048
269.9853,0.03853682
271.9137,0.03921135
273.8422,0.04007318
275.7707,0.0412485
277.6991,0.04228252
279.6276,0.04264928
281.5561,0.04294032
283.4845,0.04306294
285.413,0.04295022
287.3415,0.04353886
289.2699,0.0442373
291.1984,0.04477751
293.1269,0.04514014
295.0553,0.04582293
296.9838,0.04669604
298.9123,0.04793554
300.8407,0.04936554
302.7692,0.05096111
304.6977,0.05157262
306.6261,0.05206738
308.5546,0.05252511
310.4831,0.05271238
312.4115,0.05271659
314.34,0.05281074
316.2685,0.0532879
318.1969,0.05383703
320.1254,0.05444819
322.0539,0.0551516
323.9823,0.05568776
325.9108,0.05605556
327.8392,0.05632539
329.7677,0.05606621
331.6962,0.05588668
333.6246,0.05566426
335.5531,0.05546137
337.4816,0.05554771
339.41,0.05553919
341.3385,0.05527723
343.267,0.05508947
345.1954,0.05536503
347.1239,0.05591265
349.0524,0.05674439
350.9808,0.05764243
352.9093,0.05835123
354.8378,0.05889941
356.7662,0.05988419
358.6947,0.06078182
360.6232,0.06152255
362.5516,0.06253907
364.4801,0.06307087
366.4086,0.06325891
368.337,0.06379667
370.2655,0.06425311
372.194,0.06442872
374.1224,0.06497464
376.0509,0.0654856
377.9794,0.06539896
379.9078,0.06515929
381.8363,0.06465466
383.7648,0.06364001
385.6932,0.06269407
387.6217,0.06225654
389.5502,0.06223918
391.4786,0.06228425
393.4071,0.0627703
395.3356,0.06352475
397.264,0.06412814
399.1925,0.06493395
401.121,0.06568784
403.0494,0.06622256
404.9779,0.06650952
406.9064,0.06715037
408.8348,0.06774303
410.7633,0.06831587
412.6917,0.06901013
414.6202,0.0698914
416.5487,0.07064071
418.4771,0.07163408
420.4056,0.07242233
422.3341,0.07266044
424.2625,0.07236388
426.191,0.07233529
428.1195,0.07222071
430.0479,0.07161172
431.9764,0.07092268
433.9049,0.0698956
435.8333,0.06826355
437.7618,0.06664566
439.6903,0.06497538
441.6187,0.062864
443.5472,0.06083362
445.4757,0.0589142
447.4041,0.05705826
449.3326,0.05483971
451.2611,0.05309426
453.1895,0.05212449
455.118,0.05100267
457.0465,0.05050366
458.9749,0.0504818
460.9034,0.05054828
462.8319,0.05087721
464.7603,0.05087298
466.6888,0.05062819
468.6173,0.05050177
470.5457,0.0498432
