x,y
50.14013,0.02716486
52.0686,0.01378943
53.99707,0.01463004
55.92553,0.02313234
57.854,0.02217532
59.78246,0.02787462
61.71093,0.02996233
63.6394,0.03112256
65.56786,0.02911779
67.49633,0.02803041
69.4248,0.03041328
71.35326,0.0324583
73.28172,0.03209084
75.21019,0.03161995
77.13866,0.03271316
79.06712,0.03437888
80.99559,0.03382951
82.92406,0.03272682
84.85252,0.03213354
86.78099,0.03413153
88.70946,0.03440789
90.63792,0.03506711
92.56638,0.03580196
94.49485,0.03596911
96.42332,0.03586685
98.35178,0.03605834
100.2803,0.03567933
102.2087,0.03581334
104.1372,0.03616533
106.0657,0.037228
107.9941,0.03789791
109.9226,0.03836732
111.851,0.03813213
113.7795,0.03851777
115.708,0.0397028
117.6364,0.040228
119.5649,0.04097372
121.4934,0.0417588
123.4218,0.04149537
125.3503,0.04206718
127.2788,0.04255857
129.2072,0.0425001
131.1357,0.04281774
133.0642,0.04306112
134.9926,0.04282163
136.9211,0.04256556
138.8496,0.04242295
140.778,0.042709
142.7065,0.04243239
144.635,0.04188833
146.5634,0.04162068
148.4919,0.04195462
150.4204,0.04251001
152.3488,0.04324491
154.2773,0.04273381
156.2058,0.04230531
158.1342,0.0426579
160.0627,0.04290057
161.9912,0.04272923
163.9196,0.04253315
165.8481,0.04188132
167.7766,0.04129311
169.705,0.04062962
171.6335,0.04013146
173.562,0.03924411
175.4904,0.03870848
177.4189,0.03807249
179.3474,0.03705188
181.2758,0.0358569
183.2043,0.03461276
185.1328,0.033233
187.0612,0.03236755
188.9897,0.03132785
190.9182,0.03024958
192.8466,0.02921673
194.7751,0.02822172
196.7036,0.02730922
198.632,0.02664915
200.5605,0.02576848
202.489,0.02501007
204.4174,0.02528776
206.3459,0.02633119
208.2744,0.02754987
210.2028,0.02920186
212.1313,0.03083899
214.0598,0.03270122
215.9882,0.03456496
217.9167,0.03602502
219.8452,0.03694277
221.7736,0.03708621
223.7021,0.03668784
225.6305,0.03589094
227.559,0.03494551
229.4875,0.0336443
231.4159,0.03223284
233.3444,0.03078989
235.2729,0.02929629
237.2013,0.02803888
239.1298,0.02702429
241.0583,0.02618098
242.9867,0.02536967
244.9152,0.02477071
246.8437,0.02448864
248.7721,0.02421591
250.7006,0.02408223
252.6291,0.02382911
254.5575,0.02376689
256.486,0.02364019
258.4145,0.02353559
260.3429,0.02374757
262.2714,0.02418885
264.1999,0.02460659
266.1283,0.02509521
268.0568,0.02549268
269.9853,0.0261667
271.9137,0.02718439
273.8422,0.02803454
275.7707,0.02865699
277.6991,0.0293873
279.6276,0.03043772
281.5561,0.03148175
283.4845,0.03269497
285.413,0.03392142
287.3415,0.03492095
289.2699,0.03614666
291.1984,0.03792851
293.1269,0.03960502
295.0553,0.04094556
296.9838,0.04244722
298.9123,0.04437567
300.8407,0.04637541
302.7692,0.04859035
304.6977,0.05073909
306.6261,0.0528192
308.5546,0.05532126
310.4831,0.05802881
312.4115,0.06066583
314.34,0.06312942
316.2685,0.06445939
318.1969,0.06416728
320.1254,0.06190968
322.0539,0.0586439
323.9823,0.05525448
325.9108,0.05271377
327.8392,0.05101641
329.7677,0.0502394
331.6962,0.05038792
333.6246,0.05130197
335.5531,0.05252239
337.4816,0.05365705
339.41,0.05457885
341.3385,0.05578997
343.267,0.05712901
345.1954,0.05871458
347.1239,0.06030031
349.0524,0.06168731
350.9808,0.06320012
352.9093,0.06489401
354.8378,0.06656272
356.7662,0.06831371
358.6947,0.07002028
360.6232,0.07160151
362.5516,0.07337991
364.4801,0.0754869
366.4086,0.07741997
368.337,0.07831904
370.2655,0.07773207
372.194,0.07557359
374.1224,0.07247341
376.0509,0.0703418
377.9794,0.06972255
379.9078,0.06957172
381.8363,0.06875724
383.7648,0.06715842
385.6932,0.06523285
387.6217,0.06335031
389.5502,0.06150486
391.4786,0.06026046
393.4071,0.0594779
395.3356,0.05899719
397.264,0.05900543
399.1925,0.05923042
401.121,0.05938571
403.0494,0.05950999
404.9779,0.05973291
406.9064,0.06001491
408.8348,0.06032639
410.7633,0.06074011
412.6917,0.0612127
414.6202,0.06194897
416.5487,0.06259122
418.4771,0.06272727
420.4056,0.06198962
422.3341,0.06079514
424.2625,0.05953455
426.191,0.05867702
428.1195,0.05813923
430.0479,0.05776782
431.9764,0.05777086
433.9049,0.0585025
435.8333,0.05937692
437.7618,0.06014346
439.6903,0.0607296
441.6187,0.06112131
443.5472,0.06199404
445.4757,0.06290304
447.4041,0.0639037
449.3326,0.06478788
451.2611,0.06536874
453.1895,0.06623741
455.118,0.06720579
457.0465,0.06810687
458.9749,0.06859519
460.9034,0.06902813
462.8319,0.0699344
464.7603,0.07083455
466.6888,0.0714653
468.6173,0.07240467
470.5457,0.07303411
472.4742,0.07350618
474.4027,0.07424781
476.3311,0.07485755
478.2596,0.07543368
480.1881,0.07603886
482.1165,0.07636558
484.045,0.07709882
485.9735,0.07774171
487.9019,0.07836022
489.8304,0.0791949
491.7589,0.07970304
493.6873,0.08029386
495.6158,0.08094659
497.5443,0.08195021
499.4727,0.08316463
501.4012,0.08388101
503.3297,0.08445954
505.2581,0.08505809
507.1866,0.08571415
509.1151,0.08615879
511.0435,0.08658462
512.972,0.08689755
514.9005,0.08708926
516.8289,0.08778367
518.7574,0.08859434
520.6859,0.08921237
522.6143,0.08970637
524.5428,0.09041109
526.4713,0.09119297
528.3997,0.09189857
530.3282,0.09234837
532.2567,0.09282061
534.1851,0.09334447
536.1136,0.09425802
538.0421,0.09522507
539.9705,0.09625629
541.899,0.09663095
543.8275,0.09656686
545.7559,0.09657078
547.6844,0.0965139
549.6129,0.09651748
551.5413,0.09711627
553.4698,0.09773556
555.3983,0.09839614
557.3267,0.09914143
559.2552,0.1001046
561.1837,0.1011172
563.1121,0.1017339
565.0406,0.10166
566.9691,0.1014914
568.8975,0.1018642
570.826,0.1025856
572.7545,0.1030937
574.6829,0.1037928
576.6114,0.1048819
578.5399,0.1057062
580.4683,0.1061984
582.3968,0.1066782
584.3253,0.1073356
586.2537,0.107979
588.1822,0.1087342
590.1107,0.1096194
592.0391,0.1103939
593.9676,0.1111173
595.8961,0.1120073
597.8245,0.1128365
599.753,0.1137408
601.6815,0.1146074
603.6099,0.1150769
605.5384,0.1159648
607.4669,0.1166891
609.3953,0.1176382
611.3238,0.1187776
613.2523,0.1193585
615.1807,0.1199781
617.1091,0.1207699
619.0376,0.1221291
620.9661,0.1229691
622.8945,0.1231398
624.823,0.1245058
626.7515,0.1260881
