x,y
50.14013,0.01282483
52.0686,0.01503227
53.99707,0.01336254
55.92553,0.008504202
57.854,0.008651618
59.78246,0.01361031
61.71093,0.01026725
63.6394,0.008298717
65.56786,0.010226
67.49633,0.008419387
69.4248,0.009082579
71.35326,0.009873003
73.28172,0.009349706
75.21019,0.009771879
77.13866,0.01189546
79.06712,0.01298747
80.99559,0.01507544
82.92406,0.01693928
84.85252,0.01597002
86.78099,0.01389251
88.70946,0.01411109
90.63792,0.01504349
92.56638,0.01577998
94.49485,0.01632248
96.42332,0.01750884
98.35178,0.01803881
100.2803,0.01940307
102.2087,0.02096366
104.1372,0.01958941
106.0657,0.01741844
107.9941,0.01701944
109.9226,0.01756379
111.851,0.01857272
113.7795,0.01955569
115.708,0.02103679
117.6364,0.02218742
119.5649,0.02332981
121.4934,0.02421595
123.4218,0.02561927
125.3503,0.02710735
127.2788,0.02810717
129.2072,0.02909624
131.1357,0.03037494
133.0642,0.03178957
134.9926,0.03340072
136.9211,0.03437753
138.8496,0.03387549
140.778,0.03202997
142.7065,0.03012735
144.635,0.02880476
146.5634,0.0289245
148.4919,0.0302593
150.4204,0.03163099
152.3488,0.03255678
154.2773,0.0339072
156.2058,0.03579174
158.1342,0.03723135
160.0627,0.03728471
161.9912,0.03681371
163.9196,0.03707624
165.8481,0.0384216
167.7766,0.03972967
169.705,0.04063019
171.6335,0.04059148
173.562,0.04003681
175.4904,0.04005276
177.4189,0.04093529
179.3474,0.04163447
181.2758,0.04185835
183.2043,0.04158396
185.1328,0.04095238
187.0612,0.03972555
188.9897,0.03819033
190.9182,0.03633837
192.8466,0.03507215
194.7751,0.0341847
196.7036,0.03377778
198.632,0.03353061
200.5605,0.03399938
202.489,0.0351601
204.4174,0.03588698
206.3459,0.03517658
208.2744,0.03385163
210.2028,0.0325477
212.1313,0.03151076
214.0598,0.03075738
215.9882,0.03080808
217.9167,0.03112946
219.8452,0.03200675
221.7736,0.03312341
223.7021,0.03415997
225.6305,0.03514887
227.559,0.035809
229.4875,0.03560853
231.4159,0.03535005
233.3444,0.03475502
235.2729,0.03412017
237.2013,0.0339716
239.1298,0.03421303
241.0583,0.03510302
242.9867,0.03648204
244.9152,0.03781658
246.8437,0.03963364
248.7721,0.04199217
250.7006,0.04442038
252.6291,0.04648205
254.5575,0.04788849
256.486,0.048773
258.4145,0.04913653
260.3429,0.04834467
