x,y
50.14013,0.01349744
52.0686,0.01530306
53.99707,0.01514321
55.92553,0.01208931
57.854,0.009372517
59.78246,0.01239008
61.71093,0.01029061
63.6394,0.01033216
65.56786,0.009831578
67.49633,0.009523031
69.4248,0.01135671
71.35326,0.01074138
73.28172,0.01150926
75.21019,0.01137302
77.13866,0.01189902
79.06712,0.01317152
80.99559,0.013094
82.92406,0.01277728
84.85252,0.01308856
86.78099,0.01386825
88.70946,0.01341095
90.63792,0.01346359
92.56638,0.01428498
94.49485,0.01473482
96.42332,0.01463903
98.35178,0.01500042
100.2803,0.01632077
102.2087,0.01770388
104.1372,0.01787149
106.0657,0.01754503
107.9941,0.0172578
109.9226,0.01749367
111.851,0.01836658
113.7795,0.01923849
115.708,0.01989104
117.6364,0.0204857
119.5649,0.0210354
121.4934,0.02195987
123.4218,0.02195339
125.3503,0.02297616
127.2788,0.02536435
129.2072,0.0266543
131.1357,0.02745384
133.0642,0.0283713
134.9926,0.02852652
136.9211,0.02946764
138.8496,0.03069782
140.778,0.03139276
142.7065,0.03125791
144.635,0.03184154
146.5634,0.03273183
148.4919,0.03328969
150.4204,0.03369666
152.3488,0.03487018
154.2773,0.03630886
156.2058,0.03749853
158.1342,0.03857733
160.0627,0.03970152
161.9912,0.04030401
163.9196,0.04073877
165.8481,0.04108405
167.7766,0.04168747
169.705,0.04262305
171.6335,0.04320951
173.562,0.04286239
175.4904,0.04305651
177.4189,0.04344663
179.3474,0.04348612
181.2758,0.04352988
183.2043,0.04399835
185.1328,0.04412361
187.0612,0.04362115
188.9897,0.04241835
190.9182,0.04146897
192.8466,0.04058718
194.7751,0.03940653
196.7036,0.03781274
198.632,0.03604834
200.5605,0.03433178
202.489,0.03297543
204.4174,0.03270495
206.3459,0.03422142
208.2744,0.03697015
210.2028,0.0392315
212.1313,0.04015174
214.0598,0.03975091
215.9882,0.03868185
217.9167,0.03739908
219.8452,0.03658119
221.7736,0.03601385
223.7021,0.03526931
225.6305,0.03437259
227.559,0.03369526
229.4875,0.03321385
231.4159,0.03277929
233.3444,0.03199862
235.2729,0.03108446
237.2013,0.03038792
239.1298,0.02931616
241.0583,0.02831369
242.9867,0.02758202
244.9152,0.02696868
246.8437,0.02641453
248.7721,0.02582239
250.7006,0.02526717
252.6291,0.02505948
254.5575,0.02469279
256.486,0.02418917
258.4145,0.02402704
260.3429,0.02400484
262.2714,0.02426162
264.1999,0.02430849
266.1283,0.02439613
268.0568,0.02464117
269.9853,0.02468101
271.9137,0.02456338
273.8422,0.02467681
275.7707,0.02493391
277.6991,0.02546744
279.6276,0.0260559
281.5561,0.02627922
283.4845,0.02669559
285.413,0.02764174
287.3415,0.02897316
289.2699,0.03050593
291.1984,0.03225412
293.1269,0.0342134
295.0553,0.03672497
296.9838,0.03934748
298.9123,0.04221991
300.8407,0.04492356
302.7692,0.04778716
304.6977,0.05000714
306.6261,0.05099544
308.5546,0.05092956
310.4831,0.05018009
312.4115,0.04914029
314.34,0.04770841
316.2685,0.04634432
318.1969,0.0452241
320.1254,0.04360799
322.0539,0.04190829
323.9823,0.04024697
325.9108,0.03838207
327.8392,0.03647617
329.7677,0.03452219
331.6962,0.0326247
333.6246,0.03085089
335.5531,0.02916995
337.4816,0.02728451
339.41,0.02552822
341.3385,0.02423534
343.267,0.02324482
345.1954,0.02234824
347.1239,0.02147504
349.0524,0.02079844
350.9808,0.02024687
352.9093,0.02003435
354.8378,0.01988235
356.7662,0.01960286
358.6947,0.01931072
360.6232,0.01930559
362.5516,0.01915764
364.4801,0.01909471
366.4086,0.0189631
368.337,0.01877874
370.2655,0.01891464
372.194,0.01923227
374.1224,0.01941411
376.0509,0.01918204
377.9794,0.01886147
379.9078,0.01866727
381.8363,0.01850717
383.7648,0.01844386
385.6932,0.01832327
387.6217,0.01819413
389.5502,0.0181154
391.4786,0.01793634
393.4071,0.01811529
395.3356,0.0180948
397.264,0.01799682
399.1925,0.01804363
401.121,0.01806565
403.0494,0.01814496
404.9779,0.01818351
406.9064,0.01836019
408.8348,0.01844802
410.7633,0.01843431
412.6917,0.01850515
414.6202,0.01868871
416.5487,0.01892504
418.4771,0.01894532
420.4056,0.0192029
422.3341,0.0195523
424.2625,0.01964184
426.191,0.01963617
428.1195,0.01976367
430.0479,0.0200013
431.9764,0.02024785
433.9049,0.02053348
435.8333,0.02066164
437.7618,0.02030152
439.6903,0.02009101
441.6187,0.01992482
443.5472,0.01997987
445.4757,0.02050563
447.4041,0.02084578
449.3326,0.02029288
451.2611,0.02002199
453.1895,0.02030318
455.118,0.02058138
457.0465,0.02064071
458.9749,0.02058021
460.9034,0.02065056
462.8319,0.02087323
464.7603,0.02102691
466.6888,0.02099044
468.6173,0.02118845
470.5457,0.02137095
472.4742,0.02146089
474.4027,0.02133777
476.3311,0.02116526
478.2596,0.02091177
480.1881,0.02104231
482.1165,0.02122675
484.045,0.02138797
485.9735,0.02120992
487.9019,0.02116662
489.8304,0.02154112
491.7589,0.0218374
493.6873,0.02196151
495.6158,0.02241132
497.5443,0.02272771
499.4727,0.02272232
501.4012,0.02268897
503.3297,0.02298769
505.2581,0.02325047
507.1866,0.02329428
509.1151,0.02309495
511.0435,0.02246829
512.972,0.02232337
514.9005,0.02281348
516.8289,0.02327596
518.7574,0.02306829
520.6859,0.02311072
522.6143,0.02340042
524.5428,0.02319749
526.4713,0.02326953
528.3997,0.0235139
530.3282,0.02346601
532.2567,0.02343431
534.1851,0.02373232
536.1136,0.02376442
538.0421,0.02371026
539.9705,0.02390275
541.899,0.02419896
543.8275,0.0243476
545.7559,0.02454859
547.6844,0.02476408
549.6129,0.02494331
551.5413,0.02462758
553.4698,0.02444193
555.3983,0.02511134
557.3267,0.02541994
559.2552,0.02545661
561.1837,0.02575605
563.1121,0.02610189
565.0406,0.0261938
566.9691,0.0263876
568.8975,0.02660244
570.826,0.02712154
572.7545,0.02796244
574.6829,0.02862158
576.6114,0.02845066
578.5399,0.02880574
580.4683,0.02949837
582.3968,0.03011066
584.3253,0.03026055
586.2537,0.03120538
588.1822,0.03236995
590.1107,0.03280281
592.0391,0.03347981
593.9676,0.0342297
595.8961,0.0355182
597.8245,0.03718521
599.753,0.03874494
601.6815,0.040458
603.6099,0.04326085
605.5384,0.04685746
607.4669,0.05128544
