x,y
50.14013,0.02673849
52.0686,0.03594813
53.99707,0.03190825
55.92553,0.0216517
57.854,0.02500773
59.78246,0.03894691
61.71093,0.03460377
63.6394,0.03044489
65.56786,0.02827736
67.49633,0.02915728
69.4248,0.03133613
71.35326,0.0315343
73.28172,0.03116643
75.21019,0.0315402
77.13866,0.0341955
79.06712,0.03589374
80.99559,0.03678929
82.92406,0.0380651
84.85252,0.03869799
86.78099,0.04025565
88.70946,0.03927281
90.63792,0.04002833
92.56638,0.04153519
94.49485,0.04294941
96.42332,0.04339867
98.35178,0.04425559
100.2803,0.04553865
102.2087,0.04709246
104.1372,0.04711663
106.0657,0.04779672
107.9941,0.04826917
109.9226,0.04918043
111.851,0.04982026
113.7795,0.05089288
115.708,0.05231788
117.6364,0.05307376
119.5649,0.05484895
121.4934,0.05697547
123.4218,0.05708412
125.3503,0.05847026
127.2788,0.06039467
129.2072,0.06183
131.1357,0.0630696
133.0642,0.06399321
134.9926,0.0643373
136.9211,0.06504241
138.8496,0.06610195
140.778,0.06675669
142.7065,0.06698583
144.635,0.0672287
146.5634,0.06661966
148.4919,0.06665077
150.4204,0.06726921
152.3488,0.06856491
154.2773,0.0694776
156.2058,0.0700673
158.1342,0.07041728
160.0627,0.07095798
161.9912,0.0712689
163.9196,0.07203901
165.8481,0.07272737
167.7766,0.07322095
169.705,0.07389261
171.6335,0.07451253
173.562,0.07438017
175.4904,0.07467593
177.4189,0.0748866
179.3474,0.07500875
181.2758,0.07531163
183.2043,0.07639522
185.1328,0.07692345
187.0612,0.07683511
188.9897,0.07645313
190.9182,0.07577901
192.8466,0.07482359
194.7751,0.07423324
196.7036,0.07381205
198.632,0.07344023
200.5605,0.07305449
202.489,0.07337677
204.4174,0.07304003
206.3459,0.07292861
208.2744,0.07315896
210.2028,0.073649
212.1313,0.07428666
214.0598,0.07517648
215.9882,0.07590953
217.9167,0.07637025
219.8452,0.0778356
221.7736,0.07927082
223.7021,0.08011816
225.6305,0.08109803
227.559,0.08200178
229.4875,0.08263396
231.4159,0.08301674
233.3444,0.08351219
235.2729,0.08424915
237.2013,0.08499629
239.1298,0.08528443
241.0583,0.08589662
242.9867,0.0866805
244.9152,0.0869393
246.8437,0.08695909
248.7721,0.08692767
250.7006,0.08687747
252.6291,0.08753195
254.5575,0.08765987
256.486,0.08776007
258.4145,0.08756505
260.3429,0.08746897
262.2714,0.08731364
264.1999,0.08695691
266.1283,0.08695038
268.0568,0.08689107
269.9853,0.08607978
271.9137,0.08519177
273.8422,0.08429131
275.7707,0.08363881
277.6991,0.08323934
279.6276,0.0831127
281.5561,0.08298232
283.4845,0.08311057
285.413,0.0832366
287.3415,0.08338254
289.2699,0.08350137
291.1984,0.0837032
293.1269,0.08366962
295.0553,0.08318294
296.9838,0.08269663
298.9123,0.08254743
300.8407,0.08149666
302.7692,0.08009779
304.6977,0.079284
306.6261,0.07908662
308.5546,0.07916858
310.4831,0.07951964
312.4115,0.08002339
314.34,0.08028264
316.2685,0.07970338
318.1969,0.07890696
320.1254,0.07759538
322.0539,0.07534709
323.9823,0.07278916
325.9108,0.07103119
327.8392,0.07011303
329.7677,0.07004265
331.6962,0.07007099
333.6246,0.06900976
335.5531,0.06622553
337.4816,0.06214529
339.41,0.05804533
341.3385,0.05476952
343.267,0.05250482
345.1954,0.05146959
347.1239,0.0513351
349.0524,0.05138681
350.9808,0.05154851
352.9093,0.05208847
354.8378,0.05306366
356.7662,0.05376363
358.6947,0.05418411
360.6232,0.05505718
362.5516,0.05603986
364.4801,0.05712799
366.4086,0.05780773
368.337,0.05855504
370.2655,0.05981525
372.194,0.0610681
374.1224,0.06238402
376.0509,0.06332853
377.9794,0.06399454
379.9078,0.06475782
381.8363,0.06569359
383.7648,0.06674819
385.6932,0.06767323
387.6217,0.06849634
389.5502,0.06950895
391.4786,0.07032473
393.4071,0.07134693
395.3356,0.07221738
397.264,0.07312985
399.1925,0.07411032
401.121,0.07486209
403.0494,0.07576681
404.9779,0.07678474
406.9064,0.0779586
408.8348,0.07887722
410.7633,0.07974768
412.6917,0.08085459
414.6202,0.08181252
416.5487,0.08273209
418.4771,0.0836204
420.4056,0.08474357
422.3341,0.08586803
424.2625,0.08687352
426.191,0.08768876
428.1195,0.08837824
430.0479,0.08924153
431.9764,0.08985554
433.9049,0.09051745
435.8333,0.09130239
437.7618,0.09190033
439.6903,0.09228871
441.6187,0.09263401
443.5472,0.09318908
445.4757,0.09369039
447.4041,0.09409125
449.3326,0.09452724
451.2611,0.09550687
453.1895,0.0962772
455.118,0.09648021
457.0465,0.09683201
458.9749,0.09739231
460.9034,0.09795403
462.8319,0.09845957
464.7603,0.09887291
466.6888,0.09932117
468.6173,0.1002919
470.5457,0.1011114
472.4742,0.1018598
474.4027,0.1023244
476.3311,0.1028064
478.2596,0.1034327
480.1881,0.104492
482.1165,0.10521
484.045,0.1055361
485.9735,0.1057322
487.9019,0.1062297
489.8304,0.1070723
491.7589,0.1081891
493.6873,0.1089714
495.6158,0.1095904
497.5443,0.1100928
499.4727,0.1104798
501.4012,0.1109446
503.3297,0.1115131
505.2581,0.1120542
507.1866,0.1128423
509.1151,0.1133877
511.0435,0.113847
512.972,0.1139916
514.9005,0.1145157
516.8289,0.1149739
518.7574,0.115144
520.6859,0.1155847
522.6143,0.1159459
524.5428,0.1165365
526.4713,0.1170697
528.3997,0.1174052
530.3282,0.1176726
532.2567,0.1180859
534.1851,0.1185546
536.1136,0.1185878
538.0421,0.1188208
539.9705,0.1191556
541.899,0.1197591
543.8275,0.1201559
545.7559,0.1205133
547.6844,0.1213675
549.6129,0.122262
551.5413,0.1225755
553.4698,0.1230104
555.3983,0.1236956
557.3267,0.1239746
559.2552,0.124451
561.1837,0.1250074
563.1121,0.1259833
565.0406,0.1268544
566.9691,0.127171
568.8975,0.127733
570.826,0.12831
572.7545,0.128719
574.6829,0.1293384
576.6114,0.1296436
578.5399,0.129993
580.4683,0.1303914
582.3968,0.1308893
584.3253,0.13128
586.2537,0.1321013
588.1822,0.1330761
590.1107,0.1334315
592.0391,0.133834
593.9676,0.1341658
595.8961,0.1348378
597.8245,0.1356892
599.753,0.1364898
601.6815,0.1367043
603.6099,0.1375342
605.5384,0.138328
607.4669,0.1392886
609.3953,0.1400001
611.3238,0.1394004
613.2523,0.1398221
615.1807,0.1407232
617.1091,0.1418824
619.0376,0.1428078
620.9661,0.1441002
622.8945,0.145231
624.823,0.1461929
626.7515,0.1466617
628.6799,0.1468171
630.6084,0.1466328
632.5369,0.146023
634.4653,0.1457362
636.3938,0.1455319
638.3223,0.1452993
640.2507,0.1453332
642.1792,0.1454833
644.1077,0.1455257
646.0361,0.1458445
647.9646,0.1461951
649.8931,0.1464376
651.8215,0.1465472
653.75,0.146844
655.6785,0.1469533
657.6069,0.1469616
659.5354,0.1472891
661.4639,0.1475629
663.3923,0.1479196
665.3208,0.1481671
667.2493,0.148772
669.1777,0.1495334
671.1062,0.1494449
673.0347,0.1498462
674.9631,0.1505858
676.8916,0.1510047
678.8201,0.1516959
680.7485,0.1523878
682.677,0.153012
684.6055,0.152916
686.5339,0.1525515
688.4624,0.1534512
690.3909,0.1552161
692.3193,0.1559323
694.2478,0.1564626
696.1763,0.1572006
698.1047,0.1584982
700.0332,0.1605283
