x,y
50.14013,0.006378269
52.0686,0.01366512
53.99707,0.01346916
55.92553,0.008604245
57.854,0.007348523
59.78246,0.01055172
61.71093,0.009584392
63.6394,0.00946889
65.56786,0.009374525
67.49633,0.009530831
69.4248,0.0108473
71.35326,0.009637392
73.28172,0.0106992
75.21019,0.01213461
77.13866,0.0127848
79.06712,0.01227464
80.99559,0.01183522
82.92406,0.01216597
84.85252,0.01225988
86.78099,0.01204544
88.70946,0.01215265
90.63792,0.01260295
92.56638,0.01236579
94.49485,0.01301466
96.42332,0.01339871
98.35178,0.01332038
100.2803,0.01443201
102.2087,0.01527858
104.1372,0.01543804
106.0657,0.01563452
107.9941,0.01575575
109.9226,0.0157955
111.851,0.01591532
113.7795,0.01570877
115.708,0.01598543
117.6364,0.0171327
119.5649,0.01742374
121.4934,0.01671086
123.4218,0.01595446
125.3503,0.01656221
127.2788,0.01781241
129.2072,0.01822544
131.1357,0.01909356
133.0642,0.01963803
134.9926,0.0200157
136.9211,0.02085641
138.8496,0.02203283
140.778,0.02243398
142.7065,0.02191467
144.635,0.0220108
146.5634,0.02277784
148.4919,0.02350248
150.4204,0.02382679
152.3488,0.02458901
154.2773,0.02541631
156.2058,0.02569233
158.1342,0.02579131
160.0627,0.02588618
161.9912,0.02569148
163.9196,0.02537079
165.8481,0.02530769
167.7766,0.0250189
169.705,0.02460561
171.6335,0.0243062
173.562,0.02406566
175.4904,0.02433591
177.4189,0.02456695
179.3474,0.02444224
181.2758,0.02418759
183.2043,0.02451987
185.1328,0.02493254
187.0612,0.02507594
188.9897,0.02510005
190.9182,0.02522908
192.8466,0.02571014
194.7751,0.02599227
196.7036,0.0258291
198.632,0.02550019
200.5605,0.02532887
202.489,0.02529947
204.4174,0.0250099
206.3459,0.02463292
208.2744,0.02430294
210.2028,0.02405221
212.1313,0.02382229
214.0598,0.02303194
215.9882,0.02234889
217.9167,0.0217383
219.8452,0.02111506
221.7736,0.02034328
223.7021,0.01991123
225.6305,0.01962631
227.559,0.01933925
229.4875,0.01858768
231.4159,0.01803149
233.3444,0.01766182
235.2729,0.01750432
237.2013,0.01736775
239.1298,0.01684289
241.0583,0.01673002
242.9867,0.01680018
244.9152,0.01659504
246.8437,0.01668815
248.7721,0.01677737
250.7006,0.01681703
252.6291,0.01696218
254.5575,0.01684768
256.486,0.01670675
258.4145,0.01673853
260.3429,0.01661931
262.2714,0.01674624
264.1999,0.01697451
266.1283,0.01717328
268.0568,0.01718285
269.9853,0.01710663
271.9137,0.01712022
273.8422,0.01704053
275.7707,0.01696248
277.6991,0.01745002
279.6276,0.01785836
281.5561,0.01786193
283.4845,0.01789992
285.413,0.01811397
287.3415,0.0180516
289.2699,0.01797101
291.1984,0.01823102
293.1269,0.01865424
295.0553,0.01878455
296.9838,0.01869879
298.9123,0.01902694
300.8407,0.01934666
302.7692,0.01945596
304.6977,0.01977749
306.6261,0.01997248
308.5546,0.02021709
310.4831,0.0203813
312.4115,0.02083114
314.34,0.0211686
316.2685,0.02146866
318.1969,0.02203044
320.1254,0.02268319
322.0539,0.02323027
323.9823,0.0236709
325.9108,0.02422651
327.8392,0.02476769
329.7677,0.02509925
331.6962,0.02568765
333.6246,0.02633204
335.5531,0.02651764
337.4816,0.02603772
339.41,0.02557548
341.3385,0.02555924
343.267,0.0257304
345.1954,0.02585012
347.1239,0.02591324
349.0524,0.02611339
350.9808,0.02605903
352.9093,0.02576729
354.8378,0.02566187
356.7662,0.02564271
358.6947,0.02581556
360.6232,0.0260777
362.5516,0.02604259
364.4801,0.02596323
366.4086,0.02563028
368.337,0.02544863
370.2655,0.0255719
372.194,0.0257188
374.1224,0.02599748
376.0509,0.02631151
377.9794,0.02632475
379.9078,0.02608601
381.8363,0.02616733
383.7648,0.02670688
385.6932,0.02686205
387.6217,0.02696862
389.5502,0.02695935
391.4786,0.0270296
393.4071,0.02751794
395.3356,0.02793342
397.264,0.02826716
399.1925,0.02868829
401.121,0.02930178
403.0494,0.02973366
404.9779,0.03004638
406.9064,0.03037027
408.8348,0.03064333
410.7633,0.0308891
412.6917,0.03127529
414.6202,0.03168271
416.5487,0.03201203
418.4771,0.03220118
420.4056,0.03263333
422.3341,0.03304984
424.2625,0.03337463
426.191,0.03357102
428.1195,0.03389741
430.0479,0.0342432
431.9764,0.03457617
433.9049,0.0350436
435.8333,0.0355028
437.7618,0.03600698
439.6903,0.03667086
441.6187,0.03705955
443.5472,0.03751189
445.4757,0.03807737
447.4041,0.03856199
449.3326,0.03887211
451.2611,0.03955537
453.1895,0.04030547
455.118,0.04104223
457.0465,0.04182636
458.9749,0.04242491
460.9034,0.04323958
462.8319,0.0434168
464.7603,0.04222748
466.6888,0.04069899
468.6173,0.03940322
470.5457,0.03825736
472.4742,0.03725947
474.4027,0.0365436
476.3311,0.03574957
478.2596,0.03507071
480.1881,0.03513572
482.1165,0.03498291
484.045,0.03488333
485.9735,0.0346788
487.9019,0.0345871
489.8304,0.03492951
491.7589,0.03508221
493.6873,0.0351302
495.6158,0.03534267
497.5443,0.0353512
499.4727,0.03510886
501.4012,0.03496714
503.3297,0.03478456
505.2581,0.03445573
507.1866,0.0341474
509.1151,0.03383497
511.0435,0.03324376
512.972,0.03306489
514.9005,0.03354993
516.8289,0.03366106
518.7574,0.03349677
520.6859,0.03428573
522.6143,0.03501141
524.5428,0.03476902
526.4713,0.03445059
528.3997,0.03426414
530.3282,0.0338976
532.2567,0.03369712
534.1851,0.03375556
536.1136,0.0333076
538.0421,0.03310098
539.9705,0.03287996
541.899,0.03276911
543.8275,0.03304331
545.7559,0.03322035
547.6844,0.03324975
549.6129,0.03327147
551.5413,0.03313556
553.4698,0.03283941
555.3983,0.03284929
557.3267,0.03275795
559.2552,0.03299318
561.1837,0.03335847
563.1121,0.03379816
565.0406,0.03403248
566.9691,0.03377953
568.8975,0.03385177
570.826,0.0345382
572.7545,0.03527233
574.6829,0.03568145
576.6114,0.03570037
578.5399,0.03563438
580.4683,0.03545931
582.3968,0.03535918
584.3253,0.03507743
586.2537,0.03560458
588.1822,0.03618705
590.1107,0.03586318
592.0391,0.03582552
593.9676,0.03569172
595.8961,0.03547589
597.8245,0.03535444
599.753,0.03520516
601.6815,0.03500792
603.6099,0.03517456
605.5384,0.03512804
607.4669,0.03526741
609.3953,0.03523124
611.3238,0.03457364
613.2523,0.03430449
615.1807,0.03419021
617.1091,0.03407492
619.0376,0.0343836
620.9661,0.03524731
622.8945,0.0360125
624.823,0.03720716
626.7515,0.03888438
628.6799,0.04066518
630.6084,0.04199456
632.5369,0.04279543
634.4653,0.04321181
636.3938,0.04369957
638.3223,0.04412467
640.2507,0.04463074
642.1792,0.04508656
644.1077,0.0455216
646.0361,0.04600851
647.9646,0.04616996
649.8931,0.04622243
651.8215,0.04679422
