x,y
50.14013,0.009724383
52.0686,0.01014563
53.99707,0.01293634
55.92553,0.01089214
57.854,0.01216185
59.78246,0.01415259
61.71093,0.0156864
63.6394,0.01483459
65.56786,0.01262423
67.49633,0.01459917
69.4248,0.01590712
71.35326,0.01452962
73.28172,0.01488608
75.21019,0.01676654
77.13866,0.01889575
79.06712,0.01906611
80.99559,0.01749298
82.92406,0.01768544
84.85252,0.0186672
86.78099,0.01919709
88.70946,0.0194656
90.63792,0.01971765
92.56638,0.02017758
94.49485,0.02091628
96.42332,0.02184449
98.35178,0.0220127
100.2803,0.02212713
102.2087,0.02293669
104.1372,0.02407823
106.0657,0.02452321
107.9941,0.02445499
109.9226,0.02456884
111.851,0.0257319
113.7795,0.02728152
115.708,0.02753433
117.6364,0.02759691
119.5649,0.02802196
121.4934,0.02807598
123.4218,0.02880245
125.3503,0.02949167
127.2788,0.02997409
129.2072,0.03116345
131.1357,0.03266491
133.0642,0.03217005
134.9926,0.03150699
136.9211,0.03175008
138.8496,0.03261653
140.778,0.03276679
142.7065,0.0330415
144.635,0.03413254
146.5634,0.03573344
148.4919,0.03650105
150.4204,0.03684606
152.3488,0.03788742
154.2773,0.03840693
156.2058,0.03839711
158.1342,0.03834689
160.0627,0.03813643
161.9912,0.0381216
163.9196,0.038178
165.8481,0.03824781
167.7766,0.03809861
169.705,0.03777588
171.6335,0.03759836
173.562,0.03807058
175.4904,0.03829364
177.4189,0.0383083
179.3474,0.03831683
181.2758,0.03850622
183.2043,0.03890106
185.1328,0.0391685
187.0612,0.03946888
188.9897,0.04003211
190.9182,0.0410197
192.8466,0.04229809
194.7751,0.04282264
196.7036,0.04373798
198.632,0.04491275
200.5605,0.04585592
202.489,0.04672801
204.4174,0.04752769
206.3459,0.04864654
208.2744,0.05016751
210.2028,0.05106613
212.1313,0.05154577
214.0598,0.05174286
215.9882,0.05202594
217.9167,0.05246172
219.8452,0.05241179
221.7736,0.05171063
223.7021,0.05072598
225.6305,0.05007938
227.559,0.0491515
229.4875,0.04779404
231.4159,0.04678623
233.3444,0.04601581
235.2729,0.04544469
237.2013,0.04524817
239.1298,0.0450174
241.0583,0.04457259
242.9867,0.04390832
244.9152,0.04279389
246.8437,0.04133945
248.7721,0.04015354
250.7006,0.03963454
252.6291,0.03971925
254.5575,0.03977439
256.486,0.03995249
258.4145,0.04058453
260.3429,0.04132054
262.2714,0.04216467
264.1999,0.04310019
266.1283,0.04426752
268.0568,0.04545326
269.9853,0.04692091
271.9137,0.04831623
273.8422,0.04975925
275.7707,0.05083585
277.6991,0.05105381
279.6276,0.05064958
281.5561,0.04964261
283.4845,0.04889613
285.413,0.04907015
287.3415,0.04964975
289.2699,0.05010184
291.1984,0.05050552
293.1269,0.05151252
295.0553,0.05267835
296.9838,0.0537173
298.9123,0.05448966
300.8407,0.05505707
302.7692,0.05532826
304.6977,0.05553659
306.6261,0.05597351
308.5546,0.05682743
310.4831,0.05758108
312.4115,0.05868459
314.34,0.0596344
316.2685,0.06053422
318.1969,0.06130365
320.1254,0.06196165
322.0539,0.06282594
323.9823,0.06421794
325.9108,0.06546997
327.8392,0.06635951
329.7677,0.06737062
331.6962,0.06862027
333.6246,0.06958396
335.5531,0.06997597
337.4816,0.0700335
339.41,0.06976895
341.3385,0.06898797
343.267,0.06798827
345.1954,0.06656194
347.1239,0.064485
349.0524,0.06246376
350.9808,0.06079044
352.9093,0.05939976
354.8378,0.05850909
356.7662,0.05807179
358.6947,0.05803941
360.6232,0.05851681
362.5516,0.05915578
364.4801,0.05995014
366.4086,0.06081638
368.337,0.0615671
370.2655,0.06259482
372.194,0.06376414
374.1224,0.06461681
376.0509,0.06499022
377.9794,0.06538868
379.9078,0.06581218
381.8363,0.06649657
383.7648,0.06724598
385.6932,0.06810186
387.6217,0.06882571
389.5502,0.06955928
391.4786,0.07043815
393.4071,0.0714576
395.3356,0.07217523
397.264,0.0725946
399.1925,0.07275676
