x,y
50.14013,0.02825165
52.0686,0.02007387
53.99707,0.0193986
55.92553,0.01578057
57.854,0.01404828
59.78246,0.01510149
61.71093,0.01643598
63.6394,0.02154343
65.56786,0.01741425
67.49633,0.01711631
69.4248,0.01838571
71.35326,0.01698619
73.28172,0.01573294
75.21019,0.0172265
77.13866,0.01893702
79.06712,0.02067574
80.99559,0.02169996
82.92406,0.02254223
84.85252,0.02274541
86.78099,0.02244289
88.70946,0.02321486
90.63792,0.02481419
92.56638,0.02582812
94.49485,0.0274791
96.42332,0.02859232
98.35178,0.02960134
100.2803,0.03085614
102.2087,0.0307669
104.1372,0.02890557
106.0657,0.02781175
107.9941,0.02754024
109.9226,0.02716075
111.851,0.02811306
113.7795,0.02933787
115.708,0.02982155
117.6364,0.0310412
119.5649,0.03184599
121.4934,0.03205013
123.4218,0.03236079
125.3503,0.03361651
127.2788,0.03525291
129.2072,0.03678588
131.1357,0.03849882
133.0642,0.04047491
134.9926,0.04111882
136.9211,0.04259753
138.8496,0.04420343
140.778,0.04448992
142.7065,0.04400782
144.635,0.04423488
146.5634,0.04423678
148.4919,0.04529433
150.4204,0.0462216
152.3488,0.04698362
154.2773,0.04832165
156.2058,0.05029173
158.1342,0.05176998
160.0627,0.05351492
161.9912,0.05520365
163.9196,0.05767753
165.8481,0.05991114
167.7766,0.06099312
169.705,0.05960893
171.6335,0.05514926
173.562,0.05115525
175.4904,0.05030112
177.4189,0.05011183
179.3474,0.05007707
181.2758,0.05084585
183.2043,0.05153532
185.1328,0.05085864
187.0612,0.04909053
188.9897,0.04825775
190.9182,0.04999109
192.8466,0.05280862
194.7751,0.05471201
196.7036,0.05496554
198.632,0.05539108
200.5605,0.05592361
202.489,0.05789396
204.4174,0.05973672
206.3459,0.06114265
208.2744,0.06270695
210.2028,0.06423908
212.1313,0.06535046
214.0598,0.06642541
215.9882,0.06783363
217.9167,0.07056928
219.8452,0.07340707
221.7736,0.0763807
223.7021,0.07884086
225.6305,0.08064631
227.559,0.08186463
229.4875,0.08368091
231.4159,0.08561574
233.3444,0.08789726
235.2729,0.08914834
237.2013,0.08987633
239.1298,0.09088714
241.0583,0.0915753
242.9867,0.09152208
244.9152,0.09125375
246.8437,0.09133793
248.7721,0.09120107
250.7006,0.0904616
252.6291,0.09117419
254.5575,0.09168115
256.486,0.09195688
258.4145,0.09216995
