x,y
50.14013,0.009641325
52.0686,0.01478867
53.99707,0.02172289
55.92553,0.02665102
57.854,0.02822371
59.78246,0.03107287
61.71093,0.02760699
63.6394,0.02609742
65.56786,0.02811836
67.49633,0.02821398
69.4248,0.02853091
71.35326,0.03528487
73.28172,0.03634331
75.21019,0.03553007
77.13866,0.03613114
79.06712,0.04036959
80.99559,0.04084127
82.92406,0.03976157
84.85252,0.04042837
86.78099,0.04379221
88.70946,0.04384881
90.63792,0.04339826
92.56638,0.04465733
94.49485,0.04695053
96.42332,0.04702185
98.35178,0.04707801
100.2803,0.0468178
102.2087,0.04589611
104.1372,0.0467599
106.0657,0.04958819
107.9941,0.05009207
109.9226,0.04979176
111.851,0.05104585
113.7795,0.05186804
115.708,0.05203683
117.6364,0.05286289
119.5649,0.05478729
121.4934,0.05600402
123.4218,0.05499075
125.3503,0.05524892
127.2788,0.05719274
129.2072,0.06015493
131.1357,0.06128015
133.0642,0.06197472
134.9926,0.06244192
136.9211,0.06334027
138.8496,0.06532129
140.778,0.06695566
142.7065,0.06612621
144.635,0.06576304
146.5634,0.06541052
148.4919,0.06600403
150.4204,0.06679342
152.3488,0.06799812
154.2773,0.06827823
156.2058,0.06924356
158.1342,0.06984881
160.0627,0.07058078
161.9912,0.0715491
163.9196,0.07350676
165.8481,0.07520498
167.7766,0.07559086
169.705,0.07614271
171.6335,0.07776624
173.562,0.07871128
175.4904,0.08002907
177.4189,0.08148003
179.3474,0.0827501
181.2758,0.08371512
183.2043,0.08406099
185.1328,0.08425009
187.0612,0.08544134
188.9897,0.08701292
190.9182,0.08760364
192.8466,0.08723954
194.7751,0.08807834
196.7036,0.08914692
198.632,0.09007606
200.5605,0.09032282
202.489,0.09069336
204.4174,0.09027195
206.3459,0.09065572
208.2744,0.09106944
210.2028,0.09149894
212.1313,0.09096327
214.0598,0.0909419
215.9882,0.09185869
217.9167,0.09348315
219.8452,0.09456693
221.7736,0.09558278
223.7021,0.09638424
225.6305,0.0971985
227.559,0.09700347
229.4875,0.09683253
231.4159,0.09724312
233.3444,0.09750782
235.2729,0.09829088
237.2013,0.09960896
239.1298,0.1005297
241.0583,0.1011451
242.9867,0.1017481
244.9152,0.1033994
246.8437,0.1049579
248.7721,0.105433
250.7006,0.1050952
252.6291,0.1060344
254.5575,0.1072918
256.486,0.1086636
258.4145,0.1096554
260.3429,0.1103722
262.2714,0.1107729
264.1999,0.1117003
266.1283,0.1123985
268.0568,0.1126383
269.9853,0.1126333
271.9137,0.1138966
273.8422,0.1145905
275.7707,0.1149857
277.6991,0.1159195
279.6276,0.1166807
281.5561,0.1166635
283.4845,0.1170314
285.413,0.116815
287.3415,0.1167044
289.2699,0.1169641
291.1984,0.1175656
293.1269,0.1179183
295.0553,0.1182902
296.9838,0.1186479
298.9123,0.1190835
300.8407,0.1199639
302.7692,0.1211453
304.6977,0.1218893
306.6261,0.1223017
308.5546,0.1228526
310.4831,0.1240625
312.4115,0.12537
314.34,0.1270223
316.2685,0.1282685
318.1969,0.1294643
320.1254,0.1303264
322.0539,0.1307034
323.9823,0.1304626
325.9108,0.1305655
327.8392,0.1311315
329.7677,0.1321178
331.6962,0.133255
333.6246,0.1341875
335.5531,0.1347394
337.4816,0.1356622
339.41,0.1368536
341.3385,0.1380493
343.267,0.1385658
345.1954,0.1387998
347.1239,0.139041
349.0524,0.1400172
350.9808,0.1410282
352.9093,0.1414772
354.8378,0.1419437
356.7662,0.1428908
358.6947,0.1437242
360.6232,0.1439708
362.5516,0.1445847
364.4801,0.1458954
366.4086,0.1468962
368.337,0.1478668
370.2655,0.1488919
372.194,0.1497481
374.1224,0.1507204
376.0509,0.1513761
377.9794,0.1510301
379.9078,0.1512586
381.8363,0.1518298
383.7648,0.1528609
385.6932,0.1536253
387.6217,0.1545266
389.5502,0.1557263
391.4786,0.1566427
393.4071,0.1573591
395.3356,0.1578967
397.264,0.1582459
399.1925,0.1583302
401.121,0.1587809
403.0494,0.159675
404.9779,0.1600631
406.9064,0.1606307
408.8348,0.1613974
410.7633,0.1619773
412.6917,0.1622897
414.6202,0.1629376
416.5487,0.1639059
418.4771,0.1646651
420.4056,0.1645324
422.3341,0.1644868
424.2625,0.1645781
426.191,0.165039
428.1195,0.1645673
430.0479,0.1640531
431.9764,0.1636793
433.9049,0.1631509
435.8333,0.1623123
437.7618,0.1611468
439.6903,0.159933
441.6187,0.1587639
443.5472,0.1570632
445.4757,0.1555066
447.4041,0.1534505
449.3326,0.1515237
451.2611,0.1495534
453.1895,0.1475191
455.118,0.1453043
457.0465,0.1434313
458.9749,0.1418593
460.9034,0.1415186
462.8319,0.1426956
464.7603,0.1443429
466.6888,0.1460019
468.6173,0.1479817
470.5457,0.1486001
472.4742,0.1491219
474.4027,0.1491981
476.3311,0.147361
478.2596,0.1443328
480.1881,0.1414892
482.1165,0.1405331
484.045,0.1425003
485.9735,0.1455061
487.9019,0.1482095
489.8304,0.1508417
491.7589,0.1537459
493.6873,0.1552431
495.6158,0.1550568
497.5443,0.1549452
499.4727,0.1554771
501.4012,0.1552755
503.3297,0.1541269
505.2581,0.1522494
507.1866,0.1508442
509.1151,0.1491442
511.0435,0.1472955
512.972,0.1451558
514.9005,0.1436128
516.8289,0.1438416
518.7574,0.1457673
520.6859,0.1475876
522.6143,0.1490387
524.5428,0.1505441
526.4713,0.1525788
528.3997,0.1533828
530.3282,0.1533823
532.2567,0.1528286
534.1851,0.1521742
536.1136,0.1516894
538.0421,0.1511283
539.9705,0.1494519
541.899,0.1474039
543.8275,0.1456567
545.7559,0.1440838
547.6844,0.1423798
549.6129,0.1410292
551.5413,0.1397098
553.4698,0.1381254
555.3983,0.1372789
557.3267,0.1373458
559.2552,0.136115
561.1837,0.1345568
563.1121,0.1336793
565.0406,0.133513
566.9691,0.1323673
568.8975,0.1315255
570.826,0.1310097
572.7545,0.130322
574.6829,0.1293791
576.6114,0.1288764
578.5399,0.1281096
580.4683,0.1272059
582.3968,0.1262054
584.3253,0.1250192
586.2537,0.1243424
588.1822,0.1241125
590.1107,0.123273
592.0391,0.1219397
593.9676,0.1201208
595.8961,0.1185052
597.8245,0.1169
599.753,0.1151667
601.6815,0.1136627
603.6099,0.1127657
605.5384,0.1123864
607.4669,0.1125668
609.3953,0.1126422
611.3238,0.1126321
613.2523,0.1133318
615.1807,0.1141519
617.1091,0.1149852
619.0376,0.1171007
620.9661,0.117351
622.8945,0.1160173
624.823,0.1154093
626.7515,0.1159009
628.6799,0.1165852
630.6084,0.117206
632.5369,0.1174165
634.4653,0.117826
636.3938,0.1181998
638.3223,0.1184492
640.2507,0.1188242
642.1792,0.1187858
644.1077,0.118394
646.0361,0.1182532
647.9646,0.1175643
649.8931,0.1166296
651.8215,0.1161826
653.75,0.1165233
655.6785,0.1166858
657.6069,0.1167804
659.5354,0.1167187
661.4639,0.1164961
663.3923,0.1159963
665.3208,0.1155663
667.2493,0.1154944
669.1777,0.1144763
671.1062,0.1132831
673.0347,0.1124705
674.9631,0.1117182
676.8916,0.110376
678.8201,0.1090593
680.7485,0.1075661
682.677,0.1062961
684.6055,0.1050223
686.5339,0.1034001
688.4624,0.1018118
690.3909,0.1004666
692.3193,0.099287
694.2478,0.09783542
696.1763,0.09736566
698.1047,0.09640951
700.0332,0.09586119
