x,y
374.1225,0.5440483
376.051,0.5181207
377.9795,0.4694486
379.9079,0.4329929
381.8364,0.3867911
383.7649,0.3448525
385.6933,0.3002122
387.6218,0.2473048
389.5503,0.206708
391.4787,0.1812424
393.4072,0.1708151
395.3357,0.1757824
397.2641,0.1888058
399.1926,0.1940915
401.1211,0.1889113
403.0495,0.1704234
404.978,0.1457511
406.9065,0.12507
408.8349,0.1036916
410.7634,0.08319947
412.6919,0.06626662
414.6203,0.05479062
416.5488,0.04858366
418.4773,0.04593591
420.4057,0.04608845
422.3342,0.04822176
424.2627,0.04727349
426.1911,0.04436237
428.1196,0.04240673
430.0481,0.04117444
431.9765,0.03977653
433.905,0.03843436
435.8335,0.03853121
437.7619,0.03935102
439.6904,0.04047386
441.6189,0.04115125
443.5473,0.04251223
445.4758,0.04536329
447.4043,0.04826944
449.3327,0.0506072
451.2612,0.05302613
453.1897,0.05581585
455.1181,0.0580077
457.0466,0.0602492
458.9751,0.06217527
460.9035,0.06336106
462.832,0.06430855
464.7605,0.06489985
466.6889,0.06604732
468.6174,0.06830756
470.5459,0.07118977
472.4743,0.07435823
474.4028,0.07914942
476.3313,0.08557837
478.2597,0.0934249
480.1882,0.1001707
482.1167,0.09966528
484.0451,0.09314626
485.9736,0.08880845
487.9021,0.08917602
489.8305,0.09223
491.759,0.09625795
493.6875,0.1008986
495.6159,0.10576
497.5444,0.1106286
499.4729,0.1156243
501.4013,0.1211676
503.3298,0.126811
505.2583,0.1321363
507.1867,0.1373384
509.1152,0.1416244
511.0437,0.1458181
512.9721,0.1504524
514.9006,0.1548742
516.829,0.160229
518.7575,0.1662008
520.686,0.1720502
522.6144,0.178416
524.5429,0.184772
526.4714,0.1912841
528.3998,0.1982877
530.3283,0.205255
532.2568,0.212412
534.1852,0.2189342
536.1137,0.2247015
538.0422,0.2308652
539.9706,0.2375231
541.8991,0.2441172
543.8276,0.2512707
545.756,0.2582529
547.6845,0.2658677
549.613,0.2735963
551.5414,0.2812935
553.4699,0.289344
555.3984,0.2969842
557.3268,0.3033769
559.2553,0.3091867
561.1838,0.3154814
563.1122,0.3213801
565.0407,0.3270506
566.9692,0.333863
568.8976,0.3415183
570.8261,0.3489866
572.7546,0.3563066
574.683,0.3638192
576.6115,0.3716111
578.54,0.3780963
580.4684,0.3867051
582.3969,0.3958486
584.3254,0.4041922
586.2538,0.4126178
588.1823,0.42042
590.1108,0.4278859
592.0392,0.4360826
593.9677,0.4441828
595.8962,0.4530121
597.8246,0.4620498
599.7531,0.4711135
601.6816,0.48049
603.61,0.4886402
605.5385,0.4954414
607.467,0.5035806
609.3954,0.5109919
611.3239,0.5179862
613.2524,0.5249732
615.1808,0.5291876
617.1093,0.5308689
619.0378,0.5340015
620.9662,0.5396535
622.8947,0.547651
624.8232,0.5578464
626.7516,0.5693353
628.6801,0.5814123
630.6086,0.5929922
632.537,0.6041428
634.4655,0.6151596
636.394,0.6248931
638.3224,0.6349931
640.2509,0.6460835
642.1794,0.6561397
644.1078,0.6655218
646.0363,0.6757513
647.9648,0.6855017
649.8932,0.6962478
651.8217,0.7071296
653.7502,0.7170306
655.6786,0.7274502
657.6071,0.7391056
659.5356,0.7498801
661.4641,0.7604895
663.3925,0.7715538
665.321,0.7818046
667.2495,0.7895701
669.1779,0.7968874
671.1064,0.804179
673.0349,0.8115812
674.9633,0.8181535
676.8918,0.8236347
678.8203,0.8301095
680.7487,0.8377668
682.6772,0.8453445
684.6057,0.8497272
686.5341,0.8538299
688.4626,0.8593484
690.3911,0.8615024
692.3195,0.8632107
694.248,0.8636893
696.1765,0.8624186
698.1049,0.8580506
700.0334,0.8525307
701.9619,0.8441613
703.8903,0.8313234
705.8188,0.8152701
707.7473,0.7944128
709.6757,0.7674773
711.6042,0.7381505
713.5327,0.7067968
715.4611,0.6732806
717.3896,0.637831
719.3181,0.6018342
721.2465,0.5666227
723.175,0.5331799
725.1035,0.5027967
727.0319,0.4758301
728.9604,0.4528166
730.8889,0.4325083
732.8173,0.4136827
734.7458,0.3950502
736.6743,0.3753945
738.6027,0.3551338
740.5312,0.3355839
742.4597,0.3175772
744.3881,0.3011383
746.3166,0.2867645
748.2451,0.2739301
750.1735,0.2625386
752.102,0.2525149
754.0305,0.2431534
755.9589,0.2340996
757.8874,0.2249729
759.8159,0.2153098
761.7443,0.2055836
763.6728,0.195657
765.6013,0.185531
767.5297,0.1759555
769.4582,0.167144
771.3867,0.1593458
773.3151,0.1526078
775.2436,0.146182
777.1721,0.1396402
779.1005,0.1327077
781.029,0.1246146
782.9575,0.1157059
784.8859,0.1068765
786.8144,0.09867932
788.7429,0.09142014
790.6713,0.08446453
792.5998,0.07757859
794.5283,0.07088871
796.4567,0.06434807
798.3852,0.05804849
800.3137,0.05188061
802.2421,0.04566824
804.1706,0.03953755
806.0991,0.03388197
808.0275,0.02894801
