x,y
399.1926,0.2532653
401.1211,0.2677444
403.0495,0.2712135
404.978,0.2704289
406.9065,0.2617572
408.8349,0.2506073
410.7634,0.236958
412.6919,0.2239197
414.6203,0.2135496
416.5488,0.2072526
418.4773,0.1993169
420.4057,0.1929238
422.3342,0.189277
424.2627,0.1854372
426.1911,0.1838608
428.1196,0.1826294
430.0481,0.1786052
431.9765,0.1732764
433.905,0.1662303
435.8335,0.1605858
437.7619,0.1569937
439.6904,0.1569804
441.6189,0.1546973
443.5473,0.1506128
445.4758,0.1498403
447.4043,0.1502592
449.3327,0.1493082
451.2612,0.1467728
453.1897,0.1430473
455.1181,0.1368033
457.0466,0.1296093
458.9751,0.1249615
460.9035,0.1217464
462.832,0.1191494
464.7605,0.1178498
466.6889,0.1181612
468.6174,0.1198856
470.5459,0.1212648
472.4743,0.1214353
474.4028,0.1195822
476.3313,0.1168515
478.2597,0.1148617
480.1882,0.1143535
482.1167,0.1149882
484.0451,0.1180477
485.9736,0.1231411
487.9021,0.1287937
489.8305,0.1349224
491.759,0.1396692
493.6875,0.1432081
495.6159,0.1456389
497.5444,0.1489226
499.4729,0.1534632
501.4013,0.1595993
503.3298,0.1664382
505.2583,0.1741781
507.1867,0.1813144
509.1152,0.1854432
511.0437,0.188254
512.9721,0.1903255
514.9006,0.1902462
516.829,0.1893939
518.7575,0.1897261
520.686,0.1910427
522.6144,0.1919706
524.5429,0.192841
526.4714,0.1931865
528.3998,0.1930251
530.3283,0.1938112
532.2568,0.1952111
534.1852,0.1966269
536.1137,0.1981402
538.0422,0.1997848
539.9706,0.2011882
541.8991,0.2014308
543.8276,0.2004717
545.756,0.1975923
547.6845,0.193862
549.613,0.1900176
551.5414,0.1860768
553.4699,0.1819995
555.3984,0.1770207
557.3268,0.1722663
559.2553,0.1672418
561.1838,0.1620395
563.1122,0.1577138
565.0407,0.1536598
566.9692,0.150167
568.8976,0.1465489
570.8261,0.1429546
572.7546,0.1399109
574.683,0.1373895
576.6115,0.1346181
578.54,0.1321997
580.4684,0.1297153
582.3969,0.1273827
584.3254,0.1252049
586.2538,0.1235083
588.1823,0.1215521
590.1108,0.1196487
592.0392,0.1183317
593.9677,0.1169959
595.8962,0.1157184
597.8246,0.1145013
599.7531,0.1134936
601.6816,0.1129532
603.61,0.1127747
605.5385,0.1134202
607.467,0.1149597
609.3954,0.1170857
611.3239,0.1200622
613.2524,0.1233232
615.1808,0.1262023
617.1093,0.1284814
619.0378,0.1299984
620.9662,0.131121
622.8947,0.1318606
624.8232,0.1317752
626.7516,0.1312524
628.6801,0.1304983
630.6086,0.1294707
632.537,0.1279358
634.4655,0.1261068
636.394,0.1243646
638.3224,0.1227777
640.2509,0.121372
642.1794,0.1201559
644.1078,0.1192825
646.0363,0.1182868
647.9648,0.1177716
649.8932,0.1175518
651.8217,0.1172419
653.7502,0.1172535
655.6786,0.1173591
657.6071,0.1171867
659.5356,0.1169822
