x,y
399.1926,0.1335244
401.1211,0.1282011
403.0495,0.1245836
404.978,0.1252733
406.9065,0.1227165
408.8349,0.1144046
410.7634,0.1107604
412.6919,0.113014
414.6203,0.1127421
416.5488,0.1095511
418.4773,0.1065723
420.4057,0.1052148
422.3342,0.1040139
424.2627,0.1021777
426.1911,0.1015932
428.1196,0.09986447
430.0481,0.09688942
431.9765,0.09377078
433.905,0.08893973
435.8335,0.08252024
437.7619,0.07903479
439.6904,0.07755292
441.6189,0.0742189
443.5473,0.06994113
445.4758,0.06649861
447.4043,0.06417201
449.3327,0.06224065
451.2612,0.06140852
453.1897,0.06176081
455.1181,0.06169399
457.0466,0.06090421
458.9751,0.06177618
460.9035,0.06365974
462.832,0.06441861
464.7605,0.064209
466.6889,0.06356116
468.6174,0.06273968
470.5459,0.06215204
472.4743,0.06128198
474.4028,0.05974666
476.3313,0.05873841
478.2597,0.05733759
480.1882,0.05619246
482.1167,0.05504598
484.0451,0.05351239
485.9736,0.05201566
487.9021,0.05079579
489.8305,0.05009568
491.759,0.04986963
493.6875,0.04984134
495.6159,0.04999433
497.5444,0.05129837
499.4729,0.05264257
501.4013,0.05429073
503.3298,0.05608403
505.2583,0.05826289
507.1867,0.06091867
509.1152,0.06289839
511.0437,0.06482175
512.9721,0.06769872
514.9006,0.07071778
516.829,0.07387956
518.7575,0.07729733
520.686,0.08116409
522.6144,0.08554371
524.5429,0.09090231
526.4714,0.09644089
528.3998,0.1020652
530.3283,0.1081319
532.2568,0.1144526
534.1852,0.1199728
536.1137,0.1239356
538.0422,0.1258508
539.9706,0.1253172
541.8991,0.1220519
543.8276,0.1172825
545.756,0.11265
547.6845,0.1089617
549.613,0.1064678
551.5414,0.1052979
553.4699,0.105831
555.3984,0.1075477
557.3268,0.1103814
559.2553,0.1133501
561.1838,0.1171409
563.1122,0.1212119
565.0407,0.1246793
566.9692,0.1279866
568.8976,0.1306691
570.8261,0.132843
572.7546,0.1339011
574.683,0.1338893
576.6115,0.1326275
578.54,0.1308762
580.4684,0.1288075
582.3969,0.1265328
584.3254,0.1244363
586.2538,0.1222441
588.1823,0.1196574
590.1108,0.1172855
592.0392,0.1152265
593.9677,0.1131644
595.8962,0.1110547
597.8246,0.1090488
599.7531,0.1071281
601.6816,0.105225
603.61,0.1028546
605.5385,0.1005332
607.467,0.09870937
609.3954,0.09681948
611.3239,0.09502274
613.2524,0.0936968
615.1808,0.09266007
617.1093,0.0916421
619.0378,0.09050336
620.9662,0.08951287
622.8947,0.08870488
624.8232,0.08726627
626.7516,0.08524923
628.6801,0.08249538
630.6086,0.07905823
632.537,0.07499266
634.4655,0.07065722
636.394,0.06609879
638.3224,0.06172787
640.2509,0.05769259
642.1794,0.05402372
644.1078,0.05092857
646.0363,0.04829435
647.9648,0.04607329
649.8932,0.0441395
651.8217,0.04268779
653.7502,0.04186772
655.6786,0.04155818
657.6071,0.04127536
659.5356,0.04131642
661.4641,0.04193761
663.3925,0.04283846
665.321,0.0436819
667.2495,0.04488563
669.1779,0.0459074
671.1064,0.04657495
673.0349,0.04742061
674.9633,0.04843226
676.8918,0.04919005
678.8203,0.0494906
680.7487,0.04969072
682.6772,0.04976916
684.6057,0.04963693
686.5341,0.04945837
688.4626,0.04931369
