x,y
399.1926,0.2915376
401.1211,0.2838758
403.0495,0.2760295
404.978,0.2766789
406.9065,0.2759995
408.8349,0.2687518
410.7634,0.2689614
412.6919,0.2750437
414.6203,0.2801155
416.5488,0.2850553
418.4773,0.2896375
420.4057,0.2927521
422.3342,0.2926815
424.2627,0.2935206
426.1911,0.2984228
428.1196,0.3053981
430.0481,0.3046283
431.9765,0.3058443
433.905,0.3085475
435.8335,0.3055163
437.7619,0.3048648
439.6904,0.3064844
441.6189,0.3036623
443.5473,0.3006505
445.4758,0.2977474
447.4043,0.2952208
449.3327,0.289883
451.2612,0.282694
453.1897,0.2731929
455.1181,0.2626213
457.0466,0.2522508
458.9751,0.2434579
460.9035,0.2351227
462.832,0.2264018
464.7605,0.2192309
466.6889,0.2129334
468.6174,0.2100897
470.5459,0.211289
472.4743,0.2140801
474.4028,0.2176081
476.3313,0.2208178
478.2597,0.2195507
480.1882,0.2140215
482.1167,0.2064365
484.0451,0.1986472
485.9736,0.1916769
487.9021,0.1868907
489.8305,0.1848951
491.759,0.1838636
493.6875,0.1839577
495.6159,0.1852854
497.5444,0.1863362
499.4729,0.1873475
501.4013,0.1886246
503.3298,0.1892148
505.2583,0.190338
507.1867,0.1908178
509.1152,0.1901316
511.0437,0.1882323
512.9721,0.1850827
514.9006,0.1814674
516.829,0.1761645
518.7575,0.1699782
520.686,0.1654129
522.6144,0.1621726
524.5429,0.1593582
526.4714,0.156804
528.3998,0.1549055
530.3283,0.1524362
532.2568,0.150351
534.1852,0.1491095
536.1137,0.1479446
538.0422,0.1469399
539.9706,0.1467746
541.8991,0.1471329
543.8276,0.147257
545.756,0.1475701
547.6845,0.1485198
549.613,0.1510496
551.5414,0.1539898
553.4699,0.1563009
555.3984,0.1571593
557.3268,0.1557146
559.2553,0.1520578
561.1838,0.1474771
563.1122,0.1428951
565.0407,0.1388728
566.9692,0.1369118
568.8976,0.1377077
570.8261,0.1407772
572.7546,0.1452854
574.683,0.1504335
576.6115,0.1561145
578.54,0.1627735
580.4684,0.170739
