x,y
399.1926,0.1350967
401.1211,0.1360317
403.0495,0.144562
404.978,0.1553984
406.9065,0.1604677
408.8349,0.164713
410.7634,0.1706436
412.6919,0.1821754
414.6203,0.1919395
416.5488,0.2023782
418.4773,0.2114939
420.4057,0.2215706
422.3342,0.2303593
424.2627,0.2442314
426.1911,0.2565299
428.1196,0.2697699
430.0481,0.2772385
431.9765,0.2858506
433.905,0.3031686
435.8335,0.3164514
437.7619,0.3246236
439.6904,0.3282633
441.6189,0.3157922
443.5473,0.2969967
445.4758,0.2906081
447.4043,0.301628
449.3327,0.3213211
451.2612,0.3390494
453.1897,0.3517429
455.1181,0.3565859
457.0466,0.3610874
458.9751,0.3727713
460.9035,0.3855805
462.832,0.3936418
464.7605,0.3986438
466.6889,0.3979962
468.6174,0.3873551
470.5459,0.3763453
472.4743,0.358713
474.4028,0.3368252
476.3313,0.3157332
478.2597,0.2956854
480.1882,0.280836
482.1167,0.2758735
484.0451,0.2856565
485.9736,0.308154
487.9021,0.333991
489.8305,0.357063
491.759,0.3743796
493.6875,0.3809671
495.6159,0.3797754
497.5444,0.3734097
499.4729,0.3617024
501.4013,0.3479342
503.3298,0.3320917
505.2583,0.3158972
507.1867,0.3012958
509.1152,0.2880501
511.0437,0.2749796
512.9721,0.2628506
514.9006,0.2524735
516.829,0.2409475
518.7575,0.2294131
520.686,0.2208982
522.6144,0.2123383
524.5429,0.2037973
526.4714,0.1967822
528.3998,0.1890269
530.3283,0.1811911
532.2568,0.1735143
534.1852,0.1665176
536.1137,0.1599319
538.0422,0.1532297
539.9706,0.1467894
541.8991,0.1407279
543.8276,0.1346036
545.756,0.1286991
547.6845,0.1243114
549.613,0.1215369
551.5414,0.1196232
553.4699,0.1187315
555.3984,0.118451
557.3268,0.1185908
559.2553,0.1185711
561.1838,0.1185118
563.1122,0.1182882
565.0407,0.1184186
566.9692,0.1185661
568.8976,0.118232
570.8261,0.1179809
572.7546,0.1172528
574.683,0.1167232
576.6115,0.1160969
578.54,0.1155215
580.4684,0.114642
582.3969,0.1134963
584.3254,0.112586
586.2538,0.1122996
588.1823,0.1116187
590.1108,0.1107308
592.0392,0.1104069
593.9677,0.1103642
595.8962,0.1102314
597.8246,0.1102742
599.7531,0.1108775
601.6816,0.1123304
603.61,0.1143098
605.5385,0.1175081
607.467,0.1218324
609.3954,0.1272401
611.3239,0.1348755
613.2524,0.1447341
615.1808,0.1569456
617.1093,0.1717333
619.0378,0.1869728
620.9662,0.1986817
