x,y
399.1926,0.1836902
401.1211,0.1798896
403.0495,0.1777305
404.978,0.1774327
406.9065,0.1730729
408.8349,0.1727831
410.7634,0.1789689
412.6919,0.18505
414.6203,0.1885567
416.5488,0.1903092
418.4773,0.188977
420.4057,0.1860085
422.3342,0.1850826
424.2627,0.1831674
426.1911,0.1781223
428.1196,0.1732355
430.0481,0.172124
431.9765,0.1705144
433.905,0.1715669
435.8335,0.1733414
437.7619,0.1734737
439.6904,0.1749264
441.6189,0.1776315
443.5473,0.1840507
445.4758,0.1867246
447.4043,0.1818212
449.3327,0.1756777
451.2612,0.1710764
453.1897,0.1697154
455.1181,0.1743262
457.0466,0.1826857
458.9751,0.1946637
460.9035,0.2050734
462.832,0.2122444
464.7605,0.2157234
466.6889,0.2181886
468.6174,0.2188687
470.5459,0.2154986
472.4743,0.2085785
474.4028,0.1988418
476.3313,0.1892355
478.2597,0.1813197
480.1882,0.173929
482.1167,0.1662894
484.0451,0.1600895
485.9736,0.1546821
487.9021,0.1493803
489.8305,0.1444086
491.759,0.1392443
493.6875,0.1344775
495.6159,0.1293227
497.5444,0.124522
499.4729,0.1196443
501.4013,0.115009
503.3298,0.1097529
505.2583,0.1046377
507.1867,0.1003371
509.1152,0.09609021
511.0437,0.0933805
512.9721,0.09325529
514.9006,0.09528261
516.829,0.09932557
518.7575,0.1041039
520.686,0.1092108
522.6144,0.1138369
524.5429,0.1183946
526.4714,0.1246495
528.3998,0.1326194
530.3283,0.1395996
532.2568,0.1420921
534.1852,0.1409857
536.1137,0.1383453
538.0422,0.1368434
539.9706,0.1389733
541.8991,0.1445941
543.8276,0.152051
545.756,0.1600429
547.6845,0.1672219
549.613,0.1710512
551.5414,0.169853
553.4699,0.163811
555.3984,0.1531079
557.3268,0.1391426
559.2553,0.1231304
561.1838,0.1075367
563.1122,0.0942691
565.0407,0.08378314
566.9692,0.07571957
568.8976,0.06908037
570.8261,0.06404658
572.7546,0.06041119
574.683,0.05892352
576.6115,0.059035
578.54,0.06014399
580.4684,0.06138017
582.3969,0.06205847
584.3254,0.06148525
586.2538,0.05943304
588.1823,0.05637776
590.1108,0.05409911
592.0392,0.05371064
593.9677,0.05454556
595.8962,0.05681505
597.8246,0.0609021
599.7531,0.06621979
601.6816,0.07283318
603.61,0.08083203
605.5385,0.09012275
607.467,0.1005739
609.3954,0.1110598
611.3239,0.1211388
613.2524,0.1295445
615.1808,0.1356054
617.1093,0.1390961
619.0378,0.1398275
620.9662,0.1382506
622.8947,0.1347791
624.8232,0.1293641
626.7516,0.1229686
628.6801,0.1160271
630.6086,0.1089105
632.537,0.1019922
634.4655,0.09525031
636.394,0.08914036
638.3224,0.0840406
640.2509,0.07964071
642.1794,0.07584957
644.1078,0.07295526
646.0363,0.07067873
647.9648,0.06925002
649.8932,0.06829062
651.8217,0.06806497
653.7502,0.06838148
655.6786,0.06890521
657.6071,0.0694356
659.5356,0.06990078
661.4641,0.07051659
663.3925,0.07107268
665.321,0.07085499
667.2495,0.06986537
669.1779,0.06750333
671.1064,0.06442421
673.0349,0.06152869
674.9633,0.05871708
676.8918,0.05567268
678.8203,0.05240031
680.7487,0.04945377
682.6772,0.0472171
684.6057,0.04589001
