x,y
399.1926,0.3719947
401.1211,0.3582644
403.0495,0.3492537
404.978,0.3529358
406.9065,0.3445864
408.8349,0.3341541
410.7634,0.3237529
412.6919,0.3195349
414.6203,0.3133995
416.5488,0.3066484
418.4773,0.2985516
420.4057,0.294393
422.3342,0.2882805
424.2627,0.2853172
426.1911,0.2816709
428.1196,0.2761258
430.0481,0.2745305
431.9765,0.2768596
433.905,0.2766091
435.8335,0.2784896
437.7619,0.2827057
439.6904,0.2874426
441.6189,0.2895195
443.5473,0.2903138
445.4758,0.2919319
447.4043,0.2937596
449.3327,0.2957844
451.2612,0.2981324
453.1897,0.2975446
455.1181,0.295315
457.0466,0.2945077
458.9751,0.2966832
460.9035,0.3028788
462.832,0.3130924
464.7605,0.3242395
466.6889,0.3360418
468.6174,0.3457232
470.5459,0.3546382
472.4743,0.363619
474.4028,0.3708585
476.3313,0.3743977
478.2597,0.3756737
480.1882,0.3750468
482.1167,0.3739451
484.0451,0.3708673
485.9736,0.3650673
487.9021,0.3592228
489.8305,0.3524433
491.759,0.3454839
493.6875,0.3383856
495.6159,0.3301225
497.5444,0.3219961
499.4729,0.3148593
501.4013,0.3076972
503.3298,0.3000871
505.2583,0.2934232
507.1867,0.286382
509.1152,0.2790247
511.0437,0.272574
512.9721,0.266182
514.9006,0.2589815
516.829,0.2524731
518.7575,0.2469928
520.686,0.242048
522.6144,0.2368641
524.5429,0.231366
526.4714,0.2262
528.3998,0.2212863
530.3283,0.2169401
532.2568,0.2132118
534.1852,0.2093874
536.1137,0.2054948
538.0422,0.2016407
539.9706,0.1979316
541.8991,0.1942727
543.8276,0.1910891
545.756,0.1881344
547.6845,0.1862648
549.613,0.1860013
551.5414,0.1873029
553.4699,0.1898434
555.3984,0.1930038
557.3268,0.1973115
559.2553,0.2022499
561.1838,0.2072082
563.1122,0.2118625
565.0407,0.2149751
566.9692,0.2174193
568.8976,0.2193568
570.8261,0.2200378
572.7546,0.2191866
574.683,0.2171444
576.6115,0.2139208
578.54,0.2098362
580.4684,0.2051885
582.3969,0.2003564
584.3254,0.1957765
586.2538,0.1914335
588.1823,0.1867746
590.1108,0.1819127
592.0392,0.1777608
593.9677,0.1741085
595.8962,0.1703567
597.8246,0.1668983
599.7531,0.163606
601.6816,0.1601723
603.61,0.1571224
605.5385,0.1543189
607.467,0.151489
609.3954,0.1487886
611.3239,0.1462713
613.2524,0.1436529
615.1808,0.1410909
617.1093,0.1387891
619.0378,0.1367388
620.9662,0.1347089
622.8947,0.1328413
624.8232,0.1313514
626.7516,0.1302358
628.6801,0.1292921
630.6086,0.1286308
632.537,0.1281554
634.4655,0.1278836
636.394,0.1277947
638.3224,0.1277976
640.2509,0.1277363
642.1794,0.128018
644.1078,0.1285681
646.0363,0.1289837
647.9648,0.1291532
649.8932,0.12915
651.8217,0.1292448
653.7502,0.1295882
655.6786,0.1299043
657.6071,0.1298739
659.5356,0.1299267
661.4641,0.1303397
663.3925,0.1305093
665.321,0.1305842
667.2495,0.1309844
669.1779,0.1310334
671.1064,0.1309936
673.0349,0.1312475
674.9633,0.1314297
676.8918,0.1316738
678.8203,0.1318426
