x,y
399.1926,0.07607839
401.1211,0.07878846
403.0495,0.08451642
404.978,0.09409212
406.9065,0.10317
408.8349,0.1143044
410.7634,0.1257211
412.6919,0.1380603
414.6203,0.1468789
416.5488,0.150084
418.4773,0.1440783
420.4057,0.1330408
422.3342,0.121603
424.2627,0.1103368
426.1911,0.1024886
428.1196,0.09813187
430.0481,0.09648038
431.9765,0.09585432
433.905,0.09450652
435.8335,0.09226354
437.7619,0.09038347
439.6904,0.09145417
441.6189,0.09514678
443.5473,0.1008496
445.4758,0.1081884
447.4043,0.1170289
449.3327,0.1260283
451.2612,0.1337287
453.1897,0.1364933
455.1181,0.1317117
457.0466,0.1276684
458.9751,0.1321892
460.9035,0.1414864
462.832,0.149653
464.7605,0.1532633
466.6889,0.1518996
468.6174,0.1441902
470.5459,0.1324495
472.4743,0.1194978
474.4028,0.1084676
476.3313,0.1011003
478.2597,0.09576153
480.1882,0.09051282
482.1167,0.08371609
484.0451,0.07534448
485.9736,0.06707974
487.9021,0.06136779
489.8305,0.0598197
491.759,0.06238931
493.6875,0.06872433
495.6159,0.07584444
497.5444,0.08134598
499.4729,0.08208668
501.4013,0.07737089
503.3298,0.0685218
505.2583,0.05890665
507.1867,0.0506385
509.1152,0.04326137
511.0437,0.03831156
512.9721,0.03626149
514.9006,0.03525508
516.829,0.03543079
518.7575,0.03699454
520.686,0.0395367
522.6144,0.04279248
524.5429,0.0475377
526.4714,0.05292398
528.3998,0.05885719
530.3283,0.064585
532.2568,0.06835041
534.1852,0.06980695
536.1137,0.06750587
538.0422,0.06129765
539.9706,0.05298251
541.8991,0.04397721
543.8276,0.03534527
545.756,0.02860889
547.6845,0.0247393
549.613,0.02247042
551.5414,0.02087882
553.4699,0.01997216
555.3984,0.01946651
557.3268,0.01932111
559.2553,0.01907592
561.1838,0.01885767
563.1122,0.01904177
565.0407,0.01951871
566.9692,0.0197493
568.8976,0.01976679
570.8261,0.02038497
572.7546,0.02081115
574.683,0.02124983
576.6115,0.02173533
578.54,0.02246289
580.4684,0.02297063
582.3969,0.02366592
584.3254,0.02479014
586.2538,0.02621493
588.1823,0.02730484
590.1108,0.02824107
592.0392,0.02968739
593.9677,0.03130309
595.8962,0.03308292
597.8246,0.03530144
599.7531,0.03800721
601.6816,0.04135001
603.61,0.04534076
605.5385,0.05045778
607.467,0.05716437
609.3954,0.06546157
611.3239,0.07505539
613.2524,0.08218575
615.1808,0.08166423
617.1093,0.07295839
619.0378,0.06264815
620.9662,0.05608504
622.8947,0.05353175
624.8232,0.05368145
626.7516,0.05574537
628.6801,0.05887593
630.6086,0.06297591
632.537,0.06803355
634.4655,0.07409306
636.394,0.08079307
638.3224,0.0881725
640.2509,0.09617363
642.1794,0.1043601
644.1078,0.1125855
646.0363,0.1203307
647.9648,0.1270619
649.8932,0.1323097
651.8217,0.1360759
653.7502,0.1380912
655.6786,0.1379924
657.6071,0.1349194
659.5356,0.1291636
661.4641,0.120973
663.3925,0.1103756
665.321,0.09810717
667.2495,0.08557924
669.1779,0.07366608
671.1064,0.06430053
673.0349,0.05876567
674.9633,0.05757936
676.8918,0.06052579
678.8203,0.06737375
680.7487,0.07824789
682.6772,0.09142468
684.6057,0.1028603
686.5341,0.1077903
688.4626,0.1037319
690.3911,0.09238429
692.3195,0.0775881
694.248,0.06292823
696.1765,0.05093237
698.1049,0.04184846
700.0334,0.03576317
701.9619,0.0320958
703.8903,0.030306
705.8188,0.02929882
707.7473,0.02877111
709.6757,0.02908154
711.6042,0.03041174
713.5327,0.03242797
715.4611,0.0355257
717.3896,0.04056055
719.3181,0.04843159
721.2465,0.05911871
723.175,0.07052416
725.1035,0.07567229
727.0319,0.06820246
728.9604,0.05345782
730.8889,0.0401422
732.8173,0.03151838
734.7458,0.02682453
736.6743,0.02437592
738.6027,0.02300267
740.5312,0.02233492
742.4597,0.02197147
744.3881,0.02169638
746.3166,0.02181954
748.2451,0.02212529
750.1735,0.02260352
752.102,0.02322019
754.0305,0.02391539
755.9589,0.02495309
757.8874,0.02606858
759.8159,0.02759479
761.7443,0.02939798
763.6728,0.03158199
765.6013,0.0343274
767.5297,0.03791757
769.4582,0.04253086
771.3867,0.04822515
773.3151,0.0539485
775.2436,0.05809456
777.1721,0.05838431
779.1005,0.05414282
781.029,0.04773619
782.9575,0.04194009
784.8859,0.03758268
786.8144,0.03507274
788.7429,0.03386008
790.6713,0.03341395
792.5998,0.03343298
794.5283,0.03370378
796.4567,0.03425574
798.3852,0.03471901
800.3137,0.03499166
802.2421,0.03513286
804.1706,0.03527464
806.0991,0.03542005
808.0275,0.0356847
809.956,0.03619601
811.8845,0.0367127
813.8129,0.03727941
815.7414,0.03806431
817.6699,0.0390286
819.5983,0.04021309
821.5268,0.04167894
823.4553,0.04330958
825.3837,0.0448918
827.3122,0.04664425
829.2407,0.04845634
831.1691,0.05034724
833.0976,0.05238352
835.0261,0.0548695
836.9545,0.05776189
838.883,0.06099143
840.8115,0.06446631
