x,y
399.1926,0.09955457
401.1211,0.1013761
403.0495,0.1041984
404.978,0.1085442
406.9065,0.1161779
408.8349,0.1219546
410.7634,0.1228968
412.6919,0.1196572
414.6203,0.1178383
416.5488,0.1204716
418.4773,0.1262174
420.4057,0.1351322
422.3342,0.1478486
424.2627,0.1623488
426.1911,0.1753348
428.1196,0.1811982
430.0481,0.1788148
431.9765,0.1728819
433.905,0.1682684
435.8335,0.1688029
437.7619,0.1729848
439.6904,0.17428
441.6189,0.1700346
443.5473,0.164603
445.4758,0.1618964
447.4043,0.1631127
449.3327,0.1692671
451.2612,0.1791171
453.1897,0.1886811
455.1181,0.195984
457.0466,0.1990263
458.9751,0.1974602
460.9035,0.1939085
462.832,0.1916285
464.7605,0.1926336
466.6889,0.1980488
468.6174,0.2059947
470.5459,0.2148658
472.4743,0.2207058
474.4028,0.2223904
476.3313,0.2218294
478.2597,0.2182127
480.1882,0.2109523
482.1167,0.2023744
484.0451,0.1945764
485.9736,0.1883058
487.9021,0.1821222
489.8305,0.1749936
491.759,0.1667178
493.6875,0.1578361
495.6159,0.1479308
497.5444,0.1387038
499.4729,0.131943
501.4013,0.1289394
503.3298,0.1292967
505.2583,0.1313338
507.1867,0.1335072
509.1152,0.1334298
511.0437,0.1315192
512.9721,0.1282266
514.9006,0.124157
516.829,0.1196394
518.7575,0.1147635
520.686,0.1102221
522.6144,0.1062002
524.5429,0.1038766
526.4714,0.1031374
528.3998,0.1032284
530.3283,0.1024578
532.2568,0.09978285
534.1852,0.0957046
536.1137,0.09020564
538.0422,0.08390688
539.9706,0.07849168
541.8991,0.0744161
543.8276,0.07146759
545.756,0.06935501
547.6845,0.06866686
549.613,0.06838617
551.5414,0.06871943
553.4699,0.06996318
555.3984,0.0713909
557.3268,0.0733047
559.2553,0.07491241
561.1838,0.07568636
563.1122,0.07556587
565.0407,0.07408177
566.9692,0.07143793
568.8976,0.06883323
570.8261,0.06685585
572.7546,0.06466229
574.683,0.0623665
576.6115,0.05914974
578.54,0.05473363
580.4684,0.04963615
582.3969,0.04522363
584.3254,0.04244217
586.2538,0.04088735
588.1823,0.04040286
590.1108,0.04079971
592.0392,0.04234885
593.9677,0.04515835
595.8962,0.04930372
597.8246,0.05445205
599.7531,0.05948297
601.6816,0.06284919
603.61,0.06324378
605.5385,0.06138305
607.467,0.05868351
609.3954,0.055376
611.3239,0.05258942
613.2524,0.05092674
615.1808,0.05052599
617.1093,0.05129467
619.0378,0.05236866
620.9662,0.0523858
622.8947,0.05042462
624.8232,0.04704553
626.7516,0.0437433
628.6801,0.0412179
630.6086,0.03963993
632.537,0.03896252
634.4655,0.03930251
636.394,0.04036992
638.3224,0.04198999
640.2509,0.04400168
642.1794,0.04536679
644.1078,0.04580122
646.0363,0.04524472
647.9648,0.04360772
649.8932,0.04128326
651.8217,0.03920444
653.7502,0.03781367
655.6786,0.03689921
657.6071,0.03643251
659.5356,0.03643881
661.4641,0.03640188
663.3925,0.03612162
665.321,0.03582237
667.2495,0.03564952
669.1779,0.03557411
671.1064,0.03591692
673.0349,0.03695254
674.9633,0.03844782
676.8918,0.04001536
678.8203,0.04136357
680.7487,0.04243679
682.6772,0.04311935
684.6057,0.04441238
686.5341,0.04743094
688.4626,0.0518939
690.3911,0.05587242
692.3195,0.05586892
694.248,0.05110646
696.1765,0.04444402
698.1049,0.03853674
700.0334,0.0343775
701.9619,0.03128461
703.8903,0.02972697
705.8188,0.02910493
707.7473,0.02888606
709.6757,0.02910287
711.6042,0.02972919
713.5327,0.03027037
715.4611,0.03083823
717.3896,0.0317436
719.3181,0.03312239
721.2465,0.03475546
723.175,0.03699384
725.1035,0.04004861
727.0319,0.04350156
728.9604,0.04762409
730.8889,0.05230882
732.8173,0.05669443
734.7458,0.06013104
736.6743,0.06243618
738.6027,0.06349356
740.5312,0.06341109
742.4597,0.06255516
744.3881,0.0618757
746.3166,0.06227798
748.2451,0.06415711
750.1735,0.06763089
752.102,0.07214854
754.0305,0.07650535
755.9589,0.07991639
757.8874,0.08217712
759.8159,0.08447112
761.7443,0.08801001
763.6728,0.09336174
765.6013,0.09940802
767.5297,0.102811
769.4582,0.1011388
771.3867,0.09558263
773.3151,0.08934359
775.2436,0.08501782
777.1721,0.08245448
779.1005,0.08048367
781.029,0.07827207
782.9575,0.07582463
784.8859,0.07353907
786.8144,0.07239153
788.7429,0.07264376
790.6713,0.07396579
792.5998,0.07521509
794.5283,0.07531416
796.4567,0.074122
798.3852,0.07152575
800.3137,0.06803711
802.2421,0.06458771
804.1706,0.06192716
806.0991,0.05995621
808.0275,0.05870361
809.956,0.05824063
811.8845,0.05832963
813.8129,0.05913709
815.7414,0.0610588
817.6699,0.06393554
819.5983,0.06745427
821.5268,0.07128881
823.4553,0.07538308
825.3837,0.07949436
827.3122,0.08316215
829.2407,0.08643655
831.1691,0.08983205
833.0976,0.09350464
835.0261,0.09762835
836.9545,0.1016877
838.883,0.1052959
840.8115,0.1085532
842.7399,0.1113438
844.6684,0.1135104
846.5969,0.1149412
848.5253,0.1157032
850.4538,0.1157152
852.3823,0.1144227
854.3107,0.1115459
856.2392,0.1075018
858.1677,0.1034488
860.0961,0.0994334
862.0246,0.09618929
863.9531,0.09403952
865.8815,0.09254837
867.81,0.09178605
869.7385,0.09201019
871.6669,0.09332531
873.5954,0.09462506
875.5239,0.09472062
877.4523,0.09565418
879.3808,0.09871019
881.3093,0.1031474
883.2377,0.1086028
885.1662,0.1152422
887.0947,0.1231805
889.0231,0.1320472
890.9516,0.1411394
892.8801,0.14956
894.8085,0.1566382
896.737,0.1619064
898.6655,0.1658699
900.5939,0.1687988
