x,y
399.1926,0.04883238
401.1211,0.05212922
403.0495,0.0564962
404.978,0.05723381
406.9065,0.05717583
408.8349,0.05922776
410.7634,0.06184474
412.6919,0.06258097
414.6203,0.06222316
416.5488,0.06349395
418.4773,0.06427008
420.4057,0.06463969
422.3342,0.06618238
424.2627,0.06779347
426.1911,0.06918033
428.1196,0.07085501
430.0481,0.07256202
431.9765,0.07380462
433.905,0.07512118
435.8335,0.07643329
437.7619,0.07785135
439.6904,0.07969453
441.6189,0.08111248
443.5473,0.08253207
445.4758,0.0843677
447.4043,0.08633572
449.3327,0.08665866
451.2612,0.08817314
453.1897,0.08995123
455.1181,0.09172906
457.0466,0.09279471
458.9751,0.09348898
460.9035,0.09439761
462.832,0.09496094
464.7605,0.09525573
466.6889,0.09556118
468.6174,0.09557901
470.5459,0.0953496
472.4743,0.09517204
474.4028,0.09544523
476.3313,0.09618291
478.2597,0.09685051
480.1882,0.09729447
482.1167,0.0978108
484.0451,0.09828296
485.9736,0.09901293
487.9021,0.0995867
489.8305,0.1002964
491.759,0.1011591
493.6875,0.1027107
495.6159,0.1038204
497.5444,0.1050424
499.4729,0.1058623
501.4013,0.1069602
503.3298,0.1082368
505.2583,0.1090031
507.1867,0.1100741
509.1152,0.1110038
511.0437,0.1122203
512.9721,0.1134538
514.9006,0.114096
516.829,0.1147576
518.7575,0.1149346
520.686,0.1157934
522.6144,0.1162081
524.5429,0.1166819
526.4714,0.1174612
528.3998,0.1182262
530.3283,0.1192083
532.2568,0.1200851
534.1852,0.1213795
536.1137,0.1226254
538.0422,0.1238688
539.9706,0.1261285
541.8991,0.1294429
543.8276,0.132383
545.756,0.1350923
547.6845,0.1386136
549.613,0.1424008
551.5414,0.1469818
553.4699,0.1516233
555.3984,0.1560029
557.3268,0.1611862
559.2553,0.1663318
561.1838,0.1715442
563.1122,0.1766237
565.0407,0.1815333
566.9692,0.185952
568.8976,0.19044
570.8261,0.194722
572.7546,0.197998
574.683,0.2007762
576.6115,0.2027555
578.54,0.204468
580.4684,0.2057634
582.3969,0.2068209
584.3254,0.2076584
586.2538,0.2081589
588.1823,0.2085724
590.1108,0.2086127
592.0392,0.2077796
593.9677,0.2057806
595.8962,0.2026769
597.8246,0.1991314
599.7531,0.194958
601.6816,0.1908471
603.61,0.1877593
605.5385,0.1861184
607.467,0.1853597
609.3954,0.1846058
611.3239,0.1827793
613.2524,0.1780611
615.1808,0.1708616
617.1093,0.1639433
619.0378,0.1590994
620.9662,0.1565943
622.8947,0.1560878
624.8232,0.1563974
626.7516,0.1567629
628.6801,0.1569835
630.6086,0.1567162
632.537,0.155743
634.4655,0.155022
636.394,0.1543887
638.3224,0.1537451
640.2509,0.1534386
642.1794,0.1530412
644.1078,0.1527388
646.0363,0.1526726
647.9648,0.1523633
649.8932,0.1522144
651.8217,0.1521675
653.7502,0.1520197
655.6786,0.1521112
657.6071,0.1526292
659.5356,0.1531466
661.4641,0.1534256
663.3925,0.1535935
665.321,0.1538537
667.2495,0.1540188
669.1779,0.1541616
671.1064,0.1541732
673.0349,0.1541467
674.9633,0.1545529
676.8918,0.1549499
678.8203,0.155117
680.7487,0.1550047
682.6772,0.1545468
684.6057,0.1539967
686.5341,0.1535131
688.4626,0.1529154
690.3911,0.1519929
692.3195,0.1510409
694.248,0.1498035
696.1765,0.1483953
698.1049,0.1469657
700.0334,0.1455825
701.9619,0.1435592
703.8903,0.1415422
705.8188,0.1392073
707.7473,0.1367028
709.6757,0.1341597
711.6042,0.1316521
713.5327,0.1290318
715.4611,0.126149
717.3896,0.1231316
719.3181,0.1202327
721.2465,0.1172331
723.175,0.1143753
725.1035,0.1117642
727.0319,0.1089187
728.9604,0.1062104
730.8889,0.1036068
732.8173,0.1010313
734.7458,0.09868015
736.6743,0.09637176
738.6027,0.0942753
740.5312,0.09230465
742.4597,0.09012026
744.3881,0.08796652
746.3166,0.08624873
748.2451,0.08453532
750.1735,0.08291133
752.102,0.08150093
754.0305,0.08006778
755.9589,0.07863461
757.8874,0.07737748
759.8159,0.07623509
761.7443,0.0749654
763.6728,0.07378255
765.6013,0.0726895
767.5297,0.07175086
769.4582,0.07068999
771.3867,0.06961028
773.3151,0.06866585
775.2436,0.06803593
777.1721,0.06748906
779.1005,0.06688803
781.029,0.06633398
782.9575,0.06605015
784.8859,0.06550095
786.8144,0.06514411
788.7429,0.06508347
790.6713,0.06519351
792.5998,0.06523635
794.5283,0.06525588
796.4567,0.06542835
798.3852,0.06557202
800.3137,0.06576315
802.2421,0.06603304
804.1706,0.06654965
806.0991,0.06694337
808.0275,0.06724195
809.956,0.06778272
811.8845,0.06830104
813.8129,0.06862238
815.7414,0.0689588
817.6699,0.06933185
819.5983,0.06973294
821.5268,0.07001124
823.4553,0.07051087
825.3837,0.07121906
827.3122,0.07183561
829.2407,0.07224055
831.1691,0.07261478
833.0976,0.07321469
835.0261,0.0740979
836.9545,0.07487045
838.883,0.07562196
840.8115,0.07649451
842.7399,0.07763104
844.6684,0.07889453
846.5969,0.08010644
848.5253,0.08117995
850.4538,0.08249405
852.3823,0.08392701
854.3107,0.08525414
856.2392,0.08659673
858.1677,0.08834811
860.0961,0.08984748
862.0246,0.09120513
863.9531,0.09279545
865.8815,0.09454804
867.81,0.09606612
869.7385,0.09756056
871.6669,0.09918934
873.5954,0.100775
875.5239,0.102402
877.4523,0.1039991
879.3808,0.1055721
881.3093,0.1071661
883.2377,0.1086264
885.1662,0.1102412
887.0947,0.1121242
889.0231,0.1139639
890.9516,0.1156077
892.8801,0.1171699
894.8085,0.1188071
896.737,0.1203253
898.6655,0.1220603
900.5939,0.1238882
902.5224,0.1256048
904.4509,0.1270642
906.3793,0.1283698
908.3078,0.1295493
910.2363,0.1305429
912.1647,0.131325
914.0932,0.1318625
916.0217,0.1321349
917.9501,0.1320356
919.8786,0.1315743
921.8071,0.1308801
923.7355,0.1300541
925.664,0.1290262
927.5925,0.127742
929.5209,0.1262589
931.4494,0.1245935
933.3779,0.1227902
935.3063,0.1210332
937.2348,0.1192585
939.1633,0.1173308
941.0917,0.1155215
943.0202,0.1138741
944.9487,0.1120813
946.8771,0.1104895
948.8056,0.1091677
950.7341,0.1077587
952.6625,0.1063907
954.591,0.1054293
956.5195,0.1045372
958.4479,0.1037401
960.3764,0.1032323
962.3049,0.1029495
964.2333,0.1030228
966.1618,0.1036485
968.0903,0.1051677
970.0187,0.1080902
971.9472,0.1119863
973.8757,0.1144622
975.8041,0.1133434
977.7326,0.1098196
979.6611,0.1063303
981.5895,0.1037776
983.518,0.102111
985.4465,0.1012304
987.3749,0.1012284
989.3034,0.102184
991.2319,0.1031397
993.1603,0.1035762
995.0888,0.1040083
997.0173,0.1048304
998.9457,0.1059584
1000.874,0.1075413
1002.803,0.1095324
1004.731,0.1119076
1006.66,0.1144983
1008.588,0.1173831
1010.517,0.1207013
1012.445,0.1243857
1014.373,0.1285178
1016.302,0.1334329
1018.23,0.1388609
1020.159,0.1448222
1022.087,0.1516004
1024.016,0.1592713
1025.944,0.1674827
1027.873,0.1764151
1029.801,0.1861846
1031.73,0.1968253
1033.658,0.20857
1035.587,0.2213144
1037.515,0.2350315
