x,y
399.1926,0.1482935
401.1211,0.1495436
403.0495,0.1511811
404.978,0.1503066
406.9065,0.1510237
408.8349,0.1577718
410.7634,0.169741
412.6919,0.1794143
414.6203,0.1902232
416.5488,0.2056702
418.4773,0.2194987
420.4057,0.2280906
422.3342,0.2304289
424.2627,0.2291741
426.1911,0.2276429
428.1196,0.2249618
430.0481,0.2212837
431.9765,0.2202615
433.905,0.2206266
435.8335,0.2174064
437.7619,0.2120832
439.6904,0.2062746
441.6189,0.1988221
443.5473,0.1943735
445.4758,0.1953079
447.4043,0.1996007
449.3327,0.2055471
451.2612,0.2110971
453.1897,0.2146256
455.1181,0.2160915
457.0466,0.2154559
458.9751,0.2138959
460.9035,0.2102484
462.832,0.2047564
464.7605,0.1976564
466.6889,0.190331
468.6174,0.1827703
470.5459,0.1746137
472.4743,0.1680267
474.4028,0.1636447
476.3313,0.1613134
478.2597,0.1626742
480.1882,0.1691979
482.1167,0.1803541
484.0451,0.1934285
485.9736,0.20653
487.9021,0.2157476
489.8305,0.2192212
491.759,0.2179696
493.6875,0.2156513
495.6159,0.2133285
497.5444,0.2111243
499.4729,0.2073625
501.4013,0.2020333
503.3298,0.1976596
505.2583,0.1946948
507.1867,0.1899331
509.1152,0.1831279
511.0437,0.1752674
512.9721,0.1669993
514.9006,0.1589004
516.829,0.1528504
518.7575,0.1489561
520.686,0.1470312
522.6144,0.1458274
524.5429,0.1449236
526.4714,0.1437719
528.3998,0.142835
530.3283,0.1426246
532.2568,0.1418599
534.1852,0.1400172
536.1137,0.1380464
538.0422,0.1366451
539.9706,0.1365643
541.8991,0.137687
543.8276,0.1391433
545.756,0.1402282
547.6845,0.1401047
549.613,0.1368129
551.5414,0.1304155
553.4699,0.1228148
555.3984,0.1146578
557.3268,0.1057433
559.2553,0.0964705
561.1838,0.08809317
563.1122,0.0808226
565.0407,0.07452405
566.9692,0.0692158
568.8976,0.06493762
570.8261,0.06122837
572.7546,0.05787313
574.683,0.0546699
576.6115,0.05101049
578.54,0.04798701
580.4684,0.04571907
582.3969,0.04391078
584.3254,0.04281359
586.2538,0.04209884
588.1823,0.0419703
590.1108,0.04192043
592.0392,0.04187899
593.9677,0.04187158
595.8962,0.04189771
597.8246,0.04201841
599.7531,0.04239903
601.6816,0.04300362
603.61,0.04378475
605.5385,0.04483541
607.467,0.04604746
609.3954,0.04730904
611.3239,0.04871872
613.2524,0.05034689
615.1808,0.05254545
617.1093,0.05515329
619.0378,0.05762635
620.9662,0.05996202
622.8947,0.0621802
624.8232,0.06443705
626.7516,0.06722251
628.6801,0.07107703
630.6086,0.07632684
632.537,0.08288685
634.4655,0.09058293
636.394,0.09872961
638.3224,0.1060849
640.2509,0.1106114
642.1794,0.110794
644.1078,0.1064466
646.0363,0.09914267
647.9648,0.09151443
649.8932,0.08607388
651.8217,0.08402192
653.7502,0.08484069
655.6786,0.08640408
657.6071,0.08632079
659.5356,0.08274741
661.4641,0.0756723
663.3925,0.06737062
665.321,0.06018396
667.2495,0.05478384
669.1779,0.05087928
671.1064,0.04828431
673.0349,0.04715898
