x,y
399.1926,0.2404108
401.1211,0.2444326
403.0495,0.2474422
404.978,0.243012
406.9065,0.2440487
408.8349,0.2446022
410.7634,0.2423295
412.6919,0.2413335
414.6203,0.2390792
416.5488,0.2407062
418.4773,0.2419021
420.4057,0.2388399
422.3342,0.2359073
424.2627,0.2366112
426.1911,0.2358289
428.1196,0.2325167
430.0481,0.2303318
431.9765,0.229362
433.905,0.228649
435.8335,0.2281884
437.7619,0.2264926
439.6904,0.2246309
441.6189,0.2222982
443.5473,0.2202184
445.4758,0.2189005
447.4043,0.2167279
449.3327,0.2146346
451.2612,0.2136871
453.1897,0.2127792
455.1181,0.210767
457.0466,0.20747
458.9751,0.2050309
460.9035,0.2031204
462.832,0.2011941
464.7605,0.1981497
466.6889,0.1947114
468.6174,0.191737
470.5459,0.1886965
472.4743,0.1853023
474.4028,0.1821881
476.3313,0.1783792
478.2597,0.1753063
480.1882,0.1724739
482.1167,0.1701247
484.0451,0.168052
485.9736,0.1663035
487.9021,0.1650529
489.8305,0.1641218
491.759,0.164197
493.6875,0.1649125
495.6159,0.1653787
497.5444,0.1659586
499.4729,0.166908
501.4013,0.1680399
503.3298,0.1701552
505.2583,0.1725833
507.1867,0.1747999
509.1152,0.1771828
511.0437,0.1796742
512.9721,0.1825081
514.9006,0.1851044
516.829,0.1872589
518.7575,0.1896662
520.686,0.192616
522.6144,0.1956038
524.5429,0.1985202
526.4714,0.2016053
528.3998,0.2043719
530.3283,0.2071047
532.2568,0.2101687
534.1852,0.2129827
536.1137,0.2155261
538.0422,0.2187475
539.9706,0.2219722
541.8991,0.2246491
543.8276,0.2267369
545.756,0.2289705
547.6845,0.2309863
549.613,0.2336141
551.5414,0.2360639
553.4699,0.2375379
555.3984,0.2388937
557.3268,0.2399386
559.2553,0.2405957
561.1838,0.2413229
563.1122,0.2423462
565.0407,0.2429855
566.9692,0.2430557
568.8976,0.242748
570.8261,0.2421021
572.7546,0.2411904
574.683,0.2402411
576.6115,0.2387856
578.54,0.237317
580.4684,0.2352621
582.3969,0.2330403
584.3254,0.2313132
586.2538,0.2290081
588.1823,0.2265932
590.1108,0.2242662
592.0392,0.2222479
593.9677,0.2199716
595.8962,0.2178103
597.8246,0.2159676
599.7531,0.2140602
601.6816,0.2120049
603.61,0.2096822
605.5385,0.2071586
607.467,0.2044452
609.3954,0.2016397
611.3239,0.1985054
613.2524,0.1948472
615.1808,0.1912475
617.1093,0.1875853
619.0378,0.1834576
620.9662,0.1798691
622.8947,0.1763064
624.8232,0.1724524
626.7516,0.1685675
628.6801,0.1647584
630.6086,0.161076
632.537,0.1573986
634.4655,0.1539374
636.394,0.1504594
638.3224,0.1469483
640.2509,0.1436811
642.1794,0.1402498
644.1078,0.136536
646.0363,0.1330908
647.9648,0.1298484
649.8932,0.1266617
651.8217,0.1234714
653.7502,0.1204848
655.6786,0.1174244
657.6071,0.1145435
659.5356,0.111974
661.4641,0.1090372
663.3925,0.1062014
665.321,0.1035042
667.2495,0.1007878
669.1779,0.0982682
671.1064,0.09564186
673.0349,0.09320228
674.9633,0.09078319
676.8918,0.08839054
678.8203,0.08606151
680.7487,0.08380774
682.6772,0.08172449
684.6057,0.07962617
686.5341,0.0775836
688.4626,0.07559432
690.3911,0.07365241
692.3195,0.07164131
694.248,0.06966158
696.1765,0.0677757
698.1049,0.06604599
700.0334,0.06433323
701.9619,0.06249137
703.8903,0.06079391
705.8188,0.05927031
707.7473,0.05775028
709.6757,0.05618452
711.6042,0.05477776
713.5327,0.05350142
715.4611,0.0522109
717.3896,0.05103551
719.3181,0.05006686
721.2465,0.04906237
723.175,0.04829895
725.1035,0.0475671
727.0319,0.04683689
728.9604,0.04610233
730.8889,0.04548595
732.8173,0.04513441
734.7458,0.04473972
736.6743,0.04430276
738.6027,0.04382851
740.5312,0.04344131
742.4597,0.04307471
744.3881,0.04264752
746.3166,0.04239792
748.2451,0.04205048
750.1735,0.04164192
752.102,0.04128984
754.0305,0.04104452
755.9589,0.04067554
757.8874,0.04034481
759.8159,0.04006242
761.7443,0.03960462
763.6728,0.03900371
765.6013,0.03859787
767.5297,0.03827789
769.4582,0.03787746
771.3867,0.03734211
773.3151,0.03672387
775.2436,0.03641795
777.1721,0.03617128
779.1005,0.03575287
781.029,0.03537016
782.9575,0.03499691
784.8859,0.03456754
786.8144,0.0342669
788.7429,0.03408597
790.6713,0.03391737
792.5998,0.03378209
794.5283,0.03365239
796.4567,0.03351739
798.3852,0.0334467
800.3137,0.03346155
802.2421,0.03346083
804.1706,0.03361956
806.0991,0.03367216
808.0275,0.03368746
809.956,0.03383634
811.8845,0.03405737
813.8129,0.03418309
