x,y
399.1926,0.1073925
401.1211,0.1095705
403.0495,0.1121822
404.978,0.1197983
406.9065,0.1292413
408.8349,0.1393506
410.7634,0.1522554
412.6919,0.1641764
414.6203,0.1751224
416.5488,0.1874664
418.4773,0.2014918
420.4057,0.2129602
422.3342,0.2202836
424.2627,0.2290889
426.1911,0.2359276
428.1196,0.2406948
430.0481,0.2425493
431.9765,0.2408895
433.905,0.2380949
435.8335,0.2361882
437.7619,0.2359788
439.6904,0.2375428
441.6189,0.2424347
443.5473,0.25067
445.4758,0.2573382
447.4043,0.2616125
449.3327,0.2643388
451.2612,0.2647113
453.1897,0.2619072
455.1181,0.2578765
457.0466,0.2513979
458.9751,0.2436041
460.9035,0.2360278
462.832,0.2292185
464.7605,0.2224349
466.6889,0.2164484
468.6174,0.2135653
470.5459,0.2115872
472.4743,0.2095497
474.4028,0.2074449
476.3313,0.202927
478.2597,0.1963613
480.1882,0.1873449
482.1167,0.1770543
484.0451,0.1694837
485.9736,0.1659115
487.9021,0.1656985
489.8305,0.1676443
491.759,0.1713932
493.6875,0.1752992
495.6159,0.1784853
497.5444,0.1805666
499.4729,0.1811382
501.4013,0.1807102
503.3298,0.178621
505.2583,0.1755983
507.1867,0.1719959
509.1152,0.1680049
511.0437,0.16392
512.9721,0.1592399
514.9006,0.1548699
516.829,0.1513704
518.7575,0.1474458
520.686,0.1431582
522.6144,0.1391204
524.5429,0.1349963
526.4714,0.1300139
528.3998,0.1244479
530.3283,0.1187058
532.2568,0.1122746
534.1852,0.1049319
536.1137,0.09717849
538.0422,0.08947609
539.9706,0.08169778
541.8991,0.07360337
543.8276,0.0663396
545.756,0.0597394
547.6845,0.05377388
549.613,0.0481168
551.5414,0.04357947
553.4699,0.03998524
555.3984,0.03674645
557.3268,0.03432095
559.2553,0.03286447
561.1838,0.0312753
563.1122,0.02994487
565.0407,0.02859477
566.9692,0.02725353
568.8976,0.02658939
570.8261,0.02604418
572.7546,0.02552974
574.683,0.02479988
576.6115,0.02404515
578.54,0.02357383
580.4684,0.02330761
582.3969,0.02286423
584.3254,0.02242912
586.2538,0.02196057
588.1823,0.02156325
590.1108,0.02134505
592.0392,0.02154829
593.9677,0.02151196
595.8962,0.02128302
597.8246,0.02127567
599.7531,0.02122175
601.6816,0.02125723
603.61,0.02136588
605.5385,0.02142592
607.467,0.02148175
609.3954,0.02162434
611.3239,0.0218016
613.2524,0.02208913
615.1808,0.02221977
617.1093,0.02230831
619.0378,0.0224936
620.9662,0.02292738
622.8947,0.02329091
624.8232,0.0235183
626.7516,0.02375685
628.6801,0.02400268
630.6086,0.02430004
632.537,0.02470963
634.4655,0.02498185
636.394,0.02535454
638.3224,0.025869
640.2509,0.0264091
642.1794,0.02691302
644.1078,0.02730608
646.0363,0.02787138
647.9648,0.02852721
649.8932,0.02904886
651.8217,0.02955472
653.7502,0.03012305
655.6786,0.03074304
657.6071,0.03143016
659.5356,0.0322156
661.4641,0.03297776
663.3925,0.03378235
665.321,0.03461168
667.2495,0.0353408
669.1779,0.03616435
671.1064,0.03725268
673.0349,0.03857997
674.9633,0.03980781
676.8918,0.0409958
678.8203,0.0422819
680.7487,0.04373914
682.6772,0.04534207
684.6057,0.04702238
686.5341,0.0487
688.4626,0.05045988
690.3911,0.05229612
692.3195,0.05428088
694.248,0.05625638
696.1765,0.05837335
698.1049,0.06071087
700.0334,0.06339211
701.9619,0.06619674
703.8903,0.06922139
705.8188,0.07244449
707.7473,0.07560638
709.6757,0.07909055
711.6042,0.0829309
713.5327,0.08684822
715.4611,0.09093157
717.3896,0.09528984
719.3181,0.1004122
721.2465,0.1060255
723.175,0.1119495
725.1035,0.1183682
727.0319,0.1250626
728.9604,0.13209
730.8889,0.1394504
732.8173,0.1474819
734.7458,0.1562667
736.6743,0.1650742
738.6027,0.1743123
740.5312,0.1842037
742.4597,0.1948392
744.3881,0.205954
746.3166,0.2176623
748.2451,0.230116
750.1735,0.2432574
752.102,0.257151
754.0305,0.2720872
755.9589,0.2872772
757.8874,0.3029512
759.8159,0.3187356
761.7443,0.3347661
763.6728,0.3508474
765.6013,0.3664912
767.5297,0.3812429
769.4582,0.394935
771.3867,0.4074681
773.3151,0.4183647
775.2436,0.4270604
777.1721,0.4339739
779.1005,0.4388359
781.029,0.4423609
782.9575,0.444905
784.8859,0.4478655
786.8144,0.4518724
788.7429,0.4566995
790.6713,0.4615298
792.5998,0.465053
794.5283,0.4658554
796.4567,0.4631959
798.3852,0.4570691
800.3137,0.4475498
802.2421,0.4355206
804.1706,0.4215801
806.0991,0.4062083
808.0275,0.3907162
809.956,0.3756584
811.8845,0.3613006
813.8129,0.3480076
815.7414,0.3362348
817.6699,0.3261534
819.5983,0.3185731
821.5268,0.3139907
823.4553,0.3123343
825.3837,0.3115063
827.3122,0.3085796
829.2407,0.301251
831.1691,0.2900295
833.0976,0.2768519
835.0261,0.2636045
836.9545,0.2510208
838.883,0.2395028
840.8115,0.2289982
842.7399,0.2188454
844.6684,0.2087173
846.5969,0.1988948
848.5253,0.1893397
850.4538,0.1798556
852.3823,0.1708905
854.3107,0.1627626
856.2392,0.1552541
858.1677,0.1486957
860.0961,0.1433131
862.0246,0.1389215
863.9531,0.1358828
865.8815,0.1345253
867.81,0.1343523
869.7385,0.1352306
871.6669,0.1363184
873.5954,0.1366304
875.5239,0.1355359
877.4523,0.1329122
879.3808,0.1286622
881.3093,0.1232192
883.2377,0.1169887
885.1662,0.1102716
887.0947,0.1033058
889.0231,0.09605458
890.9516,0.0890452
892.8801,0.08250049
894.8085,0.07634142
896.737,0.07054154
898.6655,0.06515327
900.5939,0.06049074
902.5224,0.0562107
904.4509,0.05242238
906.3793,0.0491623
908.3078,0.04648571
910.2363,0.04451875
912.1647,0.0430035
914.0932,0.04190207
916.0217,0.04132267
917.9501,0.04118802
919.8786,0.04144766
921.8071,0.04207818
923.7355,0.04310426
925.664,0.04451673
927.5925,0.04642864
929.5209,0.04894285
931.4494,0.05202573
933.3779,0.05568786
935.3063,0.05985525
937.2348,0.06463298
939.1633,0.06981455
941.0917,0.07519097
943.0202,0.08036439
944.9487,0.08523796
946.8771,0.08948216
948.8056,0.09249937
950.7341,0.09453677
952.6625,0.09540099
954.591,0.09488987
956.5195,0.09303439
958.4479,0.08988656
960.3764,0.08566411
962.3049,0.08028118
964.2333,0.07416882
966.1618,0.06797526
968.0903,0.06174379
970.0187,0.05567653
971.9472,0.05012571
973.8757,0.04502279
975.8041,0.04047725
977.7326,0.03663235
979.6611,0.03333322
981.5895,0.0304005
983.518,0.0279035
985.4465,0.02585783
987.3749,0.0241666
989.3034,0.02268947
991.2319,0.02131964
993.1603,0.02019713
995.0888,0.01921078
997.0173,0.0183574
998.9457,0.01764599
1000.874,0.01708875
1002.803,0.0166085
1004.731,0.01618077
1006.66,0.01574226
1008.588,0.01528559
1010.517,0.01485964
1012.445,0.01454937
1014.373,0.01424495
1016.302,0.01396753
1018.23,0.01371035
1020.159,0.0133873
1022.087,0.01304894
1024.016,0.01277065
1025.944,0.012463
1027.873,0.01221483
1029.801,0.01205859
1031.73,0.01183691
1033.658,0.01155558
1035.587,0.01138389
1037.515,0.01119207
1039.443,0.01103878
1041.372,0.01092159
1043.3,0.01073108
1045.229,0.0105534
1047.157,0.01049382
1049.086,0.01042402
1051.014,0.01025082
1052.943,0.01017258
1054.871,0.009990801
1056.8,0.009762481
1058.728,0.009549832
1060.657,0.009390295
1062.585,0.009228708
1064.514,0.009002629
1066.442,0.008808063
1068.37,0.008915568
1070.299,0.009011311
1072.227,0.008829851
1074.156,0.008619808
1076.084,0.008388626
1078.013,0.008168723
1079.941,0.007976268
1081.87,0.007855732
1083.798,0.007646929
1085.727,0.007445115
1087.655,0.007374358
1089.584,0.007334156
1091.512,0.007291308
1093.441,0.007266185
1095.369,0.007170148
1097.297,0.006930779
1099.226,0.00677052
1101.154,0.006705541
1103.083,0.006705127
1105.011,0.006676603
1106.94,0.006621092
1108.868,0.006556083
1110.797,0.006531333
1112.725,0.00658326
1114.654,0.006427867
1116.582,0.006199365
1118.511,0.006171897
1120.439,0.006150129
1122.368,0.006042397
1124.296,0.0058982
1126.224,0.005810767
1128.153,0.00584591
1130.081,0.005930902
1132.01,0.005971964
1133.938,0.005899769
1135.867,0.005885197
1137.795,0.005852079
1139.724,0.005735603
1141.652,0.005803174
1143.581,0.005945603
1145.509,0.005953094
1147.438,0.005897479
1149.366,0.005871052
1151.295,0.005898851
1153.223,0.005821823
1155.151,0.005709017
1157.08,0.005724209
1159.008,0.005694675
1160.937,0.005691002
1162.865,0.005708443
1164.794,0.005497187
1166.722,0.00534874
1168.651,0.005331245
1170.579,0.005284192
1172.508,0.00532874
1174.436,0.005353194
1176.365,0.005339966
1178.293,0.005380677
1180.222,0.005483902
1182.15,0.005512065
1184.078,0.005470537
1186.007,0.005446958
1187.935,0.005432186
1189.864,0.005392041
1191.792,0.005353498
1193.721,0.005282638
1195.649,0.005258115
1197.578,0.005326324
1199.506,0.005367949
1201.435,0.005183676
1203.363,0.005098377
1205.292,0.005200842
1207.22,0.005147274
1209.149,0.005062247
1211.077,0.005138474
1213.005,0.005269282
1214.934,0.005306732
1216.862,0.005287258
1218.791,0.005375019
1220.719,0.005451928
1222.648,0.005484527
1224.576,0.005390902
1226.505,0.005301899
1228.433,0.005306946
1230.362,0.005400762
1232.29,0.005446804
1234.219,0.005497179
1236.147,0.005594248
1238.076,0.005584363
1240.004,0.005492645
1241.932,0.005539644
1243.861,0.005574271
1245.789,0.005488457
1247.718,0.005522638
1249.646,0.005645298
1251.575,0.005682589
1253.503,0.005704062
1255.432,0.005749452
1257.36,0.005845402
1259.289,0.005923875
1261.217,0.005958294
1263.146,0.005956489
1265.074,0.005898761
1267.003,0.005915816
1268.931,0.006083025
1270.859,0.006304126
1272.788,0.006677465
1274.716,0.006921772
1276.645,0.006894509
1278.573,0.006884763
1280.502,0.006927925
1282.43,0.00694206
1284.359,0.006737824
1286.287,0.006592062
1288.216,0.006645482
1290.144,0.006669663
1292.073,0.006646838
1294.001,0.006685959
1295.93,0.006633135
1297.858,0.006567037
1299.786,0.006490704
1301.715,0.006492655
1303.643,0.006617682
1305.572,0.006647911
1307.5,0.006528524
1309.429,0.006427521
1311.357,0.006446303
1313.286,0.006554418
1315.214,0.006608434
1317.143,0.006584483
1319.071,0.006507209
1321.0,0.006491179
1322.928,0.006479598
1324.857,0.006555641
1326.785,0.006705934
1328.714,0.006707396
1330.642,0.006640414
1332.57,0.00662074
