x,y
399.1926,0.126152
401.1211,0.1237995
403.0495,0.1223548
404.978,0.1189874
406.9065,0.1168176
408.8349,0.1143575
410.7634,0.1111247
412.6919,0.1099251
414.6203,0.1092875
416.5488,0.109027
418.4773,0.1084594
420.4057,0.1072174
422.3342,0.1055698
424.2627,0.1046484
426.1911,0.1025172
428.1196,0.0988213
430.0481,0.09532835
431.9765,0.09280291
433.905,0.09100593
435.8335,0.08827744
437.7619,0.08543548
439.6904,0.0829401
441.6189,0.07922255
443.5473,0.07493783
445.4758,0.06996743
447.4043,0.06423308
449.3327,0.05845604
451.2612,0.05116603
453.1897,0.04381306
455.1181,0.03735722
457.0466,0.03158008
458.9751,0.02621679
460.9035,0.02118836
462.832,0.01772151
464.7605,0.01534357
466.6889,0.01295948
468.6174,0.01108607
470.5459,0.01000289
472.4743,0.009495376
474.4028,0.008967876
476.3313,0.008981986
478.2597,0.009373147
480.1882,0.009130497
482.1167,0.00908312
484.0451,0.009805072
485.9736,0.01083196
487.9021,0.0120218
489.8305,0.01369466
491.759,0.01636631
493.6875,0.01983289
495.6159,0.02414549
497.5444,0.02940724
499.4729,0.03525567
501.4013,0.04062694
503.3298,0.04417878
505.2583,0.04480326
507.1867,0.04218899
509.1152,0.03746758
511.0437,0.03214218
512.9721,0.026839
514.9006,0.02196073
516.829,0.01804098
518.7575,0.01453841
520.686,0.01177981
522.6144,0.009780165
524.5429,0.008329971
526.4714,0.006900931
528.3998,0.005587116
530.3283,0.005173925
532.2568,0.004789526
534.1852,0.004074264
536.1137,0.003785124
538.0422,0.003706057
539.9706,0.003584065
541.8991,0.003385741
543.8276,0.003691474
545.756,0.004191807
547.6845,0.004634216
549.613,0.005178796
551.5414,0.005623301
553.4699,0.006292403
555.3984,0.006529419
557.3268,0.006811304
559.2553,0.007761568
561.1838,0.008566473
563.1122,0.009401374
565.0407,0.01022798
566.9692,0.011269
568.8976,0.01249932
570.8261,0.01353121
572.7546,0.01463808
574.683,0.01568841
576.6115,0.01663258
578.54,0.01770441
580.4684,0.01880655
582.3969,0.01980338
584.3254,0.0208174
586.2538,0.02186816
588.1823,0.02274848
590.1108,0.02365781
592.0392,0.02471944
593.9677,0.02609824
595.8962,0.02751068
597.8246,0.02899637
599.7531,0.03055722
601.6816,0.03207093
603.61,0.03369828
605.5385,0.03546816
607.467,0.0374139
609.3954,0.03957734
611.3239,0.04200495
613.2524,0.04443721
615.1808,0.04644868
617.1093,0.04845462
619.0378,0.0503743
620.9662,0.05201855
622.8947,0.0530638
624.8232,0.05376092
626.7516,0.0540683
628.6801,0.0536584
630.6086,0.0528364
632.537,0.0518841
634.4655,0.05057318
636.394,0.04894593
638.3224,0.04704316
640.2509,0.04494048
642.1794,0.04290311
644.1078,0.0409479
646.0363,0.03916218
647.9648,0.03743296
649.8932,0.03570475
651.8217,0.03421557
653.7502,0.03295871
655.6786,0.03180038
657.6071,0.03092328
659.5356,0.030561
661.4641,0.03049742
663.3925,0.03066164
665.321,0.03108094
667.2495,0.03184354
669.1779,0.03323444
671.1064,0.03557733
673.0349,0.03928819
674.9633,0.04527236
676.8918,0.05377021
678.8203,0.06222881
680.7487,0.06750246
682.6772,0.06646746
684.6057,0.05862238
686.5341,0.04948505
688.4626,0.04446627
690.3911,0.04350562
692.3195,0.04299625
694.248,0.03989504
696.1765,0.03499237
698.1049,0.0309644
700.0334,0.02854218
701.9619,0.02686081
703.8903,0.02579826
705.8188,0.0249091
707.7473,0.02348239
709.6757,0.02160579
711.6042,0.01978034
713.5327,0.01818863
715.4611,0.01668184
717.3896,0.01544508
719.3181,0.01465044
721.2465,0.01393744
723.175,0.01318659
725.1035,0.01263009
727.0319,0.01215143
728.9604,0.01170781
730.8889,0.01129545
732.8173,0.01093653
734.7458,0.01078633
736.6743,0.01068977
738.6027,0.01054162
740.5312,0.0104774
742.4597,0.0100852
744.3881,0.009298233
746.3166,0.008716216
748.2451,0.008387022
750.1735,0.007959079
752.102,0.007525638
754.0305,0.007195419
755.9589,0.00694018
757.8874,0.006747819
759.8159,0.006429415
